idcolumna,idconsulta,codusu,vercolumna,orden,ancho,guidConsulta
6,318,0,0,71,40,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
6,324,0,0,128,40,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
6,397,0,1,4,40,87d50ec4-f703-49ab-91cd-c6814674c229
6,398,0,1,4,40,e62f0415-9b8f-4462-98f4-c03b51e7887d
7,1,-1,1,7,100,029d0bf3-f332-4322-a9f4-67a6aff9033f
7,2,-1,1,7,100,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
7,3,-1,1,7,86,9f919337-fc52-461e-ad04-a696ec31297b
7,4,-1,1,7,86,059d52fe-073c-45f5-8789-a032ac573a67
7,5,-1,1,7,86,5875a9bb-2d61-4141-a4ca-6dc78854fdce
7,6,-1,1,7,92,55ad389c-db1f-433c-bb80-87ed1543b4f3
7,7,0,1,7,100,029d0bf3-f332-4322-a9f4-67a6aff9033f
7,8,0,1,7,100,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
7,9,0,1,7,86,9f919337-fc52-461e-ad04-a696ec31297b
7,10,0,1,7,86,059d52fe-073c-45f5-8789-a032ac573a67
7,11,0,1,7,86,5875a9bb-2d61-4141-a4ca-6dc78854fdce
7,12,0,1,7,92,55ad389c-db1f-433c-bb80-87ed1543b4f3
7,27,0,0,40,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
7,111,0,1,5,79,68b53edc-4df1-4725-bec6-d1c823321387
7,112,0,1,5,79,e152e12b-016b-44f6-bb5e-c4d629253707
7,199,0,1,7,100,524803d3-bb03-4dc0-b16e-01a590c60b96
7,232,0,1,5,79,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
7,318,0,0,40,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
7,324,0,1,7,100,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
7,397,0,1,5,79,87d50ec4-f703-49ab-91cd-c6814674c229
7,398,0,1,5,79,e62f0415-9b8f-4462-98f4-c03b51e7887d
9,1,-1,1,8,70,029d0bf3-f332-4322-a9f4-67a6aff9033f
9,2,-1,1,8,72,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
9,3,-1,1,8,70,9f919337-fc52-461e-ad04-a696ec31297b
9,4,-1,1,8,71,059d52fe-073c-45f5-8789-a032ac573a67
9,5,-1,1,8,70,5875a9bb-2d61-4141-a4ca-6dc78854fdce
9,6,-1,1,8,72,55ad389c-db1f-433c-bb80-87ed1543b4f3
9,7,0,1,8,70,029d0bf3-f332-4322-a9f4-67a6aff9033f
9,8,0,1,8,72,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
9,9,0,1,8,70,9f919337-fc52-461e-ad04-a696ec31297b
9,10,0,1,8,71,059d52fe-073c-45f5-8789-a032ac573a67
9,11,0,1,8,70,5875a9bb-2d61-4141-a4ca-6dc78854fdce
9,12,0,1,8,72,55ad389c-db1f-433c-bb80-87ed1543b4f3
9,27,0,0,51,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
9,111,0,1,7,65,68b53edc-4df1-4725-bec6-d1c823321387
9,112,0,1,7,65,e152e12b-016b-44f6-bb5e-c4d629253707
9,199,0,1,1,100,524803d3-bb03-4dc0-b16e-01a590c60b96
9,232,0,1,7,65,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
9,318,0,0,51,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
9,324,0,1,1,100,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
9,397,0,1,7,65,87d50ec4-f703-49ab-91cd-c6814674c229
9,398,0,1,7,65,e62f0415-9b8f-4462-98f4-c03b51e7887d
10,1,-1,1,9,70,029d0bf3-f332-4322-a9f4-67a6aff9033f
10,2,-1,1,9,73,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
10,3,-1,1,9,61,9f919337-fc52-461e-ad04-a696ec31297b
10,4,-1,1,9,72,059d52fe-073c-45f5-8789-a032ac573a67
10,5,-1,1,9,74,5875a9bb-2d61-4141-a4ca-6dc78854fdce
10,6,-1,1,9,68,55ad389c-db1f-433c-bb80-87ed1543b4f3
10,7,0,1,9,70,029d0bf3-f332-4322-a9f4-67a6aff9033f
10,8,0,1,9,73,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
10,9,0,1,9,61,9f919337-fc52-461e-ad04-a696ec31297b
10,10,0,1,9,72,059d52fe-073c-45f5-8789-a032ac573a67
10,11,0,1,9,74,5875a9bb-2d61-4141-a4ca-6dc78854fdce
10,12,0,1,9,68,55ad389c-db1f-433c-bb80-87ed1543b4f3
10,27,0,0,49,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
10,111,0,1,8,62,68b53edc-4df1-4725-bec6-d1c823321387
10,112,0,1,8,62,e152e12b-016b-44f6-bb5e-c4d629253707
10,199,0,0,64,100,524803d3-bb03-4dc0-b16e-01a590c60b96
10,232,0,1,8,62,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
10,318,0,0,49,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
10,324,0,0,66,100,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
10,397,0,1,8,62,87d50ec4-f703-49ab-91cd-c6814674c229
10,398,0,1,8,62,e62f0415-9b8f-4462-98f4-c03b51e7887d
11,1,-1,1,10,70,029d0bf3-f332-4322-a9f4-67a6aff9033f
11,2,-1,1,10,70,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
11,3,-1,1,10,70,9f919337-fc52-461e-ad04-a696ec31297b
11,4,-1,1,10,70,059d52fe-073c-45f5-8789-a032ac573a67
11,5,-1,0,27,70,5875a9bb-2d61-4141-a4ca-6dc78854fdce
11,6,-1,0,27,70,55ad389c-db1f-433c-bb80-87ed1543b4f3
11,7,0,1,10,70,029d0bf3-f332-4322-a9f4-67a6aff9033f
11,8,0,1,10,70,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
11,9,0,1,10,70,9f919337-fc52-461e-ad04-a696ec31297b
11,10,0,1,10,70,059d52fe-073c-45f5-8789-a032ac573a67
11,11,0,0,27,70,5875a9bb-2d61-4141-a4ca-6dc78854fdce
11,12,0,0,27,70,55ad389c-db1f-433c-bb80-87ed1543b4f3
11,27,0,0,78,233,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
11,111,0,0,75,70,68b53edc-4df1-4725-bec6-d1c823321387
11,112,0,0,75,70,e152e12b-016b-44f6-bb5e-c4d629253707
11,199,0,0,112,70,524803d3-bb03-4dc0-b16e-01a590c60b96
11,232,0,0,75,70,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
11,318,0,0,78,233,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
11,324,0,0,110,70,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
11,397,0,0,75,70,87d50ec4-f703-49ab-91cd-c6814674c229
11,398,0,0,75,70,e62f0415-9b8f-4462-98f4-c03b51e7887d
12,1,-1,1,11,70,029d0bf3-f332-4322-a9f4-67a6aff9033f
12,2,-1,1,11,70,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
12,3,-1,1,11,70,9f919337-fc52-461e-ad04-a696ec31297b
12,4,-1,1,11,70,059d52fe-073c-45f5-8789-a032ac573a67
12,5,-1,1,10,70,5875a9bb-2d61-4141-a4ca-6dc78854fdce
12,6,-1,1,10,59,55ad389c-db1f-433c-bb80-87ed1543b4f3
12,7,0,1,11,70,029d0bf3-f332-4322-a9f4-67a6aff9033f
12,8,0,1,11,70,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
12,9,0,1,11,70,9f919337-fc52-461e-ad04-a696ec31297b
12,10,0,1,11,70,059d52fe-073c-45f5-8789-a032ac573a67
12,11,0,1,10,70,5875a9bb-2d61-4141-a4ca-6dc78854fdce
12,12,0,1,10,59,55ad389c-db1f-433c-bb80-87ed1543b4f3
12,27,0,1,2,70,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
12,111,0,1,9,62,68b53edc-4df1-4725-bec6-d1c823321387
12,112,0,1,9,62,e152e12b-016b-44f6-bb5e-c4d629253707
12,199,0,1,5,70,524803d3-bb03-4dc0-b16e-01a590c60b96
12,232,0,1,9,62,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
12,318,0,1,2,70,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
12,324,0,1,5,70,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
12,397,0,1,9,62,87d50ec4-f703-49ab-91cd-c6814674c229
12,398,0,1,9,62,e62f0415-9b8f-4462-98f4-c03b51e7887d
13,1,-1,1,12,54,029d0bf3-f332-4322-a9f4-67a6aff9033f
13,2,-1,1,12,60,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
13,3,-1,1,12,60,9f919337-fc52-461e-ad04-a696ec31297b
13,4,-1,1,12,55,059d52fe-073c-45f5-8789-a032ac573a67
13,5,-1,1,11,66,5875a9bb-2d61-4141-a4ca-6dc78854fdce
13,6,-1,1,11,58,55ad389c-db1f-433c-bb80-87ed1543b4f3
13,7,0,1,12,54,029d0bf3-f332-4322-a9f4-67a6aff9033f
13,8,0,1,12,60,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
13,9,0,1,12,60,9f919337-fc52-461e-ad04-a696ec31297b
13,10,0,1,12,55,059d52fe-073c-45f5-8789-a032ac573a67
13,11,0,1,11,66,5875a9bb-2d61-4141-a4ca-6dc78854fdce
13,12,0,1,11,58,55ad389c-db1f-433c-bb80-87ed1543b4f3
13,27,0,0,65,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
13,111,0,0,65,100,68b53edc-4df1-4725-bec6-d1c823321387
13,112,0,0,65,100,e152e12b-016b-44f6-bb5e-c4d629253707
13,199,0,0,92,100,524803d3-bb03-4dc0-b16e-01a590c60b96
13,232,0,0,65,100,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
13,318,0,0,65,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
13,324,0,0,93,100,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
13,397,0,0,65,100,87d50ec4-f703-49ab-91cd-c6814674c229
13,398,0,0,65,100,e62f0415-9b8f-4462-98f4-c03b51e7887d
14,1,-1,1,13,60,029d0bf3-f332-4322-a9f4-67a6aff9033f
14,2,-1,1,13,60,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
14,3,-1,1,13,60,9f919337-fc52-461e-ad04-a696ec31297b
14,4,-1,1,13,60,059d52fe-073c-45f5-8789-a032ac573a67
14,5,-1,1,12,60,5875a9bb-2d61-4141-a4ca-6dc78854fdce
14,6,-1,1,12,60,55ad389c-db1f-433c-bb80-87ed1543b4f3
14,7,0,1,13,60,029d0bf3-f332-4322-a9f4-67a6aff9033f
14,8,0,1,13,60,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
14,9,0,1,13,60,9f919337-fc52-461e-ad04-a696ec31297b
14,10,0,1,13,60,059d52fe-073c-45f5-8789-a032ac573a67
14,11,0,1,12,60,5875a9bb-2d61-4141-a4ca-6dc78854fdce
14,12,0,1,12,60,55ad389c-db1f-433c-bb80-87ed1543b4f3
14,27,0,0,66,60,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
14,111,0,1,0,80,68b53edc-4df1-4725-bec6-d1c823321387
14,112,0,1,0,80,e152e12b-016b-44f6-bb5e-c4d629253707
14,199,0,0,94,60,524803d3-bb03-4dc0-b16e-01a590c60b96
14,232,0,1,0,80,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
14,318,0,0,66,60,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
14,324,0,0,95,60,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
14,397,0,1,0,80,87d50ec4-f703-49ab-91cd-c6814674c229
14,398,0,1,0,80,e62f0415-9b8f-4462-98f4-c03b51e7887d
15,1,-1,1,2,167,029d0bf3-f332-4322-a9f4-67a6aff9033f
15,2,-1,1,2,162,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
15,3,-1,1,2,187,9f919337-fc52-461e-ad04-a696ec31297b
15,4,-1,1,2,188,059d52fe-073c-45f5-8789-a032ac573a67
15,5,-1,1,2,182,5875a9bb-2d61-4141-a4ca-6dc78854fdce
15,6,-1,1,2,199,55ad389c-db1f-433c-bb80-87ed1543b4f3
15,7,0,1,2,167,029d0bf3-f332-4322-a9f4-67a6aff9033f
15,8,0,1,2,162,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
15,9,0,1,2,172,9f919337-fc52-461e-ad04-a696ec31297b
15,10,0,1,2,188,059d52fe-073c-45f5-8789-a032ac573a67
15,11,0,1,2,182,5875a9bb-2d61-4141-a4ca-6dc78854fdce
15,12,0,1,2,122,55ad389c-db1f-433c-bb80-87ed1543b4f3
15,27,0,1,0,250,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
15,111,0,0,83,1013,68b53edc-4df1-4725-bec6-d1c823321387
15,112,0,0,83,1013,e152e12b-016b-44f6-bb5e-c4d629253707
15,199,0,1,2,321,524803d3-bb03-4dc0-b16e-01a590c60b96
15,232,0,0,83,1013,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
15,318,0,1,0,250,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
15,324,0,1,2,321,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
15,397,0,0,83,1013,87d50ec4-f703-49ab-91cd-c6814674c229
15,398,0,0,83,1013,e62f0415-9b8f-4462-98f4-c03b51e7887d
16,1,-1,1,14,100,029d0bf3-f332-4322-a9f4-67a6aff9033f
16,2,-1,1,14,100,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
16,3,-1,1,14,148,9f919337-fc52-461e-ad04-a696ec31297b
16,4,-1,1,14,93,059d52fe-073c-45f5-8789-a032ac573a67
16,5,-1,1,13,100,5875a9bb-2d61-4141-a4ca-6dc78854fdce
16,6,-1,1,13,100,55ad389c-db1f-433c-bb80-87ed1543b4f3
16,7,0,1,14,100,029d0bf3-f332-4322-a9f4-67a6aff9033f
16,8,0,1,14,100,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
16,9,0,1,14,148,9f919337-fc52-461e-ad04-a696ec31297b
16,10,0,1,14,93,059d52fe-073c-45f5-8789-a032ac573a67
16,11,0,1,13,100,5875a9bb-2d61-4141-a4ca-6dc78854fdce
16,12,0,1,13,100,55ad389c-db1f-433c-bb80-87ed1543b4f3
16,27,0,0,79,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
16,111,0,1,13,86,68b53edc-4df1-4725-bec6-d1c823321387
16,112,0,1,13,86,e152e12b-016b-44f6-bb5e-c4d629253707
16,199,0,1,4,100,524803d3-bb03-4dc0-b16e-01a590c60b96
16,232,0,1,13,86,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
16,318,0,0,79,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
16,324,0,1,4,100,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
16,397,0,1,13,86,87d50ec4-f703-49ab-91cd-c6814674c229
16,398,0,1,13,86,e62f0415-9b8f-4462-98f4-c03b51e7887d
17,1,-1,0,23,200,029d0bf3-f332-4322-a9f4-67a6aff9033f
17,2,-1,0,30,200,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
17,3,-1,0,25,200,9f919337-fc52-461e-ad04-a696ec31297b
17,4,-1,0,30,200,059d52fe-073c-45f5-8789-a032ac573a67
17,5,-1,0,24,200,5875a9bb-2d61-4141-a4ca-6dc78854fdce
17,6,-1,0,24,200,55ad389c-db1f-433c-bb80-87ed1543b4f3
17,7,0,0,23,200,029d0bf3-f332-4322-a9f4-67a6aff9033f
17,8,0,0,30,200,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
17,9,0,0,25,200,9f919337-fc52-461e-ad04-a696ec31297b
17,10,0,0,30,200,059d52fe-073c-45f5-8789-a032ac573a67
17,11,0,0,24,200,5875a9bb-2d61-4141-a4ca-6dc78854fdce
17,12,0,0,24,200,55ad389c-db1f-433c-bb80-87ed1543b4f3
17,27,0,0,17,200,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
17,111,0,0,14,161,68b53edc-4df1-4725-bec6-d1c823321387
17,112,0,0,14,161,e152e12b-016b-44f6-bb5e-c4d629253707
17,199,0,0,36,200,524803d3-bb03-4dc0-b16e-01a590c60b96
17,232,0,0,14,161,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
17,318,0,0,17,200,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
17,324,0,0,36,200,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
17,397,0,0,14,161,87d50ec4-f703-49ab-91cd-c6814674c229
17,398,0,0,14,161,e62f0415-9b8f-4462-98f4-c03b51e7887d
18,1,-1,0,24,100,029d0bf3-f332-4322-a9f4-67a6aff9033f
18,2,-1,0,31,100,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
18,3,-1,0,26,100,9f919337-fc52-461e-ad04-a696ec31297b
18,4,-1,0,31,100,059d52fe-073c-45f5-8789-a032ac573a67
18,5,-1,0,25,100,5875a9bb-2d61-4141-a4ca-6dc78854fdce
18,6,-1,0,25,100,55ad389c-db1f-433c-bb80-87ed1543b4f3
18,7,0,0,24,100,029d0bf3-f332-4322-a9f4-67a6aff9033f
18,8,0,0,31,100,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
18,9,0,0,26,100,9f919337-fc52-461e-ad04-a696ec31297b
18,10,0,0,31,100,059d52fe-073c-45f5-8789-a032ac573a67
18,11,0,0,25,100,5875a9bb-2d61-4141-a4ca-6dc78854fdce
18,12,0,0,25,100,55ad389c-db1f-433c-bb80-87ed1543b4f3
18,27,0,0,18,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
18,111,0,0,82,104,68b53edc-4df1-4725-bec6-d1c823321387
18,112,0,0,82,104,e152e12b-016b-44f6-bb5e-c4d629253707
18,199,0,0,129,124,524803d3-bb03-4dc0-b16e-01a590c60b96
18,232,0,0,82,104,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
18,318,0,0,18,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
18,324,0,0,118,100,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
18,397,0,0,82,104,87d50ec4-f703-49ab-91cd-c6814674c229
18,398,0,0,82,104,e62f0415-9b8f-4462-98f4-c03b51e7887d
19,1,-1,0,25,100,029d0bf3-f332-4322-a9f4-67a6aff9033f
19,2,-1,0,32,100,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
19,3,-1,0,27,100,9f919337-fc52-461e-ad04-a696ec31297b
19,4,-1,0,32,100,059d52fe-073c-45f5-8789-a032ac573a67
19,5,-1,0,26,100,5875a9bb-2d61-4141-a4ca-6dc78854fdce
19,6,-1,0,26,100,55ad389c-db1f-433c-bb80-87ed1543b4f3
19,7,0,0,25,100,029d0bf3-f332-4322-a9f4-67a6aff9033f
19,8,0,0,32,100,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
19,9,0,0,27,100,9f919337-fc52-461e-ad04-a696ec31297b
19,10,0,0,32,100,059d52fe-073c-45f5-8789-a032ac573a67
19,11,0,0,26,100,5875a9bb-2d61-4141-a4ca-6dc78854fdce
19,12,0,0,26,100,55ad389c-db1f-433c-bb80-87ed1543b4f3
19,27,0,0,20,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
19,111,0,0,12,65,68b53edc-4df1-4725-bec6-d1c823321387
19,112,0,0,12,65,e152e12b-016b-44f6-bb5e-c4d629253707
19,199,0,0,81,100,524803d3-bb03-4dc0-b16e-01a590c60b96
19,232,0,0,12,65,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
