Documento,Orden,Etiqueta,EtiquetaPerso,Codigo,version,camponuevo,etiquetanueva
Expedientes,0,FaxOrganismo3EXPED,FaxOrganismo3EXPED,417,,organism_fax__3,Organismos_Fax
Expedientes,0,FechaEmbargoEXPED,FechaEmbargoEXPED,484,,,
Expedientes,0,LesionadoEXPED,LesionadoEXPED,726,,lesionad_lesionado__1,Lesionados_Nombre
Expedientes,0,DirecciónProcuradorContrario4EXPED,DirecciónProcuradorContrario4EXPED,139,,proccont_sdomiciliopro__4,Procuradores_Contrarios_Domicilio
Expedientes,0,PoblaciónProcuradorPropio3EXPED,PoblaciónProcuradorPropio3EXPED,185,,procpro_spoblacionpro__3,Procuradores_Propios_Poblacion
Expedientes,0,ProvinciaColaborador3EXPED,ProvinciaColaborador3EXPED,209,,colabora_sprovinciacol__3,Colaboradores_Provincia
Expedientes,0,FaxProcuradorContrarioEXPED,FaxProcuradorContrarioEXPED,423,,proccont_sfaxpro__1,Procuradores_Contrarios_Fax
Expedientes,0,EmailColaboradorEXPED,EmailColaboradorEXPED,295,,colabora_email__1,Colaboradores_Correo_Electronico
Expedientes,0,ProvinciaProcuradorPropio3EXPED,ProvinciaProcuradorPropio3EXPED,221,,procpro_sprovinciapro__3,Procuradores_Propios_Provincia
Expedientes,0,TeléfonoProcuradorPropioEXPED,TeléfonoProcuradorPropioEXPED,343,,procpro_stelefonopro__1,Procuradores_Propios_Telefono1
Expedientes,0,PoblaciónClientePropio4EXPED,PoblaciónClientePropio4EXPED,169,,clientes_spoblacioncli__4,Clientes_Poblacion
Expedientes,0,CPostalClientePropio4EXPED,CPostalClientePropio4EXPED,101,,clientes_scodpostalcli__4,Clientes_Codigo_Postal
Expedientes,0,PoblaciónOrganismo2EXPED,PoblaciónOrganismo2EXPED,176,,organism_poblacion__2,Organismos_Poblacion
Expedientes,0,EmailClientePropioEXPED,EmailClientePropioEXPED,291,,clientes_email__1,Clientes_Correo_Electronico
Facturas,0,Honorario-Dcto+IvaEuroFACTU,Honorario-Dcto+IvaEuroFACTU,446,a,,
Expedientes,0,EmailAbogadoPropio2EXPED,EmailAbogadoPropio2EXPED,1014,p,abogprop_email__2,Abogados_Propios_Correo_Electronico
Expedientes,0,MovilAbogadoPropio3EXPED,MovilAbogadoPropio3EXPED,1020,p,abogprop_smovilabo__3,Abogados_Propios_Movil
Expedientes,0,PagWebAbogadoPropio3EXPED,PagWebAbogadoPropio3EXPED,1024,p,abogprop_pagweb__3,Abogados_Propios_Pagina_Web
Expedientes,0,PagWebAbogadoPropioEXPED,PagWebAbogadoPropioEXPED,1026,p,abogprop_pagweb__1,Abogados_Propios_Pagina_Web
Expedientes,0,ProvinciaAbogadoPropio2EXPED,ProvinciaAbogadoPropio2EXPED,1031,p,abogprop_sprovinciaabo__2,Abogados_Propios_Provincia
Expedientes,0,Teléfono3AbogadoPropio3EXPED,Teléfono3AbogadoPropio3EXPED,1040,p,abogprop_telefono3__3,Abogados_Propios_Telefono3
Expedientes,0,Teléfono3AbogadoPropio4EXPED,Teléfono3AbogadoPropio4EXPED,1041,p,abogprop_telefono3__4,Abogados_Propios_Telefono3
Expedientes,0,Teléfono3AbogadoPropioEXPED,Teléfono3AbogadoPropioEXPED,1042,p,abogprop_telefono3__1,Abogados_Propios_Telefono3
Expedientes,0,TeléfonoAbogadoPropio3EXPED,TeléfonoAbogadoPropio3EXPED,1044,p,abogprop_stelefonoabo__3,Abogados_Propios_Telefono1
Expedientes,0,TeléfonoAbogadoPropioEXPED,TeléfonoAbogadoPropioEXPED,1046,p,abogprop_stelefonoabo__1,Abogados_Propios_Telefono1
Expedientes,0,FaxAbogadoPropio2EXPED,FaxAbogadoPropio2EXPED,1047,p,abogprop_sfaxabo__2,Abogados_Propios_Fax
Expedientes,0,FaxAbogadoPropioEXPED,FaxAbogadoPropioEXPED,1050,p,abogprop_sfaxabo__1,Abogados_Propios_Fax
Expedientes,0,SubUsuarioEXPED,SubUsuarioEXPED,1000,,subusu_nombre,Usuarios_Nombre
Expedientes,0,Num.Asunto1EXPED,Num.Asunto1EXPED,464,,,
Expedientes,0,Num.Asunto4EXPED,Num.Asunto4EXPED,467,,,
Expedientes,0,Num.Asunto3EXPED,Num.Asunto3EXPED,466,,,
Expedientes,0,NumeroEXPED,NumeroEXPED,156,,expedien_expediente,General_Expedientes_Numero_de_Expediente
Facturas,0,Derecho-ImporFACTU,Derecho-ImporFACTU,498,p,linefacthono_descripcion;linefacthono_salidaeuro;,Honorarios_Descripción;Honorarios_Salida;
Facturas,0,Derechos-Dcto+IvaEuroFACTU,Derechos-Dcto+IvaEuroFACTU,446,p,,
Facturas,0,Derechos-Dcto+IvaFACTU,Derechos-Dcto+IvaFACTU,433,p,,
Facturas,0,ImporteDerechosFACTU,ImporteDerechosFACTU,234,p,linefacthono_salidaeuro,Honorarios_Salida;
Facturas,0,IrpfDerechosEuroFACTU,IrpfDerechosEuroFACTU,325,p,facturas_TotalIrpfeuro,General_Facturas_Total_IRPF_Euro
Facturas,0,IrpfDerechosFACTU,IrpfDerechosFACTU,235,p,facturas_TotalIrpfeuro,General_Facturas_Total_IRPF_Euro
Facturas,0,IvaDerechosEuroFACTU,IvaDerechosEuroFACTU,326,p,facturas_TotalIvaEuro,General_Facturas_Total_Iva_Euro
Facturas,0,IvaDerechosFACTU,IvaDerechosFACTU,236,p,facturas_TotalIvaEuro,General_Facturas_Total_Iva_Euro
Facturas,0,ProvisionFondosEuroFACT,ProvisionFondosEuroFACT,327,p,facturas_totalprovisioneseuro,General_Facturas_Total_Provisiones_Euro
Facturas,0,Supli-ImporFACTU,Supli-ImporFACTU,500,p,linefactgas_descripcion;linefactgas_salidaeuro;,Suplidos_Descripción;Suplidos_Salida;
Facturas,0,TotalDerechosEuroFACTU,TotalDerechosEuroFACTU,329,p,facturas_totalderechoseuro,General_Facturas_Total_Derechos_Euros
Facturas,0,TotalSuplidosEuroFACTU,TotalSuplidosEuroFACTU,328,p,facturas_totalsuplidoseuro,General_Facturas_Total_Suplidos_Euro
Facturas,0,TotalSuplidosFACTU,TotalSuplidosFACTU,245,p,facturas_totalsuplidoseuro,General_Facturas_Total_Suplidos_Euro
Expedientes,0,NumColegiadoProcuradorContrario4EXPED,NumColegiadoProcuradorContrario4EXPED,1056,p,proccont_numcolegiado__4,Procuradores_Contrarios_numcolegiado
Clientes,0,NombreCLIE,NombreCLIE,8000,,clientes_snombrecli,General_Clientes_Nombre
Clientes,0,NifCLIE,NifCLIE,8001,,clientes_snifcli,General_Clientes_NIF/CIF
Clientes,0,DirecciónCLIE,DirecciónCLIE,8002,,clientes_sdomiciliocli,General_Clientes_Domicilio
Clientes,0,PoblaciónCLIE,PoblaciónCLIE,8003,,clientes_spoblacioncli,General_Clientes_Poblacion
Clientes,0,CPostalCLIE,CPostalCLIE,8004,,clientes_scodpostalcli,General_Clientes_Codigo_Postal
Clientes,0,ProvinciaCLIE,ProvinciaCLIE,8005,,clientes_sprovinciacli,General_Clientes_Provincia
Clientes,0,NacionalidadCLIE,NacionalidadCLIE,8006,,clientes_Nacionalidad,General_Clientes_Nacionalidad
Clientes,0,Teléfono1CLIE,Teléfono1CLIE,8007,,clientes_stelefonocli,General_Clientes_Telefono_1
Clientes,0,Teléfono2CLIE,Teléfono2CLIE,8008,,clientes_telefono2,General_Clientes_Telefono_2
Clientes,0,Teléfono3CLIE,Teléfono3CLIE,8009,,clientes_telefono3,General_Clientes_Telefono_3
Clientes,0,MóvilCLIE,MóvilCLIE,8011,,clientes_smovilcli,General_Clientes_Movil
Clientes,0,EmailCLIE,EmailCLIE,8012,,clientes_email,General_Clientes_Correo_Electronico
Expedientes,0,JuzgadoExhortadoEXPED,JuzgadoExhortadoEXPED,1057,p,,
Expedientes,0,JuzgadoExhortanteEXPED,JuzgadoExhortanteEXPED,1058,p,,
Facturas,0,HonorariosFACTU,HonorariosFACTU,232,a,linefacthono_descripcion;,Honorarios_Descripción;
Facturas,0,ImporteHonorariosFACTU,ImporteHonorariosFACTU,234,a,linefacthono_salidaeuro,Honorarios_Salida;
Expedientes,0,CiaDireccion2EXPED,CiaDireccion2EXPED,1065,,seguros_ciadireccion__2,Seguros_Dirección
Expedientes,0,CiaDireccion3EXPED,CiaDireccion3EXPED,1066,,seguros_ciadireccion__3,Seguros_Dirección
Expedientes,0,Conductor2EXPED,Conductor2EXPED,1073,,seguros_conductor__2,Seguros_Conductor
Expedientes,0,Conductor3EXPED,Conductor3EXPED,1074,,seguros_conductor__3,Seguros_Conductor
Expedientes,0,Tramitador1EXPED,Tramitador1EXPED,1076,,seguros_tramitador__1,Seguros_Tramitador
Expedientes,0,Tramitador2EXPED,Tramitador2EXPED,1077,,seguros_tramitador__2,Seguros_Tramitador
Expedientes,0,Tramitador3EXPED,Tramitador3EXPED,1078,,seguros_tramitador__3,Seguros_Tramitador
Expedientes,0,DniLesionado1EXPED,DniLesionado1EXPED,1080,,lesionad_dni__1,Lesionados_NIF
Expedientes,0,DniLesionado2EXPED,DniLesionado2EXPED,1081,,lesionad_dni__2,Lesionados_NIF
Expedientes,0,DniLesionado3EXPED,DniLesionado3EXPED,1082,,lesionad_dni__3,Lesionados_NIF
Expedientes,0,TelefonoLesionado1EXPED,TelefonoLesionado1EXPED,1084,,lesionad_telefono__1,Lesionados_Teléfono
Expedientes,0,TelefonoLesionado2EXPED,TelefonoLesionado2EXPED,1085,,lesionad_telefono__2,Lesionados_Teléfono
Expedientes,0,TelefonoLesionado3EXPED,TelefonoLesionado3EXPED,1086,,lesionad_telefono__3,Lesionados_Teléfono
Expedientes,0,F.Nac.Lesionado1EXPED,F.Nac.Lesionado1EXPED,1088,,lesionad_fechanac__1,Lesionados_Fecha_Nacimiento
Expedientes,0,F.Nac.Lesionado4EXPED,F.Nac.Lesionado4EXPED,1091,,lesionad_fechanac__4,Lesionados_Fecha_Nacimiento
Expedientes,0,DireccionLesionado1EXPED,DireccionLesionado1EXPED,1092,,lesionad_domicilio__1,Lesionados_Dirección
Expedientes,0,DireccionLesionado2EXPED,DireccionLesionado2EXPED,1093,,lesionad_domicilio__2,Lesionados_Dirección
Expedientes,0,DireccionLesionado3EXPED,DireccionLesionado3EXPED,1094,,lesionad_domicilio__3,Lesionados_Dirección
Expedientes,0,DireccionLesionado4EXPED,DireccionLesionado4EXPED,1095,,lesionad_domicilio__4,Lesionados_Dirección
Expedientes,0,PoblacionLesionado1EXPED,PoblacionLesionado1EXPED,1096,,lesionad_poblacion__1,Lesionados_Población
Expedientes,0,PoblacionLesionado2EXPED,PoblacionLesionado2EXPED,1097,,lesionad_poblacion__2,Lesionados_Población
Clientes,0,FechaActuacionCLIE,FechaActuacionCLIE,8103,,segcli_dfechaact;,Historial_Fecha_de_Actuacion;
Expedientes,0,PoblaciónProcuradorContrario3EXPED,PoblaciónProcuradorContrario3EXPED,181,,proccont_spoblacionpro__3,Procuradores_Contrarios_Poblacion
Expedientes,0,ClienteContrario2EXPED,ClienteContrario2EXPED,79, ,cliecont_snombreclicon__2,Contrarios_Nombre
Expedientes,0,MovilAbogadoContrario4EXPED,MovilAbogadoContrario4EXPED,517,,abogcont_smovilabo__4,Abogados_Contrarios_Movil
Expedientes,0,TeléfonoClienteContrario2EXPED,TeléfonoClienteContrario2EXPED,352,,cliecont_telefono__2,Contrarios_Telefono1
Expedientes,0,Cía.Seguros2EXPED,Cía.Seguros2EXPED,559,,seguros_ciaseguros__2,Seguros_Compañía_Seguros
Expedientes,0,Teléfono2AbogadoContrario2EXPED,Teléfono2AbogadoContrario2EXPED,609,,abogcont_telefono2__2,Abogados_Contrarios_Telefono2
Expedientes,0,NumSiniestro1EXPED,NumSiniestro1EXPED,157,,seguros_numsiniestro__1,Seguros_Número_Siniestro
Expedientes,0,FaxProcuradorContrario3EXPED,FaxProcuradorContrario3EXPED,421,,proccont_sfaxpro__3,Procuradores_Contrarios_Fax
Expedientes,0,EmailClientePropio2EXPED,EmailClientePropio2EXPED,292,,clientes_email__2,Clientes_Correo_Electronico
Expedientes,0,FaxColaborador3EXPED,FaxColaborador3EXPED,413,,colabora_sfaxcol__3,Colaboradores_Fax
Expedientes,0,MovilClientePropioEXPED,MovilClientePropioEXPED,526,,clientes_smovilcli__1,Clientes_Movil
Expedientes,0,Teléfono3Organismo4EXPED,Teléfono3Organismo4EXPED,664,,organism_telefono3__4,Organismos_Telefono3
Expedientes,0,Teléfono2ProcuradorContrarioEXPED,Teléfono2ProcuradorContrarioEXPED,666,,proccont_telefono2__1,Procuradores_Contrarios_Telefono2
Expedientes,0,Tomador3EXPED,Tomador3EXPED,545,,seguros_tomador__3,Seguros_Tomador
Expedientes,1,Perso3EXPED,Perso3EXPED,692,,expedien_perso3,General_Expedientes_Perso3
Expedientes,1,Perso95EXPED,Perso95EXPED,747,,expedien_perso95,General_Expedientes_Perso95
Expedientes,0,TeléfonoAbogadoContrarioEXPED,TeléfonoAbogadoContrarioEXPED,347,,abogcont_stelefonoabo__1,Abogados_Contrarios_Telefono1
Expedientes,0,PoblaciónColaborador4EXPED,PoblaciónColaborador4EXPED,173,,colabora_spoblacioncol__4,Colaboradores_Poblacion
Expedientes,1,PersoFecha2EXPED,PersoFecha2EXPED,701,,expedien_persofecha2,General_Expedientes_PersoFecha2
Expedientes,0,ActuacionEXPED,ActuacionEXPED,76,,segexp_sactuacion;,Historial_Actuacion;
Expedientes,0,CPostalOrganismo4EXPED,CPostalOrganismo4EXPED,109,,organism_codpostal__4,Organismos_Codigo_Postal
Expedientes,0,DirecciónOrganismoEXPED,DirecciónOrganismoEXPED,136,,organism_domicilio__1,Organismos_Domicilio
Expedientes,0,FaxColaboradorEXPED,FaxColaboradorEXPED,415,,colabora_sfaxcol__1,Colaboradores_Fax
Comunes,21,FechaActuacionEXPED,FechaActuacionEXPED,424,,,
Comunes,1,DirecciónClientePropioEXPED,DirecciónClientePropioEXPED,128,,,
Expedientes,0,CPostalClientePropioEXPED,CPostalClientePropioEXPED,102,,clientes_scodpostalcli__1,Clientes_Codigo_Postal
Expedientes,0,CuantiaCostasEXPED,CuantiaCostasEXPED,540,,expedien_costas,General_Expedientes_Costas
Expedientes,0,Teléfono3ClientePropio4EXPED,Teléfono3ClientePropio4EXPED,640,,clientes_telefono3__4,Clientes_Telefono_3
Expedientes,0,TeléfonoAbogadoContrario4EXPED,TeléfonoAbogadoContrario4EXPED,350,,abogcont_stelefonoabo__4,Abogados_Contrarios_Telefono1
Expedientes,0,TeléfonoProcuradorContrarioEXPED,TeléfonoProcuradorContrarioEXPED,367,,proccont_stelefonopro__1,Procuradores_Contrarios_Telefono1
Expedientes,0,NifClienteContrario2EXPED,NifClienteContrario2EXPED,147,,cliecont_nifclicon__2,Contrarios_NIF/CIF
Expedientes,0,ProvinciaJuzgado2EXPED,ProvinciaJuzgado2EXPED,567,,juzgado_provincia__2,Juzgados_Provincia
Expedientes,0,Teléfono2AbogadoContrario4EXPED,Teléfono2AbogadoContrario4EXPED,615,,abogcont_telefono2__4,Abogados_Contrarios_Telefono2
Expedientes,0,Teléfono2Colaborador3EXPED,Teléfono2Colaborador3EXPED,648,,colabora_telefono2__3,Colaboradores_Telefono2
Expedientes,0,PoblaciónAbogadoContrario4EXPED,PoblaciónAbogadoContrario4EXPED,164,,abogcont_spoblacionabo__4,Abogados_Contrarios_Poblacion
Expedientes,0,PoblaciónOrganismo3EXPED,PoblaciónOrganismo3EXPED,177,,organism_poblacion__3,Organismos_Poblacion
Expedientes,0,Teléfono3Colaborador3EXPED,Teléfono3Colaborador3EXPED,649,,colabora_telefono3__3,Colaboradores_Telefono3
Expedientes,0,TeléfonoProcuradorPropio2EXPED,TeléfonoProcuradorPropio2EXPED,344,,procpro_stelefonopro__2,Procuradores_Propios_Telefono1
Expedientes,0,Tomador4EXPED,Tomador4EXPED,546,,seguros_tomador__4,Seguros_Tomador
Expedientes,0,FaxColaborador2EXPED,FaxColaborador2EXPED,412,,colabora_sfaxcol__2,Colaboradores_Fax
Facturas,0,NifFacturaFACTU,NifFacturaFACTU,237,,facturas_nifcli,General_Facturas_NIF/CIF_Cliente
Facturas,0,TotalLetraFACTU,TotalLetraFACTU,247,,facturas_TotalEuro,General_Facturas_Total_Euro
Mailing,0,NifMAIL,NifMAIL,454,,NifMAIL,Mailing_NIF
Mailing,0,NombreMAIL,NombreMAIL,447,,NombreMAIL,Mailing_Nombre
Varios,0,NombreSubUsuarioVARIO,NombreSubUsuarioVARIO,570,,,
Varios,0,NombreUsuarioVARIO,NombreUsuarioVARIO,254,,director_snombreprocu,Empresa_Nombre
Varios,0,PoblaciónUsuarioVARIO,PoblaciónUsuarioVARIO,255,,director_poblacion,Empresa_Población
Varios,0,ProvinciaUsuarioVARIO,ProvinciaUsuarioVARIO,256,,director_provincia,Empresa_Provincia
Expedientes,0,DirecciónAbogadoPropio2EXPED,DirecciónAbogadoPropio2EXPED,1010,p,abogprop_sdomicilioabo__2,Abogados_Propios_Domicilio
Expedientes,0,EmailAbogadoPropioEXPED,EmailAbogadoPropioEXPED,1017,p,abogprop_email__1,Abogados_Propios_Correo_Electronico
Expedientes,0,PagWebAbogadoPropio2EXPED,PagWebAbogadoPropio2EXPED,1023,p,abogprop_pagweb__2,Abogados_Propios_Pagina_Web
Expedientes,0,PagWebAbogadoPropio4EXPED,PagWebAbogadoPropio4EXPED,1025,p,abogprop_pagweb__4,Abogados_Propios_Pagina_Web
Expedientes,0,Teléfono2AbogadoPropio2EXPED,Teléfono2AbogadoPropio2EXPED,1035,p,abogprop_telefono2__2,Abogados_Propios_Telefono2
Expedientes,0,Teléfono2AbogadoPropioEXPED,Teléfono2AbogadoPropioEXPED,1038,p,abogprop_telefono2__1,Abogados_Propios_Telefono2
Facturas,0,TotalDerechosFACTU,TotalDerechosFACTU,246,p,facturas_totalderechoseuro,General_Facturas_Total_Derechos_Euros
Expedientes,0,CiaDireccion1EXPED,CiaDireccion1EXPED,1064,,seguros_ciadireccion__1,Seguros_Dirección
Expedientes,0,TelefonoLesionado4EXPED,TelefonoLesionado4EXPED,1087,,lesionad_telefono__4,Lesionados_Teléfono
Expedientes,0,F.Nac.Lesionado3EXPED,F.Nac.Lesionado3EXPED,1090,,lesionad_fechanac__3,Lesionados_Fecha_Nacimiento
Expedientes,0,CPostalLesionado2EXPED,CPostalLesionado2EXPED,1101,,lesionad_cpostal__2,Lesionados_Código_Postal
Expedientes,0,ProvinciaLesionado2EXPED,ProvinciaLesionado2EXPED,1105,,lesionad_provincia__2,Lesionados_Provincia
Expedientes,0,TeléfonoOrganismo2EXPED,TeléfonoOrganismo2EXPED,364,,organism_telefono__2,Organismos_Telefono1
Expedientes,0,Teléfono2ClienteContrario2EXPED,Teléfono2ClienteContrario2EXPED,621,,cliecont_telefono2__2,Contrarios_Telefono2
Expedientes,0,EmailProcuradorContrario3EXPED,EmailProcuradorContrario3EXPED,305,,proccont_email__3,Procuradores_Contrarios_Correo_Electroni
Expedientes,0,DirecciónClienteContrario2EXPED,DirecciónClienteContrario2EXPED,259,,cliecont_domicilio__2,Contrarios_Domicilio
Expedientes,0,DirecciónClientePropioEXPED,DirecciónClientePropioEXPED,128,,clientes_sdomiciliocli__1,Clientes_Domicilio
Expedientes,0,FechaSeñalaUltActuEXPED,FechaSeñalaUltActuEXPED,426,,,
Expedientes,0,NumPoliza1EXPED,NumPoliza1EXPED,265,,seguros_numpoliza__1,Seguros_Número_Póliza
Expedientes,0,PoblaciónClienteContrario2EXPED,PoblaciónClienteContrario2EXPED,262,,cliecont_poblacion__2,Contrarios_Poblacion
Expedientes,0,PoblaciónJuzgado3EXPED,PoblaciónJuzgado3EXPED,474,,juzgado_poblacionjuz__3,Juzgados_Poblacion
Expedientes,0,Matricula2EXPED,Matricula2EXPED,556,,seguros_matricula__2,Seguros_Matrícula
Expedientes,0,MovilClienteContrario2EXPED,MovilClienteContrario2EXPED,519,,cliecont_movil__2,Contrarios_Movil
Expedientes,0,Teléfono2Organismo3EXPED,Teléfono2Organismo3EXPED,660,,organism_telefono2__3,Organismos_Telefono2
Expedientes,1,Perso10EXPED,Perso10EXPED,699,,expedien_perso10,General_Expedientes_Perso10
Expedientes,1,Perso96EXPED,Perso96EXPED,748,,expedien_perso96,General_Expedientes_Perso96
Expedientes,0,PoblaciónAbogadoContrarioEXPED,PoblaciónAbogadoContrarioEXPED,165,,abogcont_spoblacionabo__1,Abogados_Contrarios_Poblacion
Expedientes,0,MovilClienteContrario4EXPED,MovilClienteContrario4EXPED,521,,cliecont_movil__4,Contrarios_Movil
Expedientes,0,Cía.Seguros1EXPED,Cía.Seguros1EXPED,78,,seguros_ciaseguros__1,Seguros_Compañía_Seguros
Expedientes,0,CPostalJuzgado2EXPED,CPostalJuzgado2EXPED,563,,juzgado_codpostal__2,Juzgados_Codigo_Postal
Expedientes,0,EmailProcuradorContrarioEXPED,EmailProcuradorContrarioEXPED,303,,proccont_email__1,Procuradores_Contrarios_Correo_Electroni
Expedientes,0,PoblaciónColaboradorEXPED,PoblaciónColaboradorEXPED,174,,colabora_spoblacioncol__1,Colaboradores_Poblacion
Expedientes,0,FaxOrganismo2EXPED,FaxOrganismo2EXPED,416,,organism_fax__2,Organismos_Fax
Expedientes,0,NumPoliza3EXPED,NumPoliza3EXPED,551,,seguros_numpoliza__3,Seguros_Número_Póliza
Expedientes,0,MovilColaborador3EXPED,MovilColaborador3EXPED,528,,colabora_smovilcol__3,Colaboradores_Movil
Expedientes,0,MovilClientePropio2EXPED,MovilClientePropio2EXPED,523,,clientes_smovilcli__2,Clientes_Movil
Expedientes,0,PoblaciónOrganismoEXPED,PoblaciónOrganismoEXPED,179,,organism_poblacion__1,Organismos_Poblacion
Expedientes,0,Teléfono2ClienteContrario3EXPED,Teléfono2ClienteContrario3EXPED,624,,cliecont_telefono2__3,Contrarios_Telefono2
Expedientes,0,Teléfono2ClienteContrarioEXPED,Teléfono2ClienteContrarioEXPED,618,,cliecont_telefono2__1,Contrarios_Telefono2
Expedientes,0,CPostalJuzgado4EXPED,CPostalJuzgado4EXPED,565,,juzgado_codpostal__4,Juzgados_Codigo_Postal
Expedientes,0,Matricula3EXPED,Matricula3EXPED,557,,seguros_matricula__3,Seguros_Matrícula
Expedientes,0,MovilColaborador4EXPED,MovilColaborador4EXPED,529,,colabora_smovilcol__4,Colaboradores_Movil
Expedientes,0,PoblaciónAbogadoContrario3EXPED,PoblaciónAbogadoContrario3EXPED,163,,abogcont_spoblacionabo__3,Abogados_Contrarios_Poblacion
Expedientes,0,MovilColaborador2EXPED,MovilColaborador2EXPED,527,,colabora_smovilcol__2,Colaboradores_Movil
Expedientes,0,Teléfono3ClienteContrario2EXPED,Teléfono3ClienteContrario2EXPED,622,,cliecont_telefono3__2,Contrarios_Telefono3
Expedientes,0,Teléfono3AbogadoContrarioEXPED,Teléfono3AbogadoContrarioEXPED,607,,abogcont_telefono3__1,Abogados_Contrarios_Telefono3
Expedientes,1,PersoFecha3EXPED,PersoFecha3EXPED,702,,expedien_persofecha3,General_Expedientes_PersoFecha3
Expedientes,0,PagWebClientePropio4EXPED,PagWebClientePropio4EXPED,641,,clientes_pagweb__4,Clientes_Pagina_Web
Expedientes,0,CPostalOrganismo2EXPED,CPostalOrganismo2EXPED,107,,organism_codpostal__2,Organismos_Codigo_Postal
Expedientes,0,EmailColaborador3EXPED,EmailColaborador3EXPED,297,,colabora_email__3,Colaboradores_Correo_Electronico
Expedientes,0,NotasContrarioEXPED,NotasContrarioEXPED,730,,cliecont_notas__1,Contrarios_Notas
Expedientes,0,NumSiniestro2EXPED,NumSiniestro2EXPED,553,,seguros_numsiniestro__2,Seguros_Número_Siniestro
Expedientes,0,NumSiniestro4EXPED,NumSiniestro4EXPED,555,,seguros_numsiniestro__4,Seguros_Número_Siniestro
Expedientes,0,PagWebAbogadoContrarioEXPED,PagWebAbogadoContrarioEXPED,608,,abogcont_pagweb__1,Abogados_Contrarios_Pagina_Web
Expedientes,0,PagWebOrganismo2EXPED,PagWebOrganismo2EXPED,659,,organism_pagweb__2,Organismos_Pagina_Web
Expedientes,0,NotasEXPED,NotasEXPED,277,,expedien_notas,General_Expedientes_Notas
Expedientes,0,ProcuradorContrario4EXPED,ProcuradorContrario4EXPED,190,,proccont_snombrepro__4,Procuradores_Contrarios_Nombre
Expedientes,0,ProvinciaProcuradorContrario4EXPED,ProvinciaProcuradorContrario4EXPED,218,,proccont_sprovinciapro__4,Procuradores_Contrarios_Provincia
Expedientes,0,Tomador1EXPED,Tomador1EXPED,489,,seguros_tomador__1,Seguros_Tomador
Comunes,5,TeléfonoClientePropioEXPED,TeléfonoClientePropioEXPED,355,,,
Expedientes,0,FaxProcuradorPropio3EXPED,FaxProcuradorPropio3EXPED,401,,procpro_sfaxpro__3,Procuradores_Propios_Fax
Expedientes,0,PoblaciónClientePropioEXPED,PoblaciónClientePropioEXPED,170,,clientes_spoblacioncli__1,Clientes_Poblacion
Expedientes,0,PoblaciónOrganismo4EXPED,PoblaciónOrganismo4EXPED,178,,organism_poblacion__4,Organismos_Poblacion
Expedientes,0,PoblaciónProcuradorContrario4EXPED,PoblaciónProcuradorContrario4EXPED,182,,proccont_spoblacionpro__4,Procuradores_Contrarios_Poblacion
Expedientes,0,PropietarioSegur2EXPED,PropietarioSegur2EXPED,735,,seguros_propietario__2,Seguros_Propietario
Expedientes,0,PropietarioSegur3EXPED,PropietarioSegur3EXPED,736,,seguros_propietario__3,Seguros_Propietario
