idconsulta,Codusu,fechaconsulta,tipoconsulta,nombre,orden,operacion,idtipogestor,campoOrdenacion,basedatos,idcarpeta,campoFecha,desde,hasta,mantenerFecha,campoFechaAnterior,desdeAnterior,hastaAnterior,mantenerFechaAnterior,basedatosAnterior,operacionAnterior,columnaOrden,tipoOrden,guidConsulta,idgrupo,desde2,hasta2,desestimarAnno,paneles,anchoH,anchoV,empresas,maximo,favorito,modoConsultaLlamada,idCuadroMandos,verVistaPreviaDocs,objetivoConsulta,periodo,etiquetaIndicador1,etiquetaIndicador2,etiquetaIndicador3,etiquetaIndicador4,ponderacion,idCampana,notas,categoria,idAvisoCRM,numEmpresa
11,0,2012-12-14 12:38:24.587000,0,Correos,5,0,-1,,,,dfechaact,2014-01-01 00:00:00,2014-12-31 00:00:00,1,,,,,,,Actuacion,2,8a0fc6e3-68d2-43be-855b-ca988cbbc565,,,,0,,,,,,,,,False,,3,,,,,,,,,,
12,0,2012-12-14 12:38:24.757000,0,Proveedores,6,0,-1,,7,,dfechaact,2014-01-01 00:00:00,2014-12-31 00:00:00,1,,,,,,,Actuacion,2,b3434f71-4ae7-4b8f-bf70-0a06f58a30fc,,,,0,,,,,,,,,False,,3,,,,,,,,,,
13,,2012-11-22 09:38:42,1,Total previsiones sin cobrar,2,0,6,,,,fechagasing,2012-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,4da18a9c-a55e-464e-9323-b262be8b91cb,,,,,,,,,,,,,False,,3,,,,,,,,,,
14,,2012-12-03 15:54:30,1,Impagados Pendientes,3,0,6,,,,fechaimpagado,2012-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,45c0742d-b666-4773-9600-145d5ea4daa9,,,,,,,,,,,,,False,,3,,,,,,,,,,
15,,2012-11-22 10:01:47,1,Previsiones cobradas sin Facturar,4,0,6,,,,fecharealizada,2012-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,16fbf0a6-f08e-49b5-84aa-83d4d07bdcc6,,,,,,,,,,,,,False,,3,,,,,,,,,,
16,,2012-11-22 10:09:17,1,Otros Cobros realizados,5,0,6,,,,fecharealizada,2012-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,11296047-76f2-4ee2-84b0-9339c554bbcc,,,,,,,,,,,,,False,,3,,,,,,,,,,
17,,2012-12-03 15:56:17,1,Previsión anual 2013,6,0,6,,,,fechagasing,2013-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,77a53572-e131-4139-8e50-d09c9dbb6352,,,,,,,,,,,,,False,,3,,,,,,,,,,
18,0,2012-12-14 12:38:56.957000,0,Total previsiones sin cobrar,1,0,-6,,,,fechagasing,2012-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,2809e847-a865-4b99-94a6-b254b6ffad5f,,,,,,,,,,,,,False,,3,,,,,,,,,,
19,0,2012-12-14 12:38:57.067000,0,Impagados Pendientes,2,0,-6,,,,fechaimpagado,2012-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,8af0d4b5-5784-4621-84b4-306315b9313e,,,,,,,,,,,,,False,,3,,,,,,,,,,
20,0,2012-12-14 12:38:57.143000,0,Previsiones cobradas sin Facturar,3,0,-6,,,,fecharealizada,2012-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,d5421411-1a9f-4d8d-a3ec-a360b552dcb4,,,,,,,,,,,,,False,,3,,,,,,,,,,
21,0,2012-12-14 12:38:57.207000,0,Otros Cobros realizados,4,0,-6,,,,fecharealizada,2012-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,3964cb47-d03e-4ef6-9ac2-99924525dc6a,,,,,,,,,,,,,False,,3,,,,,,,,,,
22,0,2012-12-14 12:38:57.363000,0,Previsión anual 2013,5,0,-6,,,,fechagasing,2013-01-01 00:00:00,2013-12-31 00:00:00,1,,,,,,,Cliente,2,39564353-91aa-4e51-a440-d4ba0832b7e1,,,,,,,,,,,,,False,,3,,,,,,,,,,
23,0,2021-04-27 18:38:16.267000,1001,P. Preferentes (Mayor Facturación),9,0,-38,,,,,,,0,,,,,,,,2,e13c5358-5972-45e1-8dcf-59b949fe07c7,-71,,,,,,,,,,,,False,,,,,,,,,,,,
24,0,2021-04-27 18:38:16.987000,2,Todos,0,0,-31,,,,,,,0,,,,,,,,,89574149-a233-4e2c-a217-5fa1e35dfd6e,1,,,,,,,,,,,,False,,,,,,,,,,,,
25,0,2021-04-27 18:38:17.387000,2,Todos,0,0,-30,,,,,,,0,,,,,,,,,b8a5944e-461e-4b8e-9fbf-eff213709816,1,,,,,,,,,,,,False,,,,,,,,,,,,
26,0,2021-04-27 18:38:17.837000,2,Todos,0,0,-38,,,,,,,0,,,,,,,,,6ab19645-c546-4a85-b68a-7d6198ee6a16,1,,,,,,,,,,,,False,,,,,,,,,,,,
27,0,2021-04-28 13:28:36.427000,1001,Seguimiento Postoperatorios - ultimos 7 días,9,0,-1,,,,dfechaact,2018-10-01 09:26:59,2018-10-31 09:26:59,1,,,,,,,Actuacion,2,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb,-1,,,0,,,,,,,,,False,,3,,,,,,,,,,
28,,2013-05-07 11:12:52,1,Pólizas en Prospección,2,0,5,,,,fechavencimiento,2017-01-01 12:32:40,2018-12-31 12:32:40,1,,,,,,,Fecha Alarma,1,237d48e8-695b-44eb-b33f-4d2aa8a0df72,,,,,,,,,0,,,,False,,3,,,,,,,,,,
29,,2013-05-10 12:32:38,1,Pólizas en Cartera,3,0,5,,,,fechacontacto,2017-01-01 12:47:59,2018-12-31 12:47:59,1,,,,,,,Fecha de Vencimiento,2,d0f5d66f-c519-4c0a-a833-b923affe6cae,,,,,,,,,0,,,,False,,3,,,,,,,,,,
30,0,2021-04-28 13:28:45.083000,1001,Recibos Remesados,0,0,-6,,,,fechagasing,2019-01-01 00:00:00,2019-12-31 00:00:00,0,,,,,,,Cliente,1,b1361a62-f465-4aaf-b34b-513859ec2039,-13,,,0,,,,,,,,,False,,,,,,,,,,,,
31,,2012-11-21 14:03:48,1,Total de cobros,2,0,8,,,,dfechacobro,2011-01-01 10:47:59,2012-11-22 10:47:59,1,,,,,,,Paciente,2,9ce25825-18ea-442b-9165-d3a20b697dfa,,,,,,,,,0,,,,False,,3,,,,,,,,,,
32,,2012-11-22 10:49:37,1,Cobros pendientes de cobrar,3,0,8,,,,dfechacobro,,,,,,,,,,Paciente,1,d5676626-a48f-4bf1-8b9b-1890cdb1305a,,,,,,,,,0,,,,False,,,,,,,,,,,,
33,,2012-11-22 10:50:10,1,Cobros pendientes de facturar,4,0,8,,,,dfechacobro,,,,,,,,,,Mutua,2,180a778b-ec1e-443c-90bf-333e7aa766e7,,,,,,,,,0,,,,False,,,,,,,,,,,,
34,,2015-04-22 18:04:08,1,Tratamientos realizados,2,0,17,,,,fechaAlta,2015-01-01 16:22:42,2016-01-20 16:22:42,1,,,,,,,,2,c0787af9-e101-4adc-bb17-6e3ff9e39c45,,,,,,,,,0,,,,False,,3,,,,,,,,,,
35,,2015-04-22 18:00:33,1,Tratamientos Pendientes,3,0,17,,,,fechaAlta,2015-01-01 18:00:34,2015-12-30 18:00:34,1,,,,,,,,2,edfccdd6-0da8-48e3-88d2-6d0a0ab183cc,,,,,,,,,0,,,,False,,3,,,,,,,,,,
43,0,2021-01-12 16:05:43.380000,1001,Oportunidades Abiertas,0,0,-2,,,,dfecha,,,,,,,,,,snombrecli,2,2553df13-e568-4486-aba8-c2f736db28cf,-4,,,,,,,,0,,,,False,,10,,,,,,,,,,
44,0,2021-01-12 16:05:43.523000,1001,Cierres día,0,0,-2,,,,fechaseguimiento,,,,,,,,,,snombrecli,2,0a137c4c-95a8-4d3c-ab6d-62007e08ca48,-4,,,,,,,,0,,,,False,,0,,,,,,,,,,
45,0,2021-01-12 16:05:43.660000,1001,Presupuestos abiertos,0,0,-2,,,,fechapresupuesto,,,,,,,,,,snombrecli,2,06570de7-80dd-47d1-a5f7-24d3e7e237dc,-4,,,,,,,,0,,,,False,,10,,,,,,,,,,
46,0,2021-01-12 16:05:44.133000,1001,Ventas,0,0,-2,,,,fechacierre,,,,,,,,,,snombrecli,2,559c3ef9-473c-4178-a74f-30ee8c539456,-4,,,,,,,,0,,,,False,,7,,,,,,,,,,
47,0,2021-01-12 16:05:44.293000,1001,Oportunidades perdidas,0,0,-2,,,,fechacierre,,,,,,,,,,snombrecli,2,b968d1e7-b0e2-4e66-b199-337f6a45aaef,-4,,,,,,,,0,,,,False,,7,,,,,,,,,,
51,0,2015-03-30 19:45:38.443000,0,Control de Cuentas,1,0,-3,,,,dfecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,Cliente,2,d04f828e-3032-49af-b8fc-4d02cde1fc66,-6,,,0,,,,,0,,,,False,,10,,,,,,,,,,
53,0,2015-06-19 10:41:44.617000,0,Medicación Alta,1,0,-12,,,,PersoFecha1,2015-01-01 10:41:47.677000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,8a14f385-b3a6-4b0f-942b-f0e1a7b3e941,0,,,0,,,,,0,,,,False,,3,,,,,,,,,,
54,0,2015-06-19 10:47:37.993000,0,Desayuno,2,0,-12,,,,PersoFecha1,2015-01-01 10:47:38.787000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,e37acbd0-bf9f-4d56-853f-6c86f33347b8,-24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
55,0,2015-06-19 10:48:02.530000,0,Merienda,3,0,-12,,,,PersoFecha1,2015-01-01 10:48:03.403000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,66f4e1fc-74c2-4f39-ab67-0e6f35c49c19,-24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
56,0,2015-06-19 10:49:15.417000,0,Cena,4,0,-12,,,,PersoFecha1,2013-01-01 10:49:16.150000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,b23ad728-fe29-45e5-b1bc-e643ca56598f,-24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
57,0,2019-01-15 10:46:16.327000,0,Antiinflamatorios,5,0,-12,,,,PersoFecha1,2018-01-01 10:46:25.310000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,9cffebc3-7b5b-48fd-a5ae-5ea8e70e005b,-24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
58,0,2019-01-15 10:50:00.843000,0,Motivo: Dolor,6,0,-12,,,,PersoFecha1,2019-01-01 10:50:00.967000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,6b650180-db27-4a20-981f-1e9647551747,-24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
59,0,2015-03-30 19:58:29.850000,0,Entradas,1,0,-13,,,,fecha,2015-01-01 19:58:30.787000,2020-12-31 00:00:00,1,,,,,,,,2,8e4bd468-4e99-4ef1-8efe-0852987b4de2,0,,,0,,,,,0,,,,False,,3,,,,,,,,,,
60,0,2015-03-30 19:59:59.373000,0,Salidas,2,0,-13,,,,fecha,2016-01-01 20:00:00.073000,2020-09-30 00:00:00,1,,,,,,,,2,b007c59f-610b-4ed0-9195-425f1b21911e,-25,,,0,,,,,0,,,,False,,3,,,,,,,,,,
61,0,2016-08-01 10:49:42.437000,0,[Nueva],1,0,-18,,,,dfecha,,,,,,,,,,,2,3cadd940-75ec-4867-87be-3fb3e1dabbf8,0,,,,,,,,0,,,,False,,,,,,,,,,,,
62,0,2016-07-13 17:04:29.737000,0,Todos los Artículos,1,0,-20,,,,,,,,,,,,,,Almacén,2,673b100a-d807-42d9-80db-e05d3bfd9ffd,-44,,,,,,,,0,,,,False,,,,,,,,,,,,
63,0,2016-07-13 17:04:41.380000,0,Artículos en Promoción,0,0,-20,,,,,,,,,,,,,,,2,53388fbe-d761-4464-a503-a59f89baaa4f,-44,,,,,,,,0,,,,False,,,,,,,,,,,,
64,0,2016-07-13 17:04:51.333000,0,Últimas Unidades,3,0,-20,,,,fecha,,,,,,,,,,,2,2cd7c363-56c8-4045-ba81-da4fe79df758,-44,,,,,,,,0,,,,False,,,,,,,,,,,,
65,0,2016-07-13 17:04:57.950000,0,Bajo Stock Minimo,0,0,-20,,,,,,,,,,,,,,,2,522aefda-e555-4449-bd87-044a3f231392,-44,,,,,,,,0,,,,False,,,,,,,,,,,,
66,0,2017-02-03 11:59:29.457000,0,En stock,0,0,-20,,,,,,,,,,,,,,,2,6cd3e82d-78d9-46ab-ae37-7b440d614d95,-44,,,,,,,,0,,,,False,,,,,,,,,,,,
67,0,2019-02-21 17:30:48.680000,2,Todos,0,0,-20,,,,,,,0,,,,,,,,,0068b70d-83ed-4843-bad6-64e56e1facc2,-44,,,,,,,,0,,,,False,,,,,,,,,,,,
68,0,2016-01-18 14:17:36.617000,0,Total Campaña,1,0,-21,,,,,2000-01-01 14:26:17,2020-01-01 14:26:17,1,,,,,,,estado,1,cc09e447-3e09-4fa9-a79f-84decf0d0c0f,,,,,,,,,0,,,,False,,3,,,,,,,,,,
69,0,2016-01-18 14:17:36.740000,0,Gestiones Abiertas,0,0,-21,,,,dfecha,2000-01-01 14:40:02,2020-01-01 14:40:02,1,,,,,,,,2,195a6300-16c9-4719-9407-4c19bf2d549e,,,,,,,,,0,,,,False,,3,,,,,,,,,,
70,0,2016-01-18 14:17:36.833000,0,Próximos Seguimientos,0,0,-21,,,,fechaseguimiento,2016-01-01 00:00:00,2020-01-31 00:00:00,1,,,,,,,,2,e0aa9c87-f2cc-4da0-8b69-cd6977868c61,,,,,,,,,0,,,,False,,3,,,,,,,,,,
71,0,2016-01-18 14:17:36.913000,0,Visitas Realizadas,0,0,-21,,,,campofecha1,2000-01-01 14:47:33,2020-01-07 00:00:00,1,,,,,,,,2,3f03feeb-dace-4a76-81c7-6cc9a9e56ac9,,,,,,,,,0,,,,False,,3,,,,,,,,,,
72,0,2016-01-18 14:17:36.960000,0,Presupuestos,0,0,-21,,,,fechapresupuesto,2016-01-01 00:00:00,2020-12-01 00:00:00,1,,,,,,,,2,461a03f8-2729-4dfe-bdac-d7cb075e8b43,,,,,,,,,0,,,,False,,3,,,,,,,,,,
73,0,2016-01-18 14:17:37.053000,0,Perdidas,0,0,-21,,,,fechacierre,2016-01-01 00:00:00,2020-01-31 00:00:00,1,,,,,,,,2,7494f304-0954-402a-9ae8-7e90075c2eff,,,,,,,,,0,,,,False,,3,,,,,,,,,,
74,0,2016-01-18 14:17:37.117000,0,Ventas,0,0,-21,,,,fechacierre,2016-01-01 00:00:00,2020-12-31 00:00:00,1,,,,,,,,2,780dc004-2b34-4690-8594-45d2ae61b66e,,,,,,,,,0,,,,False,,3,,,,,,,,,,
75,0,2016-01-18 14:17:37.177000,0,Vencimientos Mes,0,0,-21,,,,fechavencimiento,2000-01-01 14:59:38,2020-01-01 14:59:38,1,,,,,,,,2,b1156e85-2eb9-43f9-8db3-792872a32b6e,,,,,,,,,0,,,,False,,3,,,,,,,,,,
77,0,2016-09-28 10:09:15.100000,0,[Nueva],1,0,-25,,,,fecha,2016-09-01 15:45:03.423000,2020-12-31 00:00:00,1,,,,,,,,2,c585a1f9-bd4d-44a2-b842-ea0146899395,0,,,0,,,,,0,,,,False,,3,,,,,,,,,,
78,0,2016-10-05 11:00:31.323000,0,[Nueva],1,0,-26,,,,fecha,,,,,,,,,,,2,4ac891db-96e5-4dc3-9f1b-c283dea99f18,0,,,,,,,,0,,,,False,,,,,,,,,,,,
79,0,2016-10-05 11:04:55.483000,0,[Nueva],0,0,-27,,,,fecha,,,,,,,,,,,,ac122e0a-0016-4a4b-8501-48db6c7068cd,0,,,,,,,,0,,,,False,,,,,,,,,,,,
80,0,2016-08-11 12:04:59.970000,0,[Nueva],0,0,-28,,,,fecha,2017-02-02 11:28:43,2020-02-02 00:00:00,1,,,,,,,,2,8d4dfabe-aa1a-4706-b86d-e2280de2d1ab,0,,,0,,,,,0,,,,False,,3,,,,,,,,,,
82,0,2016-01-18 14:18:24.990000,1,Total Pacientes,0,0,-31,,62:374,,,2017-08-29 17:12:23.440000,2020-08-29 00:00:00,1,,,,,,,Act. Cancelas. Con Aviso,2,fb2e091e-0c6b-41a6-942f-260cbab665d4,,,,0,3,359,,,0,True,False,,False,,3,,,,,,,,,,
83,0,2016-01-18 14:18:25.210000,1,Pacientes de Alta,0,0,-31,,62:374,,,2018-01-29 11:03:32.830000,2020-01-29 00:00:00,1,,,,,,,estadocli,1,0a8c2a32-ad41-4966-a766-a4bc728183c0,,,,0,,,,,0,True,False,,False,,3,,,,,,,,,,
84,0,2016-01-18 14:18:25.583000,1,Pacientes Nuevos del Año,0,0,-31,,62:374,,,2017-08-29 17:12:24.550000,2020-08-29 00:00:00,1,,,,,,,,2,d27f4e2e-2264-4e26-8583-1b17732387b3,,,,0,,,,,0,True,,,False,,3,,,,,,,,,,
85,0,2016-01-18 14:18:25.740000,1,Pacientes Historial Dormido,0,0,-31,,62:374,,,2017-08-29 17:12:25.130000,2020-08-29 00:00:00,1,,,,,,,,2,c2b328fa-0bfa-43cc-b575-856c7e1b052d,,,,0,,,,,0,True,,,False,,3,,,,,,,,,,
88,0,2021-03-16 12:11:20.557000,0,Total Bonos,1,0,-34,,,,fechacaducidad,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,Número Bono,2,1d82bd6c-0e22-43f8-9fc2-a69671a3041e,-66,,,0,,,,,,,,,False,,10,,,,,,,,,,
91,0,2020-06-12 09:39:16.103000,0,[Nueva],0,0,-40,,,,fecharealizacion,2022-10-25 00:00:00,2022-10-25 00:00:00,0,,,,,,,dfechaact,2,186f93cc-634c-429b-b58d-1a5226041056,-73,,,0,3,,,,0,,,,False,,0,,,,,,,,,,
92,0,2021-03-01 12:01:21.360000,0,Hoja de Tiempos,0,0,-40,,,,fecharealizacion,,,0,,,,,,,,2,fed1df70-4c70-45df-b9d8-729534d7a29c,,,,,3,,,,0,,,,False,,,,,,,,,,,,
93,0,2021-03-01 12:01:22.477000,0,Hoja de Gatos,0,0,-40,,,,fecharealizacion,,,0,,,,,,,,2,606c367f-407e-4937-a93b-b4cce82326ec,,,,,3,,,,0,,,,False,,,,,,,,,,,,
96,0,2018-01-24 10:02:40.860000,2,Todos,0,0,-43,,,,,,,0,,,,,,,telefono2,2,c399ab17-b067-42eb-b227-9d8b7cba8b6d,-79,,,,,,,,0,,,,False,,,,,,,,,,,,
97,0,2018-10-16 17:25:53.197000,0,Valoraciones,1,0,-48,,,,fecha,2022-10-25 00:00:00,2022-10-25 00:00:00,0,,,,,,,fecha,2,7b645ba3-7bea-4bfb-b8d4-5015188aa768,0,,,0,,,,,0,,,,False,,0,,,,,,,,,,
99,0,2020-08-28 12:00:13.527000,2,Todos,1,0,-51,,,,fechaalta,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,Estado,2,71e7a0af-d466-4a54-941d-571df83d9dde,-95,,,0,,,,,0,,,,False,,10,,,,,,,,,,
102,0,2021-01-26 16:49:23.980000,2,Todos,0,0,-55,,,,,,,0,,,,,,,,,8d946317-f04f-4b51-ba3f-e470d31e7537,-106,,,,,,,,,,,,False,,,,,,,,,,,,
111,0,2021-04-29 14:53:33.343000,1000,Citas Día,1,0,1,,,,dfechaact,2022-03-07 00:00:00,2022-03-07 00:00:00,0,,,,,,,Actuacion,2,68b53edc-4df1-4725-bec6-d1c823321387,1,,,0,,,,,,,,100000021,False,,0,Citas,Realizadas,Pendientes,,,,,,,
112,0,2021-04-29 14:53:34.200000,1000,Cancelaciones Día,3,0,1,,,,dfechaact,2022-03-07 00:00:00,2022-03-07 00:00:00,0,,,,,,,Actuacion,2,e152e12b-016b-44f6-bb5e-c4d629253707,1,,,0,,,,,,,,100000021,False,,0,Citas Canceladas,,,,,,,,,
122,0,2021-04-29 14:53:41.827000,1000,Primeras Consultas Día,2,0,1,,,,dfechaact,2022-03-07 00:00:00,2022-03-07 00:00:00,0,,,,,,,Actuacion,2,cdc4af85-40a5-43ea-800b-ecbcfd562dc3,1,,,0,,,,,0,,,100000021,False,,0,Primeras Consultas,Realizadas,Pendientes,,,,,,,
144,0,2021-04-29 14:53:50.797000,1000,Pacientes Nuevos (este año),0,0,38,,,,,2022-03-07 00:00:00,2022-03-07 00:00:00,0,,,,,,,,2,470ba564-7b62-4fc2-a48b-474ff4c157fd,71,,,,,,,,,,,100000021,False,,0,Pacientes,,,,,,,,,
164,0,2021-04-29 14:54:00.580000,1000,Cobros Día,5,0,6,,,,fecharealizada,2022-03-07 00:00:00,2022-03-07 00:00:00,0,,,,,,,Cliente,2,13acab30-6e89-4c2e-8e56-b1176bd707af,13,,,0,,,,,,,,100000021,False,,0,€,,,,,,,,,
165,0,2021-04-29 14:54:00.987000,1000,Cobros Año,7,0,6,,,,fecharealizada,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,Cliente,2,87b8ecdb-6699-44c4-acb0-1ab66f6fde8c,13,,,0,,,,,,,,100000021,False,,10,€,,,,,,,,,
167,0,2021-04-29 14:54:01.783000,1000,Cobros Pendientes,8,0,6,,,,fecha,2021-03-08 00:00:00,2022-03-07 00:00:00,0,,,,,,,Cliente,2,b134deb1-37fc-438f-8ec2-bb73aabd479a,13,,,0,,,,,,,,100000021,False,,12,€,,,,,,,,,
178,0,2021-04-29 15:17:22.650000,2,Todos,0,0,-43,,,,,,,0,,,,,,,,,780433d2-0597-4408-9636-824ce82d8925,-79,,,,,,,,,,,,False,,,,,,,,,,,,
185,0,2021-05-10 11:31:40.077000,1001,P. Preferentes (Mayor Facturación),9,0,-38,,,,,,,0,,,,,,,,2,e13c5358-5972-45e1-8dcf-59b949fe07c7,-71,,,,,,,,,,,,False,,,,,,,,,,,,
192,0,2021-05-28 09:55:05.260000,2,Oportunidades,1,0,-2,,,,dfecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,cliente,2,96daa601-0c77-4b6c-939c-86c5a1502ab2,-4,,,0,,,,,,,,,False,,10,,,,,,,,,,
193,0,2021-05-28 10:10:49.350000,2,Cobros,0,0,-6,,,,fecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,tipo factura,2,89499b42-49fd-4f7f-ad73-4c3b5c54417f,-13,,,0,,,,,,,,,False,,10,,,,,,,,,,
194,0,2021-05-28 10:13:41.920000,2,Todos,1,0,-22,,,,fecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,Total IRPF,1,e77e23f1-c2b2-43ea-8ece-67b911193bf8,-48,,,0,,,,,,,,,False,,10,,,,,,,,,,
195,0,2021-05-28 10:13:48.630000,2,Todos,1,0,-30,,,,,,,0,,,,,,,codigo,2,8fd39256-9116-4e05-a075-3438cde1b8a3,-63,,,,,,,,,,,,False,,,,,,,,,,,,
196,0,2021-05-28 10:27:51.553000,2,Todos,1,0,-35,,,,,,,0,,,,,,,snombrecli,2,eddf9e92-22ac-41dc-a30d-b5a30319f9fc,-68,,,,,,,,,,,,False,,,,,,,,,,,,
197,0,2021-05-28 11:39:58.620000,2,Todos,0,0,-42,,,,,,,0,,,,,,,,,2366ea62-97d5-4e81-83c4-af62273b2482,-78,,,,,,,,,,,,False,,,,,,,,,,,,
198,0,2021-05-28 11:40:01.700000,2,Todos,1,0,-52,,,,fechacierre,2000-01-01 00:00:00,2022-12-31 00:00:00,1,,,,,,,Usuario,2,f6b8d569-daa7-4959-99bf-b8af42c8b0a1,-94,,,0,,,,,,,,,False,,3,,,,,,,,,,
199,0,2021-06-16 18:57:55.043000,2,Historial,1,0,-1,,,,dfechaact,2021-10-11 00:00:00,2021-10-17 00:00:00,0,,,,,,,clUsuario,1,524803d3-bb03-4dc0-b16e-01a590c60b96,-1,,,0,,,,,,,,,False,,4,,,,,,,,,,
202,0,2021-06-17 11:02:46.517000,2,Todos,0,0,-41,,,,,,,0,,,,,,,departamento,2,9f7a3e15-fccc-4333-96da-7b88d45e4e06,-77,,,,,,,,,,,,False,,,,,,,,,,,,
204,0,2021-06-21 18:22:46.277000,1005,Emailer: Zionic! Lo mejor para el verano,0,0,-30,,,,,,,0,,,,,,,codigo,2,3795b93d-a867-4a0b-9816-6e04e7303475,1,,,,,,,,,,,,False,,,,,,,,1,,,,
