NumCta,Descripcion
622,REPARACION Y CONSERVACION
623,SERVICIOS DE PROFESIONALES INDEPENDIENTES
624,TRANSPORTS
625,PRIMAS DE SEGUROS
626,SERVICIOS BANCARIOS Y SIMILARES
627,"PUBLICIDAD, PROPAGANDA Y RELACIONES PUBLICAS"
628,SUMINISTROS
6280000001,TELEFONO FIJO
6280000002,TELEFONO MOVIL
6280000003,FENOSA
6280000004,AGUA
6280000005,PAPELERIA
6280000006,ALQUILER
6280000007,SUSCRIPCIONES
629,OTROS SERVICIOS
630,IMPUESTOS SOBRE BENEFICIOS
631,OTROS TRIBUTOS
640,SUELDOS Y SALARIOS
6400000000,PERCEPCIONES SALARIALES
641,INDEMNIZACIONES
642,SEGURIDAD SOCIAL A CARGO DE LA EMPRESA
6420000000,SEGURIDAD SOCIAL A CARGO DE LA EMPRESA
649,OTROS GASTOS SOCIALES
650,PERDIDAS DE CREDITOS COMERCIALES INCOBRABLES
655,DEPOSITOS CONSTITUIDOS A CORTO PLAZO
659,OTRAS PERDIDAS DE GESTION CORRIENTE
662,INTERESES DE DEUDAS A LARGO PLAZO
663,INTERESES DE DEUDAS A CORTO PLAZO
664,INTERESES POR DESCUENTO DE EFECTOS
665,DESCUENTOS SOBRE VENTAS POR PRONTO PAGO
669,OTROS GASTOS FINANCIEROS
681,AMORTIZACION DEL INMOVILIZADO INMATERIAL
6810000000,AMORTIZACION DEL INMOVILIZADO INMATERIAL
682,AMORTIZACION DEL INMOVILIZADO MATERIAL
6820000000,AMORTIZACION DEL INMOVILIZADO MATERIAL
700,"VENTA DE MERCADERIAS, DE PRODUCCION PROPIA, DE SERVICIOS"
7000000000,VENTAS
701,VENTA DE PRODUCTOS TERMINADOS
705,PRESTACIONES DE SERVICIO
7050000000,INGRESOS POR TRABAJOS REALIZADOS
708,DEVOLUCIONES DE VENTAS Y OPERACIONES SIMILARES
709,RAPPELS SOBRE VENTAS
752,INGRESOS POR ARRENDAMIENTOS
754,INGRESOS POR COMISIONES
759,INGRESOS POR SERVICIOS DIVERSOS
760,INGRESOS DE PARTICIPACION EN CAPITAL
761,INGRESOS DE VALORES DE RENTA FIJA
762,INGRESOS DE CREDITOS A LARGO PLAZO
763,INGRESOS DE CREDITOS A CORTO PLAZO
765,DESCUENTOS SOBRE COMPRAS POR PRONTO PAGO
769,OTROS INGRESOS FINANCIEROS
997,IVA REPERCUTIDO AL 16%
998,IVA REPERCUTIDO AL 16%
