id,seccion,etiqueta,valor
67,CodPerso,ver5dat,0
68,CodPerso,ver6dat,0
69,CodPerso,ver7dat,0
70,CodPerso,ver8dat,0
71,CodPerso,ver9dat,0
72,CodPerso,verCRMdat,1
73,CodPerso,ver_exp,1
74,CodPerso,ver_opor,1
75,CodPerso,verConsdat,0
76,CodPerso,cue_salant,0
77,CodPerso,mod6dat,1
78,CodPerso,mod7dat,0
79,CodPerso,persoadv,0
80,CodPerso,ver_factu,1
81,CodPerso,ctracc,0
82,CodPerso,ver_hints,0
83,CodPerso,ver_scan,0
84,CodPerso,bAnt303,0
85,CodPerso,Public_Web,0
86,CodPerso,mescobrosper,0
87,CodPerso,bconta,1
88,CodPerso,clipot,1
89,CodPerso,codjuzga,0
90,CodPerso,expe_con,1
91,CodPerso,expe_seg,0
92,CodPerso,expe_rec,0
93,CodPerso,expe_perso1,0
94,CodPerso,expe_perso2,0
95,CodPerso,expe_perso3,0
96,CodPerso,expe_perso4,0
97,CodPerso,expe_perso5,0
98,CodPerso,codper1,0
99,CodPerso,codper2,0
100,CodPerso,codper3,0
101,CodPerso,codper4,0
102,CodPerso,codper5,0
103,CodPerso,codper6,0
104,CodPerso,codper7,1
105,CodPerso,codper8,0
106,CodPerso,codper9,0
107,CodPerso,codper10,0
108,CodPerso,cli_colab,0
109,CodPerso,igu_grupo2,0
110,CodPerso,igu_grupo3,0
111,CodPerso,igu_grupo4,0
112,CodPerso,igu_grupo5,0
113,CodPerso,igu_grupo6,0
114,CodPerso,cli_perso1,0
115,CodPerso,cli_perso2,0
116,CodPerso,cli_perso3,0
117,CodPerso,cli_perso4,0
118,CodPerso,cli_perso5,0
119,CodPerso,cli_perso6,0
120,CodPerso,cli_perso7,0
121,CodPerso,mn_program,0
122,CodPerso,Pode_abo,0
123,CodPerso,Pode_pro,0
124,CodPerso,cola_con,1
125,CodPerso,bimpfactpersonalizado,0
126,CodPerso,ver_otros,1
127,CodPerso,ver_orden,0
128,CodPerso,aloha,0
129,CodPerso,clipers5,0
130,CodPerso,codvar,0
132,CodPerso,plan_web,1
133,CodPerso,banc_con,1
134,CodPerso,clie_subcli,0
135,CodPerso,PeopleSoft,0
136,CodPerso,GrupoPatin,0
137,FormCliPral,CliTitulo,Clientes
138,FormCliPral,CliTitulo2,Cliente
139,FormCliPral,CliAmpliada,Otros Datos
140,FormCliPral,CliPestaña1,Datos Administrativos
141,FormCliPral,CliPestaña2,Pestaña2
142,FormCliPral,CliNie,Etiqueta Editable
143,FormCliPral,CliPasaporte,CNAE
144,FormCliPral,CliTarjetaresidencia,Etiqueta Editable
145,FormCliPral,CliCampo21,Campo Libre 1
146,FormCliPral,CliCampo22,Campo Libre 2
147,FormCliPral,CliCampo23,Campo Libre 3
148,FormCliPral,CliCampo24,Campo Libre 4
149,FormCliPral,CliOrigen,Fuente Contacto
150,FormCliPral,CliZona,Ubicación
151,FormCliPral,CliEmpresa,Tamaño
152,FormCliPral,CliDepartamento,Departamento
153,FormCliPral,CliCargo,Cargo
154,FormCliPral,Clinumempleados,Nº Empleados
155,FormCliPral,CliSector,Sector
156,FormCliPral,CliFechanacimiento,Fecha
157,FormCliPral,CliFechapermiso,Fecha inicio del ejercicio
158,FormCliPral,CliCampoFecha9,Fecha fin del ejercicio
159,FormCliPral,CliCampoFecha10,Fecha vencimiento contrato
160,FormCliPral,CliCampoFecha11,Campo Fecha Libre 3
161,FormCliPral,CliCampoFecha12,Campo Fecha Libre 4
162,FormCliPral,CliCampofecha13,Campo Fecha Libre 5
169,FormCliPral,CliEstado2,Estado 2
170,FormCliPral,CliEstado3,Estado 3
171,FormCliPral,CliEstado4,Estado 4
172,FormCliPral,CliNombre,Nombre
173,FormCliPral,CliTelefono,Teléfono 1
174,FormCliPral,CliTelefono2,Teléfono 2
175,FormCliPral,CliTelefono3,Teléfono 3
176,FormCliPral,CliFax,Fax
177,FormCliPral,CliNif,N.I.F./C.I.F.
178,FormCliPral,CliCampo1,Campo Libre
179,FormCliPral,CliCampo2,Campo Libre
180,FormCliPral,CliCampo3,Campo Libre
181,FormCliPral,CliCampo4,Campo Libre
182,FormCliPral,CliCampo5,Campo Libre
183,FormCliPral,CliCampo6,Campo Libre
184,FormCliPral,CliCampo7,Campo Libre
185,FormCliPral,CliCampo8,Campo Libre
186,FormCliPral,CliCampo9,Campo Libre
187,FormCliPral,CliCampo10,Campo Libre
188,FormCliPral,CliCampo11,Campo Libre
189,FormCliPral,CliCampo12,Campo Libre
190,FormCliPral,CliCampo13,Campo Libre
191,FormCliPral,CliCampo14,Campo Libre
192,FormCliPral,CliCampo15,Campo Libre
193,FormCliPral,CliCampo16,Campo Libre
194,FormCliPral,CliCampo17,Campo Libre
195,FormCliPral,CliCampo18,Campo Libre
196,FormCliPral,CliCampo19,Campo Libre
197,FormCliPral,CliCampo20,Campo Libre
198,FormCliPral,CliCampoFecha1,Campo Fecha Libre
199,FormCliPral,CliCampoFecha2,Campo Fecha Libre
200,FormCliPral,CliCampoFecha3,Campo Fecha Libre
201,FormCliPral,CliCampoFecha4,Campo Fecha Libre
202,FormCliPral,CliCampoFecha5,Campo Fecha Libre
203,FormCliPral,CliCampoFecha6,Campo Fecha Libre
204,FormCliPral,CliCampoFecha7,Campo Fecha Libre
205,FormCliPral,CliCampoFecha8,Campo Fecha Libre
206,FormCliPral,Cliperso83,perso83
207,FormCliPral,Cliperso84,perso84
208,FormCliPral,Cliperso85,perso85
209,FormCliPral,Cliperso86,perso86
210,FormCliPral,Cliperso87,perso87
211,FormCliPral,Cliperso88,perso88
212,FormCliPral,Clipersofecha2,persofecha2
213,FormCliPral,Clipersofecha3,persofecha3
214,FormCliPral,Clipersofecha4,persofecha4
215,FormCliPral,Clipersofecha5,persofecha5
216,FormCliPral,Clipersofecha9,persofecha9
217,FormCliPral,Clipersofecha7,persofecha7
218,FormCliPral,Clipersofecha6,persofecha6
219,FormCliPral,Cliperso79,perso79
220,FormCliPral,Cliperso78,perso78
221,FormCliPral,Cliperso77,perso77
222,FormCliPral,Cliperso76,perso76
223,FormCliPral,Cliperso75,perso75
224,FormCliPral,Cliperso74,perso74
225,FormCliPral,Clipersofecha8,persofecha8
226,FormTrabajadores,CliTitulo,Clientes
227,FormTrabajadores,CliTitulo2,Cliente
228,FormTrabajadores,CliAmpliada,Otros Datos
229,FormTrabajadores,CliPestaña1,Otros Datos 2
230,FormTrabajadores,CliPestaña2,Otros Datos 3
231,FormTrabajadores,CliNie,Etiqueta Editable
232,FormTrabajadores,CliPasaporte,Categoría profesional
233,FormTrabajadores,CliTarjetaresidencia,Etiqueta Editable
234,FormTrabajadores,CliCampo21,Campo Libre 1
235,FormTrabajadores,CliCampo22,Campo Libre 2
236,FormTrabajadores,CliCampo23,Campo Libre 3
237,FormTrabajadores,CliCampo24,Campo Libre 5
238,FormTrabajadores,CliOrigen,Carnet de conducir
239,FormTrabajadores,CliZona,Nivel de estudios
240,FormTrabajadores,CliEmpresa,Tamaño
241,FormTrabajadores,CliDepartamento,Departamento
242,FormTrabajadores,CliCargo,Cargo
243,FormTrabajadores,Clinumempleados,Número Empleados
244,FormTrabajadores,CliSector,Sector
245,FormTrabajadores,CliFechanacimiento,Fecha Nacimiento
246,FormTrabajadores,CliFechapermiso,Fecha inicio del ejercicio
247,FormTrabajadores,CliCampoFecha9,Fecha fin del ejercicio
248,FormTrabajadores,CliCampoFecha10,Fecha vencimiento contrato
249,FormTrabajadores,CliCampoFecha11,Campo Fecha Libre 3
250,FormTrabajadores,CliCampoFecha12,Campo Fecha Libre 4
251,FormTrabajadores,CliCampofecha13,Campo Fecha Libre 5
252,FormTrabajadores,CliNotas,Notas
253,FormTrabajadores,CliNotas1,Notas 2
254,FormTrabajadores,CliNotas2,Notas 3
255,FormTrabajadores,CliNotas3,Vacaciones
256,FormTrabajadores,CliNotas4,Ausencias
257,FormTrabajadores,CliNotas5,Otros Datos
258,FormTrabajadores,CliEstado2,Estado2
259,FormTrabajadores,CliEstado3,Estado3
260,FormTrabajadores,CliEstado4,Estado4
261,FormTrabajadores,CliNombre,Nombre
262,FormTrabajadores,CliTelefono,Teléfono 1
263,FormTrabajadores,CliTelefono2,Teléfono 2
264,FormTrabajadores,CliTelefono3,Teléfono 3
265,FormTrabajadores,CliFax,Fax
266,FormTrabajadores,CliNif,NIF
267,FormTrabajadores,CliCampo1,campo1
268,FormTrabajadores,CliCampo2,campo2
269,FormTrabajadores,CliCampo3,campo3
270,FormTrabajadores,CliCampo4,campo4
271,FormTrabajadores,CliCampo5,campo5
272,FormTrabajadores,CliCampo6,campo6
273,FormTrabajadores,CliCampo7,campo7
274,FormTrabajadores,CliCampo8,campo8
275,FormTrabajadores,CliCampo9,campo9
276,FormTrabajadores,CliCampo10,campo10
277,FormTrabajadores,CliCampo11,Campo11
278,FormTrabajadores,CliCampo12,campo12
279,FormTrabajadores,CliCampo13,campo13
280,FormTrabajadores,CliCampo14,campo14
281,FormTrabajadores,CliCampo15,Campo15
282,FormTrabajadores,CliCampo16,Campo16
283,FormTrabajadores,CliCampo17,Campo17
284,FormTrabajadores,CliCampo18,Campo18
285,FormTrabajadores,CliCampo19,Campo19
286,FormTrabajadores,CliCampo20,Campo20
287,FormTrabajadores,CliCampoFecha1,campofecha1
288,FormTrabajadores,CliCampoFecha2,campofecha2
289,FormTrabajadores,CliCampoFecha3,campofecha3
290,FormTrabajadores,CliCampoFecha4,campofecha4
291,FormTrabajadores,CliCampoFecha5,Fecha5
292,FormTrabajadores,CliCampoFecha6,Fecha6
293,FormTrabajadores,CliCampoFecha7,Fecha7
294,FormTrabajadores,CliCampoFecha8,Fecha8
295,FormTrabajadores,Cliperso83,perso83
296,FormTrabajadores,Cliperso84,perso84
297,FormTrabajadores,Cliperso85,perso85
298,FormTrabajadores,Cliperso86,perso86
299,FormTrabajadores,Cliperso87,perso87
300,FormTrabajadores,Cliperso88,perso88
301,FormTrabajadores,Clipersofecha2,persofecha2
302,FormTrabajadores,Clipersofecha3,persofecha3
303,FormTrabajadores,Clipersofecha4,persofecha4
304,FormTrabajadores,Clipersofecha5,persofecha5
305,FormTrabajadores,Clipersofecha9,persofecha9
306,FormTrabajadores,Clipersofecha7,persofecha7
307,FormTrabajadores,Clipersofecha6,persofecha6
308,FormTrabajadores,Cliperso79,perso79
309,FormTrabajadores,Cliperso78,perso78
310,FormTrabajadores,Cliperso77,perso77
311,FormTrabajadores,Cliperso76,perso76
312,FormTrabajadores,Cliperso75,perso75
313,FormTrabajadores,Cliperso74,perso74
314,FormTrabajadores,Clipersofecha8,persofecha8
315,FormCliPoten,CliTitulo,Potenciales
316,FormCliPoten,CliTitulo2,Potencial
317,FormCliPoten,CliAmpliada,Otros Datos
318,FormCliPoten,CliPestaña1,Otros Datos 2
319,FormCliPoten,CliPestaña2,Otros Datos 3
320,FormCliPoten,CliNie,Etiqueta Editable
321,FormCliPoten,CliPasaporte,CNAE
322,FormCliPoten,CliTarjetaresidencia,Etiqueta Editable
323,FormCliPoten,CliCampo21,Deporte
324,FormCliPoten,CliCampo22,Altura
325,FormCliPoten,CliCampo23,Peso (Kg)
326,FormCliPoten,CliCampo24,Campo Libre 1
327,FormCliPoten,CliOrigen,Fuente Contacto
328,FormCliPoten,CliZona,Ubicación
329,FormCliPoten,CliEmpresa,Tamaño
330,FormCliPoten,CliDepartamento,Departamento
331,FormCliPoten,CliCargo,Campo Libre 1
332,FormCliPoten,Clinumempleados,Campo Libre 2
333,FormCliPoten,CliSector,Sector
334,FormCliPoten,CliFechanacimiento,Fecha Nacimiento
335,FormCliPoten,CliFechapermiso,Fecha inicio del ejercicio
336,FormCliPoten,CliCampoFecha9,Fecha fin del ejercicio
337,FormCliPoten,CliCampoFecha10,Fecha vencimiento contrato
338,FormCliPoten,CliCampoFecha11,Campo Fecha Libre 3
339,FormCliPoten,CliCampoFecha12,Campo Fecha Libre 4
340,FormCliPoten,CliCampofecha13,Campo Fecha Libre 5
341,FormCliPotenPral,CliNotas,Notas
342,FormCliPotenPral,CliNotas1,Notas 2
343,FormCliPotenPral,CliNotas2,Notas 3
344,FormCliPotenPral,CliNotas3,Notas 4
345,FormCliPotenPral,CliNotas4,Notas 5
346,FormCliPotenPral,CliNotas5,Notas 6
347,FormCliPoten,CliEstado2,Estado 2
348,FormCliPoten,CliEstado3,Estado 3
349,FormCliPoten,CliEstado4,Estado 4
350,FormCliPoten,CliNombre,Nombre
351,FormCliPoten,CliTelefono,Teléfono 1
352,FormCliPoten,CliTelefono2,Teléfono 2
353,FormCliPoten,CliTelefono3,Teléfono 3
354,FormCliPoten,CliFax,Fax
355,FormCliPoten,CliNif,N.I.F./C.I.F.
356,FormCliPoten,CliCampo1,Mútua
357,FormCliPoten,CliCampo2,Núm. Póliza
358,FormCliPoten,CliCampo3,campo3
359,FormCliPoten,CliCampo4,campo4
360,FormCliPoten,CliCampo5,Núm. Afiliación Seguridad Social
361,FormCliPoten,CliCampo6,Cobertura
362,FormCliPoten,CliCampo7,campo7
363,FormCliPoten,CliCampo8,campo8
364,FormCliPoten,CliCampo9,campo9
365,FormCliPoten,CliCampo10,campo10
366,FormCliPoten,CliCampo11,Campo11
367,FormCliPoten,CliCampo12,campo12
368,FormCliPoten,CliCampo13,campo13
369,FormCliPoten,CliCampo14,campo14
370,FormCliPoten,CliCampo15,Campo15
371,FormCliPoten,CliCampo16,Campo16
372,FormCliPoten,CliCampo17,Campo17
373,FormCliPoten,CliCampo18,Campo18
374,FormCliPoten,CliCampo19,Campo19
375,FormCliPoten,CliCampo20,Campo20
376,FormCliPoten,CliCampoFecha1,campofecha1
377,FormCliPoten,CliCampoFecha2,campofecha2
378,FormCliPoten,CliCampoFecha3,campofecha3
379,FormCliPoten,CliCampoFecha4,campofecha4
380,FormCliPoten,CliCampoFecha5,Fecha5
381,FormCliPoten,CliCampoFecha6,Fecha6
382,FormCliPoten,CliCampoFecha7,Fecha7
383,FormCliPoten,CliCampoFecha8,Fecha8
384,FormCliPoten,Cliperso83,perso83
385,FormCliPoten,Cliperso84,perso84
386,FormCliPoten,Cliperso85,perso85
387,FormCliPoten,Cliperso86,perso86
388,FormCliPoten,Cliperso87,perso87
389,FormCliPoten,Cliperso88,perso88
390,FormCliPoten,Clipersofecha2,persofecha2
391,FormCliPoten,Clipersofecha3,persofecha3
392,FormCliPoten,Clipersofecha4,persofecha4
393,FormCliPoten,Clipersofecha5,persofecha5
394,FormCliPoten,Clipersofecha9,persofecha9
395,FormCliPoten,Clipersofecha7,persofecha7
396,FormCliPoten,Clipersofecha6,persofecha6
397,FormCliPoten,Cliperso79,perso79
398,FormCliPoten,Cliperso78,perso78
399,FormCliPoten,Cliperso77,perso77
400,FormCliPoten,Cliperso76,perso76
401,FormCliPoten,Cliperso75,perso75
402,FormCliPoten,Cliperso74,perso74
403,FormCliPoten,Clipersofecha8,persofecha8
404,FormOtros,CliTitulo,Contactos
405,FormOtros,CliTitulo2,Contacto
406,FormOtros,CliAmpliada,Otros Datos
407,FormOtros,CliPestaña1,Otros Datos 2
408,FormOtros,CliPestaña2,Otros Datos 3
409,FormOtros,CliNie,NIE
410,FormOtros,CliPasaporte,Pasaporte
411,FormOtros,CliTarjetaresidencia,Tarjeta de residencia
412,FormOtros,CliCampo21,Campo Libre 1
413,FormOtros,CliCampo22,Campo Libre 2
414,FormOtros,CliCampo23,Campo Libre 3
415,FormOtros,CliCampo24,Campo Libre 5
416,FormOtros,CliOrigen,Origen
417,FormOtros,CliZona,Zona
418,FormOtros,CliEmpresa,Empresa
419,FormOtros,CliDepartamento,Departamento
420,FormOtros,CliCargo,Cargo
421,FormOtros,Clinumempleados,Número Empleados
422,FormOtros,CliSector,Sector
423,FormOtros,CliFechanacimiento,Fecha
424,FormOtros,CliFechapermiso,Campo Fecha Libre
425,FormOtros,CliCampoFecha9,Campo Fecha Libre 1
426,FormOtros,CliCampoFecha10,Campo Fecha Libre 2
427,FormOtros,CliCampoFecha11,Campo Fecha Libre 3
428,FormOtros,CliCampoFecha12,Campo Fecha Libre 4
429,FormOtros,CliCampofecha13,Campo Fecha Libre 5
430,FormOtros,CliNotas,Notas
431,FormOtros,CliNotas1,Notas 2
432,FormOtros,CliNotas2,Notas 3
433,FormOtros,CliNotas3,Notas 4
434,FormOtros,CliNotas4,Notas 5
435,FormOtros,CliNotas5,Notas 6
436,FormOtros,CliEstado2,Estado 2
437,FormOtros,CliEstado3,Estado 3
438,FormOtros,CliEstado4,Estado 4
439,FormOtros,CliNombre,Nombre
440,FormOtros,CliTelefono,Teléfono 1
441,FormOtros,CliTelefono2,Teléfono 2
442,FormOtros,CliTelefono3,Teléfono 3
443,FormOtros,CliFax,Fax
444,FormOtros,CliNif,NIF
445,FormOtros,CliCampo1,campo1
446,FormOtros,CliCampo2,campo2
447,FormOtros,CliCampo3,campo3
448,FormOtros,CliCampo4,campo4
449,FormOtros,CliCampo5,campo5
450,FormOtros,CliCampo6,campo6
451,FormOtros,CliCampo7,campo7
452,FormOtros,CliCampo8,campo8
453,FormOtros,CliCampo9,campo9
454,FormOtros,CliCampo10,campo10
455,FormOtros,CliCampo11,Campo11
456,FormOtros,CliCampo12,campo12
457,FormOtros,CliCampo13,campo13
458,FormOtros,CliCampo14,campo14
459,FormOtros,CliCampo15,Campo15
460,FormOtros,CliCampo16,Campo16
461,FormOtros,CliCampo17,Campo17
462,FormOtros,CliCampo18,Campo18
463,FormOtros,CliCampo19,Campo19
464,FormOtros,CliCampo20,Campo20
465,FormOtros,CliCampoFecha1,campofecha1
466,FormOtros,CliCampoFecha2,campofecha2
467,FormOtros,CliCampoFecha3,campofecha3
468,FormOtros,CliCampoFecha4,campofecha4
469,FormOtros,CliCampoFecha5,Fecha5
470,FormOtros,CliCampoFecha6,Fecha6
471,FormOtros,CliCampoFecha7,Fecha7
472,FormOtros,CliCampoFecha8,Fecha8
473,FormOtros,Cliperso83,perso83
474,FormOtros,Cliperso84,perso84
475,FormOtros,Cliperso85,perso85
476,FormOtros,Cliperso86,perso86
477,FormOtros,Cliperso87,perso87
478,FormOtros,Cliperso88,perso88
479,FormOtros,Clipersofecha2,persofecha2
480,FormOtros,Clipersofecha3,persofecha3
481,FormOtros,Clipersofecha4,persofecha4
482,FormOtros,Clipersofecha5,persofecha5
483,FormOtros,Clipersofecha9,persofecha9
484,FormOtros,Clipersofecha7,persofecha7
485,FormOtros,Clipersofecha6,persofecha6
486,FormOtros,Cliperso79,perso79
487,FormOtros,Cliperso78,perso78
488,FormOtros,Cliperso77,perso77
489,FormOtros,Cliperso76,perso76
490,FormOtros,Cliperso75,perso75
491,FormOtros,Cliperso74,perso74
492,FormOtros,Clipersofecha8,persofecha8
493,FormPacientes,CliTitulo,Clientes
494,FormPacientes,CliTitulo2,Cliente
495,FormPacientes,CliAmpliada,Otros Datos
496,FormPacientes,CliPestaña1,Otros Datos 2
497,FormPacientes,CliPestaña2,Otros Datos 3
498,FormPacientes,CliNie,NIE
499,FormPacientes,CliPasaporte,Pasaporte
500,FormPacientes,CliTarjetaresidencia,Tarjeta de residencia
501,FormPacientes,CliCampo21,Campo Libre 1
502,FormPacientes,CliCampo22,Campo Libre 2
503,FormPacientes,CliCampo23,Campo Libre 3
504,FormPacientes,CliCampo24,Campo Libre 5
505,FormPacientes,CliOrigen,Origen
506,FormPacientes,CliZona,Zona
507,FormPacientes,CliEmpresa,Empresa
508,FormPacientes,CliDepartamento,Departamento
509,FormPacientes,CliCargo,Cargo
510,FormPacientes,Clinumempleados,Número Empleados
511,FormPacientes,CliSector,Sector
512,FormPacientes,CliFechanacimiento,Fecha Nacimiento
513,FormPacientes,CliFechapermiso,Fecha Permiso Conducir
514,FormPacientes,CliCampoFecha9,Campo Fecha Libre 1
515,FormPacientes,CliCampoFecha10,Campo Fecha Libre 2
516,FormPacientes,CliCampoFecha11,Campo Fecha Libre 3
517,FormPacientes,CliCampoFecha12,Campo Fecha Libre 4
518,FormPacientes,CliCampofecha13,Campo Fecha Libre 5
519,FormPacientes,CliNotas,Notas
520,FormPacientes,CliNotas1,Notas1
521,FormPacientes,CliNotas2,Notas2
522,FormPacientes,CliNotas3,Notas3
523,FormPacientes,CliNotas4,Notas4
524,FormPacientes,CliNotas5,Notas5
525,FormPacientes,CliEstado2,Estado 2
526,FormPacientes,CliEstado3,Estado 3
527,FormPacientes,CliEstado4,Estado 4
528,FormPacientes,CliNombre,Nombre
529,FormPacientes,CliTelefono,Teléfono 1
530,FormPacientes,CliTelefono2,Teléfono 2
531,FormPacientes,CliTelefono3,Teléfono 3
532,FormPacientes,CliFax,Fax
533,FormPacientes,CliNif,NIF
534,FormPacientes,CliCampo1,campo1
535,FormPacientes,CliCampo2,campo2
536,FormPacientes,CliCampo3,campo3
537,FormPacientes,CliCampo4,campo4
538,FormPacientes,CliCampo5,campo5
539,FormPacientes,CliCampo6,campo6
540,FormPacientes,CliCampo7,campo7
541,FormPacientes,CliCampo8,campo8
542,FormPacientes,CliCampo9,campo9
543,FormPacientes,CliCampo10,campo10
544,FormPacientes,CliCampo11,Campo11
545,FormPacientes,CliCampo12,campo12
546,FormPacientes,CliCampo13,campo13
547,FormPacientes,CliCampo14,campo14
548,FormPacientes,CliCampo15,Campo15
549,FormPacientes,CliCampo16,Campo16
550,FormPacientes,CliCampo17,Campo17
551,FormPacientes,CliCampo18,Campo18
552,FormPacientes,CliCampo19,Campo19
553,FormPacientes,CliCampo20,Campo20
554,FormPacientes,CliCampoFecha1,campofecha1
555,FormPacientes,CliCampoFecha2,campofecha2
556,FormPacientes,CliCampoFecha3,campofecha3
557,FormPacientes,CliCampoFecha4,campofecha4
558,FormPacientes,CliCampoFecha5,Fecha5
559,FormPacientes,CliCampoFecha6,Fecha6
560,FormPacientes,CliCampoFecha7,Fecha7
561,FormPacientes,CliCampoFecha8,Fecha8
562,FormPacientes,Cliperso83,perso83
563,FormPacientes,Cliperso84,perso84
564,FormPacientes,Cliperso85,perso85
565,FormPacientes,Cliperso86,perso86
566,FormPacientes,Cliperso87,perso87
567,FormPacientes,Cliperso88,perso88
568,FormPacientes,Clipersofecha2,persofecha2
569,FormPacientes,Clipersofecha3,persofecha3
570,FormPacientes,Clipersofecha4,persofecha4
571,FormPacientes,Clipersofecha5,persofecha5
572,FormPacientes,Clipersofecha9,persofecha9
573,FormPacientes,Clipersofecha7,persofecha7
574,FormPacientes,Clipersofecha6,persofecha6
575,FormPacientes,Cliperso79,perso79
576,FormPacientes,Cliperso78,perso78
577,FormPacientes,Cliperso77,perso77
578,FormPacientes,Cliperso76,perso76
579,FormPacientes,Cliperso75,perso75
580,FormPacientes,Cliperso74,perso74
581,FormPacientes,Clipersofecha8,persofecha8
582,FormAlumnos,CliTitulo,Clientes
583,FormAlumnos,CliTitulo2,Cliente
584,FormAlumnos,CliAmpliada,Otros Datos
585,FormAlumnos,CliPestaña1,Otros Datos 2
586,FormAlumnos,CliPestaña2,Otros Datos 3
587,FormAlumnos,CliNie,NIE
588,FormAlumnos,CliPasaporte,Pasaporte
589,FormAlumnos,CliTarjetaresidencia,Tarjeta de residencia
590,FormAlumnos,CliCampo21,Campo Libre 1
591,FormAlumnos,CliCampo22,Campo Libre 2
592,FormAlumnos,CliCampo23,Campo Libre 3
593,FormAlumnos,CliCampo24,Campo Libre 5
594,FormAlumnos,CliOrigen,Origen
595,FormAlumnos,CliZona,Zona
596,FormAlumnos,CliEmpresa,Empresa
597,FormAlumnos,CliDepartamento,Departamento
598,FormAlumnos,CliCargo,Cargo
599,FormAlumnos,Clinumempleados,Número Empleados
600,FormAlumnos,CliSector,Sector
601,FormAlumnos,CliFechanacimiento,Fecha Nacimiento
602,FormAlumnos,CliFechapermiso,Fecha Permiso Conducir
603,FormAlumnos,CliCampoFecha9,Campo Fecha Libre 1
604,FormAlumnos,CliCampoFecha10,Campo Fecha Libre 2
605,FormAlumnos,CliCampoFecha11,Campo Fecha Libre 3
606,FormAlumnos,CliCampoFecha12,Campo Fecha Libre 4
607,FormAlumnos,CliCampofecha13,Campo Fecha Libre 5
608,FormAlumnos,CliNotas,Notas
609,FormAlumnos,CliNotas1,Notas1
610,FormAlumnos,CliNotas2,Notas2
611,FormAlumnos,CliNotas3,Notas3
612,FormAlumnos,CliNotas4,Notas4
