Nivel1,Nivel2,Nivel3,Nivel4,Cuenta,Descripcion,Importe
1,2,4,12,253,CREDITOS LARGO PLAZO POR ENAJENACION DE INMOVILIZ.,
1,2,4,13,254,CREDITOS A LARGO PLAZO AL PERSONAL,
1,2,4,14,256,INTERESES A LARGO PLAZO VALORES DE RENTA FIJA,
1,2,4,15,257,INTERESES A LARGO PLAZO DE CREDITOS,
1,2,4,16,258,IMPOSICIONES A LARGO PLAZO,
1,2,4,17,260,FIANZAS CONSTITUIDAS A LARGO PLAZO,
1,2,4,18,265,DEPOSITOS CONSTITUIDOS A LARGO PLAZO,
1,2,4,19,293,PROVISION DEPREC.VALORES NEGOC.LARGO PLAZO EMP.GRUPO,
1,2,4,20,294,PROVISION DEPREC.VALORES NEGOC.LARGO PLAZO EMP.ASOC.,
1,2,4,21,295,PROVISION PARA INSOLVENCIAS CTOS LAR.PLAZO EMP.GRUPO,
1,2,4,22,296,PROVISION PARA INSOLVENCIAS CTOS LAR.PLAZO EMP.ASOC.,
1,2,4,23,297,PROVISION DEPRECIACION VALORES NEGOC.LARGO PLAZO,
1,2,4,24,298,PROVISION PARA INSOLV. DE CREDITOS A LARGO PLAZO,
1,2,5,0,   ,V. Acciones propias,
1,2,5,1,198,ACCIONES PROPIAS EN SITUACIONES ESPECIALES,
1,2,6,0,   ,VI. Deudores por operaciones de tráfico a largo plazo,
1,3,0,0,   ,C) GASTOS A DISTRIBUIR EN VARIOS EJERCICIOS,
1,3,1,0,270,GASTOS DE FORMALIZACION DE DEUDAS,
1,3,2,0,271,GASTOS POR INTERESES DIFERIDOS DE VALORES NEGOC.,
1,3,3,0,272,GASTOS POR INTERESES DIFERIDOS,
1,4,0,0,   ,D) ACTIVO CIRCULANTE,
1,4,1,0,   ,I. Accionistas por desembolsos exigidos,
1,4,1,1,558,ACCIONISTAS POR DESEMBOLSOS EXIGIDOS,
1,4,2,0,   ,II. Existencias,
1,4,2,1,300,MERCADERIAS,
1,4,2,2,310,MATERIAS PRIMAS,
1,4,2,3,320,ELEMENTOS Y CONJUNTOS INCORPORABLES,
1,4,2,4,321,CONSUMIBLES,
1,4,2,5,322,REPUESTOS,
1,4,2,6,325,MATERIALES DIVERSOS,
1,4,2,7,326,EMBALAJES,
1,4,2,8,327,ENVASES,
1,4,2,9,328,MATERIAL DE OFICINA,
1,4,2,10,330,PRODUCTOS EN CURSO,
1,4,2,11,340,PRODUCTOS SEMITERMINADOS,
1,4,2,12,350,PRODUCTOS TERMINADOS,
1,4,2,13,360,SUBPRODUCTOS,
1,4,2,14,365,RESIDUOS,
1,4,2,15,368,MATERIALES RECUPERADOS,
1,4,2,16,407,ANTICIPOS A PROVEEDORES,
1,4,3,0,   ,III. Deudores,
1,4,3,1,430,CLIENTES,
1,4,3,2,431,"CLIENTES, EFECTOS COMERCIALES A COBRAR",
1,4,3,3,432,"CLIENTES, EMPRESAS DEL GRUPO",
1,4,3,4,433,"CLIENTES, EMPRESAS ASOCIADAS",
1,4,3,5,435,CLIENTES DE DUDOSO COBRO,
1,4,3,6,436,ENVASES Y EMBALAJES A DEVOLVER POR CLIENTES,
1,4,3,7,440,DEUDORES,
1,4,3,8,441,"DEUDORES, EFECTOS COMERCIALES A COBRAR",
1,4,3,9,445,DEUDORES DE DUDOSO COBRO,
1,4,3,10,449,DEUDORES POR OPERACIONES EN COMUN,
1,4,3,11,460,ANTICIPOS DE RENUMERACIONES,
1,4,3,12,470,HACIENDA PUBLICA DEUDOR POR DIVERSOS CONCEPTOS,
1,4,3,13,471,"ORGANISMOS DE LA SEGURIDAD SOCIAL, DEUDORES",
1,4,3,14,472,"HACIENDA PUBLICA, IVA SOPORTADO",
1,4,3,15,474,IMPUESTOS SOBRE BENEF.ANTICIPADOS Y COMPESAC. PERD.,
1,4,3,16,490,PROVISION PARA INSOLVENCIAS DE TRAFICO,
1,4,3,17,493,PROV.PARA INSOLVENCIAS DE TRAFICO DE EMP.DEL GRUPO,
1,4,3,18,494,PROV.PARA INSOLVENCIAS DE TRAFICO DE EMP.ASOC.,
1,4,3,19,544,CREDITOS A CORTO PLAZO AL PERSONAL,
1,4,3,20,550,TITULAR DE LA EXPLOTACION,
1,4,3,21,551,CUENTA CORRIENTE CON EMPRESAS DEL GRUPO,
1,4,3,22,552,CUENTA CORRIENTE CON EMPRESAS ASOCIADAS,
1,4,3,23,553,CUENTA CORRIENTE CON SOCIOS Y ADMINISTRADORES,
1,4,4,0,   ,IV. Inversiones financieras temporales,
1,4,4,1,530,PARTICIPACIONES A CORTO PLAZO EN EMPRESAS GRUPO,
1,4,4,2,531,PARTICIPACIONES A CORTO PLAZO EN EMPRESAS ASOC.,
1,4,4,3,532,VALORES DE RENTA FIJA A CORTO PLAZO EMPRESAS GRUPO,
1,4,4,4,533,VALORES DE RENTA FIJA A CORTO PLAZO EMPRESAS ASOC.,
1,4,4,5,534,CREDITOS A CORTO PLAZO A EMPRESAS DEL GRUPO,
1,4,4,6,535,CREDITOS A CORTO PLAZO A EMPRESAS ASOC.,
1,4,4,7,536,INTERES CORTO PLAZO INVERSIONES FINANC. EMP.GRUPO,
1,4,4,8,537,INTERESES CORTO PLAZO INVERSIONES FINANC. EMP.ASOC.,
1,4,4,9,538,DESEMBOLSOS PENDTES. ACCIONES CORTO PLAZO EMP.GRUPO,
1,4,4,10,539,DESEMBOLSOS PENDTES. ACCIONES CORTO PLAZO EMP.ASOC.,
1,4,4,11,540,INVERSIONES FINANCIERAS TEMPORALES EN CAPITAL,
1,4,4,12,541,VALORES DE RENTA FIJA A CORTO PLAZO,
1,4,4,13,542,CREDITOS A CORTO PLAZO,
1,4,4,14,543,CREDITOS A CORTO POR ENAJENACION INMOVILIZADO,
1,4,4,15,545,DIVIDENDO A COBRAR,
1,4,4,16,546,INTERESES A CORTO PLAZO DE VALORES DE RENTA FIJA,
1,4,4,17,547,INTERESES A CORTO PLAZO DE CREDITOS,
1,4,4,18,548,IMPOSICIONES A CORTO PLAZO,
1,4,4,19,549,DESEMBOLSOS PENDIENTES SOBRE ACCIONES A CORTO PLAZO,
1,4,4,20,565,FIANZAS CONSTITUIDAS A CORTO PLAZO,
1,4,4,21,566,DEPOSITOS CONSTITUIDOS A CORTO PLAZO,
1,4,4,22,593,PROV.DEPREC.VALORES NEGOC.CORTO PLAZO DE EMP.GRUPO,
1,4,4,23,594,PROV.DEPREC.VALORES NEGOC.CORTO PLAZO DE EMP.ASOC.,
1,4,4,24,595,PROV.INSOLV.CREDITOS CORTO PLAZO EMPRESAS DEL GRUPO,
1,4,4,25,596,PROV.INSOLV.CREDITOS CORTO PLAZO EMPRESAS ASOC.,
1,4,4,26,597,PROV.POR DEPREC.DE VALORES NEGOC. A CORTO PLAZO,
1,4,4,27,598,PROV. INSOLV. CREDITOS A CORTO PLAZO,
1,4,5,0,   ,V. Acciones propias a corto plazo,
1,4,6,0,   ,VI. Tesorería,
1,4,6,1,570,CAJA,
1,4,6,2,571,CAJA MONEDA EXTRANJERA,
1,4,6,3,572,BANCOS E INSTITUCIONES DE CREDITO C.C. VISTA,
1,4,6,4,573,BANCOS E INSTITUCIONES DE CREDITO C.C. VISTA MON.EXTRANJERA,
1,4,6,5,574,BANCOS E INSTITUCIONES DE CREDITO CUENTAS DE AHORRO,
1,4,6,6,575,BANCOS E INSTITUCIONES DE CREDITO CUENTAS DE AHORRO MON.EXTR,
1,4,6,7,579,TRASPASO DE FONDOS,
1,4,7,0,   ,VII. Ajustes por periodificación,
1,4,7,1,480,GASTOS ANTICIPADOS,
1,4,7,2,580,INTERESES PAGADOS POR ANTICIPADO,
2,0,0,0,   ,PASIVO,
2,1,0,0,   ,A) FONDOS PROPIOS,
2,1,1,0,   ,I. Capital suscrito,
2,1,1,1,100,CAPITAL SOCIAL,
2,1,1,2,101,FONDO SOCIAL,
2,1,1,3,102,CAPITAL,
2,1,2,0,   ,II. Prima de emisión,
2,1,2,1,110,PRIMA DE EMISION DE ACCIONES,
2,1,3,0,   ,III. Reserva de revalorización,
2,1,3,1,111,RESERVAS DE REVALORIZACION,
2,1,4,0,   ,IV. Reservas,
2,1,4,1,112,RESERVA LEGAL,
2,1,4,2,113,RESERVAS ESPECIALES,
2,1,4,3,114,RESERVAS PARA ACCIONES DE LA SOCIEDAD DOMINANTE,
2,1,4,4,115,RESERVAS PARA ACCIONES PROPIAS,
2,1,4,5,116,RESERVAS ESTATUTARIAS,
2,1,4,6,117,RESERVAS VOLUNTARIAS,
2,1,4,7,118,RESERVA POR CAPITAL AMORTIZADO,
2,1,5,0,   ,V. Resultados de ejercicios anteriores,
2,1,5,1,120,REMANENTE,
2,1,5,2,121,RESULTADOS NEGATIVOS EJERCICIOS ANTERIORES,
2,1,5,3,122,APORTACIONES DE SOCIOS PARA COMPESACION DE PERDIDAS,
2,1,6,0,   ,VI. Pérdidas y ganancias ( Beneficio o Pérdida ),
2,1,6,1,129,PERDIDAS Y GANANCIAS,
2,1,7,0,   ,VII. Dividendo a cuenta entregado en el ejercicio,
2,1,7,1,557,DIVIDENDO ACTIVO A CUENTA,
2,1,8,0,   ,VIII. Acciones propias para reducción de capital,
2,1,8,1,199,ACCIONES PROPIAS PARA REDUCCION DE CAPITAL,
2,2,0,0,   ,B) INGRESOS A DISTRIBUIR EN VARIOS EJERCICIOS,
2,2,1,0,130,SUBVENCIONES OFICIALES DE CAPITAL,
2,2,2,0,131,SUBVENCIONES DE CAPITAL,
2,2,3,0,135,INGRESOS POR INTERESES DIFERIDOS,
2,2,4,0,136,DIFERENCIAS POSITIVAS EN MONEDA EXTRANJERA,
2,3,0,0,   ,C) PROVISIONES PARA RIESGOS Y GASTOS,
2,3,1,0,140,PROVISION PARA PENSIONES Y OBLIG. SIMILARES,
2,3,2,0,141,PROVISION PARA IMPUESTOS,
2,3,3,0,142,PROVISION PARA RESPONSABILIDADES,
2,3,4,0,143,PROVISION PARA GRANDES REPARACIONES,
2,3,5,0,144,FONDO DE REVERSION,
2,4,0,0,   ,D) ACREEDORES A LARGO PLAZO,
2,4,1,0,150,OBLIGACIONES Y BONOS,
2,4,2,0,151,OBLIGACIONES Y BONOS CONVERTIBLES,
2,4,3,0,155,DEUDAS REPRESENTADAS EN OTROS VALORES NEGOCIABLES,
2,4,4,0,160,DEUDAS A LARGO PLAZO CON EMPRESAS DEL GRUPO,
2,4,5,0,161,DEUDAS A LARGO PLAZO CON EMPRESAS ASOC.,
2,4,6,0,162,DEUDAS A LARGO PLAZO CON ENTIDADES CRDTO. GRUPO,
2,4,7,0,163,DEUDAS A LARGO PLAZO CON ENTIDADES CRDTO. ASOCIAD.,
2,4,8,0,164,PROVEEDORES DE INMOV. LARGO PLAZO EMPRESAS DEL GRUPO,
2,4,9,0,165,PROVEEDORES DE INMOV. LARGO PLAZO EMPRESAS ASOC.,
2,4,10,0,170,DEUDAS A LARGO PLAZO CON ENTIDADES DE CREDITOS,
2,4,11,0,171,DEUDAS A LARGO PLAZO,
2,4,12,0,172,DEUDAS A LARGO PLAZO TRANSFORMABLES EN SUBVENCIONES,
2,4,13,0,173,PROVEEDORES DE INMOB. LARGO PLAZO,
2,4,14,0,174,EFECTOS A PAGAR A LARGO PLAZO,
2,4,15,0,178,ACREEDORES A LARGO PLAZO POR ARRENDAMIENTOS FINANCIEROS,
2,4,16,0,180,FIANZAS RECIBIDAS A LARGO PLAZO,
2,4,17,0,185,DEPOSITOS RECIBIDOS A LARGO PLAZO,
2,4,18,0,248,DESEMBOLSOS PENDIENTES SOBRE ACC.DE EMP.DEL GRUPO,
2,4,19,0,249,DESEMBOLSOS PENDIENTES SOBRE ACC.DE EMP.ASOC.,
2,4,20,0,259,DESEMBOLSOS PENDIENTES SOBRE ACCIONES,
2,5,0,0,   ,E) ACREEDORES A CORTO PLAZO,
2,5,1,0,400,PROVEEDORES,
2,5,2,0,401,PROVEEDORES EFECTOS COMERCIALES A PAGAR,
2,5,3,0,402,PROVEEDORES EMPRESAS DEL GRUPO,
2,5,4,0,403,PROVEEDORES EMPRESAS ASOCIADAS,
2,5,5,0,406,ENVASES Y EMBALAJES A DEVOLVER A PROVEEDORES,
2,5,6,0,410,ACREEDORES POR PRESTACIONES DE SERVICIOS,
2,5,7,0,411,ACREEDORES EFECTOS COMERCIALES A COBRAR,
2,5,8,0,419,ACREEDORES POR OPERACIONES EN COMUN,
2,5,9,0,437,ANTICIPOS DE CLIENTES,
2,5,10,0,465,REMUNERACIONES PENDIENTES DE PAGO,
2,5,11,0,473,"HACIENDA PUBLICA, RETENCIONES Y PAGOS A CUENTA",
2,5,12,0,475,"HACIENDA PUBLICA, ACREEDOR POR CONCEPTOS FISCALES",
2,5,13,0,476,ORGANISMOS DE LA SEGURIDAD SOCIAL ACREEDORES,
2,5,14,0,477,HACIENDA PUBLICA IVA REPERCUTIDO,
2,5,15,0,478,OTRAS ADM.PUBL. ACREEDORES P/IMPTOS.,
2,5,16,0,479,IMPUESTOS SOBRE BENEFICIOS DIFERIDO,
2,5,17,0,485,INGRESOS ANTICIPADOS,
2,5,18,0,489,OTROS AJUSTES POR PERIODIFICACION,
2,5,19,0,499,PROVISION PARA OTRAS OPERACIONES DE TRAFICO,
2,5,20,0,500,OBLIGACIONES Y BONOS CORTO PLAZO,
2,5,21,0,501,OBLIGACIONES Y BONOS CONV. CORTO PLAZO,
2,5,22,0,505,DEUDAS REPRESENTADAS EN OTROS VALOR.NEGOC.CORTO PLAZO,
2,5,23,0,506,INTERESES EMPRESTITOS Y OTRAS EMISIONES ANALOGAS,
2,5,24,0,509,VALORES NEGOCIABLES AMORTIZADOS,
2,5,25,0,510,DEUDAS A CORTO PLAZO CON EMPRESAS DEL GRUPO,
2,5,26,0,511,DEUDAS A CORTO PLAZO CON EMPRESAS ASOC.,
2,5,27,0,512,DEUDAS A CORTO PLAZO CON ENTIDADES DE CREDITO GRUPO,
2,5,28,0,513,DEUDAS A CORTO PLAZO CON ENTIDADES DE CREDITO ASOC.,
2,5,29,0,514,PROVEEDORES DE INMOV.CORTO PLAZO EMPRESAS DEL GRUPO,
2,5,30,0,515,PROVEEDORES DE INMOV.CORTO PLAZO EMPRESAS ASOCIADAS,
2,5,31,0,516,INTERESES A CORTO PLAZO DE DEUDAS CON EMP.GRUPO,
2,5,32,0,517,INTERESES A CORTO PLAZO DE DEUDAS CON EMP.ASOC.,
2,5,33,0,520,DEUDAS A CORTO PLAZO CON ENTIDADES DE CREDITO,
2,5,34,0,521,DEUDAS A CORTO PLAZO,
2,5,35,0,523,PROVEEDORES DE INMOVILIZADO A CORTO PLAZO,
2,5,36,0,524,EFECTOS COMERCIALES A PAGAR A CORTO PLAZO,
2,5,37,0,525,DIVIDENDO ACTIVO A PAGAR,
2,5,38,0,526,INTERESES A CORTO PLAZO DE DEUDAS CON ENT.CREDITO,
2,5,39,0,527,INTERESES A CORTO PLAZO DE DEUDAS,
2,5,40,0,528,ACREEDORES A CORTO PLAZO POR ARRENDAMIENTOS FINANCIEROS,
2,5,41,0,550,TITULAR DE LA EXPLOTACION,
2,5,42,0,551,CUENTA CORRIENTE CON EMPRESAS DEL GRUPO,
2,5,43,0,552,CUENTA CORRIENTE CON EMPRESAS ASOC.,
2,5,44,0,553,CUENTA CORRIENTE CON SOCIOS Y ADMINISTRADORES,
2,5,45,0,555,PARTIDAS PENDIENTES DE APLICACION,
2,5,46,0,556,DESEMBOLSOS EXIGIDOS SOBRE ACCIONES,
2,5,47,0,560,FIANZAS RECIBIDAS A CORTO PLAZO,
2,5,48,0,561,DEPOSITOS RECIBIDOS A CORTO PLAZO,
2,5,49,0,585,INTERESES COBRADOS POR ANTICIPADO,
2,6,0,0,   ,F) PROVISIONES PARA RIESGOS Y GASTOS A CORTO PLAZO,
