id,tabla,campo,etiqueta,usarEtiquetasIni,propVisualizacion,tiposPlantilla
149,cliValoresPerfil,38,38,,,
150,cliValoresPerfil,39,39,,,
151,cliValoresPerfil,40,40,,,
152,cliValoresPerfil,41,41,,,
153,cliValoresPerfil,42,42,,,
154,cliValoresPerfil,43,43,,,
155,cliValoresPerfil,44,44,,,
156,cliValoresPerfil,45,45,,,
157,soccli,notario,Notario,,,
158,soccli,sociedad,Denominación Social,,,
159,soccli,numproto,Núm. de Protocolo,,,
160,soccli,capital,Capital Social,,,
161,soccli,fechaCapSocial,Fecha Actualización Capital Social,,,
162,soccli,acciones,Nº Acciones/Participaciones,,,
163,soccli,fechaconsti,Fecha Constitución,,,
164,soccli,CNAE,CNAE 2009,,,
165,soccli,formaorgadm,Forma del Organo de Administración,,,
166,soccli,fechaorgadm,Fecha del Organo de Administración,,,
167,soccli,fechacaducidad,Fecha Caducidad Cargo,,,
168,soccli,objetosocial,Objeto Social,,,
169,soccli,socarchivo,Archivo,,,
170,soccli,socfolio,Folio,,,
171,soccli,sochoja,Hoja,,,
172,soccli,socinscripcion,Inscripción,,,
173,soccli,socregistro,Registro,,,
174,soccli,soctomo,Tomo,,,
175,soccli,valoracc,Valor Acciones/Participaciones,,,
176,soccli,diario,Diario,,,
177,soccli,asiento,Asiento,,,
178,soccli,presidente,Presidente,,,
179,soccli,secretario,Secretario,,,
180,soccli,clasejunta,Clase Junta,,,
181,sociesoc,socio,Socio,,,
182,sociesoc,nifsoc,NIF,,,
183,sociesoc,acciones,Nº Acciones/Participaciones,,,
184,sociesoc,valornominal,Valor Nominal Participaciones,,,
185,sociesoc,valorpartic,Valor Participaciones,,,
186,sociesoc,porcapital,% Capital,,,
187,sociesoc,sssoc,Núm. Seguridad Social,,,
188,sociesoc,domiciliosoc,Dirección,,,
189,sociesoc,codpostal,Código Postal,,,
190,sociesoc,poblacion,Población,,,
191,sociesoc,provincia,Provincia,,,
192,sociesoc,pais,País,,,
193,sociesoc,primaemision,Prima de Emisión,,,
194,sociesoc,Nacionalidad,Nacionalidad,,,
195,sociesoc,fechanacsoc,Fecha de Nacimiento,,,#
196,socieadm,numSS,Núm. Seguridad Social,,,
197,socieadm,fechanac,Fecha Nacimiento,,,
198,socieadm,estadocivil,Estado Civil,,,
199,socieadm,direccion,Dirección,,,
200,socieadm,codpostal,Código Postal,,,
201,socieadm,poblacion,Población,,,
202,socieadm,provincia,Provincia,,,
203,socieadm,pais,País,,,
204,socieadm,Nacionalidad,Nacionalidad,,,
205,socieadm,estadoAdmin,Estado,,,
206,socieadm,fechapoder,F. Poder/Elevación a Escritura Pública,,,
207,socieadm,duracion,Duración (años),,,
208,socieadm,fechavence,Fecha Vencimiento,,,
209,socieadm,fechacese,Fecha Cese,,,
210,socieadm,notas,Notas,,,
211,socieadm,administrador,Administrador,,,#
212,socieadm,cargo,Cargo,,,#
213,socieadm,fechanombramiento,Fecha Nombramiento,,,#
214,socieadm,snif,NIF/CIF,,,#
215,socieadm,notaria,Notaría,,,#
216,sociemie,miembros,Miembro,,,
217,sociemie,cargo,Cargo,,,
218,sociemie,duracion,Duración,,,
219,sociemie,fechanombramiento,Fecha Nombramiento,,,
220,sociemie,snif,NIF/CIF,,,
221,sociemie,notaria,Notaría,,,
222,sociemie,numSS,Núm. Seguridad Social,,,
223,sociemie,fechanac,Fecha Nacimiento,,,
224,sociemie,estadocivil,Estado Civil,,,
225,sociemie,direccion,Dirección,,,
226,sociemie,codpostal,Código Postal,,,
227,sociemie,poblacion,Población,,,
228,sociemie,provincia,Provincia,,,
229,sociemie,pais,País,,,
230,sociemie,Nacionalidad,Nacionalidad,,,
231,sociemie,naturalezaPoder,Estado,,,
232,sociemie,fechapoder,F. Poder/Elevación a Escritura Pública,,,
233,sociemie,fechavence,Fecha Vencimiento,,,
234,sociemie,fechacese,Fecha Cese,,,
235,sociemie,notas,Notas,,,
236,sociecon,consejero,Consejero,,,
237,sociecon,cargo,Cargo,,,
238,sociecon,duracion,Duración,,,
239,sociecon,fechanombramiento,Fecha Nombramiento,,,
240,sociecon,snif,NIF/CIF,,,
241,sociecon,notaria,Notaría,,,
242,sociecon,numSS,Núm. Seguridad Social,,,
243,sociecon,fechanac,Fecha Nacimiento,,,
244,sociecon,estadocivil,Estado Civil,,,
245,sociecon,direccion,Dirección,,,
246,sociecon,codpostal,Código Postal,,,
247,sociecon,poblacion,Población,,,
248,sociecon,provincia,Provincia,,,
249,sociecon,pais,País,,,
250,sociecon,Nacionalidad,Nacionalidad,,,
251,sociecon,naturalezaPoder,Estado,,,
252,sociecon,fechapoder,F. Poder/Elevación a Escritura Pública,,,
253,sociecon,fechavence,Fecha Vencimiento,,,
254,sociecon,fechacese,Fecha Cese,,,
255,sociecon,notas,Notas,,,
256,socieapo,apoderado,Apoderado,,,
257,socieapo,cargo,Cargo,,,
258,socieapo,duracion,Duración,,,
259,socieapo,fechanombramiento,Fecha Nombramiento,,,
260,socieapo,snif,NIF/CIF,,,
261,socieapo,notaria,Notaría,,,
262,socieapo,numSS,Núm. Seguridad Social,,,
263,socieapo,fechanac,Fecha Nacimiento,,,
264,socieapo,estadocivil,Estado Civil,,,
265,socieapo,direccion,Dirección,,,
266,socieapo,codpostal,Código Postal,,,
267,socieapo,poblacion,Población,,,
268,socieapo,provincia,Provincia,,,
269,socieapo,pais,País,,,
270,socieapo,Nacionalidad,Nacionalidad,,,
271,socieapo,naturalezaPoder,Estado,,,
272,socieapo,fechapoder,F. Poder/Elevación a Escritura Pública,,,
273,socieapo,fechavence,Fecha Vencimiento,,,
274,socieapo,fechacese,Fecha Cese,,,
275,socieapo,notas,Notas,,,
276,socieapo,naturalezaPoder,Naturaleza Poder,,,
277,socieapo,inscripcion,Inscripción,,,
278,socieescrituras,socienotas,Escrituras y Contratos,,,
279,socielibrosofi,librosoficiales,Libros Oficiales,,,
280,socielib,año,Año,,,
281,socielib,fecha,Fecha,,,
282,socielib,libro,Descripción,,,
283,socielib,tipolibro,Tipo de Libro,,,
284,sociecue,cuentas,Cuenta,,,
285,sociecue,fecha,Fecha,,,
286,sociecue,presentado,Presentado,,,
287,sociereten,descripcion,Descripción,,,
288,sociereten,fecha,Fecha,,,
289,fiscli,contingenciafiscal,Contingencia Fiscal,,,
290,fiscli,regimenfiscal,Régimen Fiscal,,,
291,riesgocli,riesgofiscal,Riesgo,,,
292,quiebracli,quiebra,Quiebra,,,
293,cliiae,fecha,Fecha Alta,,,
294,cliiae,iae,IAE,,,
295,cliiae,tipo,Tipo,,,
296,cliiae,estado,Estado,,,
297,cliiae,fechaBaja,Fecha Baja,,,
298,cliiae,causa,Causa,,,
299,cliresult,fecha,Fecha Alta,,,
300,cliresult,resultado,Resultado,,,
301,clisocie,fecha,Fecha Alta,,,
302,clisocie,impsocie,Cuota Impuesto Sociedades,,,
303,clisocie,tipo,Tipo,,,
304,clisocie,causa,Causa,,,
305,cliirpf,fecha,Fecha Alta,,,
306,cliirpf,Irfp,Cuota IRPF,,,
307,cliirpf,tipo,Tipo,,,
308,cliirpf,causa,Causa,,,
309,clibase,baseimp,Base Imponible,,,
310,clibase,fecha,Fecha Alta,,,
311,cliiva,fecha,Fecha Alta,,,
312,cliiva,iva,IVA,,,
313,cliiva,tipo,Tipo,,,
314,cliiva,causa,Causa,,,
315,cliivaco,fecha,Fecha Alta,,,
316,cliivaco,iva,IVA a Compensar,,,
317,admincli,hacienda,Hacienda,,,
318,admincli,segsoc,Seguridad Social,,,
319,admincli,inem,INEM,,,
320,clialquiler,fecha,Fecha Contrato,,,
321,clialquiler,duracion,Duración del Contrato,,,
322,clialquiler,fianza,Fianza,,,
323,clialquiler,retencion,Retención,,,
324,clialquiler,dirLocal,Local,,,
325,clialquiler,importe,Importe Alquiler,,,
326,clialquiler,refCatastral,Referencia Catastral,,,
327,clialquiler,superficie,Superficie,,,
328,clialquiler,telefonoLocal,Teléfono,,,
329,clialquiler,direccion,Dirección,,,
330,clialquiler,codpostal,Código Postal,,,
331,clialquiler,poblacion,Población,,,
332,clialquiler,provincia,Provincia,,,
333,clialquiler,nomdue,Nombre (Datos Propiedad),,,
334,clialquiler,dnidue,NIF/CIF (Datos Propiedad),,,
335,clialquiler,emailProp,Correo Electrónico (Datos Propiedad),,,
336,clialquiler,telefonoProp,Teléfono (Datos Propiedad),,,
337,clialquiler,nomadm,Nombre (Datos Administrador),,,
338,clialquiler,dniAdmin,NIF/CIF (Datos Administrador),,,
339,clialquiler,emailAdmin,Correo Electrónico (Datos Administrador),,,
340,clialquiler,tlfadm,Teléfono (Datos Administrador),,,
341,contacto,cargo,Cargo,,,
342,contacto,codpostal,Código Postal,,,
343,contacto,email1,Correo Electrónico 1,,,
344,contacto,domicilio,Dirección,,,
345,contacto,movil,Móvil,,,
346,contacto,nif,NIF/CIF,,,
347,contacto,nombre,Nombre,,,
348,contacto,tipo,Tipo Contacto,,,
349,contacto,email2,Correo Electrónico 2,,,#
350,contacto,email3,Correo Electrónico 3,,,#
351,contacto,email4,Correo Electrónico 4,,,#
352,contacto,email5,Correo Electrónico 5,,,#
353,contacto,fax,Fax,,,#
354,contacto,Nacionalidad,Nacionalidad,,,#
355,contacto,notas,Notas,,,#
356,contacto,pagweb,Página Web,,,#
357,contacto,poblacion,Población,,,#+exp
358,contacto,provincia,Provincia,,,#+exp
359,contacto,telefono1,Teléfono 1,,,#+exp
360,contacto,telefono2,Teléfono 2,,,#
361,contacto,telefono3,Teléfono 3,,,#
362,terceros,scodpostalcli,Código Postal,,,
363,terceros,email,Correo Electrónico 1,,,
364,terceros,sdomiciliocli,Dirección,,,
365,terceros,smovilcli,Móvil,,,
366,terceros,snifcli,NIF/CIF,,,
367,terceros,snombrecli,Nombre,,,
368,terceros,tipofichero,Tipo Contacto,,,
369,tercerosppal,scodpostalcli,Código Postal,,,
370,tercerosppal,email,Correo Electrónico 1,,,
371,tercerosppal,sdomiciliocli,Dirección,,,
372,tercerosppal,smovilcli,Móvil,,,
373,tercerosppal,snifcli,NIF/CIF,,,
374,tercerosppal,snombrecli,Nombre,,,
375,tercerosppal,tipofichero,Tipo Contacto,,,
376,cliasociados,scodpostalcli,Código Postal,,,
377,cliasociados,email,Correo Electrónico 1,,,
378,cliasociados,sdomiciliocli,Dirección,,,
379,cliasociados,smovilcli,Móvil,,,
380,cliasociados,snifcli,NIF/CIF,,,
381,cliasociados,snombrecli,Nombre,,,
382,cliasociados,stelefonocli,Teléfono 1,,,
383,cliasociados,tipofichero,Tipo Cliente,,,
384,cliasegu,scodpostalcli,Código Postal,,,
385,cliasegu,email,Correo Electrónico 1,,,
386,cliasegu,sdomiciliocli,Dirección,,,
387,cliasegu,smovilcli,Móvil,,,
388,cliasegu,snifcli,NIF/CIF,,,
389,cliasegu,snombrecli,Nombre,,,
390,cliasegu,stelefonocli,Teléfono 1,,,
391,cliasegu,tipofichero,Tipo Aseguradora,,,
392,clifam,scodpostalcli,Código Postal,,,
393,clifam,email,Correo Electrónico 1,,,
394,clifam,sdomiciliocli,Dirección,,,
395,clifam,smovilcli,Móvil,,,
396,clifam,snifcli,NIF/CIF,,,
397,clifam,snombrecli,Nombre,,,
398,clifam,spoblacioncli,Población,,,#
399,clifam,stelefonocli,Teléfono 1,,,
400,clifam,tipofichero,Tipo Tutor,,,
401,clifam,telefono2,Teléfono 2,,,#
402,clifam,telefono3,Teléfono 3,,,#
403,financli,scodpostalcli,Código Postal,,,
404,financli,email,Correo Electrónico 1,,,
405,financli,sdomiciliocli,Dirección,,,
406,financli,smovilcli,Móvil,,,
407,financli,snifcli,NIF/CIF,,,
408,financli,snombrecli,Nombre,,,
409,financli,spoblacioncli,Población,,,#
410,financli,stelefonocli,Teléfono 1,,,
411,financli,tipofichero,Tipo Financiador,,,
412,financli,telefono2,Teléfono 2,,,#
413,financli,telefono3,Teléfono 3,,,#
414,voluncli,scodpostalcli,Código Postal,,,
415,voluncli,email,Correo Electrónico 1,,,
416,voluncli,sdomiciliocli,Dirección,,,
417,voluncli,smovilcli,Móvil,,,
418,voluncli,snifcli,NIF/CIF,,,
419,voluncli,snombrecli,Nombre,,,
420,voluncli,spoblacioncli,Población,,,#
421,voluncli,stelefonocli,Teléfono 1,,,
422,voluncli,tipofichero,Tipo Voluntario,,,
423,voluncli,telefono2,Teléfono 2,,,#
424,voluncli,telefono3,Teléfono 3,,,#
425,segcli,estadosalaespera,Estado,,,
426,segcli,sactuacion,Descripción,,,
427,segcli,dfechaact,Fecha Actuación,,,
428,segcli,fecharealizacion,Fecha Realización,,,
429,segcli,horafinact,Hora Fin,,,
430,segcli,horainiact,Hora Inicio,,,
431,segcli,notas,Notas,,,
432,segcli,notas2,Notas2,,,#
433,segcli,notas3,Notas3,,,#
434,segcli,notas4,Notas4,,,#
435,segcli,notas5,notas5,,,#
436,segcli,notas6,notas6,,,#
437,segcli,precio,Precio,,,
438,segcli,realizada,Realizada,,,
439,segcli,tiempo,Tiempo,,,
440,segcli,tipo,Tipo Actuación,,,
441,segcli,usuario,Usuario Actuación,,,
442,segcli,preciocoste,Precio Coste,,,#
443,segcli,publicar,Acceso Clientes,,,#
444,clientesultactu,sactuacion,Descripción,,,#
445,clientesultactu,dfechaact,Fecha Actuación,,,#
446,clientesultactu,fecharealizacion,Fecha Realización,,,#
447,clientesultactu,horafinact,Hora Fin,,,#
448,clientesultactu,horainiact,Hora Inicio,,,#
449,clientesultactu,notas,Notas,,,#
450,clientesultactu,precio,Precio,,,#
451,clientesultactu,acturealizada,Realizada,,,#
452,clientesultactu,tiempo,Tiempo,,,#
453,clientesultactu,tipo,Tipo Actuación,,,#
454,clientesultactu,usuario,Usuario Actuación,,,#
455,historiaclinica,historiaclinica,Historia Clínica,,,
456,tratamientopac,dctotratamiento,% Dcto Línea,,,
457,tratamientopac,caraTexto,Cara,,,
458,tratamientopac,fechaAlta,Fecha Tratamiento,,,
459,tratamientopac,descripcion,Descripción,,,
460,tratamientopac,horaInicio,Hora Inicio Tratamiento,,,
461,tratamientopac,horaFinal,Hora Fin Tratamiento,,,
462,tratamientopac,importetratamiento,Importe Tratamiento,,,
463,tratamientopac,piezas,Pieza,,,
464,tratamientopac,preciotratamiento,Precio Tratamiento,,,
465,tratamientopac,referencia,Ref. Tratamiento,,,
466,tratamientopac,tiempo,Tiempo Tratamiento,,,
467,tratamientopac,usuariotratam,Usuario Tratamiento,,,
468,oporcliserv,oportunidad,Descripción,,,
469,oporcliserv,estado,Estado,,,
470,oporcliserv,etapa,Etapa,,,
471,oporcliserv,dfecha,Fecha,,,
472,oporcliserv,fechacierre,Fecha Cierre,,,
473,oporcliserv,horaalta,Hora,,,
474,oporcliserv,hora,Hora Cierre,,,
475,oporcliserv,tipo,Tipo,,,
476,oporcliserv,subusuario,Usuario,,,
477,vlistadobonos,consumido,Consumido,,,
478,vListadoBonos,Descripcion,Descripción,,,
479,vlistadobonos,descuento,Descuento,,,
480,vlistadobonos,disponible,Disponible,,,
481,vlistadobonos,estado,Estado,,,
482,vListadoBonos,FechaAlta,Fecha Alta,,,
483,vlistadobonos,fechacaducidad,Fecha Caducidad,,,
484,vlistadobonos,total,Importe,,,
485,vlistadobonos,notas,Notas,,,
486,vListadoBonos,NumBono,Núm Bono,,,
487,vListadoBonos,Importe,Precio,,,
488,vlistadobonos,unidades,Sesiones,,,
489,vListadoBonos,TipoBono,Tipo Bono,,,
490,vlistadobonos,totalresumen,Total,,,
491,vlistadobonos,nomsubusu,Usuario,,,
492,vListadoBonos,Realizado,Realizado,,,#
493,vlistadobonos,referencia,Referencia,,,#
494,vlistadobonos,unidadesrecarga,Unidades Recarga,,,#
495,vlistadobonos,notas2,Notas2,,,#
496,vlistadobonos,notas3,Notas3,,,#
497,vlistadobonos,notas4,Notas4,,,#
498,vlistadobonos,notas5,Notas5,,,#
499,vlistadobonos,notas6,Notas6,,,#
500,servicioscli,descripcion,Descripción,,,
501,servicioscli,nomsubusu,Usuario,,,
502,servicioscli,unidades,Unidades,,,
503,servicioscli,preciounitario,Precio Ud.,,,
504,servicioscli,importe,Importe,,,
505,servicioscli,dcto,%Dcto,,,
506,servicioscli,baseimponible,Base Imponible,,,
507,servicioscli,fecha,Fecha Alta,,,
508,servicioscli,descripcionperiodo,Frecuencia,,,
509,servicioscli,formapago,Forma de Cobro,,,
510,servicioscli,fechavencimiento,Próximo Vencimiento,,,
511,servicioscli,fechaproxfactura,Próxima Factura,,,
512,servicioscli,fechabaja,Fecha Baja,,,
513,servicioscli,notas,Notas,,,
514,oporclipia,oportunidad,Descripción,,,
515,oporclipia,estado,Estado,,,
516,oporclipia,etapa,Etapa,,,
517,oporclipia,dfecha,Fecha,,,
518,oporclipia,fechacierre,Fecha Cierre,,,
519,oporclipia,fechaseguimiento,Fecha Próx. Revisión,,,
520,oporclipia,tipo,Tipo,,,
521,objetivosoportunidad,cumplimiento,Cumplimiento,,,
522,objetivosoportunidad,especialidad,Especialidad,,,
523,objetivosoportunidad,sdescripcion,Objetivo,,,
524,objetivosoportunidad,tipo,Tipo,,,
525,programas,especialidad,Especialidad,,,
526,programas,fechafin,Fecha Fin,,,
527,programas,fechaini,Fecha Inicio,,,
528,programas,objetivo,Objetivo,,,
529,programas,programa,Programa,,,
530,segcliPIA,sactuacion,Descripción,,,
531,segcliPIA,estadosalaespera,Estado,,,
532,segcliPIA,dfechaact,Fecha Actuación,,,
533,segcliPIA,fecharealizacion,Fecha Realización,,,
534,segcliPIA,horafinact,Hora Fin,,,
535,segcliPIA,horainiact,Hora Inicio,,,
536,segcliPIA,notas,Notas,,,
537,segcliPIA,precio,Precio,,,
538,segcliPIA,realizada,Realizada,,,
539,segcliPIA,tiempo,Tiempo,,,
540,segcliPIA,tipo,Tipo Actuación,,,
541,segcliPIA,usuario,Usuario Actuación,,,
542,trabajadorpia,dptotrabajador,Departamento,,,
543,trabajadorpia,nomtrabajador,Nombre,,,
544,escala,escala,Escala,,bVerEscalas,
545,recobrodeudor,scodpostalclideudor,Código Postal Deudor,,,
546,recobrodeudor,sdomicilioclideudor,Dirección Deudor,,,
547,recobrodeudor,smovilclideudor,Móvil Deudor,,,
548,recobrodeudor,snifclideudor,Nif Deudor,,,
549,recobrodeudor,nombredeudor,Nombre Deudor,,,
550,recobrodeudor,spoblacionclideudor,Población Deudor,,,
551,recobrodeudor,sprovinciaclideudor,Provincia Deudor,,,
552,recobrodeudor,stelefonoclideudor,Teléfono 1 Deudor,,,
553,recobrodeudor,totalsaldodeudor,Total Saldo Deudor,,,
554,recobrocliente,scodpostalclicliente,Código Postal Cliente,,,
555,recobrocliente,sdomicilioclicliente,Dirección Cliente,,,
556,recobrocliente,smovilclicliente,Móvil Cliente,,,
557,recobrocliente,snifclicliente,Nif Cliente,,,
558,recobrocliente,snombreclicliente,Nombre Cliente,,,
559,recobrocliente,spoblacionclicliente,Población Cliente,,,
560,recobrocliente,sprovinciaclicliente,Provincia Cliente,,,
561,recobrocliente,stelefonoclicliente,Teléfono 1 Cliente,,,
562,recobroexpediente,iyear,Año Exp,,,
563,recobroexpediente,descripcionexp,Descripción Expediente,,,
564,recobroexpediente,expediente,Núm Exp,,,
565,recobroexpediente,refexpediente,Ref Expediente,,,
566,recobroexpediente,refpropia,Ref Propia,,,
567,recobroexpediente,tipoasunto,Tipo Asunto,,bVerExpTipoAsun,
568,recobroexpediente,tipoexp,Tipo Expediente,,,
569,recobroexpediente,tipoprocedi,Tipo Procedimiento,,bVerExpTipoProc,
570,recobrooporcli,oportunidad,Descripción,,,
571,recobrooporcli,estado,Estado,,,
572,recobrooporcli,etapa,Etapa,,,
573,recobrooporcli,dfecha,Fecha Alta,,,
574,recobrooporcli,fechacierre,Fecha Cierre,,,
575,recobrooporcli,fechaseguimiento,Fecha Seguimiento,,,
576,recobrooporcli,horaalta,Hora Alta,,,
577,recobrooporcli,hora,Hora Cierre,,,
578,recobrooporcli,horaseguimiento,Hora Seguimiento,,,
579,recobrooporcli,saldoRecobros,Saldo,,,
580,recobrooporcli,TotEntradas,Total Entradas,,,
581,recobrooporcli,TotSalidas,Total Salidas,,,
582,recobrooporcli,nombreusuario,Usuario,,,
583,movrecobros,sdescripcion,Descripción,,,
584,movrecobros,dfecha,Fecha,,,
585,movrecobros,importe,Importe,,,
586,movrecobros,tipo,Tipo,,,
587,historialrecobros,sactuacion,Descripción,,,
588,historialrecobros,dfechaact,Fecha Actuación,,,
589,historialrecobros,fecharealizacion,Fecha Realización,,,
590,historialrecobros,notas,Notas,,,
591,historialrecobros,tipo,Tipo Actuación,,,
592,historialrecobros,usuario,Usuario,,,
593,clipers3,perso7,CliPer7,1,,
594,clipers3,perso9,CliPer9,1,,
595,clipers3,perso5,CliPer5,1,,
596,clipers3,perso26,Clidonde,1,,
597,clipers3,perso25,Clidosis,1,,
598,clipers3,perso4,CliPer4,1,,
599,clipers3,persofecha1,CliPerFecha1,1,,
600,clipers3,persofecha6,CliPerFecha6,1,,
