id,idramo,ipestana,scampo,setiqueta,bvisible,bdesplegable
242,5,1,campo1gar,Asistencia Primaria,1,1
243,5,0,campo2inf,Estatura,1,0
244,5,1,campo2gar,Asistencia Especializada,1,1
245,5,0,campo3inf,Peso,1,0
246,5,1,campo3gar,Tratamientos y Serv. Esp.,1,1
247,5,0,campo4inf,Tensión Arterial,1,0
248,5,1,campo4gar,Hospitalización,1,1
249,5,0,campo5inf,Fuma,1,0
250,5,1,campo5gar,Prótesis e Implantes,1,1
251,5,0,campo6inf,Consume bebidas alcohólicas,1,0
252,5,1,campo6gar,Garantía Bucodental,1,1
253,5,0,campo7inf,Consume estupefacientes,1,0
254,5,1,campo7gar,Asistencia Extranjero,1,1
255,5,0,campo8inf,He recibido medicación últimamente,1,0
256,5,1,campo8gar,Seguro de Accidentes Personales,1,1
257,5,0,campo9inf,Cuando,1,0
258,5,1,campo9gar,Campo Libre9,0,0
259,5,0,campo10inf,Causa,1,0
260,5,1,campo10gar,Campo Libre10,0,0
261,5,0,campo11inf,Está de baja,1,0
262,5,1,campo11gar,Campo Libre11,0,0
263,5,0,campo12inf,Enfermedad Grave/Trastorno,1,0
264,5,1,campo12gar,Campo Libre12,0,0
265,5,0,campo13inf,Cual,1,0
266,5,1,campo13gar,Campo Libre13,0,0
267,5,0,campo14inf,Hospitalización/Interv. Quirúrgica,1,0
268,5,1,campo14gar,Campo Libre14,0,0
269,5,0,campo15inf,Cuando,1,0
270,5,1,campo15gar,Campo Libre15,0,0
271,5,0,campo16inf,Causa,1,0
272,5,1,campo16gar,Campo Libre16,0,0
273,5,0,campo17inf,Accidente con Secuelas,1,0
274,5,1,campo17gar,Campo Libre17,0,0
275,5,0,campo18inf,Cuando,1,0
276,5,1,campo18gar,Campo Libre18,0,0
277,5,0,campo19inf,Causa,1,0
278,5,1,campo19gar,Campo Libre19,0,0
279,5,0,campo20inf,Tratamiento Médico,1,0
280,5,1,campo20gar,Campo Libre20,0,0
281,5,0,campo21inf,Cual,1,0
282,5,1,campo21gar,Campo Libre21,0,0
283,5,0,campo22inf,Deporte,1,0
284,5,1,campo22gar,Campo Libre22,0,0
285,5,0,campo23inf,Cual,1,0
286,5,1,campo23gar,Campo Libre23,0,0
287,5,0,campo24inf,Campo Libre24,0,0
288,5,1,campo24gar,Campo Libre24,0,0
289,5,0,campo25inf,Campo Libre25,0,0
290,5,1,campo25gar,Campo Libre25,0,0
291,5,0,campo26inf,Campo Libre26,0,0
292,5,1,campo26gar,Campo Libre26,0,0
293,5,0,campo27inf,Campo Libre27,0,0
294,5,1,campo27gar,Campo Libre27,0,0
295,5,0,campo28inf,Campo Libre28,0,0
296,5,1,campo28gar,Campo Libre28,0,0
297,5,0,campo29inf,Campo Libre29,0,0
298,5,1,campo29gar,Campo Libre29,0,0
299,5,0,campo30inf,Campo Libre30,0,0
300,5,1,campo30gar,Campo Libre30,0,0
301,6,0,campo1inf,Campo Libre1,0,0
302,6,1,campo1gar,Tanatorio,1,1
303,6,0,campo2inf,Campo Libre2,0,0
304,6,1,campo2gar,Gastos Extraordinarios,1,1
305,6,0,campo3inf,Campo Libre3,0,0
306,6,1,campo3gar,Orientación Jurídica,1,1
307,6,0,campo4inf,Campo Libre4,0,0
308,6,1,campo4gar,Tramitación Documentos,1,1
309,6,0,campo5inf,Campo Libre5,0,0
310,6,1,campo5gar,Atención Psicológica,1,1
311,6,0,campo6inf,Campo Libre6,0,0
312,6,1,campo6gar,Asistencia en Viaje,1,1
313,6,0,campo7inf,Campo Libre7,0,0
314,6,1,campo7gar,Repatriación/Traslado,1,1
315,6,0,campo8inf,Campo Libre8,0,0
316,6,1,campo8gar,Campo Libre8,0,0
317,6,0,campo9inf,Campo Libre9,0,0
318,6,1,campo9gar,Campo Libre9,0,0
319,6,0,campo10inf,Campo Libre10,0,0
320,6,1,campo10gar,Campo Libre10,0,0
321,6,0,campo11inf,Campo Libre11,0,0
322,6,1,campo11gar,Campo Libre11,0,0
323,6,0,campo12inf,Campo Libre12,0,0
324,6,1,campo12gar,Campo Libre12,0,0
325,6,0,campo13inf,Campo Libre13,0,0
326,6,1,campo13gar,Campo Libre13,0,0
327,6,0,campo14inf,Campo Libre14,0,0
328,6,1,campo14gar,Campo Libre14,0,0
329,6,0,campo15inf,Campo Libre15,0,0
330,6,1,campo15gar,Campo Libre15,0,0
331,6,0,campo16inf,Campo Libre16,0,0
332,6,1,campo16gar,Campo Libre16,0,0
333,6,0,campo17inf,Campo Libre17,0,0
334,6,1,campo17gar,Campo Libre17,0,0
335,6,0,campo18inf,Campo Libre18,0,0
336,6,1,campo18gar,Campo Libre18,0,0
337,6,0,campo19inf,Campo Libre19,0,0
338,6,1,campo19gar,Campo Libre19,0,0
339,6,0,campo20inf,Campo Libre20,0,0
340,6,1,campo20gar,Campo Libre20,0,0
341,6,0,campo21inf,Campo Libre21,0,0
342,6,1,campo21gar,Campo Libre21,0,0
343,6,0,campo22inf,Campo Libre22,0,0
344,6,1,campo22gar,Campo Libre22,0,0
345,6,0,campo23inf,Campo Libre23,0,0
346,6,1,campo23gar,Campo Libre23,0,0
347,6,0,campo24inf,Campo Libre24,0,0
348,6,1,campo24gar,Campo Libre24,0,0
349,6,0,campo25inf,Campo Libre25,0,0
350,6,1,campo25gar,Campo Libre25,0,0
351,6,0,campo26inf,Campo Libre26,0,0
352,6,1,campo26gar,Campo Libre26,0,0
353,6,0,campo27inf,Campo Libre27,0,0
354,6,1,campo27gar,Campo Libre27,0,0
355,6,0,campo28inf,Campo Libre28,0,0
356,6,1,campo28gar,Campo Libre28,0,0
357,6,0,campo29inf,Campo Libre29,0,0
358,6,1,campo29gar,Campo Libre29,0,0
359,6,0,campo30inf,Campo Libre30,0,0
360,6,1,campo30gar,Campo Libre30,0,0
361,7,0,campo1inf,Campo Libre1,0,0
362,7,1,campo1gar,Daños Materiales,1,1
363,7,0,campo2inf,Campo Libre2,0,0
364,7,1,campo2gar,Interrupción del Negocio,1,1
365,7,0,campo3inf,Campo Libre3,0,0
366,7,1,campo3gar,Avería Interna,1,1
367,7,0,campo4inf,Campo Libre4,0,0
368,7,1,campo4gar,R. C.,1,1
369,7,0,campo5inf,Campo Libre5,0,0
370,7,1,campo5gar,Transportes,1,1
371,7,0,campo6inf,Campo Libre6,0,0
372,7,1,campo6gar,Riesgos Extraordinarios,1,1
373,7,0,campo7inf,Campo Libre7,0,0
374,7,1,campo7gar,Robo,1,1
375,7,0,campo8inf,Campo Libre8,0,0
376,7,1,campo8gar,Rotura Lunas y Cristales,1,1
377,7,0,campo9inf,Campo Libre9,0,0
378,7,1,campo9gar,Asistencia/Defensa Jurídica,1,1
379,7,0,campo10inf,Campo Libre10,0,0
380,7,1,campo10gar,Campo Libre10,0,0
381,7,0,campo11inf,Campo Libre11,0,0
382,7,1,campo11gar,Campo Libre11,0,0
383,7,0,campo12inf,Campo Libre12,0,0
384,7,1,campo12gar,Campo Libre12,0,0
385,7,0,campo13inf,Campo Libre13,0,0
386,7,1,campo13gar,Campo Libre13,0,0
387,7,0,campo14inf,Campo Libre14,0,0
388,7,1,campo14gar,Campo Libre14,0,0
389,7,0,campo15inf,Campo Libre15,0,0
390,7,1,campo15gar,Campo Libre15,0,0
391,7,0,campo16inf,Campo Libre16,0,0
392,7,1,campo16gar,Campo Libre16,0,0
393,7,0,campo17inf,Campo Libre17,0,0
394,7,1,campo17gar,Campo Libre17,0,0
395,7,0,campo18inf,Campo Libre18,0,0
396,7,1,campo18gar,Campo Libre18,0,0
397,7,0,campo19inf,Campo Libre19,0,0
398,7,1,campo19gar,Campo Libre19,0,0
399,7,0,campo20inf,Campo Libre20,0,0
400,7,1,campo20gar,Campo Libre20,0,0
401,7,0,campo21inf,Campo Libre21,0,0
402,7,1,campo21gar,Campo Libre21,0,0
403,7,0,campo22inf,Campo Libre22,0,0
404,7,1,campo22gar,Campo Libre22,0,0
405,7,0,campo23inf,Campo Libre23,0,0
406,7,1,campo23gar,Campo Libre23,0,0
407,7,0,campo24inf,Campo Libre24,0,0
408,7,1,campo24gar,Campo Libre24,0,0
409,7,0,campo25inf,Campo Libre25,0,0
410,7,1,campo25gar,Campo Libre25,0,0
411,7,0,campo26inf,Campo Libre26,0,0
412,7,1,campo26gar,Campo Libre26,0,0
413,7,0,campo27inf,Campo Libre27,0,0
414,7,1,campo27gar,Campo Libre27,0,0
415,7,0,campo28inf,Campo Libre28,0,0
416,7,1,campo28gar,Campo Libre28,0,0
417,7,0,campo29inf,Campo Libre29,0,0
418,7,1,campo29gar,Campo Libre29,0,0
419,7,0,campo30inf,Campo Libre30,0,0
420,7,1,campo30gar,Campo Libre30,0,0
421,8,0,campo1inf,Campo Libre1,0,0
422,8,1,campo1gar,Campo Libre1,0,0
423,8,0,campo2inf,Campo Libre2,0,0
424,8,1,campo2gar,Campo Libre2,0,0
425,8,0,campo3inf,Campo Libre3,0,0
426,8,1,campo3gar,Campo Libre3,0,0
427,8,0,campo4inf,Campo Libre4,0,0
428,8,1,campo4gar,Campo Libre4,0,0
429,8,0,campo5inf,Campo Libre5,0,0
430,8,1,campo5gar,Campo Libre5,0,0
431,8,0,campo6inf,Campo Libre6,0,0
432,8,1,campo6gar,Campo Libre6,0,0
433,8,0,campo7inf,Campo Libre7,0,0
434,8,1,campo7gar,Campo Libre7,0,0
435,8,0,campo8inf,Campo Libre8,0,0
436,8,1,campo8gar,Campo Libre8,0,0
437,8,0,campo9inf,Campo Libre9,0,0
438,8,1,campo9gar,Campo Libre9,0,0
439,8,0,campo10inf,Campo Libre10,0,0
440,8,1,campo10gar,Campo Libre10,0,0
441,8,0,campo11inf,Campo Libre11,0,0
442,8,1,campo11gar,Campo Libre11,0,0
443,8,0,campo12inf,Campo Libre12,0,0
444,8,1,campo12gar,Campo Libre12,0,0
445,8,0,campo13inf,Campo Libre13,0,0
446,8,1,campo13gar,Campo Libre13,0,0
447,8,0,campo14inf,Campo Libre14,0,0
448,8,1,campo14gar,Campo Libre14,0,0
449,8,0,campo15inf,Campo Libre15,0,0
450,8,1,campo15gar,Campo Libre15,0,0
451,8,0,campo16inf,Campo Libre16,0,0
452,8,1,campo16gar,Campo Libre16,0,0
453,8,0,campo17inf,Campo Libre17,0,0
454,8,1,campo17gar,Campo Libre17,0,0
455,8,0,campo18inf,Campo Libre18,0,0
456,8,1,campo18gar,Campo Libre18,0,0
457,8,0,campo19inf,Campo Libre19,0,0
458,8,1,campo19gar,Campo Libre19,0,0
459,8,0,campo20inf,Campo Libre20,0,0
460,8,1,campo20gar,Campo Libre20,0,0
461,8,0,campo21inf,Campo Libre21,0,0
462,8,1,campo21gar,Campo Libre21,0,0
463,8,0,campo22inf,Campo Libre22,0,0
464,8,1,campo22gar,Campo Libre22,0,0
465,8,0,campo23inf,Campo Libre23,0,0
466,8,1,campo23gar,Campo Libre23,0,0
467,8,0,campo24inf,Campo Libre24,0,0
468,8,1,campo24gar,Campo Libre24,0,0
469,8,0,campo25inf,Campo Libre25,0,0
470,8,1,campo25gar,Campo Libre25,0,0
471,8,0,campo26inf,Campo Libre26,0,0
472,8,1,campo26gar,Campo Libre26,0,0
473,8,0,campo27inf,Campo Libre27,0,0
474,8,1,campo27gar,Campo Libre27,0,0
475,8,0,campo28inf,Campo Libre28,0,0
476,8,1,campo28gar,Campo Libre28,0,0
477,8,0,campo29inf,Campo Libre29,0,0
478,8,1,campo29gar,Campo Libre29,0,0
479,8,0,campo30inf,Campo Libre30,0,0
480,8,1,campo30gar,Campo Libre30,0,0
481,9,0,campo1inf,Campo Libre1,0,0
482,9,1,campo1gar,R. C. General,1,1
483,9,0,campo2inf,Campo Libre2,0,0
484,9,1,campo2gar,R. C. Cruzada,1,1
485,9,0,campo3inf,Campo Libre3,0,0
486,9,1,campo3gar,R. C. Privada,1,1
487,9,0,campo4inf,Campo Libre4,0,0
488,9,1,campo4gar,Defensa Jurídica,1,1
489,9,0,campo5inf,Campo Libre5,0,0
490,9,1,campo5gar,Accidentes Personales,1,1
491,9,0,campo6inf,Campo Libre6,0,0
492,9,1,campo6gar,R. C. Productos Terminados,1,1
493,9,0,campo7inf,Campo Libre7,0,0
494,9,1,campo7gar,Riesgos Extraordinarios,1,1
495,9,0,campo8inf,Campo Libre8,0,0
496,9,1,campo8gar,Avería Maquinaria,1,1
497,9,0,campo9inf,Campo Libre9,0,0
498,9,1,campo9gar,Transporte,1,1
499,9,0,campo10inf,Campo Libre10,0,0
500,9,1,campo10gar,Daños Materiales,1,1
501,9,0,campo11inf,Campo Libre11,0,0
502,9,1,campo11gar,Robo,1,1
503,9,0,campo12inf,Campo Libre12,0,0
504,9,1,campo12gar,Campo Libre12,0,0
505,9,0,campo13inf,Campo Libre13,0,0
506,9,1,campo13gar,Campo Libre13,0,0
507,9,0,campo14inf,Campo Libre14,0,0
508,9,1,campo14gar,Campo Libre14,0,0
509,9,0,campo15inf,Campo Libre15,0,0
510,9,1,campo15gar,Campo Libre15,0,0
511,9,0,campo16inf,Campo Libre16,0,0
512,9,1,campo16gar,Campo Libre16,0,0
513,9,0,campo17inf,Campo Libre17,0,0
514,9,1,campo17gar,Campo Libre17,0,0
515,9,0,campo18inf,Campo Libre18,0,0
516,9,1,campo18gar,Campo Libre18,0,0
517,9,0,campo19inf,Campo Libre19,0,0
518,9,1,campo19gar,Campo Libre19,0,0
519,9,0,campo20inf,Campo Libre20,0,0
520,9,1,campo20gar,Campo Libre20,0,0
521,9,0,campo21inf,Campo Libre21,0,0
522,9,1,campo21gar,Campo Libre21,0,0
523,9,0,campo22inf,Campo Libre22,0,0
524,9,1,campo22gar,Campo Libre22,0,0
525,9,0,campo23inf,Campo Libre23,0,0
526,9,1,campo23gar,Campo Libre23,0,0
527,9,0,campo24inf,Campo Libre24,0,0
528,9,1,campo24gar,Campo Libre24,0,0
529,9,0,campo25inf,Campo Libre25,0,0
530,9,1,campo25gar,Campo Libre25,0,0
531,9,0,campo26inf,Campo Libre26,0,0
532,9,1,campo26gar,Campo Libre26,0,0
533,9,0,campo27inf,Campo Libre27,0,0
534,9,1,campo27gar,Campo Libre27,0,0
535,9,0,campo28inf,Campo Libre28,0,0
536,9,1,campo28gar,Campo Libre28,0,0
537,9,0,campo29inf,Campo Libre29,0,0
538,9,1,campo29gar,Campo Libre29,0,0
539,9,0,campo30inf,Campo Libre30,0,0
540,9,1,campo30gar,Campo Libre30,0,0
541,10,0,campo1inf,Campo Libre1,0,0
542,10,1,campo1gar,Servicios Odontoestomatológicos,1,1
543,10,0,campo2inf,Campo Libre2,0,0
544,10,1,campo2gar,Libre Elección,1,1
545,10,0,campo3inf,Campo Libre3,0,0
546,10,1,campo3gar,Garantía Materiales,1,1
547,10,0,campo4inf,Campo Libre4,0,0
548,10,1,campo4gar,Teléfono de Asistencia,1,1
549,10,0,campo5inf,Campo Libre5,0,0
550,10,1,campo5gar,Campo Libre5,0,0
551,10,0,campo6inf,Campo Libre6,0,0
552,10,1,campo6gar,Campo Libre6,0,0
553,10,0,campo7inf,Campo Libre7,0,0
554,10,1,campo7gar,Campo Libre7,0,0
555,10,0,campo8inf,Campo Libre8,0,0
556,10,1,campo8gar,Campo Libre8,0,0
557,10,0,campo9inf,Campo Libre9,0,0
558,10,1,campo9gar,Campo Libre9,0,0
559,10,0,campo10inf,Campo Libre10,0,0
560,10,1,campo10gar,Campo Libre10,0,0
561,10,0,campo11inf,Campo Libre11,0,0
562,10,1,campo11gar,Campo Libre11,0,0
563,10,0,campo12inf,Campo Libre12,0,0
564,10,1,campo12gar,Campo Libre12,0,0
565,10,0,campo13inf,Campo Libre13,0,0
566,10,1,campo13gar,Campo Libre13,0,0
567,10,0,campo14inf,Campo Libre14,0,0
568,10,1,campo14gar,Campo Libre14,0,0
569,10,0,campo15inf,Campo Libre15,0,0
570,10,1,campo15gar,Campo Libre15,0,0
571,10,0,campo16inf,Campo Libre16,0,0
572,10,1,campo16gar,Campo Libre16,0,0
573,10,0,campo17inf,Campo Libre17,0,0
574,10,1,campo17gar,Campo Libre17,0,0
575,10,0,campo18inf,Campo Libre18,0,0
576,10,1,campo18gar,Campo Libre18,0,0
