Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,Cuenta,Descripcion,Importe
1,1,11,2,2,0,691,Pérdidas por deterioro del inmovilizado material,
1,1,11,2,3,0,692,Pérdidas por deterioro de las inversiones inmobiliarias,
1,1,11,2,4,0,790,Reversión del deterioro del inmovilizado intangible,
1,1,11,2,5,0,791,Reversión del deterioro del inmovilizado material,
1,1,11,2,6,0,792,Reversión del deterioro de las inversiones inmobiliarias,
1,1,11,3,0,0,,b) Resultados por enajenaciones y otras,
1,1,11,3,1,0,670,Pérdidas procedentes del inmovilizado intangible,
1,1,11,3,2,0,671,Pérdidas procedentes del inmovilizado material,
1,1,11,3,3,0,672,Pérdidas procedentes de las inversiones inmobiliarias,
1,1,11,3,4,0,770,Beneficios procedentes del inmovilizado intangible,
1,1,11,3,5,0,771,Beneficios procedentes del inmovilizado material,
1,1,11,3,6,0,772,Beneficios procedentes de las inversiones inmobiliarias,
1,2,0,0,0,0,,A.1) RESULTADO DE EXPLOTACIÓN (1+2+3+4+5+6+7+8+9+10+11),
1,2,1,0,0,0,,12. Ingresos financieros,
1,2,1,1,0,0,,a) De participaciones en instrumentos de patrimonio,
1,2,1,1,1,0,,a1) En empresas del grupo y asociadas,
1,2,1,1,1,1,7600,"Ingresos de participaciones en instrumentos de patrimonio, empresas del grupo",
1,2,1,1,1,2,7601,"Ingresos de participaciones en instrumentos de patrimonio, empresas asociadas",
1,2,1,1,2,0,,a2) En terceros,
1,2,1,1,2,1,7602,"Ingresos de participaciones en instrumentos de patrimonio, otras partes vinculadas",
1,2,1,1,2,2,7603,"Ingresos de participaciones en instrumentos de patrimonio, otras empresas",
1,2,1,2,0,0,,b) De valores negociables y créditos del activo inmovilizado,
1,2,1,2,1,0,,b1) De empresas del grupo y asociadas,
1,2,1,2,1,1,7610,"Ingresos de valores representativos de deuda, empresas del grupo",
1,2,1,2,1,2,7611,"Ingresos de valores representativos de deuda, empresas asociadas",
1,2,1,2,1,3,76200,"Ingresos de créditos a largo plazo, empresas del grupo",
1,2,1,2,1,4,76201,"Ingresos de créditos a largo plazo, empresas asociadas",
1,2,1,2,1,5,76210,"Ingresos de créditos a corto plazo, empresas del grupo",
1,2,1,2,1,6,76211,"Ingresos de créditos a corto plazo, empresas asociadas",
1,2,1,2,2,0,,b2) De terceros,
1,2,1,2,2,1,7612,"Ingresos de valores representativos de deuda, otras partes vinculadas",
1,2,1,2,2,2,7613,"Ingresos de valores representativos de deuda, otras empresas",
1,2,1,2,2,3,76202,"Ingresos de créditos a largo plazo, otras partes vinculadas",
1,2,1,2,2,4,76203,"Ingresos de créditos a largo plazo, otras empresas",
1,2,1,2,2,5,76212,"Ingresos de créditos a corto plazo, otras partes vinculadas",
1,2,1,2,2,6,76213,"Ingresos de créditos a corto plazo, otras empresas",
1,2,1,2,2,7,767,Ingresos de activos afectos y de derechos de reembolso relativos a retribuciones a largo plazo,
1,2,1,2,2,8,769,Otros ingresos financieros,
1,2,2,0,0,0,,13. Gastos financieros,
1,2,2,1,0,0,,a) Por deudas con empresas del grupo y asociadas,
1,2,2,1,1,0,6610,"Intereses de obligaciones y bonos a largo plazo, empresas del grupo",
1,2,2,1,2,0,6611,"Intereses de obligaciones y bonos a largo plazo, empresas asociadas",
1,2,2,1,3,0,6615,"Intereses de obligaciones y bonos a corto plazo, empresas del grupo",
1,2,2,1,4,0,6616,"Intereses de obligaciones y bonos a corto plazo, empresas asociadas",
1,2,2,1,5,0,6620,"Intereses de deudas, empresas del grupo",
1,2,2,1,6,0,6621,"Intereses de deudas, empresas asociadas",
1,2,2,1,7,0,6640,"Dividendos de pasivos, empresas del grupo",
1,2,2,1,8,0,6641,"Dividendos de pasivos, empresas asociadas",
1,2,2,1,9,0,6650,Intereses por descuento de efectos en entidades de crédito del grupo,
1,2,2,1,10,0,6651,Intereses por descuento de efectos en entidades de crédito asociadas,
1,2,2,1,11,0,6654,"Intereses por operaciones de ""factoring"" con entidades de crédito del grupo",
1,2,2,1,12,0,6655,"Intereses por operaciones de ""factoring"" con entidades de crédito asociadas",
1,2,2,2,0,0,,b) Por deudas con terceros,
1,2,2,2,1,0,6612,"Intereses de obligaciones y bonos a largo plazo, otras partes vinculadas",
1,2,2,2,2,0,6613,"Intereses de obligaciones y bonos a largo plazo, otras empresas",
1,2,2,2,3,0,6617,"Intereses de obligaciones y bonos a corto plazo, otras partes vinculadas",
1,2,2,2,4,0,6618,"Intereses de obligaciones y bonos a corto plazo, otras empresas",
1,2,2,2,5,0,6622,"Intereses de deudas, otras partes vinculadas",
1,2,2,2,6,0,6623,Intereses de deudas con entidades de crédito,
1,2,2,2,7,0,6624,"Intereses de deudas, otras empresas",
1,2,2,2,8,0,6642,"Dividendos de pasivos, otras partes vinculadas",
1,2,2,2,9,0,6643,"Dividendos de pasivos, otras empresas",
1,2,2,2,10,0,6652,Intereses por descuento de efectos en otras entidades de crédito vinculadas,
1,2,2,2,11,0,6653,Intereses por descuento de efectos en otras entidades de crédito,
1,2,2,2,12,0,6656,"Intereses por operaciones de ""factoring"" con otras entidades de crédito vinculadas",
1,2,2,2,13,0,6657,"Intereses por operaciones de ""factoring"" con otras entidades de crédito",
1,2,2,2,14,0,669,Otros gastos financieros,
1,2,2,3,0,0,,c) Por actualización de provisiones,
1,2,2,3,1,0,660,Gastos financieros por actualización de provisiones,
1,2,3,0,0,0,,14. Variación de valor razonable en instrumentos financieros,
1,2,3,1,0,0,,a) Cartera de negociación y otros,
1,2,3,1,1,0,6630,Pérdidas de cartera de negociación,
1,2,3,1,2,0,6631,Pérdidas de designados por la empresa,
1,2,3,1,3,0,6633,Pérdidas de instrumentos de cobertura,
1,2,3,1,4,0,7630,Beneficios de cartera de negociación,
1,2,3,1,5,0,7631,Beneficios de designados por la empresa,
1,2,3,1,6,0,7633,Beneficios de instrumentos de cobertura,
1,2,3,2,0,0,,b) Imputación al resultado del ejercicio por activos financieros disponibles para la venta,
1,2,3,2,1,0,6632,Pérdidas de disponibles para la venta,
1,2,3,2,2,0,7632,Beneficios de disponibles para la venta,
1,2,4,0,0,0,,15. Diferencias de cambio,
1,2,4,1,0,0,668,Diferencias negativas de cambio,
1,2,4,2,0,0,768,Diferencias positivas de cambio,
1,2,5,0,0,0,,16. Deterioro y resultado por enajenaciones de instrumentos financieros,
1,2,5,1,0,0,,a) Deterioros y pérdidas,
1,2,5,1,1,0,696,Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo,
1,2,5,1,2,0,697,Pérdidas por deterioro de créditos a largo plazo,
1,2,5,1,3,0,698,Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo,
1,2,5,1,4,0,699,Pérdidas por deterioro de créditos a corto plazo,
1,2,5,1,5,0,796,Reversión del deterioro de participaciones y valores representativos de deuda a largo plazo,
1,2,5,1,6,0,797,Reversión del deterioro de créditos a largo plazo,
1,2,5,1,7,0,798,Reversión del deterioro de valores representativos de deuda a corto plazo,
1,2,5,1,8,0,799,Reversión del deterioro de créditos a corto plazo,
1,2,5,2,0,0,,b) Resultados por enajenaciones y otras,
1,2,5,2,1,0,666,Pérdidas en participaciones y valores representativos de deuda,
1,2,5,2,2,0,667,Pérdidas de créditos no comerciales,
1,2,5,2,3,0,673,Pérdidas procedentes de participaciones a largo plazo en partes vinculadas,
1,2,5,2,4,0,675,Pérdidas por operaciones con obligaciones propias,
1,2,5,2,5,0,766,Beneficios en participaciones y valores representativos de deuda,
1,2,5,2,6,0,773,Beneficios procedentes de participaciones a largo plazo en partes vinculadas,
1,2,5,2,7,0,775,Beneficios por operaciones con obligaciones propias,
1,3,0,0,0,0,,A.2) RESULTADO FINANCIERO (12+13+14+15+16),
1,4,0,0,0,0,,A.3) RESULTADO ANTES DE IMPUESTOS (A.1+A.2),
1,4,1,0,0,0,,17. Impuesto sobre beneficios,
1,4,1,1,0,0,6300,Impuesto corriente,
1,4,1,2,0,0,6301,Impuesto diferido,
1,4,1,3,0,0,633,Ajustes negativos en la imposición sobre beneficios,
1,4,1,4,0,0,638,Ajustes positivos en la imposición sobre beneficios,
1,5,0,0,0,0,,A.4) RESULTADO DEL EJERCICIO PROCEDENTE DE OPERACIONES CONTINUADAS (A.3+17),
1,6,0,0,0,0,,B) OPERACIONES INTERRUMPIDAS,
1,6,1,0,0,0,,18.Resultado del ejercicio procedente de operaciones interrumpidas neto de impuestos,
1,7,0,0,0,0,,A.5) RESULTADO DEL EJERCICIO (A.4+18),
