tabla,campo,etiqueta,bocultar,orden,formato,bverword
actuaci,diasfechaven,Días para Fecha Vencimiento,1,,fecha,
actuaci,email,Correo Electrónico,0,,,
actuaci,emailenaltas,Correo Electrónico en Altas,1,,,
actuaci,fechaalta,Fecha Alta,0,,fecha,
actuaci,fechacaducidad,Fecha Caducidad Cargo,0,,fecha,
actuaci,fechaconsti,Fecha Constitución,0,,fecha,
actuaci,fechaorgadm,Fecha Organo Administración,0,,fecha,
actuaci,formaorgadm,Forma Organo Administración,0,,,
actuaci,formapago1,formapago1,1,,,
actuaci,formapago2,formapago2,1,,,
actuaci,formapago3,formapago3,1,,,
actuaci,formapago4,formapago4,1,,,
actuaci,ftotaleuro,ftotaleuro,1,,,
actuaci,honogasto,Honorarios/Gasto,1,,,
actuaci,icodcli,icodcli,1,,,
actuaci,importe,Importe,0,,,
actuaci,importe1gr1,importe1gr1,1,,,
actuaci,importe1gr2,importe1gr2,1,,,
actuaci,importe1gr3,importe1gr3,1,,,
actuaci,importe1gr4,importe1gr4,1,,,
actuaci,importe2gr1,importe2gr1,1,,,
actuaci,importe2gr2,importe2gr2,1,,,
actuaci,importe2gr3,importe2gr3,1,,,
actuaci,importe2gr4,importe2gr4,1,,,
actuaci,importe3gr1,importe3gr1,1,,,
actuaci,importe3gr2,importe3gr2,1,,,
actuaci,importe3gr3,importe3gr3,1,,,
actuaci,importe3gr4,importe3gr4,1,,,
actuaci,importe4gr1,importe4gr1,1,,,
actuaci,importe5gr1,importe5gr1,1,,,
actuaci,indice,Indice,1,,,
actuaci,librosoficiales,Libros Oficiales,0,,,
actuaci,Nacionalidad,Nacionalidad,0,,,
actuaci,notas,Notas,0,,rtf,
actuaci,notas2,notas2,1,,rtf,
actuaci,notas3,notas3,1,,rtf,
actuaci,notas4,notas4,1,,rtf,
actuaci,notas5,notas5,1,,rtf,
actuaci,notas6,notas6,1,,rtf,
actuaci,notasigu,Notas Iguala,0,,rtf,
actuaci,numigu,Núm Iguala,0,,,
actuaci,objetosocial,Objeto Social,0,,,
actuaci,Orden,Orden,0,,,
actuaci,origenimporte,Origen Importe,1,,,
actuaci,pagweb,Página Web,0,,,
actuaci,periodo1gr1,periodo1gr1,1,,,
actuaci,periodo1gr2,periodo1gr2,1,,,
actuaci,periodo1gr3,periodo1gr3,1,,,
actuaci,periodo1gr4,periodo1gr4,1,,,
actuaci,periodo2gr1,periodo2gr1,1,,,
actuaci,periodo2gr2,periodo2gr2,1,,,
actuaci,periodo2gr3,periodo2gr3,1,,,
actuaci,periodo2gr4,periodo2gr4,1,,,
actuaci,periodo3gr1,periodo3gr1,1,,,
actuaci,periodo3gr2,periodo3gr2,1,,,
actuaci,periodo3gr3,periodo3gr3,1,,,
actuaci,periodo3gr4,periodo3gr4,1,,,
actuaci,periodo4gr1,periodo4gr1,1,,,
actuaci,periodo5gr1,periodo5gr1,1,,,
actuaci,Perso1,Perso1,1,,,
actuaci,Perso10,Perso10,1,,,
actuaci,Perso11,Perso11,1,,,
actuaci,Perso12,Perso12,1,,,
actuaci,Perso13,Perso13,1,,,
actuaci,Perso14,Perso14,1,,,
actuaci,Perso15,Perso15,1,,,
actuaci,Perso16,Perso16,1,,,
actuaci,Perso17,Perso17,1,,,
actuaci,Perso18,Perso18,1,,,
actuaci,Perso19,Perso19,1,,,
actuaci,Perso2,Perso2,1,,,
actuaci,Perso20,Perso20,1,,,
actuaci,Perso21,Perso21,1,,,
actuaci,Perso22,Perso22,1,,,
actuaci,Perso23,Perso23,1,,,
actuaci,Perso24,Perso24,1,,,
actuaci,Perso25,Perso25,1,,,
actuaci,Perso26,Perso26,1,,,
actuaci,Perso27,Perso27,1,,,
actuaci,Perso28,Perso28,1,,,
actuaci,Perso29,Perso29,1,,,
actuaci,Perso3,Perso3,1,,,
actuaci,Perso30,Perso30,1,,,
actuaci,Perso31,Perso31,1,,,
actuaci,Perso32,Perso32,1,,,
actuaci,Perso33,Perso33,1,,,
actuaci,Perso34,Perso34,1,,,
actuaci,Perso35,Perso35,1,,,
actuaci,Perso36,Perso36,1,,,
actuaci,Perso37,Perso37,1,,,
actuaci,Perso38,Perso38,1,,,
actuaci,Perso39,Perso39,1,,,
actuaci,Perso4,Perso4,1,,,
actuaci,Perso40,Perso40,1,,,
actuaci,Perso5,Perso5,1,,,
actuaci,Perso6,Perso6,1,,,
actuaci,Perso7,Perso7,1,,,
actuaci,Perso8,Perso8,1,,,
actuaci,Perso9,Perso9,1,,,
actuaci,perso90,perso90,1,,,
actuaci,perso91,perso91,1,,,
actuaci,perso92,perso92,1,,,
actuaci,perso93,perso93,1,,,
actuaci,perso94,perso94,1,,,
actuaci,perso95,perso95,1,,,
actuaci,perso96,perso96,1,,,
actuaci,perso97,perso97,1,,,
actuaci,perso98,perso98,1,,,
actuaci,perso99,perso99,1,,,
actuaci,PersoFecha1,PersoFecha1,1,,fecha,
actuaci,PersoFecha2,PersoFecha2,1,,fecha,
actuaci,PersoFecha3,PersoFecha3,1,,fecha,
actuaci,PersoLogic1,PersoLogic1,1,,,
actuaci,PersoLogic2,PersoLogic2,1,,,
actuaci,PersoLogic3,PersoLogic3,1,,,
actuaci,PersoLogic4,PersoLogic4,1,,,
actuaci,PersoLogic5,PersoLogic5,1,,,
actuaci,PersoLogic6,PersoLogic6,1,,,
actuaci,PersoNum1,PersoNum1,1,,,
actuaci,PersoNum2,PersoNum2,1,,,
actuaci,PersoNum3,PersoNum3,1,,,
actuaci,PersoNum4,PersoNum4,1,,,
actuaci,PersoNum5,PersoNum5,1,,,
actuaci,plantilladcto,Plantilla Doc,1,,,
actuaci,plantillaemail,Plantilla Correo Electrónico,1,,,
actuaci,quiebra,Quiebra,0,,,
actuaci,Referencia,Ref,0,,,
actuaci,refigu,Ref Iguala,1,,,
actuaci,regimenfiscal,Régimen Fiscal,0,,,
actuaci,riesgofiscal,Riesgo Fiscal,0,,,
actuaci,scodpostalcli,Código Postal,0,,,
actuaci,sdomiciliocli,Domicilio,0,,,
actuaci,sfaxcli,Fax,0,,,
actuaci,smovilcli,Móvil,0,,,
actuaci,snifcli,NIF/CIF,0,,,
actuaci,snombrecli,Nombre,0,,,
actuaci,socarchivo,Archivo,0,,,
actuaci,socfolio,Folio,0,,,
actuaci,sochoja,Hoja,0,,,
actuaci,sociedad,Sociedad,0,,,
actuaci,socienotas,Notas,1,,rtf,
actuaci,socinscripcion,Inscripción,0,,,
actuaci,socregistro,Registro,0,,,
actuaci,soctomo,Tomo,0,,,
actuaci,spoblacioncli,Población,0,,,
actuaci,sprovinciacli,Provincia,0,,,
actuaci,stelefonocli,Teléfono 1,0,,,
actuaci,telefono2,Teléfono 2,0,,,
actuaci,telefono3,Teléfono 3,0,,,
actuaci,tiempo,Tiempo,0,,tiempo,
actuaci,tiemposeg,Tiempo Seguimiento,0,,tiempo,
actuaci,tipo,Tipo Actuación,0,,,
actuaci,tipocuenta,Tipo Cuenta,0,,,
actuaci,tipotarifa,Tipo Tarifa,0,,,
actuaci,totprevias,Total Previas,0,,,
actuaci,totprovisiones,Total Provisiones,0,,,
actuaci,totsuplidos,Total Suplidos,0,,,
actuaci,ultfechaigu1,Ultima Fecha Iguala 1,1,,fecha,
actuaci,ultfechaigu2,Ultima Fecha Iguala 2,1,,fecha,
actuaci,ultfechaigu3,Ultima Fecha Iguala 3,1,,fecha,
actuaci,ultfechaigu4,Ultima Fecha Iguala 4,1,,fecha,
actuaci,unidad,Unidad,0,,,
actuaci,valoracc,Valor Acciones/Participaciones,0,,,
actubonos,consumidopor,Consumido Por,1,,,
actubonos,dfechaact,Fecha Actuación,1,,fecha,
actubonos,dfechanotificacion,Fecha Alta,1,,fecha,
actubonos,fecharealizacion,Fecha Realización,1,,fecha,
actubonos,horafinact,Hora Fin,1,,hora,
actubonos,horainiact,Hora Inicio,1,,hora,
actubonos,nomsubusu,Usuario,1,,,
actubonos,sactuacion,Actuación,1,,,
actubonos,tiempo,Tiempo,1,,tiempo,
agenda,ABOGADO,Procurador Propio,0,,,
agenda,ABOGCONT,Abogado Contrario,0,,,
agenda,ABOGPROP,Abogado Propio,0,,,
agenda,CLIECONT,Contrario,0,,,
agenda,CLIEPRO,Cliente,0,,,
agenda,CODIGO,Número,0,,,
agenda,descripcion,Descripción,0,,,
agenda,dFechaAct,Fecha Actuación,0,,fecha,
agenda,dfechase,Fecha Señalamiento,1,,fecha,
agenda,dfechaven,Fecha Vencimiento,1,,fecha,
agenda,Expe,Expediente,1,,,
agenda,expediente,Núm Expediente,0,,,
agenda,Fecha,Fecha,1,,fecha,
agenda,Hora,Hora Inicio Actuación,0,,hora,
agenda,HoraFin,Hora Fin Actuación,0,,hora,
agenda,iNumExp,Número Expediente,1,,,
agenda,iYear,Año Exp,0,,,
agenda,Juzgado,Juzgado,0,,,
agenda,Linea,Línea,1,,,
agenda,MOVABOGADO,Móvil,1,,,
agenda,nommutua,Aseguradora,0,,,
agenda,orden,Orden,1,,,
agenda,PROCCONT,Procurador Contrario,0,,,
agenda,Procedimiento,Procedimiento,0,,,
agenda,sActuacion,Actuación,0,,,
agenda,sCiaSeguros,Compañía Seguros,0,,,
agenda,SMOVILABO,Móvil,0,,,
agenda,sNumAsunto,Núm Autos,0,,,
agenda,sRefAbogado,Ref Propia,1,,,
agenda,sSUBUSU,Usuario,0,,,
agenda,STELEFONOABO,Teléfono Abogado,0,,,
agenda,subusu,Código Usuario,1,,,
agenda,TELABOGADO,Teléfono,1,,,
agenda,tipoactuacion,Tipo Actuación,0,,,
agenda,tipoexp,Tipo Expediente,0,,,
agenda,tipoplazo,Tipo Plazo,0,,,
albaran,codpostalcli,Código Postal,0,,,
albaran,ctahono,Cuenta Honorarios,0,,,
albaran,ctairpf,Cuenta IRPF,0,,,
albaran,ctaiva,Cuenta IVA/IGIC,0,,,
albaran,cueconcli,CCC Cliente,0,,,
albaran,cuentabanco,Cuenta Banco,0,,,
albaran,dcto,% Dcto,0,,,
albaran,domiciliocli,Domicilio,0,,,
albaran,expediente,Núm Expediente,0,,,
albaran,fecha,Fecha,0,,fecha,
albaran,formapago,Forma de Pago,0,,,
albaran,inumfactura,Número,0,,,
albaran,irpf,IRPF,0,,,
albaran,iva,IVA/IGIC,0,,,
albaran,iyear,Año Exp,0,,,
albaran,nifcli,NIF/CIF,0,,,
albaran,nombrecli,Nombre,0,,,
albaran,NOMSUBUSU,Usuario,0,,,
albaran,notas,Notas,0,,rtf,
albaran,origen,Origen,0,,,
albaran,poblacioncli,Población,0,,,
albaran,provinciacli,Provincia,0,,,
albaran,Referencia,Ref Factura,0,,,
albaran,tipologia1,Tipologias 1,1,,,
albaran,tipologia2,Tipologias 2,1,,,
albaran,tipologia3,Tipologias 3,1,,,
albaran,totacuenta,Total Cuenta,0,,,
albaran,totalbaseimp,Total Base Imponible,0,,,
albaran,totalbaseiva,Total Base Imponible+iva,0,,,
albaran,totalbaseivairpf,Total Base Imponible+iva-irpf,0,,,
albaran,TotalDctoEuro,Total Dcto,0,,,
albaran,totalderechoseuro,Total Honorarios + Gastos,1,,,
albaran,TotalEuro,Total,0,,,
albaran,totalgastoeuro,Total Gasto,0,,,
albaran,TotalIrpfeuro,Total IRPF,0,,,
albaran,totalivaanticipos,Total IVA Anticipos,0,,,0
albaran,totalivaarticulos,Total IVA Artículos,0,,,0
albaran,TotalIvaEuro,Total IVA/IGIC,0,,,
albaran,totalivahonorarios,Total IVA Honorarios,0,,,0
albaran,totalletra,Total Letra,0,,,0
albaran,totalminuta,Total Minuta,0,,,
albaran,totalprovisioneseuro,Total Provisiones,0,,,
albaran,totalsuplidoseuro,Total Suplidos,0,,,
albaran,totbaseimpsolohono,Total Base Imp. Honorarios,0,,,0
albaran,totderechomenosanticipo,Total Hono + Gastos + Art,0,,,0
albaran,tothonomenosgastomenosanticipo,Total Honorario-Gasto-Anticipo,0,,,0
albaran,totsupmashono,Total Honorarios + Suplidos,0,,,0
albaran,yearfact,Año,0,,,
alertascuen,CLIENTE,CLIENTE,1,,,
alertascuen,Contador,Contador,1,,,
alertascuen,dfecha,Fecha,0,,fecha,
alertascuen,email,Correo Electrónico,0,,,
alertascuen,fecharealizada,Fecha Realización,0,,fecha,
alertascuen,fechaseg,Fecha Seguimiento,0,,fecha,
alertascuen,fEntradasEuro,Entradas,0,,,
alertascuen,fSalidasEuro,Salidas,0,,,
alertascuen,iyear,iyear,1,,,
alertascuen,linea,Línea,1,,,
alertascuen,lineaseg,Línea Seguimiento,1,,,
alertascuen,NumDcto,Núm Doc,1,,,
alertascuen,Origen,Origen,0,,,
alertascuen,previrealizada,Realizada,0,,,
alertascuen,sDescripcion,sDescripción,1,,,
alertascuen,SEMAIL,SEMAIL,1,,,
alertascuen,snombrecli,Nombre Cliente,0,,,
alertascuen,SubUsu,Código Usuario,0,,,
alertasoblig,codobligacion,codobligacion,1,,,
alertasoblig,descripcion,Descripción,0,,,
alertasoblig,email,Correo Electrónico,0,,,
alertasoblig,fecha,Fecha,0,,fecha,
alertasoblig,fecharealizada,Fecha Realización,0,,fecha,
alertasoblig,icodcli,icodcli,1,,,
alertasoblig,id,id,1,,,
alertasoblig,nomsubusu,Usuario,0,,,
alertasoblig,obligacion,Obligación,0,,,
alertasoblig,origen,Origen,0,,,
alertasoblig,realizada,Realizada,0,,,
alertasoblig,SEMAIL,Correo,0,,,
alertasoblig,snombrecli,Nombre Cliente,0,,,
alertasoblig,tipo,Tipo,0,,,
alertasprev2,anoexp,Año Exp,0,,,
alertasprev2,Contador,Contador,0,,,
alertasprev2,dfecha,Fecha,0,,fecha,
alertasprev2,expediente,Num Exp,0,,,
alertasprev2,fechaseg,Fecha Seguimiento,0,,fecha,
alertasprev2,fEntradasEuro,Entradas,0,,,
alertasprev2,fSalidasEuro,Salidas,0,,,
alertasprev2,iyear,iyear,1,,,
alertasprev2,linea,Línea,1,,,
alertasprev2,lineaseg,Línea Seguimiento,1,,,
alertasprev2,NumDcto,Núm Doc,0,,,
alertasprev2,Origen,Origen,0,,,
alertasprev2,previrealizada,Previa Realizada,0,,,
alertasprev2,sDescripcion,sDescripción,1,,,
alertasprev2,srefabogado,Ref Propia,0,,,
alertasprev2,srefcliente,Ref Cliente,0,,,
alertasprev2,SubUsu,Código Usuario,0,,,
alertasprev3,anoexp,Año Exp,0,,,
alertasprev3,dfecha,Fecha,0,,fecha,
alertasprev3,expediente,Num Exp,0,,,
alertasprev3,fechaseg,Fecha Seguimiento,0,,fecha,
alertasprev3,fEntradasEuro,Entradas,0,,,
alertasprev3,fSalidasEuro,Salidas,0,,,
alertasprev3,iyear,iyear,1,,,
alertasprev3,linea,Línea,1,,,
alertasprev3,lineaseg,Línea Seguimiento,1,,,
alertasprev3,NumDcto,Núm Doc,0,,,
alertasprev3,Origen,Origen,0,,,
alertasprev3,previrealizada,Previa Realizada,0,,,
alertasprev3,sDescripcion,sDescripción,1,,,
alertasprev3,srefabogado,Ref Propia,0,,,
alertasprev3,srefcliente,Ref Cliente,0,,,
alertasprev3,SubUsu,Código Usuario,0,,,
alertasprevi,anoexp,Año Exp,0,,,
alertasprevi,cliente,cliente,1,,,
alertasprevi,Contador,Contador,1,,,
alertasprevi,dfecha,Fecha,0,,fecha,
alertasprevi,email,Correo Electrónico,0,,,
alertasprevi,expediente,Num Exp,0,,,
alertasprevi,fecharealizada,Fecha Realización,0,,fecha,
alertasprevi,fechaseg,Fecha Seguimiento,1,,fecha,
alertasprevi,fEntradasEuro,Entradas,0,,,
alertasprevi,fSalidasEuro,Salidas,0,,,
alertasprevi,iyear,Año,0,,,
alertasprevi,linea,Línea,1,,,
alertasprevi,lineaseg,Línea Seguimiento,1,,,
alertasprevi,NumDcto,Número,0,,,
alertasprevi,Origen,Origen,0,,,
alertasprevi,previrealizada,Realizada,0,,,
alertasprevi,realizada,realizada,1,,,
alertasprevi,sDescripcion,Descripción,0,,,
alertasprevi,snombrecli,Nombre Cliente,0,,,
alertasprevi,srefabogado,Ref Propia,0,,,
alertasprevi,srefcliente,Ref Cliente,0,,,
alertasprevi,SubUsu,Código Usuario,1,,,
alertasprevi1,anoexp,Año Exp,0,,,
alertasprevi1,Contador,Contador,1,,,
alertasprevi1,dfecha,Fecha,0,,fecha,
alertasprevi1,email,Correo,0,,,
alertasprevi1,expediente,Num Exp,0,,,
alertasprevi1,fecharealizada,Fecha Realización,0,,fecha,
alertasprevi1,fechaseg,Fecha Seguimiento,1,,fecha,
alertasprevi1,fEntradasEuro,Entradas,0,,,
alertasprevi1,fSalidasEuro,Salidas,0,,,
alertasprevi1,iyear,Año,0,,,
alertasprevi1,linea,Línea,1,,,
alertasprevi1,lineaseg,Línea Seguimiento,1,,,
alertasprevi1,NumDcto,Número,0,,,
alertasprevi1,Origen,Origen,0,,,
alertasprevi1,previrealizada,Realizada,0,,,
alertasprevi1,realizada,realizada,1,,,
alertasprevi1,sDescripcion,Descripción,0,,,
alertasprevi1,snombrecli,Nombre Cliente,0,,,
alertasprevi1,srefabogado,Ref Propia,0,,,
alertasprevi1,srefcliente,Ref Cliente,0,,,
alertasprevi1,SubUsu,Código Usuario,1,,,
alertasprevi2,anoexp,Año Exp,0,,,
alertasprevi2,Contador,Contador,1,,,
alertasprevi2,dfecha,Fecha,0,,fecha,
alertasprevi2,email,Correo,0,,,
alertasprevi2,expediente,Num Exp,0,,,
alertasprevi2,fecharealizada,Fecha Realización,0,,fecha,
alertasprevi2,fechaseg,Fecha Seguimiento,1,,fecha,
alertasprevi2,fEntradasEuro,Entradas,0,,,
alertasprevi2,fSalidasEuro,Salidas,0,,,
alertasprevi2,iyear,Año,0,,,
alertasprevi2,linea,Línea,1,,,
alertasprevi2,lineaseg,Línea Seguimiento,1,,,
alertasprevi2,NumDcto,Número,0,,,
alertasprevi2,Origen,Origen,0,,,
alertasprevi2,previrealizada,Realizada,0,,,
alertasprevi2,realizada,realizada,1,,,
alertasprevi2,sDescripcion,Descripción,0,,,
alertasprevi2,snombrecli,Nombre Cliente,0,,,
alertasprevi2,srefabogado,Ref Propia,0,,,
alertasprevi2,srefcliente,Ref Cliente,0,,,
alertasprevi2,SubUsu,Código Usuario,1,,,
alertasprevi3,anoexp,Año Exp,0,,,
alertasprevi3,Contador,Contador,1,,,
alertasprevi3,dfecha,Fecha,0,,fecha,
alertasprevi3,email,Correo,0,,,
alertasprevi3,expediente,Num Exp,0,,,
alertasprevi3,fecharealizada,Fecha Realización,0,,fecha,
alertasprevi3,fechaseg,Fecha Seguimiento,1,,fecha,
alertasprevi3,fEntradasEuro,Entradas,0,,,
alertasprevi3,fSalidasEuro,Salidas,0,,,
alertasprevi3,iyear,Año,0,,,
alertasprevi3,linea,Línea,1,,,
alertasprevi3,lineaseg,Línea Seguimiento,1,,,
alertasprevi3,NumDcto,Número,0,,,
alertasprevi3,Origen,Origen,0,,,
alertasprevi3,previrealizada,Realizada,0,,,
alertasprevi3,realizada,realizada,1,,,
alertasprevi3,sDescripcion,Descripción,0,,,
alertasprevi3,snombrecli,Nombre Cliente,0,,,
alertasprevi3,srefabogado,Ref Propia,0,,,
alertasprevi3,srefcliente,Ref Cliente,0,,,
alertasprevi3,SubUsu,Código Usuario,1,,,
alertasseg,ACTU,ACTU,1,,,
alertasseg,actuenlace,Actuación Enlace,1,,,
alertasseg,acturealizada,Actuación Realizada,0,,,
alertasseg,autoimporte,Auto Importe,1,,,
alertasseg,autoimportecuentas,autoimportecuentas,1,,,
alertasseg,campo,Campo,1,,,
alertasseg,CLIENTE,Cliente,1,,,
alertasseg,codopeemail,codopeemail,1,,,
alertasseg,codopeemailenaltas,codopeemailenaltas,1,,,
alertasseg,conactuenlace,Con Actuación Enlace,1,,,
alertasseg,concodopeemail,concodopeemail,1,,,
alertasseg,condcto,Con Doc,1,,,
alertasseg,conemail,Con Correo Electrónico,1,,,
alertasseg,DCTO,DCTO,1,,,
alertasseg,dctoenaltas,dctoenaltas,1,,,
alertasseg,dfechaact,Fecha Actuación,0,,fecha,
alertasseg,dfechaavi,Fecha Aviso,0,,fecha,
alertasseg,dfecharec,Fecha Recordatorio,1,,fecha,
alertasseg,dfechase,Fecha Señalamiento,1,,fecha,
alertasseg,dfechaven,Fecha Vencimiento,1,,fecha,
alertasseg,DOCUMENTO,DOCUMENTO,1,,,
alertasseg,EMAIL,Correo Electrónico,1,,,
alertasseg,emailenaltas,Correo Electrónico en Altas,1,,,
alertasseg,EMAILOPE,EMAILOPE,1,,,
alertasseg,expediente,Expediente,0,,,
alertasseg,facturable,Facturable,0,,,
alertasseg,facturado,Facturado,0,,,
alertasseg,fecharealizacion,Fecha Realización,0,,fecha,
alertasseg,fechaseg,Fecha Seguimiento,1,,fecha,
alertasseg,horafinact,Hora Fin Actuación,0,,hora,
alertasseg,horainiact,Hora Inicio Actuación,0,,hora,
alertasseg,icodcli,icodcli,1,,,
alertasseg,IMAGES,IMAGES,1,,,
alertasseg,importe,Importe,0,,,
alertasseg,inumexp,inumexp,1,,,
alertasseg,iyear,iyear,1,,,
alertasseg,linea,Línea,1,,,
alertasseg,lineaseg,Línea Seguimiento,1,,,
alertasseg,nombre,Nombre Usuario,0,,,
alertasseg,NOTA,NOTA,1,,,
alertasseg,notas,Notas,0,,rtf,
alertasseg,numdcto,Núm Doc,1,,,
alertasseg,numfactura,Núm Factura,0,,,
alertasseg,origen,Origen,0,,,
alertasseg,origenfact,Origen Factura,0,,,
alertasseg,origenimporte,Origen Importe,1,,,
alertasseg,plantilladcto,Plantilla Doc,1,,,
alertasseg,plantillaemail,Plantilla Correo Electrónico,1,,,
alertasseg,precio,Precio,0,,,
alertasseg,preciocoste,Coste,0,,,
alertasseg,PROCESOS,Procesos,1,,,
alertasseg,sactuacion,Actuación,0,,,
alertasseg,SALDO,Saldo,0,,,
alertasseg,Selec,Selec,1,,,
alertasseg,SEMAIL,Correo Electrónico,0,,,
alertasseg,snombrecli,Nombre Cliente,0,,,
alertasseg,subusu,Código Usuario,1,,,
alertasseg,tiempo,Tiempo,1,,tiempo,
alertasseg,TIEMPOHORA,Tiempo Hora,0,,tiempo,
alertasseg,tipo,Tipo Plazo,0,,,
alertasseg,tipoactu,Tipo Actuación,0,,,
alertasseg,tipocuenta,Tipo Cuenta,0,,,
alertasseg,tipoexp,Tipo Expediente,0,,,
alertasseg,yearfact,Año Factura,0,,,
almacen,icodalmacen,Código,0,,,
almacen,nombre,Nombre,0,,,
