id,CodOpe,fecha,ip,navegador,aplicacion
88,1,2024-09-20 20:14:33.873000,176.83.32.5,0,4
89,1,2024-09-20 20:14:33.890000,176.83.32.5,0,4
90,1,2024-09-20 20:14:35.373000,176.83.32.5,0,4
91,1,2024-09-22 14:28:27.580000,178.237.230.153,2,4
92,1,2024-09-23 09:17:28.740000,176.80.124.111,0,4
93,1,2024-09-23 09:17:30.103000,176.80.124.111,0,4
94,1,2024-09-23 20:09:45.130000,92.187.73.207,0,4
95,1,2024-09-23 20:09:46.503000,92.187.73.207,0,4
96,1,2024-09-24 11:50:57.187000,81.202.57.61,0,4
97,1,2024-09-24 11:50:59.047000,81.202.57.61,0,4
98,1,2024-09-24 15:50:07.763000,193.152.116.50,0,4
99,1,2024-09-24 15:50:09.187000,193.152.116.50,0,4
100,1,2024-09-25 08:36:27.963000,81.202.57.61,0,4
101,1,2024-09-25 08:36:29.587000,81.202.57.61,0,4
102,1,2024-09-25 11:57:23.380000,176.80.142.26,0,4
103,1,2024-09-25 11:57:25.753000,176.80.142.26,0,4
104,1,2024-09-25 16:41:58.810000,92.187.73.207,0,4
105,1,2024-09-25 16:41:59.870000,92.187.73.207,0,4
106,1,2024-09-25 20:38:51.953000,92.187.73.207,0,4
107,1,2024-09-25 20:38:53.063000,92.187.73.207,0,4
108,1,2024-09-26 17:03:31.483000,85.48.180.146,2,4
109,1,2024-09-27 11:34:17.190000,176.80.122.130,0,4
110,1,2024-09-27 11:34:18.957000,176.80.122.130,0,4
111,1,2024-09-30 09:40:27.890000,81.202.57.61,0,4
112,1,2024-09-30 09:40:29.937000,81.202.57.61,0,4
113,1,2024-09-30 20:34:29.067000,92.187.73.207,0,4
114,1,2024-09-30 20:34:30.177000,92.187.73.207,0,4
115,1,2024-10-01 16:15:19.403000,188.26.215.126,0,4
116,1,2024-10-01 16:15:20.870000,188.26.215.126,0,4
117,1,2024-10-01 17:10:00.397000,176.83.12.90,0,4
118,1,2024-10-01 17:10:02.207000,176.83.12.90,0,4
119,1,2024-10-02 13:38:56.157000,176.83.72.151,0,4
120,1,2024-10-02 13:38:57.750000,176.83.72.151,0,4
121,1,2024-10-02 16:42:24.767000,92.187.73.207,0,4
122,1,2024-10-02 16:42:26.237000,92.187.73.207,0,4
123,1,2024-10-02 20:38:56.530000,92.187.73.207,0,4
124,1,2024-10-02 20:38:58.983000,92.187.73.207,0,4
125,1,2024-10-02 23:09:36.650000,188.26.215.126,0,4
126,1,2024-10-02 23:10:36.507000,188.26.215.126,0,4
127,1,2024-10-06 20:31:36.263000,90.68.21.28,4,4
128,1,2024-10-06 20:31:39.700000,90.68.21.28,4,4
129,1,2024-10-07 09:11:15.003000,176.80.64.56,0,4
130,1,2024-10-07 09:11:16.363000,176.80.64.56,0,4
131,1,2024-10-07 10:18:43.687000,81.202.57.61,0,4
132,1,2024-10-07 10:18:44.873000,81.202.57.61,0,4
133,1,2024-10-08 14:10:42.673000,95.124.182.39,0,4
134,1,2024-10-08 14:10:44.830000,95.124.182.39,0,4
135,1,2024-10-11 07:40:13.820000,90.167.24.65,2,4
136,1,2024-10-13 19:51:13.127000,104.28.96.155,0,4
137,1,2024-10-13 21:22:47.087000,188.26.215.126,0,4
138,1,2024-10-13 21:22:48.390000,188.26.215.126,0,4
139,1,2024-10-14 09:47:53.840000,176.80.126.84,0,4
140,1,2024-10-14 09:48:03.777000,176.80.126.84,0,4
141,1,2024-10-15 14:58:57.377000,188.26.215.126,0,4
142,1,2024-10-15 14:59:02.360000,188.26.215.126,0,4
143,1,2024-10-16 12:11:28.713000,81.202.57.61,0,4
144,1,2024-10-16 12:11:30.213000,81.202.57.61,0,4
145,1,2024-10-16 18:12:30.687000,92.187.73.207,0,4
146,1,2024-10-16 18:12:31.780000,92.187.73.207,0,4
147,1,2024-10-17 13:47:30.987000,81.202.57.61,0,4
148,1,2024-10-17 13:47:34.207000,81.202.57.61,0,4
149,1,2024-10-17 13:47:35.470000,81.202.57.61,0,4
150,1,2024-10-17 13:47:37.423000,81.202.57.61,0,4
151,1,2024-10-17 13:47:56.677000,81.202.57.61,0,4
152,1,2024-10-17 13:49:48.303000,81.202.57.61,0,4
153,1,2024-10-17 19:43:18.803000,91.242.153.242,2,4
154,1,2024-10-17 19:43:59.617000,91.242.153.242,2,4
155,1,2024-10-17 19:44:00.397000,91.242.153.242,2,4
156,1,2024-10-17 19:44:52.977000,104.28.88.140,0,4
157,1,2024-10-17 19:45:06.210000,104.28.88.140,0,4
158,1,2024-10-17 19:47:10.540000,91.242.153.242,2,4
159,1,2024-10-17 19:47:12.823000,91.242.153.242,2,4
160,1,2024-10-17 19:47:52.073000,91.242.153.242,2,4
161,1,2024-10-17 19:48:13.527000,91.242.153.242,2,4
162,1,2024-10-17 19:48:37.027000,104.28.88.140,0,4
163,1,2024-10-17 19:49:34.387000,104.28.88.128,0,4
164,1,2024-10-17 19:49:39.370000,104.28.88.128,0,4
165,1,2024-10-17 19:49:40.997000,104.28.88.128,0,4
166,1,2024-10-17 19:49:56.230000,104.28.88.128,0,4
167,1,2024-10-17 19:51:49.327000,91.242.153.242,2,4
168,1,2024-10-17 20:53:38.073000,104.28.88.133,0,4
169,1,2024-10-17 21:19:22.893000,104.28.88.128,0,4
170,1,2024-10-18 02:21:46.227000,104.28.88.126,0,4
171,1,2024-10-18 02:21:49.180000,104.28.88.126,0,4
172,1,2024-10-18 09:35:03.753000,87.124.175.2,2,4
173,1,2024-10-18 10:04:34.670000,87.124.175.2,2,4
174,1,2024-10-18 10:42:03.490000,87.124.175.2,2,4
175,1,2024-10-18 11:35:39.317000,87.124.175.2,2,4
176,1,2024-10-18 11:39:25.713000,87.124.175.2,2,4
177,1,2024-10-18 12:37:53.727000,87.124.175.2,2,4
178,1,2024-10-18 12:41:05.690000,87.124.175.2,2,4
179,1,2024-10-18 15:09:02.960000,87.124.175.2,2,4
180,1,2024-10-18 16:07:32.703000,31.4.148.216,2,4
181,1,2024-10-18 16:07:36.560000,31.4.148.216,2,4
182,1,2024-10-18 16:34:42.150000,87.124.175.2,2,4
183,1,2024-10-18 16:37:37.717000,87.124.175.2,2,4
184,1,2024-10-18 16:45:28.513000,87.124.175.2,2,4
185,1,2024-10-18 17:09:58.033000,87.124.175.2,2,4
186,1,2024-10-19 22:02:17.473000,178.237.229.153,2,4
187,1,2024-10-19 23:02:50.903000,87.124.175.2,2,4
188,1,2024-10-20 12:05:24.043000,46.222.60.86,0,4
189,1,2024-10-20 12:05:25.667000,46.222.60.86,0,4
190,1,2024-10-20 17:44:57.340000,87.124.175.2,2,4
191,1,2024-10-20 17:54:16.810000,87.124.175.2,2,4
192,1,2024-10-21 09:59:39.360000,31.221.177.37,0,4
193,1,2024-10-21 09:59:47.783000,31.221.177.37,0,4
194,1,2024-10-21 10:15:06.947000,90.167.24.183,2,4
195,1,2024-10-21 10:25:12.553000,90.167.24.183,2,4
196,1,2024-10-21 11:35:40.047000,87.124.175.2,2,4
197,1,2024-10-21 11:49:27.470000,87.124.175.2,2,4
198,1,2024-10-21 12:04:54.720000,87.124.175.2,2,4
199,1,2024-10-21 12:36:36.523000,87.124.175.2,2,4
200,1,2024-10-21 13:04:11.203000,95.127.154.15,0,4
201,1,2024-10-21 13:04:13.017000,95.127.154.15,0,4
202,1,2024-10-21 13:22:46.403000,87.124.175.2,2,4
203,1,2024-10-21 13:45:07.687000,213.143.58.155,2,4
204,1,2024-10-21 13:49:40.357000,87.124.175.2,2,4
205,1,2024-10-21 15:09:55.813000,87.124.175.2,2,4
206,1,2024-10-21 17:29:05.143000,84.78.255.202,2,4
207,1,2024-10-21 17:33:19.397000,87.124.175.2,2,4
208,1,2024-10-21 18:32:31.263000,87.124.175.2,2,4
209,1,2024-10-21 18:37:10.763000,84.78.255.202,2,4
210,1,2024-10-21 23:34:09.203000,46.222.80.141,0,4
211,1,2024-10-21 23:34:09.750000,46.222.80.141,0,4
212,1,2024-10-21 23:34:11.060000,46.222.80.141,0,4
213,1,2024-10-22 08:06:00.750000,85.48.183.53,2,4
214,1,2024-10-22 08:46:16.307000,85.48.183.53,2,4
215,1,2024-10-22 08:55:18.427000,85.48.183.53,2,4
216,1,2024-10-22 09:57:51.883000,85.48.183.53,2,4
217,1,2024-10-22 10:19:17.733000,85.48.183.53,2,4
218,1,2024-10-22 10:30:35.067000,85.48.183.53,2,4
219,1,2024-10-22 19:47:31.190000,85.48.183.53,2,4
220,1,2024-10-22 20:08:00.970000,85.48.183.53,2,4
221,1,2024-10-22 20:12:35,85.48.183.53,2,4
222,1,2024-10-22 20:25:26.090000,85.48.183.53,2,4
223,1,2024-10-23 10:10:27.303000,81.202.57.61,0,4
224,1,2024-10-23 10:10:28.427000,81.202.57.61,0,4
225,1,2024-10-23 12:17:16.070000,81.202.57.61,0,4
226,1,2024-10-23 12:17:18.007000,81.202.57.61,0,4
227,1,2024-10-23 14:59:16.537000,79.117.225.188,0,4
228,1,2024-10-23 14:59:17.583000,79.117.225.188,0,4
229,1,2024-10-23 18:32:07.060000,176.80.69.252,0,4
230,1,2024-10-23 18:32:08.777000,176.80.69.252,0,4
231,1,2024-10-24 07:31:50.803000,104.28.96.152,0,4
232,1,2024-10-24 07:31:52.697000,104.28.96.152,0,4
233,1,2024-10-25 09:02:41.160000,87.124.175.2,2,4
234,1,2024-10-25 09:12:51.687000,176.80.69.252,0,4
235,1,2024-10-25 09:12:53.483000,176.80.69.252,0,4
236,1,2024-10-25 11:27:08.503000,104.28.96.150,0,4
237,1,2024-10-25 11:27:09.440000,104.28.96.150,0,4
238,1,2024-10-25 11:27:10.207000,104.28.96.150,0,4
239,1,2024-10-25 12:46:52.947000,87.124.175.2,2,4
240,1,2024-10-25 12:49:51.537000,87.124.175.2,2,4
241,1,2024-10-25 18:13:32.487000,87.124.175.2,2,4
242,1,2024-10-26 14:28:54.883000,87.124.175.2,2,4
243,1,2024-10-27 21:20:59.390000,104.28.96.149,0,4
244,1,2024-10-27 21:20:59.843000,104.28.96.149,0,4
245,1,2024-10-27 21:21:04.080000,104.28.96.149,0,4
246,1,2024-10-28 07:54:58.470000,95.124.223.26,0,4
247,1,2024-10-28 07:54:59.720000,95.124.223.26,0,4
248,1,2024-10-28 13:25:33.400000,90.167.50.249,2,4
249,1,2024-10-28 14:13:36.187000,87.124.175.2,2,4
250,1,2024-10-28 14:18:24.833000,87.124.175.2,2,4
251,1,2024-10-28 16:39:45.433000,92.187.73.207,0,4
252,1,2024-10-28 16:39:46.747000,92.187.73.207,0,4
253,1,2024-10-28 19:19:58.403000,87.124.175.2,2,4
254,1,2024-10-29 15:03:10.377000,95.124.223.26,0,4
255,1,2024-10-29 15:03:11.673000,95.124.223.26,0,4
256,1,2024-10-29 16:52:32.010000,87.124.175.2,2,4
257,1,2024-10-29 17:50:11.530000,79.117.225.188,0,4
258,1,2024-10-29 17:50:12.607000,79.117.225.188,0,4
259,1,2024-10-29 20:19:24.937000,87.124.175.2,2,4
260,1,2024-10-30 14:11:52.320000,87.124.175.2,2,4
261,1,2024-10-30 14:14:47.357000,87.124.175.2,2,4
262,1,2024-10-30 17:46:21.840000,87.124.175.2,2,4
263,1,2024-10-30 18:12:06.483000,87.124.175.2,4,4
264,1,2024-10-30 19:40:01.747000,87.124.175.2,2,4
265,1,2024-10-30 19:51:31.670000,87.124.175.2,2,4
266,1,2024-10-31 10:06:18.753000,87.124.175.2,2,4
267,1,2024-10-31 13:21:08.650000,87.124.175.2,2,4
268,1,2024-10-31 15:38:09.653000,87.124.175.2,2,4
269,1,2024-10-31 18:08:10.477000,87.124.175.2,2,4
270,1,2024-11-01 00:42:46.303000,87.124.175.2,2,4
271,1,2024-11-03 14:50:40.110000,87.124.175.2,2,4
272,1,2024-11-03 17:23:51.090000,90.167.21.229,2,4
273,1,2024-11-03 21:19:08.037000,90.167.21.229,2,4
274,1,2024-11-04 08:14:34.273000,95.124.208.28,0,4
275,1,2024-11-04 08:14:35.790000,95.124.208.28,0,4
276,1,2024-11-04 10:24:38.733000,90.167.21.192,2,4
277,1,2024-11-04 12:03:22.447000,95.124.208.28,0,4
278,1,2024-11-04 12:03:25.057000,95.124.208.28,0,4
279,1,2024-11-04 12:11:28.687000,92.187.73.207,4,4
280,1,2024-11-04 13:23:57.423000,104.28.96.149,0,4
281,1,2024-11-04 13:24:06.220000,104.28.96.149,0,4
282,1,2024-11-04 15:15:52.227000,87.124.175.2,2,4
283,1,2024-11-04 18:00:20.710000,104.28.88.126,0,4
284,1,2024-11-04 18:00:22.883000,104.28.88.126,0,4
285,1,2024-11-05 08:06:12.363000,90.167.51.12,2,4
286,1,2024-11-05 16:52:52.530000,92.187.73.207,0,4
287,1,2024-11-05 16:52:54.047000,92.187.73.207,0,4
288,1,2024-11-06 00:29:53.523000,95.124.208.28,0,4
289,1,2024-11-06 00:29:54.820000,95.124.208.28,0,4
290,1,2024-11-06 09:52:41.093000,81.202.57.61,0,4
291,1,2024-11-06 09:52:42.687000,81.202.57.61,0,4
292,1,2024-11-06 13:17:27.503000,84.125.73.169,2,4
293,1,2024-11-06 13:17:29.427000,84.125.73.169,2,4
294,1,2024-11-06 15:46:13.803000,95.124.208.28,0,4
295,1,2024-11-06 15:46:15.287000,95.124.208.28,0,4
296,1,2024-11-06 18:45:50.453000,91.242.156.242,2,4
297,1,2024-11-07 17:00:54.623000,79.117.225.188,0,4
298,1,2024-11-07 17:00:55.903000,79.117.225.188,0,4
299,1,2024-11-08 09:28:27.713000,87.124.175.2,2,4
300,1,2024-11-08 10:05:54.860000,87.124.175.2,2,4
301,1,2024-11-08 14:12:39.393000,87.124.175.2,2,4
302,1,2024-11-10 15:38:57.570000,79.117.225.188,0,4
303,1,2024-11-10 15:38:58.917000,79.117.225.188,0,4
304,1,2024-11-11 11:34:46.200000,81.202.57.61,0,4
305,1,2024-11-11 11:34:48.810000,81.202.57.61,0,4
306,1,2024-11-11 12:43:36.587000,81.202.57.61,0,4
307,1,2024-11-11 12:43:37.913000,81.202.57.61,0,4
308,1,2024-11-11 19:16:18.730000,90.167.43.17,2,4
309,1,2024-11-12 07:54:39.357000,90.167.42.9,2,4
310,1,2024-11-12 08:25:34.027000,90.167.42.9,2,4
311,1,2024-11-12 08:31:00.780000,85.52.230.16,2,4
312,1,2024-11-12 10:18:53.530000,81.202.57.61,0,4
313,1,2024-11-12 10:18:55.700000,81.202.57.61,0,4
314,1,2024-11-12 13:12:41.607000,46.222.63.7,0,4
315,1,2024-11-12 13:12:43.027000,46.222.63.7,0,4
316,1,2024-11-12 13:20:03.263000,81.202.57.61,0,4
317,1,2024-11-12 13:20:04.810000,81.202.57.61,0,4
318,1,2024-11-12 20:30:59.283000,146.75.182.14,0,4
319,1,2024-11-12 20:31:03.613000,146.75.182.14,0,4
320,1,2024-11-12 22:17:30.560000,87.124.175.2,2,4
321,1,2024-11-13 11:15:51.437000,81.202.57.61,0,4
322,1,2024-11-13 11:15:52.857000,81.202.57.61,0,4
323,1,2024-11-13 16:46:24.527000,176.83.78.2,0,4
324,1,2024-11-13 16:46:28.370000,176.83.78.2,0,4
325,1,2024-11-16 15:01:11.137000,176.80.135.103,0,4
326,1,2024-11-16 15:01:12.450000,176.80.135.103,0,4
327,1,2024-11-16 16:02:44.803000,176.80.135.103,0,4
328,1,2024-11-16 16:02:46.820000,176.80.135.103,0,4
329,1,2024-11-18 10:14:24.523000,81.202.57.61,0,4
330,1,2024-11-18 10:14:29.087000,81.202.57.61,0,4
331,1,2024-11-18 16:41:12.653000,92.187.73.77,0,4
332,1,2024-11-18 16:41:13.823000,92.187.73.77,0,4
333,1,2024-11-19 14:44:34.550000,176.80.137.29,0,4
334,1,2024-11-19 14:44:44.440000,176.80.137.29,0,4
335,1,2024-11-19 21:41:33.087000,91.106.16.32,2,4
336,1,2024-11-20 08:22:48.730000,79.117.225.188,0,4
337,1,2024-11-20 08:22:50.183000,79.117.225.188,0,4
338,1,2024-12-01 17:47:31.347000,91.106.18.124,4,4
339,1,2024-12-01 17:47:33.723000,91.106.18.124,4,4
340,1,2024-12-09 11:28:47.040000,47.58.163.15,2,4
341,1,2024-12-10 07:42:20.073000,146.75.182.14,0,4
342,1,2024-12-10 07:42:21.480000,146.75.182.14,0,4
343,1,2024-12-11 17:49:28.397000,95.22.9.27,0,4
344,1,2024-12-11 17:50:10.803000,95.22.9.27,0,4
345,1,2024-12-11 17:50:32.030000,95.22.9.27,0,4
346,1,2024-12-11 17:51:09.470000,95.124.211.58,0,4
347,1,2024-12-11 19:08:26.283000,95.22.9.27,0,4
348,1,2024-12-11 19:32:20.907000,95.22.9.27,0,4
349,1,2024-12-12 08:57:45.947000,90.168.26.251,2,4
350,1,2024-12-13 08:39:34.717000,87.124.175.2,2,4
351,1,2024-12-16 13:51:00.900000,176.80.80.72,0,4
352,1,2024-12-16 13:51:06.197000,176.80.80.72,0,4
353,1,2024-12-19 10:23:53.093000,81.202.24.144,0,4
354,1,2024-12-19 10:23:58.547000,81.202.24.144,0,4
355,1,2024-12-20 19:34:24.547000,178.139.171.175,2,4
356,1,2024-12-21 17:26:03.437000,31.221.206.243,0,4
357,1,2024-12-21 17:26:04.170000,31.221.206.243,0,4
358,1,2024-12-21 17:26:12.907000,31.221.206.243,0,4
359,1,2024-12-22 18:19:16.300000,79.116.142.96,0,4
360,1,2024-12-22 18:19:18.957000,79.116.142.96,0,4
361,1,2024-12-23 08:25:34.290000,81.202.24.144,0,4
362,1,2024-12-23 08:25:38.617000,81.202.24.144,0,4
363,1,2024-12-23 09:36:43.603000,81.202.24.144,0,4
364,1,2024-12-23 09:36:45.137000,81.202.24.144,0,4
365,1,2024-12-23 11:58:36.710000,81.202.24.144,0,4
366,1,2024-12-23 11:58:38.443000,81.202.24.144,0,4
367,1,2024-12-25 17:38:18.533000,88.17.180.159,0,4
368,1,2024-12-25 17:38:22.657000,88.17.180.159,0,4
369,1,2024-12-25 17:47:18.603000,172.225.228.79,0,4
370,1,2024-12-25 17:47:20.633000,172.225.228.79,0,4
371,1,2024-12-25 22:56:10.453000,31.221.172.70,0,4
372,1,2024-12-25 22:56:12.047000,31.221.172.70,0,4
373,1,2024-12-26 09:06:44.230000,81.202.24.144,0,4
374,1,2024-12-26 09:06:45.903000,81.202.24.144,0,4
375,1,2024-12-26 09:42:10.410000,81.202.24.144,0,4
376,1,2024-12-26 09:42:12.003000,81.202.24.144,0,4
377,1,2024-12-26 10:57:46.850000,81.202.24.144,0,4
378,1,2024-12-26 10:57:48.193000,81.202.24.144,0,4
379,1,2024-12-26 16:04:27.380000,95.22.9.27,0,4
380,1,2024-12-26 16:04:28.833000,95.22.9.27,0,4
381,1,2024-12-26 23:21:30.150000,104.28.34.163,0,4
382,1,2024-12-26 23:21:31.480000,104.28.34.163,0,4
383,1,2024-12-27 13:55:11.010000,176.80.67.193,0,4
384,1,2024-12-27 13:55:18.213000,176.80.67.193,0,4
385,1,2024-12-27 17:09:23.990000,79.117.225.174,0,4
386,1,2024-12-27 17:09:25.210000,79.117.225.174,0,4
387,1,2024-12-29 12:18:29.213000,31.221.201.9,0,4
388,1,2024-12-29 12:18:30.027000,31.221.201.9,0,4
389,1,2024-12-29 12:18:31.730000,31.221.201.9,0,4
390,1,2025-01-01 10:57:40.717000,104.28.34.163,0,4
391,1,2025-01-01 10:57:41.357000,104.28.34.163,0,4
392,1,2025-01-01 10:57:51.530000,104.28.34.163,0,4
393,1,2025-01-01 17:55:15.343000,104.28.96.151,0,4
394,1,2025-01-01 17:55:16.843000,104.28.96.151,0,4
395,1,2025-01-02 18:15:30.547000,176.80.59.62,0,4
396,1,2025-01-02 18:15:32.190000,176.80.59.62,0,4
397,1,2025-01-03 09:12:50.690000,88.17.115.98,0,4
398,1,2025-01-03 10:51:04.060000,176.80.128.74,0,4
399,1,2025-01-03 10:54:38.210000,176.80.128.74,0,4
400,1,2025-01-05 17:31:14.410000,91.106.18.124,2,4
401,1,2025-01-05 17:31:16.773000,91.106.18.124,2,4
402,1,2025-01-06 23:18:50.707000,87.124.175.2,0,4
403,1,2025-01-06 23:18:52.457000,87.124.175.2,0,4
404,1,2025-01-08 10:43:18.157000,176.80.142.212,0,4
405,1,2025-01-08 10:43:20.080000,176.80.142.212,0,4
406,1,2025-01-08 10:43:50.610000,176.80.142.212,0,4
407,1,2025-01-09 11:40:40.040000,176.80.123.35,0,4
408,1,2025-01-09 11:52:41.347000,176.80.123.35,0,4
409,1,2025-01-09 12:30:56.187000,176.80.123.35,0,4
410,1,2025-01-09 13:32:34.463000,176.80.64.166,0,4
411,1,2025-01-09 13:51:21.630000,176.80.64.166,0,4
412,1,2025-01-09 13:59:06.603000,176.80.64.166,0,4
413,1,2025-01-09 15:05:15.543000,176.80.64.166,0,4
414,1,2025-01-09 16:44:50.547000,176.80.64.166,0,4
415,1,2025-01-09 18:42:05.303000,176.80.64.166,0,4
416,1,2025-01-09 20:08:12.420000,176.80.64.166,0,4
417,1,2025-01-10 13:17:54.480000,88.17.115.98,0,4
418,1,2025-01-10 14:24:28.323000,95.127.170.50,0,4
419,1,2025-01-10 16:42:20.140000,62.42.9.133,2,4
420,1,2025-01-10 21:25:27.820000,95.127.170.50,0,4
421,1,2025-01-12 09:52:32.120000,104.28.34.163,0,4
422,1,2025-01-12 09:52:32.743000,104.28.34.163,0,4
423,1,2025-01-12 09:52:33.540000,104.28.34.163,0,4
424,1,2025-01-12 18:09:30.467000,90.168.26.251,2,4
425,1,2025-01-12 19:43:13.643000,46.222.230.188,0,4
426,1,2025-01-12 19:43:16.860000,46.222.230.188,0,4
427,1,2025-01-13 06:02:18.910000,88.17.27.3,0,4
428,1,2025-01-13 07:19:28.463000,95.124.210.104,0,4
429,1,2025-01-13 08:59:42.870000,95.22.9.27,2,4
430,1,2025-01-13 10:22:32.787000,95.124.210.104,0,4
431,1,2025-01-13 17:28:35.790000,88.17.27.3,0,4
432,1,2025-01-13 18:33:49.653000,88.17.27.3,0,4
433,1,2025-01-13 21:04:31.520000,95.124.208.185,0,4
434,1,2025-01-13 21:24:41.157000,172.225.242.209,0,4
435,1,2025-01-13 21:24:41.873000,172.225.242.209,0,4
436,1,2025-01-13 21:24:42.577000,172.225.242.209,0,4
