id,idconsulta,nombrefiltro,datos,incluirVacios,datosAnteriores,modificado,incluirVaciosAnterior,guidConsulta,negacion,idgrupo
40,34,Realizado,realizado=1,0,,,,c0787af9-e101-4adc-bb17-6e3ff9e39c45,,
41,35,No Realizado,realizado=0 or realizado is null,0,,,,edfccdd6-0da8-48e3-88d2-6d0a0ab183cc,,
44,43,estado,estado like '%abierta%',0,,0,0,2553df13-e568-4486-aba8-c2f736db28cf,,
45,44,estado,estado like '%abierta%',0,,0,0,0a137c4c-95a8-4d3c-ab6d-62007e08ca48,,
46,45,estado,estado like '%abierta%',0,,0,0,06570de7-80dd-47d1-a5f7-24d3e7e237dc,,
47,45,etapa,etapa like '%presupuesto%',0,,0,0,06570de7-80dd-47d1-a5f7-24d3e7e237dc,,
48,46,estado,estado like '%cerrada%',0,,0,0,559c3ef9-473c-4178-a74f-30ee8c539456,,
49,46,etapa,etapa like '%ganada%',0,,0,0,559c3ef9-473c-4178-a74f-30ee8c539456,,
50,47,estado,estado like '%cerrada%',0,,0,0,b968d1e7-b0e2-4e66-b199-337f6a45aaef,,
51,47,etapa,etapa like '%perdida%',0,,0,0,b968d1e7-b0e2-4e66-b199-337f6a45aaef,,
55,53,Estado,Perso4 like '%Alta%',0,,0,0,8a14f385-b3a6-4b0f-942b-f0e1a7b3e941,False,
56,54,Horario,(horario LIKE '%D%'),0,,0,0,e37acbd0-bf9f-4d56-853f-6c86f33347b8,False,
57,55,Horario,(horario LIKE '%M%'),0,,0,0,66f4e1fc-74c2-4f39-ab67-0e6f35c49c19,False,
58,57,Tipo Medicacion,Perso1 like '%antiinf%',0,,0,0,9cffebc3-7b5b-48fd-a5ae-5ea8e70e005b,False,
59,58,Motivo,Perso3 like '%dolor%',0,,0,0,6b650180-db27-4a20-981f-1e9647551747,False,
60,59,Tipo movimiento,tipo like '%Entrada%',0,,0,0,8e4bd468-4e99-4ef1-8efe-0852987b4de2,False,
61,60,Tipo movimiento,tipo like '%Salida%',0,,0,0,b007c59f-610b-4ed0-9195-425f1b21911e,False,
62,62,Fecha Alta,'03/02/2020 00:00:00'<=fecha AND fecha<='03/02/2020 23:59:59',0,,0,0,673b100a-d807-42d9-80db-e05d3bfd9ffd,False,
63,66,Fecha Alta,'03/02/2020 00:00:00'<=fecha AND fecha<='03/02/2020 23:59:59',0,,0,0,6cd3e82d-78d9-46ab-ae37-7b440d614d95,False,
64,66,Stock Real,1<=stockR AND stockR<=99999999,0,,0,0,6cd3e82d-78d9-46ab-ae37-7b440d614d95,False,
65,69,estado,(estado LIKE 'Abierta')OR(estado LIKE 'Presupuesto')OR(estado LIKE 'Visita'),0,,0,0,195a6300-16c9-4719-9407-4c19bf2d549e,,
66,73,estado,(estado LIKE 'Perdida'),0,,0,0,7494f304-0954-402a-9ae8-7e90075c2eff,,
67,74,estado,(estado LIKE 'Venta'),0,,0,0,780dc004-2b34-4690-8594-45d2ae61b66e,,
68,82,11,[11] like '%Sí%',0,,0,0,fb2e091e-0c6b-41a6-942f-260cbab665d4,False,
69,82,14,(valor LIKE '%Tratamiento corporal%'),0,,0,0,fb2e091e-0c6b-41a6-942f-260cbab665d4,False,
70,83,Estado,(estadocli LIKE 'Alta'),0,,0,0,0a8c2a32-ad41-4966-a766-a4bc728183c0,,
71,84,Estado,(estadocli LIKE 'Alta'),0,,0,0,d27f4e2e-2264-4e26-8583-1b17732387b3,,
72,85,Estado,(estadocli LIKE 'Alta'),0,,0,0,c2b328fa-0bfa-43cc-b575-856c7e1b052d,,
73,85,Dormido Historial,(dormidohistorial LIKE '1'),0,,0,0,c2b328fa-0bfa-43cc-b575-856c7e1b052d,False,
74,91,estado,estadotarea like '%abierta%',0,,0,0,186f93cc-634c-429b-b58d-1a5226041056,False,93
75,91,etapa,(etapa LIKE 'En Curso'),0,,0,0,186f93cc-634c-429b-b58d-1a5226041056,False,89
76,91,etapa,(etapa LIKE 'Realizada'),0,,0,0,186f93cc-634c-429b-b58d-1a5226041056,False,90
108,111,En Agenda,agenda = 1,0,,0,0,68b53edc-4df1-4725-bec6-d1c823321387,False,1
109,112,Estado,estado like '%Cancel%',0,,0,0,e152e12b-016b-44f6-bb5e-c4d629253707,False,1
118,122,ActuDescripcion,sactuacion like '%primer%',0,,0,0,cdc4af85-40a5-43ea-800b-ecbcfd562dc3,False,1
124,144,Fecha Alta,'01/01/2022 00:00:00'<=fechaalta AND fechaalta<='31/12/2022 23:59:59',0,,0,0,470ba564-7b62-4fc2-a48b-474ff4c157fd,False,71
131,167,No Cobrado,realizada = 0 or realizada  is null,0,,0,0,b134deb1-37fc-438f-8ec2-bb73aabd479a,False,13
135,185,Total Cobrado,900<=totalcobradocli AND totalcobradocli<=99999999,0,,0,0,e13c5358-5972-45e1-8dcf-59b949fe07c7,False,
155,229,estado,estado like '%abiert%',0,,0,0,d94817c9-cc37-4275-bf00-81acb5a3a6c2,False,4
156,232,Realizada,acturealizada = 1,0,,0,0,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7,False,1
163,250,No Cobrado,realizada = 0 or realizada  is null,0,,0,0,28c73b39-a729-4119-b480-23b50a9f91d3,False,13
164,251,etapa,etapa like '%presupues%',0,,0,0,ef23ece2-3b57-412a-b9dd-e11532356944,False,
165,252,Historial,"icodcli NOT IN (
SELECT DISTINCT icodcli 
	FROM segcli S
	LEFT JOIN estadosCita EC ON EC.id = S.idEstadoCita
	WHERE 
		S.sactuacion LIKE '%lopd%'  
	AND
 1=1 
	AND 
 1=1 
	AND
 1=1 
	AND
 1=1 
	AND
		ISNULL(S.acturealizada,0) = 1
	AND
 1=1 
)
",0,,0,0,0e10a7e1-2680-402d-9ba7-2ae74566b905,False,62
166,253,Historial,"icodcli NOT IN (
SELECT DISTINCT icodcli 
	FROM segcli S
	LEFT JOIN estadosCita EC ON EC.id = S.idEstadoCita
	WHERE 
		S.sactuacion LIKE '%lopd%'  
	AND
 1=1 
	AND 
 1=1 
	AND
 1=1 
	AND
 1=1 
	AND
		ISNULL(S.acturealizada,0) = 1
	AND
 1=1 
)
",0,,0,0,24cebe61-92e3-4362-bbe5-39a8b46a2dc5,False,
167,255,Sin Acceso Clientes,NOT EXISTS(select nombre from [[instancia]advAboCom].[dbo].usuarios WHERE E1 = icodcli or V1 = icodcli or V2 = icodcli or V10 = icodcli or V11 = icodcli or V12 = icodcli or V13 = icodcli or V14 = icodcli or V15 = icodcli or V16 = icodcli or V17 = icodcli or V18 = icodcli or V19 = icodcli),0,,0,0,2189339d-ffa9-4ccb-a968-17920b47e176,False,62
172,269,Historial,"icodcli NOT IN (
SELECT DISTINCT icodcli 
	FROM segcli S
	LEFT JOIN estadosCita EC ON EC.id = S.idEstadoCita
	WHERE 
		S.sactuacion LIKE '%lopd%'  
	AND
 1=1 
	AND 
 1=1 
	AND
 1=1 
	AND
 1=1 
	AND
		ISNULL(S.acturealizada,0) = 1
	AND
 1=1 
)
",0,,0,0,675e4aa5-cc1d-4b2b-89aa-8f13107b06dc,False,
173,270,etapa,etapa like '%presupues%',0,,0,0,2611ee9b-f8c3-414b-a9c5-3fb9d918dbd7,False,
174,271,Historial,"icodcli NOT IN (
SELECT DISTINCT icodcli 
	FROM segcli S
	LEFT JOIN estadosCita EC ON EC.id = S.idEstadoCita
	WHERE 
		S.sactuacion LIKE '%lopd%'  
	AND
 1=1 
	AND 
 1=1 
	AND
 1=1 
	AND
 1=1 
	AND
		ISNULL(S.acturealizada,0) = 1
	AND
 1=1 
)
",0,,0,0,6f40615f-da64-43b5-9b65-098125146a6e,False,
175,274,etapa,etapa like '%presupues%',0,,0,0,93ff9f6c-dea8-4cfd-bb2c-70bc95cdc727,False,
176,275,Historial,"icodcli NOT IN (
SELECT DISTINCT icodcli 
	FROM segcli S
	LEFT JOIN estadosCita EC ON EC.id = S.idEstadoCita
	WHERE 
		S.sactuacion LIKE '%lopd%'  
	AND
 1=1 
	AND 
 1=1 
	AND
 1=1 
	AND
 1=1 
	AND
		ISNULL(S.acturealizada,0) = 1
	AND
 1=1 
)
",0,,0,0,55cb117b-1972-4fde-a83b-3af2acc09d57,False,
245,318,ActuDescripcion,sactuacion like 'cirugía',0,,0,0,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb,False,
258,325,estado,estado like '%abierta%',0,,0,0,c244c3d7-0e7d-43f7-96c6-e371d2f82c17,,
259,326,estado,estado like '%abierta%',0,,0,0,024156a4-b3f9-471b-8183-c889909c9d34,,
260,327,estado,estado like '%abierta%',0,,0,0,6b73691a-e185-4d2e-b788-880a5d942f8c,,
261,327,etapa,etapa like '%presupuesto%',0,,0,0,6b73691a-e185-4d2e-b788-880a5d942f8c,,
262,328,estado,estado like '%cerrada%',0,,0,0,b35d88ed-acb2-420d-8ea7-10d6171abe76,,
263,328,etapa,etapa like '%ganada%',0,,0,0,b35d88ed-acb2-420d-8ea7-10d6171abe76,,
264,329,estado,estado like '%cerrada%',0,,0,0,018f92f3-e0e3-4d74-b00d-587ffaa64004,,
265,329,etapa,etapa like '%perdida%',0,,0,0,018f92f3-e0e3-4d74-b00d-587ffaa64004,,
266,333,Estado,Perso4 like '%Alta%',0,,0,0,ab41af7a-4461-4a80-aaa4-4b3529aad533,False,
267,334,Horario,(horario LIKE '%D%'),0,,0,0,d665d123-5a68-4540-a00c-5262d759cdd5,False,
268,335,Horario,(horario LIKE '%M%'),0,,0,0,5e274362-5a5c-4656-991b-dc8c6b5cdcdd,False,
269,337,Tipo Medicacion,Perso1 like '%antiinf%',0,,0,0,b0da033b-70c1-4bb7-b923-2341acbad140,False,
270,338,Motivo,Perso3 like '%dolor%',0,,0,0,fe2b3775-9efd-46ae-bb91-877afef76d38,False,
271,339,Tipo movimiento,tipo like '%Entrada%',0,,0,0,1b7c8541-597d-4a60-8dbb-37141a41fa4e,False,
272,340,Tipo movimiento,tipo like '%Salida%',0,,0,0,36233257-13cf-40dc-88f9-405232b6952f,False,
273,342,Fecha Alta,'03/02/2020 00:00:00'<=fecha AND fecha<='03/02/2020 23:59:59',0,,0,0,b75786ca-69c0-4c15-87bc-7636be7b5ffa,False,
274,346,Fecha Alta,'03/02/2020 00:00:00'<=fecha AND fecha<='03/02/2020 23:59:59',0,,0,0,49ac0b16-f133-458f-9be8-aef58d89033f,False,
275,346,Stock Real,1<=stockR AND stockR<=99999999,0,,0,0,49ac0b16-f133-458f-9be8-aef58d89033f,False,
276,349,estado,(estado LIKE 'Abierta')OR(estado LIKE 'Presupuesto')OR(estado LIKE 'Visita'),0,,0,0,fcd1fbeb-db77-488a-8cd0-5e7d2044b0c3,,
277,353,estado,(estado LIKE 'Perdida'),0,,0,0,4225c105-72ba-4712-834e-ac9c922a5819,,
278,354,estado,(estado LIKE 'Venta'),0,,0,0,4fcad685-e9a7-434e-8ab6-a7cffdb5f1df,,
279,362,11,[11] like '%Sí%',0,,0,0,5fb2df9a-83e8-47ab-9991-6c15d785a6e3,False,
280,362,14,(valor LIKE '%Tratamiento corporal%'),0,,0,0,5fb2df9a-83e8-47ab-9991-6c15d785a6e3,False,
281,363,Estado,(estadocli LIKE 'Alta'),0,,0,0,f6b89b5b-98d6-46d3-a658-0d93f1426e94,,
282,364,Estado,(estadocli LIKE 'Alta'),0,,0,0,525f7f3c-c554-44ef-a6cd-2d01a93a501b,,
283,365,Estado,(estadocli LIKE 'Alta'),0,,0,0,f5b7c07f-ce21-476e-bebe-52046e18db3d,,
284,365,Dormido Historial,(dormidohistorial LIKE '1'),0,,0,0,f5b7c07f-ce21-476e-bebe-52046e18db3d,False,
285,372,estado,estadotarea like '%abierta%',0,,0,0,eb3bd66e-cc11-4927-b186-f40cf6e807a2,False,93
286,372,etapa,(etapa LIKE 'En Curso'),0,,0,0,eb3bd66e-cc11-4927-b186-f40cf6e807a2,False,89
287,372,etapa,(etapa LIKE 'Realizada'),0,,0,0,eb3bd66e-cc11-4927-b186-f40cf6e807a2,False,90
288,394,estado,estadotarea like '%abierta%',0,,0,0,65647953-f611-46cc-b8a1-ba16e77255d7,False,93
289,394,etapa,(etapa LIKE 'En Curso'),0,,0,0,65647953-f611-46cc-b8a1-ba16e77255d7,False,89
290,394,etapa,(etapa LIKE 'Realizada'),0,,0,0,65647953-f611-46cc-b8a1-ba16e77255d7,False,90
291,397,En Agenda,agenda = 1,0,,0,0,87d50ec4-f703-49ab-91cd-c6814674c229,False,1
292,397,estadoCita,idestadocita IN (1),0,,0,0,87d50ec4-f703-49ab-91cd-c6814674c229,False,1
293,398,En Agenda,agenda = 1,0,,0,0,e62f0415-9b8f-4462-98f4-c03b51e7887d,False,1
294,399,Documento LOPD,(documentoLOPD LIKE 'Pendiente'),1,,0,0,228150e8-764a-45a8-b82e-14513e5f9fbb,False,71
295,400,Fecha Últ. Firma LOPD,fechaultfirmalopd BETWEEN 'PERIODO' AND '11',0,,0,0,c5b44fdf-fa0d-40fc-8535-d708d7d3fa8d,False,71
296,401,No Cobrado,realizada = 0 or realizada  is null,0,,0,0,1e45741d-8763-4859-9ebc-ca7e3bdfc187,False,13
297,402,Historial,"icodcli NOT IN (
SELECT DISTINCT icodcli 
	FROM segcli S
	LEFT JOIN estadosCita EC ON EC.id = S.idEstadoCita
	WHERE 
 1=1 
	AND
 1=1 
	AND 
		S.dfechaact BETWEEN 'PERIODO' AND '12'
	AND
 1=1 
	AND
 1=1 
	AND
 1=1 
	AND
 1=1 
)
",0,,0,0,887a87fc-2695-415c-9789-8c4b3d0dd666,False,71
298,403,Sin Correo,email = '' OR email IS NULL,0,,0,0,bf18f14a-d7d0-4f70-b475-bfb6049fd587,False,71
299,404,fechanacimiento,fechanacimiento BETWEEN 'PERIODO' AND '0' 'DIAMESFECHA',0,,0,0,98c360fc-c8ed-4e94-abaf-eada3f89c2d8,False,71
300,405,Sin Acceso Clientes,NOT EXISTS(select nombre from [[instancia]advAboCom].[dbo].usuarios WHERE E1 = icodcli or V1 = icodcli or V2 = icodcli or V10 = icodcli or V11 = icodcli or V12 = icodcli or V13 = icodcli or V14 = icodcli or V15 = icodcli or V16 = icodcli or V17 = icodcli or V18 = icodcli or V19 = icodcli),0,,0,0,e5ce36fa-763f-4eb1-a798-ce352238b02b,False,71
