id,nombre,origendatos,consultasql,permiso,orden,tipo,filtroEntidad,filtroPropio,idOrigenPadre,finalConsulta,tabla,idCarpetaGeneral,prefijo,idOrigenReal,idModuloControl,titulo,origentitulo,tablatitulo
15,Oportunidades,0,"
SELECT oporcli.*,  subusu.nombre as subusuario from oporcli left join subusu on oporcli.icodusu=subusu.icodsubusu
",ver_opor|1,108,Oportunidades, icodcli = [icodcli] and  linea = [linea] and  dfecha = [dfecha],,,,oporcli,,oporcli,,,Oportunidades,0,
16,Cuentas Clientes,0,"select 
cuencli.*,
stipo = CASE WHEN bhonoproducto=1 THEN 'TIPOCUENTA_PRODUCTO' 
WHEN bhonodcto=1 THEN 'DESCUENTO' 
WHEN honogasto=1 THEN (select isnull(persogast, 'GASTO') from config)  WHEN bhonoarticulo=1 THEN (select isnull(persoart, 'ARTICULO')from config)  
WHEN stipo='HONORARIO'	then (select isnull(persohono, 'HONORARIO')  from config)  
when stipo='GASTO' then (select isnull(persoprov, 'SUPLIDO') from config) 
ELSE stipo END,
clase=CASE WHEN clasecuenta=0 or clasecuenta is null THEN 'Oficial' 
WHEN clasecuenta=1 THEN 'Pro forma' 
WHEN clasecuenta=2 THEN 'Presupuesto' 
WHEN clasecuenta=3 THEN 'Albarán'   
WHEN clasecuenta=4 THEN 'Pedido'
WHEN clasecuenta=5 THEN 'Órden de Trabajo' 
END,
CASE WHEN (facturado is not null and facturado like 's') or (stipo like 'COBRO' or stipo like 'DESCUENTO') THEN 1 ELSE 0 END as cuentafacturada,
(sdescripcion  + ' ' + isnull(cast(notas as varchar(2000)),' ')) as descripnotas 
 from cuencli ",,54,,,,,,cuencli,,cuencli,,,Cuentas Clientes,0,
17,Cuentas Expediente,0,"
select (sdescripcion  + ' ' + isnull(cast(notas as varchar(2000)),' ')) as descripnotas,
cuenexpe.*
 from cuenexpe",,55,,,,,,cuenexpe,,cuenexpe,,,Cuentas Expediente,0,
18,Previas Cliente,0,"select *
from previcli",,126,,,,,,previcli,,previcli,,,Previas Cliente,0,
19,Conceptos Factura,0,"select cuencli.icodcli,
stipo = CASE WHEN bhonoproducto=1 THEN 'TIPOCUENTA_PRODUCTO'  
WHEN bhonodcto=1 THEN 'DESCUENTO'
WHEN honogasto=1 THEN (select isnull(persogast, 'GASTO') from config)
WHEN bhonoarticulo=1 THEN (select isnull(persoart, 'ARTICULO')from config)
WHEN stipo='HONORARIO' then (select isnull(persohono, 'HONORARIO')  from config) 
when stipo='GASTO' then (select isnull(persoprov, 'SUPLIDO') from config)  ELSE stipo END, 
facturado, cuencli.dfecha,cuencli.linea,cuencli.sdescripcion,cuencli.fentradaseuro,cuencli.fsalidaseuro,
cuencli.subusu,cuencli.fechaseg,cuencli.lineaseg,
clase=CASE WHEN clasecuenta=0 or clasecuenta is null THEN 'Oficial'  
WHEN clasecuenta=1 THEN 'Pro forma'  
WHEN clasecuenta=2 THEN 'Presupuesto'  
WHEN clasecuenta=3 THEN 'Albarán'   
 WHEN clasecuenta=4 THEN 'Pedido' 
 WHEN clasecuenta=5 THEN 'Órden de Trabajo' 
 END, 
   
cuencli.inumfactura, 
cuencli.yearfact, cuencli.serie, facturas.fecha as fechafact
, cuencli.tipounidad, cuencli.unidades  
 from cuencli  
inner join facturas on facturas.yearfact = cuencli.yearfact     
and facturas.inumfactura = cuencli.inumfactura     
and facturas.codsubusu = cuencli.codsubusu     
and facturas.serie = cuencli.serie ",,41,,, clasecuenta=0 or clasecuenta is null,,,cuencli,,conceptofact,,,Conceptos Factura,0,
20,Facturas Clientes,0,,,71,OficialClientes,,"
 origen = 'cli'",162,,,,,,,Facturas,0,
23,Proformas General,0,"select ((totalderechoseuro - isnull(totaldctoeuro,0)) + totalivaeuro - totalirpfeuro) as totalbaseivairpf,((totalderechoseuro - isnull(totaldctoeuro,0)) + totalivaeuro) as totalbaseiva,  (totalderechoseuro - isnull(totaldctoeuro,0) + totalivaeuro) as totalhonodctoiva,  (totalderechoseuro - isnull(totaldctoeuro,0)) as totalbaseimp,  (totalsuplidoseuro + (totalderechoseuro - isnull(totaldctoeuro,0)) + totalivaeuro - totalirpfeuro) as totalminuta,  proforma.*,(substring(cuentabanco,1,4)+ '************' + substring(cuentabanco,17,4)) as cuentabancocifr,  (datename(day,proforma.fecha)+ ' de ' + datename(month, proforma.fecha)+ ' de ' + datename(year,proforma.fecha)) as fechafacturalarga, ISNULL(subusu.nombre, 'DESPACHO') as nomsubusu   from proforma left join subusu on proforma.codsubusu = subusu.icodsubusu",,138,REMESAS, yearfact = [yearfact] and inumfactura = [inumfactura] and codsubusu = [codsubusu] and tipoprof = [tipoprof],,,,proforma,,proforma,,,Proformas General,0,
24,Proformas Clientes,0,,,137,ProformasClientes,, proforma.tipoprof = 1 and origen = 'cli',23,,proforma,,proforma,,,Proformas,0,
26,Albaranes Clientes,0,,,5,AlbaranClientes,, proforma.tipoprof = 3 and origen = 'cli',23,,albaran,,albaran,,,Albaranes Clientes,0,
28,Cobros,0,"SELECT prevcobros.fechaingreso,prevcobros.fecha,prevcobros.nombrecli,
case prevcobros.formapago when 'Cheque' then 'Contado' else isnull(prevcobros.formapago,'Otros') end as formapago1,
prevcobros.formapago,
prevcobros.total,prevcobros.concepto,prevcobros.cobrado as realizada,prevcobros.fechacobro as fecharealizada,prevcobros.serie,
prevcobros.inumfactura as inumfact,prevcobros.yearfact,prevcobros.asientocobro,prevcobros.ctacliente as ctaacrcli,
prevcobros.ctacajban,prevcobros.ctaingreso as ctagasing,1 as tipo,prevcobros.baseimp,prevcobros.iva,prevcobros.irpf,prevcobros.codsubusu,prevcobros.factura,
prevcobros.notas,prevcobros.yearcontacobro,prevcobros.subusufact,prevcobros.id,prevcobros.impagado,prevcobros.fechaimpagado,prevcobros.lineacobro,
prevcobros.ctacobrado,prevcobros.lineaimpagado,prevcobros.ctaimpagado,prevcobros.asientoimpagado,prevcobros.yearcontaimpagado,prevcobros.tipoprof,
prevcobros.origen,prevcobros.iyear,prevcobros.inumexp,prevcobros.bproformarel,prevcobros.inumproformarel,prevcobros.yearproformarel,
prevcobros.codsubusuproformarel,prevcobros.tipoproformarel,prevcobros.facturar,prevcobros.ctaiva,prevcobros.ctairpf,
(case prevcobros.diariocobro when 'S' then 1 else 0 end) as diariocobro,
(case prevcobros.diarioimpagado when 'S' then 1 else 0 end) as diarioimpagado,
case prevcobros.factura 
when 1 then 'Oficial' 
when 2 then (case prevcobros.tipoprof when 2 then 'Presupuesto' when 3 then 'Albarán' else 'Proforma' end) 
else 'Sin Facturar' end as tipofactura
FROM prevcobros",,36,COBROS, id = [id],,,,prevcobros,,prevcobros,,,Cobros,0,
29,Usuarios,0,"
select * from subusu",,171,,,,,,subusu,,subusu,,,Usuarios,0,
30,Previas 1 Cliente,0,"select * 
from previcli1 ",,125,,,,,,previcli1,,previcli1,,,Previas 1 Cliente,0,
31,Previas2 Cliente,0,"select *
from previcli2 ",,127,,,,,,previcli2,,previcli2,,,Previas2 Cliente,0,
32,Previas3 Cliente ,0,"select *
from previcli3 ",,128,,,,,,previcli3,,previcli3,,,Previas3 Cliente ,0,
33,Conceptos Oportunidades,0,"SELECT icodcli, dfecha, linea, icodopor, unidades, precio,prevision, oportunidad,icodusu,notas, referencia, 
                facturar, importecierre, tipocuenta FROM oporcuentas",ver_opor|1,42,,,,,,oporcuentas,,oporcuentas,,,Conceptos Oportunidades,0,
34,Clientes Potenciales,0,,clipot|1,20,,, clientes.tipobd = 2,3,,,,clipoten,,,Clientes Potenciales,0,
35,Bancos Expedientes,0,"
select bancos.* 
from expbanco 
left join bancos on expbanco.id=bancos.id ",,14,,,,,,bancos,,bancos,,,Bancos Expedientes,0,
36,Trabajadores,0,,,168,,, clientes.tipobd = 1,3,,,,trabajador,,,Trabajadores,0,
37,Terceros,0,,,165,,, clientes.tipobd = 3,3,,,,cliotro,,,Terceros,0,
38,Alumnos,0,,bveralumno,6,Alumnos,, clientes.tipobd = 5,3,,,,alumno,,,Alumnos,0,
39,Compañias,0,,bvercompania,40,,, clientes.tipobd = 6,3,,,,compania,,,Compañias,0,
40,Mascotas,0,,bvermascota,102,,, clientes.tipobd = 7,,,,,mascota,,,Mascotas,0,
41,Mutuas,0,,bvermutua,103,,, clientes.tipobd = 8,,,,,mutua,,,Mutuas,0,
42,Proveedores,0,,bverproveedor,139,,, clientes.tipobd = 9,3,,,,proveedor,,,Proveedores,0,
43,Voluntarios,0,,bvervoluntarios,172,,, clientes.tipobd = 10,,,,,voluntario,,,Voluntarios,0,
44,Financieras,0,,bverfinancieras,74,,, clientes.tipobd = 11,,,,,financiera,,,Financieras,0,
45,Tercera Edad,0,,bverterceraedad,164,,, clientes.tipobd = 12,,,,,terceraedad,,,Tercera Edad,0,
47,Recetas Médicas,0,select * from recetasmedicas,,140,RECETAS, id = [id],,,,recetasmedicas,,recetasmedicas,,,Recetas Médicas,0,
48,Área 1,0,"
select * from clientes",historialarea1,7,,,,,,altacobrosa1,,clientes,,,Área 1,0,
49,igucalen,0,select * from igucalen,,79,,,,,,igucalen,,igucalen,,,igucalen,0,
50,Control Historial,0,,,52,CONTROLHISTORIAL,,,,,,88,,,1,Control Historial,0,
51,Lineas Factura,0,"select (descripcion  + ' ' + isnull(cast(notas as varchar(2000)),' ')) as descripnotas,
(isnull(entradaeuro,0) + isnull(salidaeuro,0)) as importe, linefact.*,
(isnull(salidaeuro,0)-isnull(totaldctoeuro,0)) as salidamenosdcto
 from linefact ",,85,,,,,,linefact,,linefact,,,Lineas Factura,0,
52,Lineas Factura Gastos,0,,,88,,,  (lower(tipo)='honorario' and cuencli.honogasto = 1) ,51,,linefact,,linefactgas,,,Lineas Factura Gastos,0,
53,Lineas Factura Honorarios,0,,,90,,, lower(tipo)='honorario',51,,linefact,,linefacthono,,,Lineas Factura Honorarios,0,
54,Lineas Factura Provisiones,0,,,92,,, lower(tipo)='provision',51,,,,linefactprov,,,Lineas Factura Provisiones,0,
55,Lineas Factura Gastos 2,0,"select (descripcion  + ' ' + isnull(cast(linefactgastos.notas as varchar(2000)),' ')) as descripnotas,
(isnull(entradaeuro,0)+isnull(salidaeuro,0)) as importe,linefactgastos.*
from linefact as linefactgastos 
left join cuencli c on 
linefactgastos.inumexpexho=c.icodcli and linefactgastos.fechaconcep=c.dfecha and linefactgastos.lineacuentas=c.linea",bverprovsup,89,,, lower(tipo)='gasto',,,linefact,,linefactgastos,,,Lineas Factura Gastos 2,0,
56,Linea Factura Descuento,0,"select (descripcion  + ' ' + isnull(cast(linefactdescuento.notas as varchar(2000)),' ')) as descripnotas,
(isnull(entradaeuro,0)+isnull(salidaeuro,0)) as importe,'DESCUENTO'as tipo,
linefactdescuento.*

 from linefact as linefactdescuento 
 
 left join cuencli c on linefactdescuento.inumexpexho=c.icodcli and linefactdescuento.fechaconcep=c.dfecha and linefactdescuento.lineacuentas=c.linea ",,83,,, lower(tipo)='honorario' and bhonodcto<>0,,,linefactdescuento,,linefactdescuento,,,Linea Factura Descuento,0,
57,Lineas Factura Articulos,0,"select (linefactarticulos.descripcion  + ' ' + isnull(cast(linefactarticulos.notas as varchar(2000)),' ')) as descripnotas,  
(isnull(entradaeuro,0)+isnull(salidaeuro,0)) as importe,  linefactarticulos.*,c.lote as lote,alm.nombre as ubicacion,art.codigo as codarticulo,art.referencia as refarticulo 
from linefact as linefactarticulos
left join cuencli c on linefactarticulos.inumexpexho=c.icodcli and linefactarticulos.fechaconcep=c.dfecha and linefactarticulos.lineacuentas=c.linea 
left join almacen alm on c.idalmacen=alm.id 
left join articulos art on c.idartstock=art.id",bverArticulos,86,,, lower(linefactarticulos.tipo)='honorario' and (c.bhonoarticulo=1) and (c.bhonokit = 0 or c.bhonokit is null),,,linefact,,linefactarticulos,,,Lineas Factura Articulos,0,
58,Lineas Factura Cuanta IVA,0,"select (SUM((round(isnull(linefactctaiva.salidaeuro,0),2))-(round(isnull(linefactctaiva.totaldctoeuro,0),2)))) as baseimp,
round(SUM(isnull(linefactctaiva.totalivaeuro,0)),2) as totiva,linefactctaiva.ctaiva,linefactctaiva.iva 
from linefact as linefactctaiva 

",,87,,, linefactctaiva.tipo='honorario',," group by linefactctaiva.ctaiva,linefactctaiva.iva",,,linefactctaiva,,,Lineas Factura Cuanta IVA,0,
59,Lineas Factura Kits,0,"
select (linefactkit.descripcion  + ' ' + isnull(cast(linefactkit.notas as varchar(2000)),' ')) as descripnotas,
(isnull(entradaeuro,0)+isnull(salidaeuro,0)) as importe,linefact.*
,case when lineakit IS NULL  then 0 else lineakit end as linekit,case when dfechaKit IS null then linefactkit.fechaconcep else dfechakit end as dfechkit 
from linefact as linefactkit 
left join cuencli c on linefactkit.inumexpexho=c.icodcli and linefactkit.fechaconcep=c.dfecha and linefactkit.lineacuentas=c.linea 
",bverkits,91,,, ((lower(linefactkit.tipo)='kit') or ((lower(linefactkit.tipo)='honorario') and (c.bhonoarticulo=1) and (c.bhonoKit=1))) ,51," order by c.idkit, dfechkit,linekit,linefactkit.fechaconcep,linefactkit.linea ",linefact,,linefact,,,Lineas Factura Kits,0,
60,Factura Cobros,0,"select fracobro.* 
from fracobro 
",,69,,,,,,fracobro,,fracobro,,,Factura Cobros,0,
61,Factura Devoluciones,0,"
select fradevol.* 
from fradevol ",,70,,,,,,fradevol,,fradevol,,,Factura Devoluciones,0,
62,Factura Agrupaciones,0,"select factagru.* 
from factagru ",,68,,,,,,factagru,,factagru,,,Factura Agrupaciones,0,
63,Lineas Proforma,0,"select (lineprof.descripcion  + ' ' + isnull(cast(lineprof.notas as varchar(2000)),' ')) as descripnotas,(isnull(entradaeuro,0)+isnull(salidaeuro,0)) as importe, Cast(Round(lineprof.unidades,2,1) as int) as unidades
,(isnull(salidaeuro,0)-isnull(totaldctoeuro,0)) as salidamenosdcto, isnull(fpreciounitario, 0) * (100 - isnull(dctolinea, 0))/100 as preciounimenosdcto
,segod.referencia as refTratamiento,CONVERT(CHAR(10), segod.fechaalta, 101) as fechaTratamiento,CONVERT(VARCHAR, segod.horainicio, 108)  as horainiTratamiento 
,CONVERT(VARCHAR, segod.horafinal, 108)  as horafinTratamiento,convert(char(8),dateadd(second, segod.tiempo, ''), 114) as tiempoTratamiento,segod.codgrafico 
,(case segod.cara when 0 then 'Mesial'
  when 1 then 'Distal'
  when 2 then 'Palatina'
  when 3 then 'Lingual'
  when 4 then 'Oclusal'
  when 5 then 'Ocluso -Mesial'
  when 6 then 'Ocluso -Distal'
  when 7 then 'Ocluso - Vestibular'
  when 8 then 'Ocluso - Palatina'
  when 9 then 'Ocluso - Lingual'
  when 10 then 'Ocluso - Mesio - Distal'
  when 11 then 'Vestibular'
  when 12 then 'Vestibular-Mesial'
  when 13 then 'Vestibular-Distal'
  when 14 then 'Palatina-Mesial'
  when 15 then 'Palatina-Distal'
  when 16 then 'Distal-Mesial'
  when 17 then 'Disto-Palatino-Mesial'
  when 18 then 'Disto-Vestibu-Mesial'
  when 19 then 'Disto-Ocluso-Mesial'
  when 20 then 'Lingual-Mesial'
  when 21 then 'Lingual-Distal'
  when 22 then 'Lingual-Ocluso-Mesial'
  when 23 then 'Lingual-Ocluso-Distal'
  when 24 then 'Lingual-Vestibular'
  when 25 then 'Lingual-Ocluso-Vestibular'
  when 26 then 'Palatina-Mesial'
  when 27 then 'Palatina-Distal'
  when 28 then 'Palatina-Ocluso-Mesial'
  when 29 then 'Palatina-Ocluso-Distal'
  when 30 then 'Palatina-Vestibular'
  when 31 then 'Palatina-Ocluso-Vestibular'
  else ''
  end) as caraTexto 
, case when segod.info is null or segod.info like '' then convert(varchar, segod.diente) else 
case when segod.diente is not null and segod.diente > 0 then convert(varchar, segod.diente) + ','  + replace(segod.info, '|', ',')
	when segod.info like '%1C%' then '1C'
	when segod.info like '%2C%' then '2C'
	when segod.info like '%3C%' then '3C'
	when segod.info like '%4C%' then '4C'
	when segod.info like '%IN%' then 'IN'
	when segod.info like '%SU%' then 'SU'
	when segod.info like '%BC%' then 'Boca completa'
	else replace(segod.info, '|', ',') end
end as piezas ,
CASE WHEN subusu.nombre is null THEN 'DESPACHO - 0' ELSE subusu.nombre + ' - ' + Convert(varchar, segod.codusu) END as usuario,
segod.orden as orden,
case when prdt.pagador = 0 then 0 else lineprof.TotalEuro end as TotalEuro,
lineprof.yearfact,lineprof.inumfactura,lineprof.codsubusu,lineprof.fechaconcep,lineprof.linea,lineprof.tipo,lineprof.descripcion,lineprof.entrada,lineprof.salida,
lineprof.inumexpexho,lineprof.iyear,lineprof.lineacuentas,lineprof.entradaeuro,lineprof.salidaeuro,lineprof.iva,lineprof.irpf,lineprof.dcto,
lineprof.totaliva,lineprof.totalivaeuro,lineprof.totalirpf,lineprof.totalirpfeuro,lineprof.totaldcto,lineprof.totaldctoeuro,lineprof.total,
lineprof.ctaprovsupl,lineprof.agrupacion,lineprof.origen,lineprof.fechaseg,lineprof.ctaiva,lineprof.ctairpf,lineprof.fcambio,lineprof.unidades,lineprof.fpreciounitario,
lineprof.notas,lineprof.tipoprof,lineprof.ctaservart,lineprof.porrecargo,lineprof.poriva,lineprof.dctolinea,lineprof.inumproformarel,lineprof.lineaproformarel,
lineprof.fechaconcepproformarel,lineprof.tipounidad,lineprof.facturada,lineprof.tipofactfacturada,lineprof.inumfacturada,lineprof.yearfacturada,lineprof.codsubusufacturada,
lineprof.seriefacturada,lineprof.pedidor,lineprof.numero,lineprof.entradaext,lineprof.salidaext,lineprof.totalivaext,lineprof.totalirpfext,lineprof.dctolinea2,
lineprof.idbonos,lineprof.idrecall
,segod.id,case when segod.descuento is null then '0' else convert(varchar, segod.descuento) end as dctotratamiento,
case when segod.importe is null then '0' else convert(varchar, segod.importe) end as importetratamiento,
case when segod.importebase is null then '0' else convert(varchar, segod.importebase) end as preciotratamiento
from lineprof 
LEFT JOIN segodont segod 
on lineprof.inumfactura=segod.presunum and lineprof.yearfact=segod.presuyear and lineprof.codsubusu=segod.presucodusu and lineprof.tipoprof=2 and lineprof.linea=segod.presulinea
and lineprof.fechaconcep = segod.presufecha
LEFT OUTER JOIN subusu ON segod.codusu = subusu.icodsubusu
LEFT OUTER JOIN predodonttarifa prdt on prdt.idpredodont = segod.idpredodont and prdt.idtarifa = segod.idtarifa ",,94,,,,,,lineprof,,lineprof,,,Lineas Proforma,0,
64,Lineas Proforma Gasto,0,,bverprovsup,97,,, lower(tipo)='gasto',63,,lineprof,,lineprofgas,,,Lineas Proforma Gasto,0,
65,Lineas Proforma Honorario,0,,,99,,, lower(tipo)='honorario',63,,lineprof,,lineprofhono,,,Lineas Proforma Honorario,0,
66,Lineas Proforma Gastos 2,0,"
select (descripcion  + ' ' + isnull(cast(lineprofgastos.notas as varchar(2000)),' ')) as descripnotas,
(isnull(entradaeuro,0)+isnull(salidaeuro,0)) as importe, lineprofgastos.* 
from lineprof as lineprofgastos 
left join cuencli c on lineprofgastos.inumexpexho=c.icodcli and lineprofgastos.fechaconcep=c.dfecha and lineprofgastos.lineacuentas=c.linea 
",,98,,, lower(tipo)='honorario' and (bhonodcto=0 or bhonodcto is null) and (c.honogasto <> 0 and c.honogasto is not null),63,,lineprof,,lineprofgastos,,,Lineas Proforma Gastos 2,0,
67,Lineas Proforma Provision,0,,,101,,,  lower(tipo)='provision',63,,,,lineprofprov,,,Lineas Proforma Provision,0,
68,Linea Proforma Descuentos,0,"
select (descripcion  + ' ' + isnull(cast(lineprofdescuento.notas as varchar(2000)),' ')) as descripnotas, 
'DESCUENTO' as tipo, lineprofdescuento.*
from lineprof as lineprofdescuento 
left join cuencli c on lineprofdescuento.inumexpexho=c.icodcli and lineprofdescuento.fechaconcep=c.dfecha and lineprofdescuento.lineacuentas=c.linea ",,84,,, lower(tipo)='honorario' and bhonodcto<>0,,,lineprofdescuento,,lineprofdescuento,,,Linea Proforma Descuentos,0,
69,Lineas Proforma Articulos,0,"select (lineprofarticulos.descripcion  + ' ' + isnull(cast(lineprofarticulos.notas as varchar(2000)),' ')) as descripnotas,
(isnull(entradaeuro,0)+isnull(salidaeuro,0)) as importe, lineprofarticulos.*,
c.lote as lote,alm.nombre as ubicacion,art.codigo as codarticulo,art.referencia as refarticulo 
from lineprof as lineprofarticulos 
left join cuencli c on lineprofarticulos.inumexpexho=c.icodcli and lineprofarticulos.fechaconcep=c.dfecha and lineprofarticulos.lineacuentas=c.linea
left join almacen alm on c.idalmacen=alm.id 
left join articulos art on c.idartstock=art.id 
",bverArticulos,95,,, lower(lineprofarticulos.tipo)='honorario' and (c.bhonoarticulo=1) and (c.bhonokit = 0 or c.bhonokit is null),,,lineprof,,lineprofarticulos,,,Lineas Proforma Articulos,0,
70,Lineas Proforma Cuenta IVA,0,"
select (SUM((round(isnull(lineprofctaiva.salidaeuro,0),2))-(round(isnull(lineprofctaiva.totaldctoeuro,0),2)))) as baseimp,
round(SUM(isnull(lineprofctaiva.totalivaeuro,0)),2) as totiva,lineprofctaiva.ctaiva,lineprofctaiva.iva 
from lineprof as lineprofctaiva ",,96,,, lineprofctaiva.tipo='honorario',,"group by lineprofctaiva.ctaiva,lineprofctaiva.iva",,,lineprofctaiva,,,Lineas Proforma Cuenta IVA,0,
71,Lineas Proforma Kits,0,"
select (lineprofkit.descripcion  + ' ' + isnull(cast(lineprofkit.notas as varchar(2000)), ' ')) as descripnotas,
(isnull(entradaeuro,0)+isnull(salidaeuro,0)) as importe, lineprofkit.*
,case when lineakit IS NULL  then 0 else lineakit end as linekit,case when dfechaKit IS null then lineprofkit.fechaconcep else dfechakit end as dfechkit 
from lineprof as lineprofkit 
left join cuencli c on lineprofkit.inumexpexho=c.icodcli and lineprofkit.fechaconcep=c.dfecha and lineprofkit.lineacuentas=c.linea ",bverkits,100,,, ((lower(lineprofkit.tipo)='kit') or ((lower(lineprofkit.tipo)='honorario') and (c.bhonoarticulo=1) and (c.bhonoKit=1))),," order by c.idkit, dfechkit,linekit,lineprofkit.fechaconcep,lineprofkit.linea ",lineprof,,proforma,,,Lineas Proforma Kits,0,
72,Colaboradores,0,"
select * from colabora",bverficcolab,38,Colaboradores, colabora.codcolab = [codcolab],,,,colabora,,clicolab,,,TituloFormColPral,1,
73,Obligaciones Detalles Cliente,0,"select* from clientesobligdetalles 
",,105,,, codobligacion in (select codigo from clientesoblig where historico=0 or historico is null),,,clientesobligdetalles,,clientesobligdetalles,,,Obligaciones Detalles Cliente,0,
74,Obligaciones Histórico Clientes,0,"select* from clientesobligdetalles 
",,106,,, codobligacion in (select codigo from clientesoblig where historico=1),,,clientesobligdetalles,,clientesobligdetalleshisto,,,Obligaciones Histórico Clientes,0,
75,Obligaciones Cliente,0,"
select * from clientesoblig",,104,,,,,,clientesoblig,,clientesoblig,,,Obligaciones Cliente,0,
76,socielib,0,"
select * from socielib",,155,,,,,,socielib,,socielib,,,socielib,0,
77,sociecue,0,"
select * from sociecue",,153,,,,,,sociecue,,sociecue,,,sociecue,0,
78,sociesoc,0,"
select * from sociesoc",,161,,,,,,sociesoc,,sociesoc,,,sociesoc,0,
79,socieadm,0,"
select * from socieadm",,147,,,,,,socieadm,,socieadm,,,socieadm,0,
80,sociemie,0,"
select * from sociemie",,157,,,,,,sociemie,,sociemie,,,sociemie,0,
81,sociecon,0,"
select * from sociecon",,151,,,,,,sociecon,,sociecon,,,sociecon,0,
82,socieapo,0,"
select * from socieapo",,149,,,,,,socieapo,,socieapo,,,socieapo,0,
83,sociereten,0,"
select * from sociereten",,159,,,,,,sociereten,,sociereten,,,sociereten,0,
84,cliiae,0,"
select * from cliiae",,21,,,,,,cliiae,,cliiae,,,cliiae,0,
85,cliresult,0,"
select * from cliresult",,34,,,,,,cliresult,,cliresult,,,cliresult,0,
86,clisocie,0,"
select * from clisocie",,35,,,,,,clisocie,,clisocie,,,clisocie,0,
87,cliirpf,0,"
select * from cliirpf",,23,,,,,,cliirpf,,cliirpf,,,cliirpf,0,
88,clibase,0,"
select * from clibase",,17,,,,,,clibase,,clibase,,,clibase,0,
89,cliiva,0,"
select * from cliiva",,24,,,,,,cliiva,,cliiva,,,cliiva,0,
90,cliivaco,0,"
select * from cliivaco",,25,,,,,,cliivaco,,cliivaco,,,cliivaco,0,
91,clialquiler,0,"
select * from clialquiler",,16,,,,,,clialquiler,,clialquiler,,,clialquiler,0,
92,clipers1,0,"
select * from clipers1",cli_perso1|1,26,,,,,,clipers1,,clipers1,,,TituloFormCliPersoX|0,1,
93,clipers2,0,"
select * from clipers2",cli_perso2|1,27,,,,,,clipers2,,clipers2,,,TituloFormCliPersoX|1,1,
94,clipers3,0,select * from clipers3,cli_perso3|1,28,,,,,,clipers3,,clipers3,,,TituloFormCliPersoX|2,1,
