id,claveFiltro,nombre,campo,orden,campovisualizacion,etiquetasini,tipofiltro,Visible,consultaindependiente,subClave,modofiltro,consultacombo,combovaloresUsu,disponible
35,ControlExpedientes,EtiqProcuradorPropio,procpropio,6,bverficproc,1,3,True,,ControlExpedientes,,,,1
36,ControlExpedientes,Última Actuación,descripcionultimaactu,7,,0,3,False,,,,,,1
37,ControlExpedientes,Estado,estado,3,,0,3,True,,,,,,1
38,ControlExpedientes,EtiqYearExpediente,anyo,8,,1,1,False,,,,,,1
39,ControlHistorial,Descripción,sactuacion,0,,0,3,True,,,,,,1
40,ControlHistorial,Nombre,snombrecli,1,,0,0,True,,,,,,1
41,ControlHistorial,Descripción Expediente,descripcion,5,bVerExpedientes,1,0,False,,,,,,1
42,ControlHistorial,cliUsuario,nomsubusu,2,,1,3,True,((nomsubusu like '%{0}%') or (idsubusus in (select cast(subact.idact as varchar) + '-' +cast(subact.origen as varchar) from [[instancia]advabousu[empresa]].dbo.subususact subact left join [[instancia]advabousu[empresa]].dbo.subusu sb on subact.codsubusu = sb.icodsubusu where sb.nombre like '%{0}%'))),,,,,1
43,ControlHistorial,Tipo de Plazo,tipoactu,4,vertipoplazoseg,0,0,True,,,,,,1
44,ControlHistorial,Tipo de Actuación,tipo,3,,0,0,True,,,,,,1
45,ControlExpedientes,EtiqAbogadoContrario,abocontrario,1,bverficabog,1,3,False,idexp IN (SELECT EAC.inumexp * CAST(10000 as bigint) + EAC.iyear as idexp FROM [[instancia]advabousu[empresa]].dbo.exabocon EAC JOIN [[instancia]advabousu[empresa]].dbo.abogados A ON EAC.icodabo = A.icodabo   WHERE A.snombreabo LIKE '%{0}%'),ControlExpedientes,,,,1
46,ControlExpedientes,EtiqProcuradorContrario,proccontrario,1,bverficproc,1,3,False,,ControlExpedientes,,,,1
47,ControlExpedientes,Etiqueta Editable,campo29,14,tipoexp:bverotrosdatoscampo29,1,3,False,,,,,,1
48,ControlExpedientes,EtiqRefProcuradorPropio,refProcProptodos,1,bverficproc,1,3,True,idexp IN (SELECT EAP.inumexp * CAST(10000 as bigint) + EAP.iyear as idexp   FROM [[instancia]advabousu[empresa]].dbo.exabopro EAP   WHERE EAP.numreferencia LIKE '%{0}%'),ControlExpedientes,,,,1
49,ControlExpedientes,CliRefCli,numreferenciatodos,26,,1,3,False,idexp IN (SELECT ECP.inumexp * CAST(10000 as bigint) + ECP.iyear as idexp   FROM [[instancia]advabousu[empresa]].dbo.exclipro ECP   WHERE ECP.numreferencia LIKE '%{0}%'),ControlExpedientes,,,,1
50,ControlClientes,Número,numero,1,bvercamponumerico,0,1,True,,,,,,1
51,ControlClientes,cliUsuario,susuario,22,,1,0,False,,,,,,1
52,ControlExpedientes,EtiqRefAbogadoPropio,refAbogProptodos,23,bverficabog,1,3,False,idexp IN (SELECT EPP.inumexp * CAST(10000 as bigint) + EPP.iyear as idexp  FROM [[instancia]advabousu[empresa]].dbo.expropro EPP WHERE EPP.numreferencia LIKE '%{0}%'),ControlExpedientes,,,,1
53,ControlExpedientes,Núm. Siniestro,numsiniestro,24,expe_seg|1,1,3,False,idexp IN (SELECT S.inumexp * CAST(10000 as bigint) + S.iyear as idexp    FROM [[instancia]advabousu[empresa]].dbo.seguros S    WHERE S.numsiniestro LIKE '%{0}%'),ControlExpedientes,,,,1
54,ControlExpedientes,CentrosPrincipal,nombrecentro,25,bvercentros,1,3,False,,ControlExpedientes,,,,1
55,ControlClientes,CentrosPrincipal,nombrecentro,26,bvercentros,1,0,False,,,,,,1
56,ControlExpedientes,Notas,notas,15,,0,3,False,,,,,,1
57,ControlExpedientes,EtiqAlumnosProp,alumnostodos,26,bveralumno,1,3,True,idexp IN (SELECT ECP.inumexp * CAST(10000 as bigint) + ECP.iyear as idexp    FROM [[instancia]advabousu[empresa]].dbo.expalumnos ECP   JOIN [[instancia]advabousu[empresa]].dbo.clientes C ON ECP.icodcli = C.icodcli   WHERE C.tipobd = 5 AND C.snombrecli LIKE '%{0}%'),ControlExpedientes,,,,1
58,ControlExpedientes,EtiqClientesProp,snombreclitodos,1,,1,3,True,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT ECP.inumexp * CAST(10000 as bigint) + ECP.iyear as idexp    FROM exclipro ECP   JOIN clientes C ON ECP.icodcli = C.icodcli    WHERE C.tipobd = 0 AND C.snombrecli LIKE '%{0}%'),frmSeleccionarFicha,,,,1
59,ControlExpedientes,ContrarioTituloSingular,contrariotodos,22,bverficcont,1,3,False,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT ECC.inumexp * CAST(10000 as bigint) + ECC.iyear as idexp   FROM exclicon ECC   JOIN cliecont CC ON ECC.icodclicon = CC.icodclicon   WHERE CC.snombreclicon LIKE '%{0}%'),frmSeleccionarFicha,,,,1
60,ControlExpedientes,Núm Autos,snumasuntotodos,1,bverficjuzga,0,3,False,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT EJ.numexp * CAST(10000 as bigint) + EJ.iyear as idexp     FROM expjuzga EJ     WHERE EJ.numasunto LIKE '%{0}%'),frmSeleccionarFicha,,,,1
61,ControlExpedientes,EtiqAbogadoPropio,abopropiotodos,1,bverficabog,1,3,False,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT EPP.inumexp * CAST(10000 as bigint) + EPP.iyear as idexp   FROM expropro EPP    JOIN abogados A ON EPP.icodpro = A.icodabo   WHERE A.snombreabo LIKE '%{0}%'),frmSeleccionarFicha,,,,1
62,ControlExpedientes,EtiqRefProcuradorPropio,refProcProptodos,1,bverficproc,1,3,False,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT EAP.inumexp * CAST(10000 as bigint) + EAP.iyear as idexp     FROM exabopro EAP    WHERE EAP.numreferencia LIKE '%{0}%'),frmSeleccionarFicha,,,,1
63,ControlExpedientes,CliRefCli,numreferenciatodos,1,,1,3,False,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT ECP.inumexp * CAST(10000 as bigint) + ECP.iyear as idexp  FROM exclipro ECP    WHERE ECP.numreferencia LIKE '%{0}%'),frmSeleccionarFicha,,,,1
64,ControlExpedientes,EtiqRefAbogadoPropio,refAbogProptodos,1,bverficabog,1,3,False,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT EPP.inumexp * CAST(10000 as bigint) + EPP.iyear as idexp    FROM expropro EPP   WHERE EPP.numreferencia LIKE '%{0}%'),frmSeleccionarFicha,,,,1
65,ControlExpedientes,Núm. Siniestro,numsiniestro,1,expe_seg|1,1,3,False,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT S.inumexp * CAST(10000 as bigint) + S.iyear as idexp   FROM seguros S    WHERE S.numsiniestro LIKE '%{0}%'),frmSeleccionarFicha,,,,1
66,ControlExpedientes,EtiqAlumnosProp,alumnostodos,1,bveralumno,1,3,False,e.inumexp * CAST(10000 as bigint) + e.iyear IN (SELECT ECP.inumexp * CAST(10000 as bigint) + ECP.iyear as idexp   FROM expalumnos ECP    JOIN clientes C ON ECP.icodcli = C.icodcli  WHERE C.tipobd = 5 AND C.snombrecli LIKE '%{0}%'),frmSeleccionarFicha,,,,1
67,ControlExpedientes,EtiqRefAbogado,srefprocurador,7,procuradores,1,3,True,,,,,,1
68,ControlExpedientes,Ref. Historico,refhisto,25,bverrefhistoexp,0,3,False,,,,,,1
69,ControlExpedientes,Proveedores,proveedorestodos,24,bverproveedor,0,3,False,idexp IN (SELECT DISTINCT EP.inumexp * CAST(10000 as bigint) + EP.iyear as idexp       FROM expproveedor EP        LEFT JOIN clientes C ON C.icodcli = EP.icodcli       WHERE C.snombrecli LIKE '%{0}%'),ControlExpedientes,,,,1
70,ControlExpedientes,EtiqTercerosProp,tercerostodos,23,bVerTerceros,1,3,False,idexp IN (SELECT DISTINCT ECP.inumexp * CAST(10000 as bigint) + ECP.iyear as idexp        FROM exclipro ECP        LEFT JOIN clientes C ON C.icodcli = ECP.icodcli       WHERE C.tipobd = 3 AND C.snombrecli LIKE '%{0}%'),ControlExpedientes,,,,1
71,ControlExpedientes,Campo 3,campotipo3,9,bvertipologiaexpe,1,3,False,,,,,,1
72,ControlClientes,Referencia,referencia,25,,0,0,False,,ControlPotenciales,,,,1
73,Vencimientos,Nº Póliza,numpoliza,1,,0,3,True,,,,,,1
74,Vencimientos,Nombre Cliente,snombrecli,2,,0,3,True,,,,,,1
75,Vencimientos,NIF Cliente,snifcli,3,,0,3,True,,,,,,1
76,Vencimientos,Descripción,descripcion,4,,0,3,True,,,,,,1
77,Vencimientos,Ramo,grupo,5,,0,3,True,,,,,,1
78,Vencimientos,Compañía,company,6,,0,3,True,,,,,,1
79,Vencimientos,Estado,estado,7,,0,3,True,,,,,,1
80,Vencimientos,Tipo Póliza,tipopoliza,8,,0,3,True,,,,,,1
81,Vencimientos,cliUsuario,nomsubusu,9,,1,3,True,,,,,,1
82,Vencimientos,Situación Póliza,situacionpoliza,10,,0,3,False,,,,,,1
83,Vencimientos,Núm. Anulación,numanulacion,11,,0,3,False,,,,,,1
84,Vencimientos,Agente,agente,12,,0,3,False,,,,,,1
85,Vencimientos,Tipo,tipo,13,,0,3,False,,,,,,1
95,Stock,Lote,lote,5,,0,3,True,,,,,,1
96,Stock,Nombre,descripcion,3,,0,3,True,,,,,,1
97,Stock,Código Artículo,codigo,2,,0,3,True,,,,,,1
98,Stock,Referencia Artículo,referencia,13,,0,3,False,,,,,,1
101,Stock,Tipo,tipo,0,,0,4,True,,,,{$}:string|Todas{=}|Entradas{=}Entrada|Salidas{=}Salida,,1
102,Stock,Tipo Artículo,tipoart,12,,0,3,False,,,,,,1
103,Stock,Familia,nomfamilia,4,,0,3,True,,,,,,1
104,Stock,Almacén,almacen,8,,0,3,True,,,,,,1
105,ControlClientes,clinombrecomercial,snombreclicomercial,1,tipoficherocli:6:bvernomcomercialcli,1,0,True,,ControlCompañias,,,,1
106,ControlClientes,CCC,cuentabanco,1,tipoficherocli:6:bverdatosbancarioscli,0,0,True,,ControlCompañias,,,,1
107,PrevisionCobros,Nombre,cliente,0,,0,3,True,,PrevisionCobros,,,,1
108,PrevisionCobros,Forma de cobro,formapago1,1,,0,4,True,,PrevisionCobros,,formacobro|formacobro,,1
109,PrevisionCobros,Concepto,concepto,2,,0,0,True,,PrevisionCobros,,,,1
110,PrevisionCobros,Núm. Factura,inumfact,3,,0,1,True,,PrevisionCobros,,,,1
111,PrevisionCobros,Serie Factura,serie,15,,0,3,False,(CASE WHEN (serie='seriemn' or serie='seriemnrec') THEN '' ELSE serie END) LIKE '%{0}%',PrevisionCobros,,,,1
112,PrevisionCobros,Descripción Expediente,nombreexp,12,,0,0,False,,PrevisionCobros,,,,1
113,PrevisionCobros,Tipo Factura,tipofactura,13,,0,4,False,,PrevisionCobros,,tipofact|tipofact,,1
114,PrevisionCobros,Estado,estadocobro,4,,0,4,True,,PrevisionCobros,4,controlcobros|estadocobro,,1
115,ControlClientes,clinombrecomercial,snombreclicomercial,1,tipoficherocli:7:bvernomcomercialcli,1,0,True,,Tutores,,,,1
118,ControlClientes,CentrosPlural,centrotodos,1,bvercentros,1,3,False,icodcli IN (SELECT icodcli  FROM CentrosClientes CC JOIN centrospredef CP ON CC.idCentro = CP.id WHERE CP.sdescripcion LIKE '%{0}%'),ControlClientes,,,,1
119,PrevisionCobros,Descripción concepto,descripcion,1,,0,0,True,,PrevisionCobros:Conceptos,,,,1
120,ControlClientes,Persona de Contacto,contacto,27,bvercontactocli[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",,,,,1
121,ControlClientes,Persona de Contacto,contacto,23,bvercontactoclipot[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",ControlPotenciales,,,,1
122,ControlClientes,Persona de Contacto,contacto,29,tipoficherocli:5:bvercontactocli[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",ControlAlumnos,,,,1
123,ControlClientes,Persona de Contacto,contacto,30,tipoficherocli:8:bvercontactocli[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",aseguradoras,,,,1
124,ControlClientes,Persona de Contacto,contacto,31,tipoficherocli:6:bvercontactocli[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",ControlCompañias,,,,1
125,ControlClientes,Persona de Contacto,contacto,32,tipoficherocli:9:bvercontactootros[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",ControlProveedores,,,,1
126,ControlFinanciadores,Persona de Contacto,contacto,32,tipoficherocli:11:bvercontactocli[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",,,,,1
127,ControlClientes,Persona de Contacto,contacto,34,tipoficherocli:10:bvercontactootros[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",ControlClientes,,,,1
128,ControlClientes,Persona de Contacto,contacto,35,tipoficherocli:7:bvercontactocli[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",Tutores,,,,1
129,ControlClientes,Persona de Contacto,contacto,36,bvercontactotrab[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",ControlTrabajadores,,,,1
130,ControlClientes,Persona de Contacto,contacto,37,tipoficherocli:4:bvercontactocli[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",ControlPacientes,,,,1
131,ControlClientes,Persona de Contacto,contacto,38,bvercontactootros[AND]bverficconta,0,3,False,"icodcli in (SELECT ContactLin.IcodCli FROM contactlin INNER JOIN contacto ON (ContactLin.icodcontacto = contacto.codcontacto and contacto.nombre like '%{0}%') WHERE ISNULL(ContactLin.icodcli,0) != 0)",Terceros,,,,1
132,ControlClientes,clinombrecomercial,snombreclicomercial,1,tipoficherocli:5:bvernomcomercialcli,1,0,True,,ControlAlumnos,,,,1
133,ControlValoraciones,Nombre,nombreCliente,0,,0,0,True,,,,,,1
134,ControlValoraciones,cliUsuario,nombreUsuario,1,,1,0,True,,,,,,1
135,ControlValoraciones,Actuación,sactuacion,2,,0,0,True,,,,,,1
136,ControlValoraciones,Valoración,puntuacion,3,,0,4,True,,,,{$}:int|Todas{=}|1{=}1|2{=}2|3{=}3|4{=}4|5{=}5,,1
137,ControlClientes,Naturaleza Jurídica,naturjuridica,1,tipoficherocli:9:bvernatjuridicaotros,0,0,False,,ControlProveedores,,,,1
138,ControlClientes,Naturaleza Jurídica,naturjuridica,1,bvernatjuridicacli,0,0,False,,,,,,1
139,ControlClientes,Naturaleza Jurídica,naturjuridica,1,bvernatjuridicaclipot,0,0,False,,ControlPotenciales,,,,1
140,ControlClientes,clinombrecomercial,snombreclicomercial,1,tipoficherocli:10:bvernomcomercialcli,1,0,True,,Voluntarios,,,,1
141,ControlClientes,Naturaleza Jurídica,naturjuridica,1,tipoficherocli:7:bvernatjuridicacli,0,0,True,,Tutores,,,,1
142,ControlExpedientes,Población,spobArq,25,bverEmplaza,0,3,False,,,,,,1
143,ControlExpedientes,Dirección,sdirArq,26,bverEmplaza,0,3,False,,,,,,1
144,PIAS,Actuación,sactuacion,0,,0,0,True,,,,,,1
145,PIAS,Objetivo,sobjetivo,1,,0,0,True,,,,,,1
146,PIAS,Nombre,cliente,2,,0,3,True,CAST(icodcli as varchar) + '-' + CAST(dfechaact as varchar) + '-' + CAST(linea as varchar) in  (select CAST(SC.icodcli as varchar) + '-' + CAST(SC.dfechaact as varchar) + '-' + CAST(SC.linea as varchar) FROM segcli   SC inner join clientes C on SC.icodcli = C.icodcli where C.snombrecli LIKE '%{0}%'),,,,,1
147,ControlHistorial,En Agenda,agenda,4,bVerNuevaAgenda,0,4,True,,,,{$}:int|Todas{=}|Sí{=}1|No{=}0,,1
148,FacturasRecibidas,Proveedor,nombre,3,,0,0,True,,,,,,1
149,FacturasRecibidas,NIF/CIF,nifcli,4,,0,0,True,,,,,,1
150,FacturasRecibidas,Tipo de Gasto,concepto,2,,0,0,True,,,,,,1
151,FacturasRecibidas,Forma de Pago,formapago,4,,0,4,True,,,,formacobro|formacobro,,1
152,FacturasRecibidas,Número,numfactura,1,,0,1,True,,,,,,1
153,FacturasRecibidas,Núm. Documento,documento,5,,0,0,False,,,,,,1
154,FacturasRecibidas,cliUsuario,nombreusuario,7,,1,0,False,,,,,,1
155,FacturasRecibidas,Total,total,13,,0,1,False,,,1,,,1
157,FacturasRecibidas,Estado Pago,frapagada,6,,0,4,True,,,,{$}:int|Todas{=}|Pagadas{=}1|No pagadas{=}0|Pagadas Parcial{=}2,,1
158,ControlExpedientes,EtiqProcuradorPropio,procuradorpropio,7,bverficproc,1,0,True,,frmSeleccionarFicha,,,,1
159,ControlExpedientes,EtiqProcuradorContrario,procuradorcontrario,7,bverficproc,1,0,True,,frmSeleccionarFicha,,,,1
160,AtencionCliente,Nombre,snombrecli,1,,0,0,True,,,,,,1
161,AtencionCliente,Descripción,oportunidad,2,,0,3,True,oportunidad like '%{0}%',,,,,1
162,AtencionCliente,cliUsuario,subusuario,3,,1,0,True,,,,,,1
163,AtencionCliente,Tipo,tipo,4,,0,0,True,,,,,,1
164,AtencionCliente,Fuente,fuente,5,,0,0,True,,,,,,1
165,AtencionCliente,Etapa,etapa,6,,0,0,True,,,,,,1
166,AtencionCliente,Estado,estado,7,,0,0,True,,,,,,1
169,AtencionCliente,Apoyo Responsable,apoyoresponsable,10,,0,0,False,,,,,,1
171,ControlOportunidades,Descripción,oportunidad,0,,0,0,True,,,,,,1
172,ControlOportunidades,EtiqClienteProp,snombrecli,1,,1,0,True,,,,,,1
173,ControlOportunidades,Estado,estado,17,,0,0,False,,,,,,1
174,ControlOportunidades,Etapa,etapa,2,,0,0,True,,,,,,1
175,ControlOportunidades,cliUsuario,subusuario,3,,1,0,True,,,,,,1
176,ControlOportunidades,Tipo,tipo,16,,0,0,False,,,,,,1
177,ControlOportunidades,Fuente,fuente,8,,0,0,False,,,,,,1
178,ControlOportunidades,campo17,campo17,11,bvercampobd1opor,2,0,False,,,,,,1
179,DocManager,Nombre Adjunto,nombreAdjunto,0,,0,0,True,,,,,,1
180,DocManager,Título Adjunto,titulo,15,,0,0,False,,,,,,1
181,DocManager,Cuerpo Documento,Cuerpo,16,,0,6,False,,,,,,1
182,DocManager,Tipo Archivo,nombrecarta,17,,0,5,False,,,,,,1
183,DocManager,Actuación,sactuacion,2,,0,0,True,,,,,,1
184,DocManager,Usuario Actuación,usuACT,3,,0,0,True,,,,,,1
185,DocManager,De,mailde,6,,0,0,False,,,,,,1
186,DocManager,Para,mailpara,7,,0,0,False,,,,,,1
187,DocManager,CC,mailcc,8,,0,0,False,,,,,,1
188,DocManager,CCO,mailcco,9,,0,0,False,,,,,,1
189,DocManager,Asunto Correo,mailasunto,10,,0,0,False,,,,,,1
190,DocManager,Cuerpo Correo,mailtexto,11,,0,10,False,,,,,,1
191,DocManager,Origen,origen,12,,0,0,False,,,,,,1
192,DocManager,Carpeta,idcarpeta,13,,0,0,False,,,,,,1
193,DocManager,Fecha Gestión,fechaHora,14,,0,8,False,,,,,,1
194,DocManager,Fecha Adjunto,fechadcto,4,,0,8,True,,,,,,1
195,DocManager,Fecha Actuación,fechaactuacion,1,,0,8,True,,,,,,1
196,DocManager,Fecha Correo,fechacorreo,5,,0,8,False,,,,,,1
198,ControlExpedientes,EtiqAbogadoContrario,abogadocontrario,11,bverficabog,1,0,True,,frmSeleccionarFicha,,,,1
199,ControlClientes,Departamento,dpto,27,!bMultipleDepartamento,0,0,True,,ControlTrabajadores,,,,1
200,ControlExpedientes,EtiqRefContrario,numreferencia,7,bverficcont,1,3,True,"idexp IN (SELECT ECC.inumexp * CAST(10000 as bigint) + ECC.iyear as idexp
	FROM [[instancia]advabousu[empresa]].dbo.expedien ECC
	JOIN [[instancia]advabousu[empresa]].dbo.exclicon CC ON ECC.inumexp = CC.inumexp and ECC.iyear = CC.iyear
	WHERE CC.numreferencia LIKE '%{0}%')",ControlExpedientes,,,,1
201,ControlObligaciones,Des. Obligación,obligacion,1,,0,0,True,,,,,,1
202,ControlObligaciones,Estado,realizada,2,,0,4,True,,,,{$}:int|Todas{=}|Cerradas{=}1|Abiertas{=}0,,1
203,ControlObligaciones,Etapa,etapa,3,,0,4,True,,,,{$}:int|Todas{=}|Doc No Recibida{=}0|Doc Recibida{=}1|Doc Gestion{=}2|Preparada{=}3|Presentada{=}4,,1
204,ControlObligaciones,Nombre cliente,snombrecli,4,,0,0,True,,,,,,1
205,ControlObligaciones,NIF/CIF,dni,5,,0,0,True,,,,,,1
206,ControlObligaciones,Forma Presentación,presentado,6,,0,0,True,,,,,,1
207,ControlObligaciones,Forma pago,pago,7,,0,0,True,,,,,,1
208,ControlObligaciones,Todos los teléfonos,movil|telefono1|telefono2|telefono3,8,,0,0,True,,,,,,1
209,ControlOportunidades,Todos los teléfonos,climvl|clitfo1|clitfo2|clitfo3,4,,0,0,True,,,,,,1
210,ControlExpedientes,EtiqContactoNombre,nombrecont,10,expe_con|1[AND]bverficconta,1,3,False,"inumexp * CAST(10000 as bigint) + iyear    IN (SELECT ECT.inumexp * CAST(10000 as bigint) + ECT.iyear as idexp    
FROM [[instancia]advabousu[empresa]].dbo.expconta ECT    JOIN [[instancia]advabousu[empresa]].dbo.contacto C ON ECT.codcontacto = C.codcontacto    
WHERE nombrecont LIKE '%{0}%')",,,,,1
211,ControlExpedientes,EtiqTerceroProp,nombretercero,11,bVerTerceros,1,3,False,nombretercero LIKE '%{0}%' ,ControlExpedientes,,,,1
212,ControlExpedientes,NIF Contacto,nifTercero,18,bVerTerceros,0,3,False,niftercero like '%{0}%' ,ControlExpedientes,,,,1
