id,idPestaña,tipoCampo,etiqueta,columna,visualizar,marcaControl,info,orden,esCampoFijo,entidad1,entidad2
105,16,2,Fecha Realización Tarea,0,True,False,,,0,,
106,16,0,Edad Tarea,1,True,False,Días|Hoy|103|,,0,,
107,16,0,Días desde la Última Actuación,1,True,False,Días|Hoy|104|,,0,,
108,16,0,Días hasta Realización Tarea ,1,True,False,Días|105|Hoy|,,0,,
109,14,2,Fecha Inicio Expediente,0,False,False,,0,0,,
110,14,2,Fecha Presentación Demanda,0,False,False,,0,0,,
111,14,2,Fecha Admisión Demanda,0,False,False,,0,0,,
112,14,2,Fecha Sentencia,0,False,False,,0,0,,
113,14,2,Fecha Cierre Expediente,0,False,False,,0,0,,
114,14,0,Días desde Admisión Demanda,1,True,False,Días|Hoy|111|,,0,,
115,14,0,Días desde Sentencia,1,True,False,Días|Hoy|112|,,0,,
116,14,0,Días hasta Cierre Expediente,1,True,False,Días|113|Hoy|,,0,,
117,14,0,Nº de Fechas Realizadas,2,True,False,109|110|111|112|113|,,0,,
118,17,0,Fabricante,0,True,False,,,0,,
119,17,0,Modelo,0,True,False,,,0,,
120,17,0,Núm. Referencia,0,True,False,,,0,,
121,17,0,Pilares,1,True,False,,,0,,
122,17,0,Longitud,1,True,False,,,0,,
123,17,0,Diámetro Apical 6,1,True,False,,,0,,
124,17,0,Diámetro Oclusal,1,True,False,,,0,,
125,17,2,Fecha Cirugía,2,True,False,,,0,,
126,17,2,Fecha Carga,2,True,False,,,0,,
127,17,2,Fecha Prueba Estructura,2,True,False,,,0,,
128,17,2,Fecha Fracaso,2,True,False,,,0,,
129,17,0,Motivo Fracaso,2,True,False,,,0,,
130,17,2,Fecha Última Revisión,2,True,False,,,0,,
131,17,2,Fecha Próxima Revisión,2,True,False,,,0,,
132,18,1,Asistente,0,True,False,,,0,,
133,18,1,Anestesista,0,True,False,,,0,,
134,18,1,Anestésico,0,True,False,,,0,,
135,18,0,Dosis,0,True,False,,,0,,
136,18,0,Duración,0,True,False,,,0,,
137,18,1,Reabsorción ósea,1,True,False,,,0,,
138,18,1,Calidad ósea,1,True,False,,,0,,
139,18,1,Vascularización,1,True,False,,,0,,
140,18,0,Fresa guía,1,True,False,,,0,,
141,18,0,Tipo de cresta ósea,2,True,False,,,0,,
142,18,0,Terapia antibiótica,2,True,False,,,0,,
143,18,0,Oligoelem y vitaminas,2,True,False,,,0,,
144,18,0,Grado estabilización,2,True,False,,,0,,
145,19,2,Fecha de Vencimiento/Renovación automática,0,False,False,,0,1,,
146,19,0,Descripción Contrato,0,False,False,,1,2,,
147,19,4,Periocidad Renovación Contrato,0,False,False,,2,3,,
148,19,6,Importe Cobro,1,False,False,,3,4,,
149,19,0,Concepto Cobro,1,False,False,,4,5,,
150,19,4,Periocidad Cobro,1,False,False,,5,6,,
151,19,6,Incremento Automático Importe en Renovación (%),1,False,False,,6,7,,
152,20,2,F. Recepción Doc,0,True,False,,,8,,
153,20,2,F. Gestión Doc,0,True,False,,,9,,
154,20,2,F. Preparación,0,True,False,,,10,,
155,20,2,F. Presentación,0,True,False,,,11,,
156,20,1,Forma Presentación,0,True,False,,,12,,
157,20,1,Forma Pago,0,True,False,,,13,,
158,20,0,Código Electrónico,0,True,False,,,14,,
159,20,6,Importe,0,True,False,,,15,,
160,20,0,Modelo,0,False,False,,,16,,
161,20,0,Descripción Modelo,0,False,False,,,17,,
162,22,0,Campo Libre 1,0,True,False,,0,0,,
163,22,0,Campo Libre 2,0,True,False,,1,0,,
164,22,0,Campo Libre 3,0,True,False,,2,0,,
165,22,0,Campo Libre 4,0,True,False,,3,0,,
166,22,1,Campo Libre 5,1,True,False,,0,0,,
167,22,1,Campo Libre 6,1,True,False,,1,0,,
168,22,1,Campo Libre 7,1,True,False,,2,0,,
169,22,1,Campo Libre 8,1,True,False,,3,0,,
170,22,2,Campo Fecha Libre 1,2,True,False,,0,0,,
171,22,2,Campo Fecha Libre 2,2,True,False,,1,0,,
172,22,2,Campo Fecha Libre 3,2,True,False,,2,0,,
173,22,2,Campo Fecha Libre 4,2,True,False,,3,0,,
174,23,0,Propiedad 1,0,True,False,,0,0,,
175,23,0,Propiedad 2,0,True,False,,1,0,,
176,23,0,Propiedad 3,0,True,False,,2,0,,
177,23,0,Propiedad 4,0,True,False,,3,0,,
178,23,1,Formato,1,True,False,,0,0,,
179,23,1,Unidades,1,True,False,,1,0,,
180,23,1,Talla,1,True,False,,2,0,,
181,23,1,Color,1,True,False,,3,0,,
182,23,2,Fecha 1,2,True,False,,0,0,,
183,23,2,Fecha 2,2,True,False,,1,0,,
184,23,2,Fecha 3,2,True,False,,2,0,,
185,23,2,Fecha 4,2,True,False,,3,0,,
186,2000000001,8,Fisioterapia,0,True,False,,0,0,,
187,2000000001,8,Logopedia,0,True,False,,1,0,,
188,2000000001,8,Psicología,0,True,False,,2,0,,
189,2000000001,8,Enfermería,0,True,False,,3,0,,
190,2000000001,8,Terapia Ocupacional,0,True,False,,4,0,,
191,2000000001,8,Musicoterapia,0,True,False,,5,0,,
192,2000000001,8,Actividad Física,0,True,False,,6,0,,
600,2000000002,0,M2 Construidos,0,True,False,,0,0,,
601,2000000002,0,M2 útiles ,1,True,False,,1,0,,
602,2000000002,0,Año de construcción ,2,True,False,,2,0,,
603,2000000002,0,Edificio,0,True,False,,3,0,,
604,2000000002,1,Nº habitaciones,1,True,False,,4,0,,
605,2000000002,1,Nº baños,2,True,False,,5,0,,
606,2000000002,1,Fachada del inmueble,0,True,False,,6,0,,
607,2000000002,1,Equipamiento,1,True,False,,7,0,,
608,2000000002,3,Otros,2,True,False,,8,0,,
609,2000000002,0,Consumo energético,0,True,False,,9,0,,
610,2000000002,0,Emisión CO2,1,True,False,,10,0,,
611,2000000002,0,Certificado consumo energético,2,True,False,,11,0,,
612,2000000002,0,Certificado de emisión energética,0,True,False,,12,0,,
613,2000000002,1,Llaves,1,True,False,,13,0,,
614,2000000002,0,Ref llavero,2,True,False,,14,0,,
615,2000000002,1,Cartel,0,True,False,,15,0,,
616,2000000002,1,Nota Simple,1,True,False,,16,0,,
617,2000000002,1,Hipoteca,2,True,False,,17,0,,
618,2000000002,0,Superficie catastral,0,True,False,,18,0,,
619,2000000002,0,Superficie terraza,1,True,False,,19,0,,
620,2000000002,0,Superficie garaje,2,True,False,,20,0,,
621,2000000002,0,Precio plaza garaje,0,True,False,,21,0,,
622,2000000003,0,Ocupación,0,True,False,,0,0,,
623,2000000003,1,Mailing,0,True,False,,0,0,,
624,2000000003,1,LOPD,0,True,False,,0,0,,
625,2000000003,5,Comentarios tutor,0,True,False,,0,0,,
626,2000000003,5,Etiquetas,0,True,False,,0,0,,
