id,idgrupo,nombre,texto,campo,campoVisualizacion,tipoFormato,filtroWhere,crearFormula,idtipogestor,codusu,calculado,expresion,visiblePanel,visibleForm,controlPadre,ordenPanel,ordenForm,orden,expresionUnBound,caseSql,kpi,filtro1,filtro2,ocultarIndicador,campoaux
78,13,% Núm Impagados,% Núm Impagados,,,4,,0,6,,1,( [Núm Impagados] / [Núm cobradas] )*100,0,0,PorImpagadosNumero,,,-78,,,False,,,0,
79,13,% Núm Retrocedidos,% Núm Retrocedidos,,,4,,0,6,,1,([Núm Retrocedidos] / [Núm cobradas] )*100,0,0,PorImpagadosNumero,,,-79,,,False,,,0,
80,13,% Núm Transferencias,% Núm Transferencias,,,4,,0,6,,1,([Núm Transferencias] / [Núm cobradas] )*100,0,0,PorImpagadosNumero,,,-80,,,False,,,0,
81,13,% Importe Impagados,% Importe Impagados,,,4,,0,6,,1,( [Importe Impagados] / [Importe cobrado] ) * 100,0,0,PorImpagadosImporte,,,-81,,,False,,,0,
82,13,% Importe Retrocedidos,% Importe Retrocedidos,,,4,,0,6,,1,( [Importe Retrocedidos] / [Importe cobrado] ) * 100,0,0,PorImpagadosImporte,,,-82,,,False,,,0,
83,13,% Importe Transferencias,% Importe Transferencias,,,4,,0,6,,1,( [Importe Transferencias] / [Importe cobrado] ) * 100,0,0,PorImpagadosImporte,,,-83,,,False,,,0,
84,,Nº Cobros,Nº Cobros,,,2,,0,8,,0,count(id),1,1,CobrosNumero,,,,,1,False,,,0,
85,,Importe cobros,Importe cobros,,,3,,0,8,,0,sum(fimporte),1,1,CobrosImporte,,,,,fimporte,False,,,0,
86,,Importe cobradas,Importe cobradas,,,3,cobrado = 1,0,8,,0,sum(fimporte),1,1,CobrosImporte,,,,,"
case when cobrado = 1 then fimporte else 0 end",False,,,0,
87,,Importe no cobradas,Importe no cobradas,,,3,cobrado = 0 or cobrado is null,0,8,,0,sum(fimporte),1,1,CobrosImporte,,,,,"

case when cobrado = 0 or cobrado is null then fimporte else 0 end",False,,,0,
88,,Importe facturadas,Importe facturadas,,,3,facturado is not null and facturado = 'S',0,8,,0,sum(fimporte),1,0,,,,,,"


case when facturado is not null and facturado = 'S' then fimporte else 0 end",False,,,0,
89,,Importe no facturadas,Importe no facturadas,,,3,facturado is null or facturado = '' or facturado = 'N',0,8,,0,sum(fimporte),1,0,,,,,,"

case when facturado is null or facturado = '' or facturado =  'N'  then fimporte else 0 end",False,,,0,
90,,Nº Cobrados,Nº Cobrados,,,2,cobrado = 1,0,8,,0,count(id),0,1,CobrosNumero,,,,,"

case when cobrado = 1 then 1 else 0 end",False,,,0,
91,,Nº No Cobrados,Nº No Cobrados,,,2,cobrado = 0 or cobrado is null,0,8,,0,count(id),0,1,CobrosNumero,,,,,"

case when cobrado = 0 or cobrado is null then 1 else 0 end",False,,,0,
92,13,Núm Impagados pendientes,Núm. Impagados pendientes,,,2, tipoimpago like 'Impagado',0,6,,0,count(id),0,1,ImpagadosNumero,,,-92,,case when  p.tipoimpago like 'Impagado' then 1 else 0 end,False,,,0,
93,13,Núm Impagados Vueltos a Cobrar,Núm. Impagados Vueltos a Cobrar,,,2,tipoimpago like 'Vuelto a cobrar',0,6,,0,count(id),0,1,ImpagadosNumero,,,-93,,case when  p.tipoimpago like 'Vuelto a cobrar'  then 1 else 0 end,False,,,0,
94,13,Núm Impagados Definitivos,Núm. Impagados Definitivos,,,2,tipoimpago1 like 'Definitivo',0,6,,0,count(id),0,1,ImpagadosNumero,,,-94,,case when  p.tipoimpago like '%definitivo%'   then 1 else 0 end,False,,,0,
95,13,Importe Impagados pendientes,Importe Impagados pendientes,,,3, tipoimpago like 'Impagado',0,6,,0,sum(total),0,1,ImpagadosImporte,,,-95,,case when  p.tipoimpago like 'Impagado' then p.total else 0 end,False,,,0,
96,13,Importe Impagados Vueltos a Cobrar,Importe Impagados Vueltos a Cobrar,,,3,tipoimpago like 'Vuelto a cobrar',0,6,,0,sum(total),0,1,ImpagadosImporte,,,-96,,case when  p.tipoimpago like 'Vuelto a cobrar'  then p.total else 0 end,False,,,0,
97,13,Importe Impagados Definitivos,Importe Impagados Definitivos,,,3,tipoimpago1 like 'Definitivo',0,6,,0,sum(total),0,1,ImpagadosImporte,,,-97,,case when  p.tipoimpago like '%definitivo%'  then p.total else 0 end,False,,,0,
98,,Realizadas,Realizadas,Realizadas,,2,acturealizada = 1,0,7,,0,count(linea),1,1,,,,,,case when acturealizada = 1 then 1 else 0 end,True,,,0,
99,,Pendientes,Pendientes,,,0,acturealizada <> 1,0,7,,0,count(linea),1,1,,,,,,case when acturealizada <> 1 then 1 else 0 end,True,,,0,
100,,Prioritarias,Prioritarias,Prioritarias,,2,alertas = 1,0,7,,0,count(linea),1,1,,,,,,,True,,,0,
101,,Realizadas,Realizadas,,,0,acturealizada = 1,0,1,,0,count(linea),0,0,,,,-101,,case when act.acturealizada = 1 then 1 else 0 end,True,,,0,
102,,Pendientes,Pendientes,,,0,acturealizada <> 1,0,1,,0,count(linea),0,0,,,,-102,,case when act.acturealizada <> 1 then 1 else 0 end,True,,,0,
103,,Prioritarias,Prioritarias,,,0,alertas = 1,0,1,,0,count(linea),0,0,,,,-103,,case when act.alertas = 1 then 1 else 0 end,True,,,0,
107,1,Prioritarias Pendientes,Prioritarias Pendientes,,,0,,0,1,,0,,0,0,,,,-107,,case when act.alertas = 1 and act.acturealizada <> 1 then 1 else 0 end,True,,,0,
108,1,Prioritarias Realizadas,Prioritarias Realizadas,,,0,,0,1,,0,,0,0,,,,-108,,case when act.alertas = 1 and act.acturealizada = 1 then 1 else 0 end,True,,,0,
109,4,Descuento,Descuento,totaldctoeuro,,3,,0,2,,0,sum(totaldctoeuro),1,0,,,2,-109,,,True,,,0,
142,,Nº registros,Nº registros,,,2,,0,13,,0,sum(uno),1,0,,,,1,,1,False,,,0,
143,,Importe Entradas,Importe Entradas,,,3,tipo like 'Entrada',0,13,,0,sum(precioTotal),1,0,,,,4,,case when movstock.tipo like 'Entrada' then movstock.unidades * movstock.precioUni else 0 end,False,,,0,
144,,Importe Salidas,Importe Salidas,,,3,tipo like 'Salida',0,13,,0,sum(precioTotal),1,0,,,,5,,"
case when movstock.tipo like 'Salida' then movstock.unidades * movstock.precioUni else 0 end",False,,,0,
179,34,núm conceptos,Núm Conceptos,,,2,,0,6,,0,count(id),1,1,,,,,,,False,,,0,
180,34,total importe,Total Importe,,,3,,0,6,,0,sum(total),1,1,,,,,,,False,,,0,
192,36,Cantidad,Número,,,2,,0,15,,0,count(id),1,0,,,,,,1,False,,,0,
193,36,Libres,Libres,,,2,icodcli IS NULL,0,15,,0,count(id),1,0,,,,,,CASE WHEN icodcli IS NULL THEN 1 ELSE 0 END,False,,,0,
194,36,Ocupadas,Ocupadas,,,2,icodcli IS NOT NULL,0,15,,0,count(id),1,0,,,,,,CASE WHEN icodcli IS NULL THEN 1 ELSE 0 END,False,,,0,
195,36,% de Ocupación,% de Ocupación,,,4,,0,15,,1,([Ocupadas] / [Número]) * 100,1,0,,,,,,,False,,,0,
196,,NÃºmero Tareas,NÃºmero Tareas,,,0,,0,16,,0,count(id),1,0,,,,,,1,False,,,0,
197,38,Número Tratamientos,Número Tratamientos,Número Tratamientos,,0,,0,17,,0,count(id),1,0,,,,,,1,False,,,0,
198,38,Importe Tratamiento,Importe,,,3,,0,17,,0,sum(importe),1,0,,,,,,segodont.importe,False,,,0,
199,38,Importe Cobrado,Importe Cobrado,,,3,,0,17,,0,sum(total),1,0,,,,,,"coalesce(totalcobrado,0)+coalesce(totalfacturado,0)+coalesce(totalcobradomutua,0)+coalesce(vct.totalcobradocobrosfacturados ,0)",False,,,0,
207,,Núm. Registros,Núm. Registros,,,2,,0,18,,0,count(id),1,1,,,,,,1,False,,,0,
208,,Importe Total,Importe Total,,,3,,0,18,,0,sum(importe),1,1,,,,,,,False,,,0,
209,41,Número Odontogramas,Número Odontogramas,Número Odontogramas,,0,,0,17,,0,count(id),1,0,,,,,,1,False,,,0,
215,44,Nº registros,Nº registros,,,2,,0,20,,0,count(id),1,0,,,,,,1,False,,,0,
216,44,Stock Real,Stock Real,,,3,,0,20,,0,sum(stockR),1,0,,,,,,,False,,,0,
217,44,Precio Total,Precio Total,,,3,,0,20,,0,sum(Total),1,0,,,,,,,False,,,0,
218,46,Cantidad,Número,,,2,,0,15,,0,count(id),1,0,,,,,,1,False,,,0,
219,46,Libres,Libres,,,2,icodcli IS NULL,0,15,,0,count(id),1,0,,,,,,CASE WHEN icodcli IS NULL THEN 1 ELSE 0 END,False,,,0,
220,46,Ocupadas,Ocupadas,,,2,icodcli IS NOT NULL,0,15,,0,count(id),1,0,,,,,,CASE WHEN icodcli IS NULL THEN 1 ELSE 0 END,False,,,0,
221,46,% de Ocupación,% de Ocupación,,,4,,0,15,,1,([Ocupadas] / [Número]) * 100,1,0,,,,,,,False,,,0,
223,48,Núm Facturas,Núm.Facturas,,,2,,0,22,,0,count(inumfactura),1,0,,,1,1,,1,False,,,0,
224,48,Total Facturas,Total,,,3,,0,22,,0,sum(totaleuro),0,0,,,10,-224,,f.totaleuro,False,,,0,
225,48,Total Importe Cobrado,Cobrado,,,3,,0,22,,0,sum(importecobradoCAL),1,0,,,13,11,,"ISNULL(f.totalcobros, 0) -ISNULL(pimpagadocob.impagadocob, 0)",False,,,0,
226,48,Total Importe Pendiente,Pendiente,,,3,,0,22,,0,sum(totpendienteCAL),1,0,,,14,12,,f.totaleuro-f.importecobrado,False,,,0,
227,48,Total Descuento,Descuento,,,3,,0,22,,0,sum(totaldctoeuro),1,0,,,6,5,,f.totaldctoeuro,False,,,0,
228,48,Total Iva,Iva,,,3,,0,22,,0,sum(totalivaeuro),1,0,,,8,7,,f.totalivaeuro,False,,,0,
229,48,Total Irpf,Irpf,,,3,,0,22,,0,sum(totalirpfeuro),1,0,,,9,8,,f.totalirpfeuro ,False,,,0,
230,48,Total Honorarios,EtiqHonorariosPred,,,3,,0,22,,0,sum(totalhonoeuro),1,0,,,2,3,,f.totalhonoeuro,False,,,0,
233,50,Núm Proformas,Núm Proformas,,,2,,0,22,,0,count(inumfactura),1,0,,,1,,,1,False,,,0,
234,50,Total Proformas,Total Proformas,,,3,,0,22,,0,sum(totaleuro),1,0,,,9,,,f.totaleuro,False,,,0,
236,50,Total Pendiente,Total Pendiente,,,3,,0,22,,0,sum(totpendiente),1,0,,,11,,,,False,,,0,
237,50,Total Descuento,Total Descuento,,,3,,0,22,,0,sum(totaldctoeuro),1,0,,,4,,,f.totaldctoeuro,False,,,0,
238,50,Total Iva,Total Iva,,,3,,0,22,,0,sum(totalivaeuro),1,0,,,6,,,f.totalivaeuro,False,,,0,
239,50,Total Irpf,Total Irpf,,,3,,0,22,,0,sum(totalirpfeuro),1,0,,,7,,,f.totalirpfeuro ,False,,,0,
240,50,Total Honorarios,Total Honorarios,,,3,,0,22,,0,sum(totalderechoseuro),1,0,,,3,,,f.totalderechoseuro,False,,,0,
241,50,Total Provisiones,Total Provisiones,,bverprovsup,3,,0,22,,0,sum(totalprovisioneseuro),1,0,,,8,,,f.totalprovisioneseuro,False,,,0,
243,50,Total Cobrado,Total Cobrado,,,3,,0,22,,0,sum(importecobrado),1,0,,,10,,,,False,,,0,
244,51,Núm Albaranes,Núm Albaranes,,,2,,0,22,,0,count(inumfactura),1,0,,,1,,,1,False,,,0,
245,51,Total Albaranes,Total Albaranes,,,3,,0,22,,0,sum(totaleuro),1,0,,,9,,,f.totaleuro,False,,,0,
246,51,Total Cobrado,Total Cobrado,,,3,,0,22,,0,sum(importecobrado),1,0,,,10,,,,False,,,0,
247,51,Total Pendiente,Total Pendiente,,,3,,0,22,,0,sum(totpendiente),1,0,,,11,,,,False,,,0,
248,51,Total Descuento,Total Descuento,,,3,,0,22,,0,sum(totaldctoeuro),1,0,,,4,,,f.totaldctoeuro,False,,,0,
249,51,Total Iva,Total Iva,,,3,,0,22,,0,sum(totalivaeuro),1,0,,,6,,,f.totalivaeuro,False,,,0,
250,51,Total Irpf,Total Irpf,,,3,,0,22,,0,sum(totalirpfeuro),1,0,,,7,,,f.totalirpfeuro ,False,,,0,
251,51,Total Honorarios,Total Honorarios,,,3,,0,22,,0,sum(totalderechoseuro),1,0,,,3,,,f.totalderechoseuro,False,,,0,
252,51,Total Provisiones,Total Provisiones,,bverprovsup,3,,0,22,,0,sum(totalprovisioneseuro),1,0,,,8,,,f.totalprovisioneseuro,False,,,0,
253,51,Total Suplidos,Total Suplidos,,bverprovsup,3,,0,22,,0,sum(totalsuplidoseuro),1,0,,,2,,,f.totalsuplidoseuro,False,,,0,
254,52,Núm Pedidos,Núm Pedidos,,,2,,0,22,,0,count(inumfactura),1,0,,,1,,,1,False,,,0,
255,52,Total Pedidos,Total Pedidos,,,3,,0,22,,0,sum(totaleuro),1,0,,,7,,,f.totaleuro,False,,,0,
256,52,Total Descuento,Total Descuento,,,3,,0,22,,0,sum(totaldctoeuro),1,0,,,3,,,f.totaldctoeuro,False,,,0,
257,52,Total Iva,Total Iva,,,3,,0,22,,0,sum(totalivaeuro),1,0,,,5,,,f.totalivaeuro,False,,,0,
258,52,Total Irpf,Total Irpf,,,3,,0,22,,0,sum(totalirpfeuro),1,0,,,6,,,f.totalirpfeuro ,False,,,0,
259,52,Total Honorarios,Total Honorarios,,,3,,0,22,,0,sum(totalderechoseuro),1,0,,,2,,,f.totalderechoseuro,False,,,0,
260,53,Núm Presupuestos,Núm Presupuestos,,,2,,0,22,,0,count(inumfactura),1,0,,,1,,,1,False,,,0,
261,53,Total Presupuestos,Total Presupuestos,,,3,,0,22,,0,sum(totaleuro),1,0,,,7,,,f.totaleuro,False,,,0,
262,53,Total Descuento,Total Descuento,,,3,,0,22,,0,sum(totaldctoeuro),1,0,,,3,,,f.totaldctoeuro,False,,,0,
263,53,Total Iva,Total Iva,,,3,,0,22,,0,sum(totalivaeuro),1,0,,,5,,,f.totalivaeuro,False,,,0,
264,53,Total Irpf,Total Irpf,,,3,,0,22,,0,sum(totalirpfeuro),1,0,,,6,,,f.totalirpfeuro ,False,,,0,
265,53,Total Honorarios,Total Honorarios,,,3,,0,22,,0,sum(totalderechoseuro),1,0,,,2,,,f.totalderechoseuro,False,,,0,
266,54,Núm Órdenes,Núm Órdenes,,,2,,0,22,,0,count(inumfactura),1,0,,,1,,,1,False,,,0,
267,54,Total Órdenes,Total Órdenes,,,3,,0,22,,0,sum(totaleuro),1,0,,,7,,,f.totaleuro,False,,,0,
268,54,Total Descuento,Total Descuento,,,3,,0,22,,0,sum(totaldctoeuro),1,0,,,3,,,f.totaldctoeuro,False,,,0,
269,54,Total Iva,Total Iva,,,3,,0,22,,0,sum(totalivaeuro),1,0,,,5,,,f.totalivaeuro,False,,,0,
270,54,Total Irpf,Total Irpf,,,3,,0,22,,0,sum(totalirpfeuro),1,0,,,6,,,f.totalirpfeuro,False,,,0,
271,54,Total Honorarios,Total Honorarios,,,3,,0,22,,0,sum(totalderechoseuro),1,0,,,2,,,f.totalderechoseuro,False,,,0,
272,48,Total Provisiones,Provisiones,,bverprovsup,3,,0,22,,0,sum(totalprovisioneseuro),1,0,,,11,9,,f.totalprovisioneseuro,False,,,0,
273,48,Total Suplidos,Suplidos,,bverprovsup,3,,0,22,,0,sum(totalsuplidoseuro),1,0,,,10,2,,f.totalsuplidoseuro,False,,,0,
274,50,Total Suplidos,Total Suplidos,,bverprovsup,3,,0,22,,0,sum(totalsuplidoseuro),1,0,,,2,,,f.totalsuplidoseuro,False,,,0,
275,48,Total Base Imp,Base Imp.,,,3,,0,22,,0,sum(baseimp),1,0,,,7,6,,"isnull(f.totalderechoseuro,0)-isnull(f.totaldctoeuro,0)",False,,,0,
276,50,Total Base Imp,Total Base Imp,,,3,,0,22,,0,sum(baseimp),1,0,,,5,,,,False,,,0,
277,51,Total Base Imp,Total Base Imp,,,3,,0,22,,0,sum(baseimp),1,0,,,5,,,,False,,,0,
278,52,Total Base Imp,Total Base Imp,,,3,,0,22,,0,sum(baseimp),1,0,,,4,,,,False,,,0,
279,53,Total Base Imp,Total Base Imp,,,3,,0,22,,0,sum(baseimp),1,0,,,4,,,,False,,,0,
280,54,Total Base Imp,Total Base Imp,,,3,,0,22,,0,sum(baseimp),1,0,,,4,,,,False,,,0,
281,57,Núm Proformas,Núm.Proformas,,,2,,0,25,,0,count(inumfactura),1,0,,,1,1,,1,False,,,0,
282,57,Total Suplidos,Suplidos,,bverprovsup,3,,0,25,,0,sum(totalsuplidoseuro),1,0,,,11,2,,f.totalsuplidoseuro,False,,,0,
283,57,Total Honorarios,Honorarios,,,3,,0,25,,0,sum(totalderechoseuro),1,0,,,8,3,,f.totalderechoseuro,False,,,0,
284,57,Total Descuento,Descuento,,,3,,0,25,,0,sum(totaldctoeuro),1,0,,,5,4,,f.totaldctoeuro,False,,,0,
285,57,Total Base Imp,Base Imponible,,,3,,0,25,,0,sum(baseimp),1,0,,,12,5,,"isnull(f.totalderechoseuro,0)-isnull(f.totaldctoeuro,0)",False,,,0,
286,57,Total Iva,Iva,,,3,,0,25,,0,sum(totalivaeuro),1,0,,,6,6,,f.totalivaeuro,False,,,0,
287,57,Total Irpf,Irpf,,,3,,0,25,,0,sum(totalirpfeuro),1,0,,,7,7,,f.totalirpfeuro,False,,,0,
288,57,Total Provisiones,Provisiones,,bverprovsup,3,,0,25,,0,sum(totalprovisioneseuro),1,0,,,10,8,,f.totalprovisioneseuro,False,,,0,
289,57,Total Proformas,Total,,,3,,0,25,,0,sum(totaleuro),1,0,,,2,9,,f.totaleuro,False,,,0,
290,57,Total Importe Cobrado,Cobrado,,,3,,0,25,,0,sum(importecobrado),1,0,,,3,10,,,False,,,0,
