idfiltro,idtipogestor,nombre,imagen,texto,usarForm,consultaSql,tipoFiltro,campo,winform,webpage,dinamico,subTipo,orden,tabla,grupo,descripcion,campoVisualizacion,usarEtiquetasIni,desglosable,nivelFiltro,otroscampos,valorDefecto,verFiltroDefecto,partesqlfiltro,filtroDataTable,disponible
55,3,dfecha,,Fecha Cuenta,0,,2,dfecha,,,0,0,,0,,Fecha Cuenta,,0,,0,,,1,,,1
56,3,Usuario Cuentas,user.png,cliCuentas,0,"select icodsubusu, nombre from subusu",0,subusu,,,0,2,26,0,,Usuario Cuentas,,1,,0,,,1,,,1
57,3,Base de Datos,datos.png,Base de Datos,0,,0,,,,0,5,0,0,,Base de Datos,,0,,0,,,1,,,1
58,3,Clientes,user2.png,EtiqClientesProp,0,"select icodcli, snombrecli from clientes
where tipobd = 0",0,icodcli,,,0,2,2,0,,Cliente,,1,,0,,,1,,,1
59,3,Potenciales,user3.png,func:EtiqPotenciales|true,0,"select icodcli, snombrecli from clientes
where tipobd = 2",0,icodcli,,,0,2,3,0,,Clientes Potenciales,VerPotenciales,1,,0,,,0,,,1
61,3,Usuario Expediente,user.png,Usuario Expediente,0,"select icodsubusu, nombre from subusu",0,expusu,,,0,2,25,0,,Usuario del Expediente,,1,,0,,,1,,,1
62,3,Tipo Expediente,folder_32.png,TipExpTitulo2,0,"select codigo, tipoexp from tipoexp ",0,itipoexp,,,0,2,5,0,,Tipo de Expediente,,1,,0,,,1,,,1
63,3,Tipo Cuenta,folder_32.png,sTipo,0,"SELECT  valor = CASE WHEN valor='ARTICULO' THEN (select isnull(persoart, 'ARTICULO') from config) 
			 WHEN valor='GASTO' THEN (select isnull(persogast, 'GASTO') from config) 
			 WHEN valor='HONORARIO'	then  (select isnull(persohono, 'HONORARIO') from config) 
			 WHEN valor='SUPLIDO' then (select isnull(persoprov, 'SUPLIDO') from config)
			 WHEN valor='VARIOS' then (select isnull(persovari, 'VARIOS') from config)
			 ELSE UPPER(valor) END
FROM [[instancia]advabocom].dbo.gestorvalores
WHERE tabla in ('cuentas')
AND llave = 'tipo'
UNION
select isnull(nullif(valor, ''), REPLACE(etiqueta, 'CuePrevi', 'Previas ')) as valor from [[instancia]advabocom].dbo.etiquetasini where seccion like 'FormExpCue' 
	and 
	(
		(etiqueta = 'CuePrevi' and exists (select bverprevias from config WHERE bverprevias = 1))
		or (etiqueta = 'CuePrevi1' and exists (select bverprevias1 from config WHERE bverprevias1 = 1))
		or (etiqueta = 'CuePrevi2' and exists (select bverprevias2 from config WHERE bverprevias2 = 1))
		or (etiqueta = 'CuePrevi3' and exists (select bverprevias3 from config WHERE bverprevias3 = 1))
	)",0,stipo,,,0,2,0,0,,cuenexpe,,2,,0,,,1,,,1
64,3,Descripción Cuenta,a.png,Descripción Cuenta,0,,0,sdescripcion,,,0,1,17,0,,Descripción de Cuenta,,0,,0,,,1,,,1
66,5,fechavencimiento,,Fecha Vencimiento,0,,2,fechavencimiento,,,0,0,,0,,Fecha Vencimiento,,0,,0,,,1,,,1
67,5,fechacontrato,,Fecha Contrato,0,,2,fechacontrato,,,0,0,,0,,Fecha Contrato,,0,,0,,,1,,,1
68,5,Campo 4,a.png,Campo 4,0,,0,campo4,,,0,1,17,0,,Campo 4,,0,,0,,,1,,,1
69,5,Campo 3,a.png,Campo 3,0,,0,campo3,,,0,1,16,0,,Campo 3,,0,,0,,,0,,,1
70,5,Base de Datos,datos.png,Base de Datos,0,,0,,,,0,5,0,0,,Base de Datos,,0,,0,,,1,,,1
71,5,Clientes,user2.png,EtiqClientesProp,0,"select icodcli, snombrecli, codigo from clientes where tipobd = 0",0,icodcli,,,0,2,1,0,,Clientes,,1,,0,,,1,,,1
72,5,Clientes Potenciales,user3.png,Potenciales,0,"select icodcli, snombrecli, codigo from clientes where tipobd = 2",0,icodcli,,,0,2,2,0,,Clientes Potenciales,,0,,0,,,0,,,1
73,5,Grupo,a.png,func:EtiqGrupoVencimiento,0,,0,grupo,,,0,1,4,0,,Grupo,,1,,0,,,1,,,1
74,5,Tipo,a.png,Tipo,0,,0,tipo,,,0,1,5,0,,Tipo,,0,,0,,,0,,,1
75,5,Contrato Realizado,green_check.png,Contrato Realizado,0,realizado = 1,0,realizado,,,0,0,6,0,realizado,Contrato Realizado,,0,,0,,,0,,,1
76,5,Contrato No Realizado,x.png,Contrato No Realizado,0,realizado = 0 or realizado  is null,0,realizado,,,0,0,6,0,realizado,Contrato No Realizado,,0,,0,,,0,,,1
77,5,Estado,a.png,Estado,0,,0,estado,,,0,1,7,0,,Estado,,0,,0,,,1,,,1
78,5,Compañía,a.png,Compañía,0,,0,company,,,0,1,8,0,,Compañía,,0,,0,,,1,,,1
79,5,Agente,a.png,Agente,0,,0,agente,,,0,1,9,0,,Agente,,0,,0,,,0,,,1
80,5,Notas,a.png,Notas,0,,0,notas,,,0,1,10,0,,Notas,,0,,0,,,0,,,1
81,5,Forma de pago,a.png,Forma de pago,0,,0,formapago,,,0,1,11,0,,Forma de pago,,0,,0,,,0,,,1
82,5,Duración,a.png,Duración,0,,0,duracion,,,0,1,12,0,,Duración,,0,,0,,,0,,,1
83,5,Vencimiento,a.png,Vencimiento,0,,0,descripcion,,,0,1,13,0,,Vencimiento,,0,,0,,,1,,,1
84,5,Campo 2,a.png,Campo 2,0,,0,campo2,,,0,1,15,0,,Campo 2,,0,,0,,,0,,,1
85,5,Campo 1,a.png,Campo 1,0,,0,campo1,,,0,1,14,0,,Campo 1,,0,,0,,,0,,,1
86,4,fecha,,Fecha Obligación,0,,2,fecha,,,0,0,,0,,clientesobligdetalles,,2,,0,,,1,,,1
87,4,fecharecepcion,,Fecha Recepción Doc,0,,2,fecharecepcion,,,0,0,,0,,Fecha Recepción,,0,,0,,,1,,,1
88,4,fechapreparacion,,Fecha Preparación,0,,2,fechapreparacion,,,0,0,,0,,Fecha Preparación,,0,,0,,,1,,,1
89,4,fecharealizada,,Fecha Realización,0,,2,fecharealizada,,,0,0,,0,,Fecha Realización,,0,,0,,,0,,,1
90,4,Usuario,user.png,cliUsuario,0,"select icodsubusu, nombre from subusu",0,codsubusu,,,0,2,,0,,Usuario,,1,,0,,,1,,,1
91,4,Campo6,a.png,Campo6,0,,0,campo6,,,0,1,18,0,,Campo6,,0,,0,,,0,,,1
92,4,Campo5,a.png,Campo5,0,,0,campo5,,,0,1,18,0,,Campo5,,0,,0,,,0,,,1
93,4,Campo4,a.png,Campo4,0,,0,campo4,,,0,1,17,0,,Campo4,,0,,0,,,0,,,1
94,4,Campo3,a.png,Campo3,0,,0,campo3,,,0,1,16,0,,Campo3,,0,,0,,,0,,,1
95,4,Campo2,a.png,Campo2,0,,0,campo2,,,0,1,15,0,,Campo2,,0,,0,,,0,,,1
96,4,Campo1,a.png,Campo1,0,,0,campo1,,,0,1,14,0,,Campo1,,0,,0,,,0,,,1
97,4,Código,a.png,Código,0,,0,codigo,,,0,1,13,0,,Código,,0,,0,,,0,,,1
98,4,Forma Presentación,a.png,Forma Presentación,0,,0,presentado,,,0,1,12,0,,Forma Presentación,,0,,0,,,1,,,1
99,4,Envío Autoriz,green_check.png,Enviada Autoriz,0,fechaautorizacion is not null,0,fechaautorizacion,,,0,0,10,0,fechaautorizacion,Envío Autorizado,bVerFechaEnvioObligacion,0,,0,,,0,,,1
100,4,No Envío Autoriz,x.png,No enviada Autoriz,0,fechaautorizacion is null,0,fechaautorizacion,,,0,0,11,0,fechaautorizacion,No Envío Autorizado,bVerFechaEnvioObligacion,0,,0,,,0,,,1
101,4,cobrada,green_check.png,Pagada,0,cobrada = 1,0,cobrada,,,0,0,8,0,cobrada,Cobrada,,0,,0,,,0,,,1
102,4,No Cobrada,x.png,No Pagada,0,cobrada = 0 or cobrada is null,0,cobrada,,,0,0,9,0,cobrada,No Cobrada,,0,,0,,,0,,,1
103,4,Presentadas,green_check.png,Presentadas,0,realizada = 1,0,realizada,,,0,0,6,0,realizada,Presentadas,,0,,0,,,1,,,1
104,4,No presentadas,x.png,No presentadas,0,realizada = 0 or realizada is null,0,realizada,,,0,0,7,0,realizada,No presentadas,,0,,0,,,1,,,1
105,4,Recibida Doc,green_check.png,Recibida Doc,0,fecharecepcion is not null,0,fecharecepcion,,,0,0,4,0,fecharecepcion,Recibida Doc,,0,,0,,,1,,,1
106,4,No Recibida Doc.,x.png,No Recibida Doc,0,fecharecepcion is null,0,fecharecepcion ,,,0,0,5,0,fecharecepcion ,No Recibida Doc.,,0,,0,,,1,,,1
107,4,N.I.F/C.I.F,a.png,N.I.F/C.I.F,0,,0,dni,,,0,1,3,0,,N.I.F/C.I.F,,0,,0,,,0,,,1
108,4,Desc. Obligación,a.png,Desc. Obligación,0,,0,obligacion,,,0,1,2,0,,Desc. Obligación,,0,,0,,,1,,,1
109,4,Modelo Anual,a.png,Modelo Anual,0,,0,modelo,,,0,1,1,0,,Modelo Anual,,0,,0,,,1,,,1
110,6,fechagasing,,Fecha Alta,0,,2,fechagasing,,,0,0,,0,,Fecha alta/libramiento,,0,,0,,,1,,,1
111,6,fecha,,Fecha Vencimiento,0,,2,fecha,,,0,0,,0,,Fecha Vencimiento,,0,,0,,,1,,,1
112,6,fecharealizada,,Fecha Cobro,0,,2,fecharealizada,,,0,0,,0,,Fecha Cobro,,0,,0,,,1,,,1
113,6,fechaimpagado,,Fecha Impagado,0,,2,fechaimpagado,,,0,0,,0,,Fecha Impagado,,0,,0,,,1,,,1
114,6,fecharemesa,,Fecha Remesa,0,,2,fecharemesa,,,0,0,,0,,Fecha Remesa,,0,,0,,,0,,,1
115,6,Concepto,a.png,Concepto,0,,0,concepto,,,0,1,1,0,,Concepto,,0,,0,,,1,,,1
116,6,Cliente,user2.png,EtiqClientesProp,0,"select icodcli, snombrecli from clientes
where tipobd = 0",0,icodcli,,,0,2,0,0,,Cliente,,1,,0,,,1,,,1
117,6,Cta Ingreso,a.png,Cta Ingreso,0,,0,,,,0,0,23,0,,Cta Ingreso,asdf,0,,0,,,0,,,1
118,6,Cta Cliente,a.png,Cta Cliente,0,,0,,,,0,0,24,0,,Cta Cliente,asdf,0,,0,,,0,,,1
119,6,Caja/Banco,a.png,Caja/Banco,0,,0,,,,0,0,25,0,,Caja/Banco,asdf,0,,0,,,0,,,1
120,6,Total,a.png,Total,0,,0,total,,,0,3,3,0,,Total,,0,,0,,,1,,,1
121,6,Notas,a.png,Notas,0,,0,notas,,,0,1,28,0,,Notas,asdf,0,,0,,,0,,,1
122,6,Cobrado,green_check.png,Cobrado,0,realizada = 1,0,cobrado,,,0,0,4,0,cobrado,Cobrado,,0,,0,,,1,,,1
123,6,No Cobrado,x.png,No Cobrado,0,realizada = 0 or realizada  is null,0,cobrado,,,0,0,5,0,cobrado,No Cobrado,,0,,0,,,1,,,1
124,6,Forma de Cobro,a.png,Forma de Cobro,0,select valor from combovalores where campo like 'formacobro' and tabla like 'formacobro',0,formapago1,,,0,2,2,0,,Forma de Cobro,,0,,0,,,1,,,1
125,6,Impagado,green_check.png,Impagado,0,impagado = 1,0,impagado,,,0,0,8,0,impagado,Impagado,,0,,0,,,1,,,1
126,6,No Impagado,x.png,No Impagado,0,impagado = 0 or impagado is null,0,impagado,,,0,0,9,0,impagado,No Impagado,,0,,0,,,1,,,1
127,6,Remesado,green_check.png,Remesado,0,estaremesado = 1,0,remesado,,,0,0,15,0,remesado,Remesado,,0,,0,,,1,,,1
128,6,No Remesado,x.png,No Remesado,0,estaremesado = 0 or estaremesado is null,0,remesado,,,0,0,16,0,remesado,No Remesado,,0,,0,,,1,,,1
129,6,Tipo Factura,a.png,Tipo Factura,0,"select valor from gestorvalores
where tabla like 'prevcobros' and llave like 'TipoFactura'",0,tipofactura,,,0,2,6,0,,Tipo Factura,,0,,0,,,1,,,1
130,6,Diario,green_check.png,Diario,0,diariocobro like 'S',0,diariocobro,,,0,0,26,0,diariocobro,Diario,asdf,0,,0,,,0,,,1
131,6,No Diario,x.png,No Diario,0,"diariocobro is null or diariocobro like '' or diariocobro like 'N'

",0,diariocobro,,,0,0,27,0,diariocobro,No Diario,asdf,0,,0,,,0,,,1
132,6,Diario Impagado,green_check.png,Diario Impagado,0,diarioimpagado like 'S',0,diarioimpagado,,,0,0,27,0,diarioimpagado,Diario Impagado,asdf,0,,0,,,0,,,1
133,6,Diario No Impagado,x.png,Diario No Impagado,0,diarioimpagado is null or diarioimpagado like '' or diarioimpagado like 'N',0,diarioimpagado,,,0,0,27,0,diarioimpagado,Diario No Impagado,asdf,0,,0,,,0,,,1
134,2,fecha,calendar.png,fechacierre,0,,0,fechacierre,,,0,6,14,0,,oporcli,,2,,0,,,0,,,1
135,1,dfechanotificacion,,fechaAltaNotificacion,0,,2,dfechanotificacion,,,0,0,13,0,,,verfechaaltaact,1,,0,,,0,,,1
136,2,campo1,a.png,Campo1,0,,0,campo1,,,0,1,15,0,,oporcli,verCampo1opor,2,,0,,,0,,,1
137,2,campo2,a.png,Campo2,0,,0,campo2,,,0,1,17,0,,oporcli,verCampo2opor,2,,0,,,0,,,1
138,2,campo3,a.png,Campo3,0,,0,campo3,,,0,0,20,0,,oporcli,verCampo3opor,2,,0,,,0,,,1
139,2,campo4,a.png,Campo4,0,,0,campo4,,,0,1,18,0,,oporcli,verCampo4opor,2,,0,,,0,,,1
140,2,campo5,a.png,Campo5,0,,0,campo5,,,0,1,19,0,,oporcli,verCampo5opor,2,,0,,,0,,,1
141,2,campo6,a.png,Campo6,0,,0,campo6,,,0,1,21,0,verCampo6opor,oporcli,verCampo6opor,2,,0,,,0,,,1
142,2,campo7,a.png,Campo7,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo7'",0,campo7,,,0,2,24,0,,oporcli,bverdespleopor,2,,0,,,0,,,1
143,2,campo8,a.png,Campo8,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo8'",0,campo8,,,0,2,22,0,,oporcli,verCampo8opor,2,,0,,,0,,,1
144,2,campo9,a.png,Campo9,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo9'",0,campo9,,,0,2,23,0,,oporcli,verCampo9opor,2,,0,,,0,,,1
146,2,campo11,a.png,Campo11,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo11'",0,campo11,,,0,2,28,0,,oporcli,verCampo11opor,2,,0,,,0,,,1
147,2,campo12,a.png,Campo12,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo12'",0,campo12,,,0,2,26,0,,oporcli,verCampo12opor,2,,0,,,0,,,1
148,2,campo13,a.png,Campo13,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo13'",0,campo13,,,0,2,27,0,,oporcli,verCampo13opor,2,,0,,,0,,,1
149,2,campo14,a.png,Campo14,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo14'",0,campo14,,,0,2,29,0,,oporcli,verCampo14opor,2,,0,,,0,,,1
150,2,campo15,a.png,Campo15,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo15'",0,campo15,,,0,2,33,0,,oporcli,verCampo15opor,2,,0,,,0,,,1
151,2,campo16,a.png,Campo16,0,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo16'",0,campo16,,,0,2,31,0,,oporcli,verCampo16opor,2,,0,,,0,,,1
152,2,campo19,a.png,Campo19,0,,0,campo19,,,0,1,36,0,,oporcli,verCampo19opor,2,,0,,,0,,,1
153,2,campo20,a.png,Campo20,0,,0,campo20,,,0,1,34,0,,oporcli,verCampo20opor,2,,0,,,0,,,1
154,2,campo21,a.png,Campo21,0,,0,campo21,,,0,0,35,0,,oporcli,verCampo21opor,2,,0,,,0,,,1
155,2,campofecha2,,CampoFecha2,0,,2,campofecha2,,,0,0,,0,,oporcli,verCampoFecha2opor,2,,0,,,0,,,1
156,2,campofecha3,,CampoFecha3,0,,2,campofecha3,,,0,0,,0,,oporcli,verCampoFecha3opor,2,,0,,,0,,,1
157,2,campofecha6,,CampoFecha6,0,,2,campofecha6,,,0,0,,0,,oporcli,verCampoFecha6opor,2,,0,,,0,,,1
158,2,campofecha7,,CampoFecha7,0,,2,campofecha7,,,0,0,,0,,oporcli,verCampoFecha7opor,2,,0,,,0,,,1
159,2,campofecha8,,CampoFecha8,0,,2,campofecha8,,,0,0,,0,,oporcli,verCampoFecha8opor,2,,0,,,0,,,1
160,2,camponum1,,CampoNum1,0,,0,camponum1,,,0,3,37,0,,oporcli,verCampoNum1opor,2,,0,,,0,,,1
161,2,camponum2,,CampoNum2,0,,0,camponum2,,,0,3,38,0,,oporcli,verCampoNum2opor,2,,0,,,0,,,1
162,2,camponum3,,CampoNum3,0,,0,camponum3,,,0,3,39,0,,oporcli,verCampoNum3opor,2,,0,,,0,,,1
163,2,camponum4,,CampoNum4,0,,0,camponum4,,,0,3,40,0,,oporcli,verCampoNum4opor,2,,0,,,0,,,1
164,2,camponum5,,CampoNum5,0,,0,camponum5,,,0,3,41,0,,oporcli,verCampoNum5opor,2,,0,,,0,,,1
165,1,En Agenda,,En Agenda,0,agenda = 1,0,agenda,,,0,0,12,0,,En Agenda,bVerNuevaAgenda,0,,0,,,1,,,1
166,7,dfechaact,,Fecha de Actuación,0,,2,dfechaact,,,0,0,1,0,,,,,,0,,,1,,,1
167,7,Realizada,,Actu. Realizadas,0,acturealizada = 1,0,acturealizada,,,0,0,11,0,Realizadas,Actuación Realizada,,,,0,,,1,,,1
168,7,clUsuarioActuacion,,cliActuacion,0,"select icodsubusu, nombre from subusu",0,subusu,,,0,2,4,0,,Usuario Actuación,,1,,0,,,1,,,1
169,7,cliente,,EtiqClientesProp,0,"select icodcli, snombrecli from clientes
where tipobd = 0",0,icodcli,,,0,2,1,0,,,,1,,0,,,0,,,1
172,7,Precio,,Precio,0,,0,precio,,,0,3,17,0,,Precio,,,,0,,,0,,,1
173,7,Coste,,Coste,0,,0,preciocoste,,,0,3,14,0,,Coste,,,,0,,,0,,,1
175,7,clientesPotenciales,,Clientes Pot.,0,"select icodcli as codigo, snombrecli as nombre from clientes
where tipobd = 2",0,icodcli,,,0,2,2,0,,Clientes Potenciales,,0,,0,,,0,,,1
176,7,TipoActuacion,,Tipo de Actuación,0,,0,tipo,,,0,1,10,0,,Tipo de Actuación,,0,,0,,,0,,,1
177,7,ActuDescripcion,,Actu. Descripción,0,,0,sactuacion,,,0,1,9,0,,Actuación. Descripción,,,,0,,,0,,,1
178,7,ActuPendientes,,Actu. Pendientes,0,acturealizada = 0,0,acturealizada,,,0,0,5,0,Realizadas,Actuación Pendientes,,,,0,,,0,,,1
179,7,facturable,,Actu. No Facturar,0,facturable = 1,0,facturable,,,0,0,6,0,Facturar,Actuaciones con marca No Facturar,,0,,0,,,0,,,1
180,7,nofacturable,,No Facturar,0,facturable = 0,0,facturable,,,0,0,7,0,Facturar,Actuaciones No Facturar,,,,0,,,0,,,1
181,7,EnCuentas,,EnCuentas,0,facturado = 0,0,facturado,,,0,0,16,0,,En Cuentas,,,,0,,,0,,,1
182,7,EnFacturas,,En Facturas,0,facturado = 1,0,facturado,,,0,0,15,0,,En Facturas,,,,0,,,0,,,1
183,7,fecharealizacion,,Fecha Realización,0,,2,fecharealizacion,,,0,0,2,0,,,,0,,0,,,0,,,1
184,7,Base Datos,,Base de Datos,0,,0,,,,0,5,,0,,Base de Datos,,0,,0,,,0,,,1
