idfiltro,columnas,campoId,consultaSql,CampoBusqueda,NombreBusqueda,UsarTablaComun,UsarCodigo,incluirFiltro,consultaTablaAparte,respetarOrden,campoTexto
304,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 9",snombrecli,Nombre,0,0,0,,,
305,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 11",snombrecli,Nombre,0,0,0,,,
307,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 1",snombrecli|codigo,nombre|código,0,0,1,,,
308,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 3 ",snombrecli|codigo,nombre|código,0,0,1,,,
310,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 8 ",snombrecli|codigo,nombre|código,0,0,1,,,
311,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 7 ",snombrecli|codigo,nombre|código,0,0,1,,,
312,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 6 ",snombrecli|codigo,nombre|código,0,0,1,,,
313,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5 ",snombrecli|codigo,nombre|código,0,0,1,,,
314,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 10 ",snombrecli|codigo,nombre|código,0,0,1,,,
315,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 9 ",snombrecli|codigo,nombre|código,0,0,1,,,
316,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 11 ",snombrecli|codigo,nombre|código,0,0,1,,,
317,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 12 ",snombrecli|codigo,nombre|código,0,0,1,,,
318,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4 ",snombrecli|codigo,nombre|código,0,0,1,,,
320,número|expediente|100;expediente|descripcion|300;año|iyear|100,valor,"select inumexp, expediente, descripcion, valor, 0 as marca, iyear  from (select inumexp, expediente, descripcion, convert(varchar(50), inumexp) + '&' +  convert(varchar(50), iyear) as valor , iyear  
from [[instancia]advabousu[empresa]].dbo.expedien) t ",descripcion,Expediente,0,1,0,,,
347,Tipo Asunto|tipoasunto|300,codigo,"select codigo, tipoasunto from [[instancia]advabousu[empresa]].dbo.tipoasun",tipoasunto,Tipo Asunto,0,0,0,,,
388,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",snombrecli,Nombre,0,0,0,,,
421,Código|icodsubusu|100;Nombre|nombre|300,icodsubusu,"select icodsubusu, nombre, estadoCli from [[instancia]advabousu[empresa]].dbo.subusu  
left JOIN [[instancia]advabousu[empresa]].dbo.clientes C ON subusu.icodsubusu = C.CodSubUSu and C.tipobd = 1",nombre,Nombre,0,0,1,,,
466,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli,Nombre,0,0,0,,,
469,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5",snombrecli,Nombre,0,0,0,,,
470,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli,Nombre,0,0,0,,,
482,tipo documento|valor|300,valor,"select valor, tabla, llave, 0 as marca from (select UPPER(valor) as valor ,tabla, llave from [[instancia]advabocom].dbo.gestorvalores
where (tabla = 'cuentas' and llave = 'tipodoc')
UNION
select UPPER(isnull(nullif(valor, ''), REPLACE(etiqueta, 'CuePrevi', 'Previas '))) as valor, 'previas' as tabla, 'tipo' as llave from [[instancia]advabocom].dbo.etiquetasini where seccion like 'FormExpCue' 
	and 
	(
		(etiqueta = 'CuePrevi' and exists (select bverprevias from config WHERE bverprevias = 1))
		or (etiqueta = 'CuePrevi1' and exists (select bverprevias1 from config WHERE bverprevias1 = 1))
		or (etiqueta = 'CuePrevi2' and exists (select bverprevias2 from config WHERE bverprevias2 = 1))
		or (etiqueta = 'CuePrevi3' and exists (select bverprevias3 from config WHERE bverprevias3 = 1))
	)
) as valores
[MARCAW]",valor,tipo documento,0,1,0,,,
486,Código|icodsubusu|100;Nombre|nombre|300,icodsubusu,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, 'DESPACHO' as nombre, 'Alta' as estadocli) T",nombre,Nombre,0,0,1,,,
498,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 9",snombrecli|codigo,nombre|código,0,0,0,,,
499,Código|id|100;Nombre|sdescripcion|300,id,"select id, sdescripcion from [[instancia]advabousu[empresa]].dbo.centrospredef",sdescripcion,Centro,0,0,0,,,
500,Código|id|100;Nombre|sdescripcion|300,id,"  select id, sdescripcion from [[instancia]advabousu[empresa]].dbo.centrospredef",sdescripcion,Nombre,0,0,0,,,
501,Código|id|100;Nombre|sdescripcion|300,,"select id, sdescripcion from [[instancia]advabousu[empresa]].dbo.centrospredef",,,0,0,0,,,
502,Código|id|100;Nombre|sdescripcion|300,id,"select id, sdescripcion from [[instancia]advabousu[empresa]].dbo.centrospredef",sdescripcion,nombre,0,0,0,,,
503,Código|id|100;Nombre|sdescripcion|300,id,"
select id, sdescripcion from centrospredef",sdescripcion,Nombre,0,0,0,,,
504,Código|id|100;Nombre|sdescripcion|300,id,"select id, sdescripcion from [[instancia]advabousu[empresa]].dbo.centrospredef",sdescripcion,Nombre,0,0,0,,,
508,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 1",snombrecli|codigo,nombre|código,0,0,0,,,
509,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 3",snombrecli|codigo,nombre|código,0,0,0,,,
510,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",snombrecli|codigo,nombre|código,0,0,0,,,
511,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 8",snombrecli|codigo,nombre|código,0,0,0,,,
512,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5",snombrecli|codigo,nombre|código,0,0,0,,,
513,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 7",snombrecli|codigo,nombre|código,0,0,0,,,
514,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 6",snombrecli|codigo,nombre|código,0,0,0,,,
515,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo from clientes where tipobd = 10",snombre,nombre,0,0,0,,,
524,Procedimiento|procedimiento|300,codproce," select codproce, procedimiento from [[instancia]advabousu[empresa]].dbo.procedi",procedimiento,Procedimiento,0,0,0,,,
554,código|codigo|100;nombre|descripcion|300,id,"
select id, codigo, descripcion from [[instancia]advabousu[empresa]].dbo.articulos",descripcion,artículo,0,0,0,,,
596,estado|estado|300,numero,"select numero, estado from (values (1, 'en sala de espera'), (2, 'en consulta')) as estados(numero, estado)",estado,estado,1,0,0,,,
597,código|codjuzga|100;juzgado|juzgado|300,codjuzga,"select codjuzga, juzgado from [[instancia]advabousu[empresa]].dbo.juzgado",juzgado,juzgado,0,0,0,,,
598,código|icodabo|100;abogado|snombreabo|300,icodabo,"select icodabo, snombreabo from [[instancia]advabousu[empresa]].dbo.abogados",snombreabo,abogado,0,0,0,,,
601,Nombre|snombreclicon|300;Nif|nifclicon|100,icodclicon,"select icodclicon, snombreclicon, nifclicon from [[instancia]advabousu[empresa]].dbo.cliecont",snombreclicon|nifclicon,Nombre|Nif,0,0,0,,,
614,Estado|estado|400,estado,"SELECT estado, entidad FROM [[instancia]advabousu[empresa]].dbo.Estados WHERE entidad like 'clientes_%'",estado,Estado,0,1,0,,,
622,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadoCli from AdvAboUsu[empresa].dbo.clientes where tipobd = 0",snombrecli|codigo,Nombre|Código,0,0,0,,,
628,Sexo|valor|300,valor,"select valor, tabla from gestorvalores where tabla like 'sexo'",valor,Sexo,1,1,0,,,
641,código|icodsubusu|100;nombre|nombre|300,icodsubusu,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",nombre,nombre,0,0,1,,,
657,Estado|valor|300,valor,"select valor
from (values ('Abierto'), ('Asignado'), ('En Curso'), ('Resuelto'), ('Valorado')) AS Estados(valor)",valor,Estado,1,1,0,,,
658,CÃ³digo|icodsubusu|100;Nombre|nombre|300,icodsubusu,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",nombre,Nombre,0,0,1,,,
662,Contacto|nombre|300,codcontacto,"select codcontacto, nombre from contacto",nombre,Contacto,0,0,0,,,
663,cÃ³digo|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, tipobd, codigo from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli|codigo,nombre|cÃ³digo,0,0,0,,,
665,Grupo|valor |300,valor,"select valor 
from (values ('Soporte TÃ©cnico'), ('Soporte FormaciÃ³n'), ('MigraciÃ³n'), ('Mantenimiento')) AS Estados(valor)",valor,Grupo,1,1,0,,,
667,Prioridad|valor|300,valor,"select valor 
from (values ('Normal'), ('Baja'), ('Urgente')) AS Estados(valor)",valor,Prioridad,1,1,0,,,
673,Tipo|descripcion|300,id,"
select id, descripcion from proyectocategoria",descripcion,Tipo,0,0,0,,,
678,Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",snombrecli,Nombre,0,0,0,,,
679,Nombre|nombre|300,icodsubusu,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",nombre,Nombre,0,0,1,,,
