id,frmname,dbfield,condicion,query,etiqueta
220,formlinereme,nrecibo,2,where (upper(l.nrecibo) like :parametro),Núm. Recibo
221,formlinereme,nombre,2,where (upper(l.nombre) like :parametro),Cliente
222,formlinereme,importe,,,Importe
223,formlinereme,banco,2,where ((upper(remesas.banco) like :parametro)),Banco
224,formremesas,comentario,2,where (comentario like :parametro),Comentario
225,FormExpPral,,2,inner join tipoasun C on E.itipoasunto=C.codigo where (Upper(C.tipoasunto) like :parametro),Tipo Asunto
226,FormExpPral,,2,inner join expjuzga C on E.inumexp=C.numexp and E.iyear=C.iyear  inner join juzgado L on C.codjuzga=L.codjuzga where (Upper(L.juzgado) like :parametro),Nombre Juzgado
227,formfac,,2,inner join subusu C on codsubusu=C.icodsubusu and (Upper(C.nombre) like :parametro),Usuario
228,formfac,formapago,2,where (upper(formapago) like :parametro),Forma de Pago
229,formfac,tipologia1,2,where (upper(tipologia1) like :parametro),Tipologia 1
230,formfac,tipologia2,2,where (upper(tipologia2) like :parametro),Tipologia 2
231,formfac,tipologia3,2,where (upper(tipologia3) like :parametro),Tipologia 3
232,FormPrePag,nombrecli,2,where (upper(nombrecli) like :parametro),Nombre
233,FormPrePag,formapago,2,where (upper(formapago) like :parametro),Tipo Cobro
234,FormPrePag,concepto,2,where (upper(concepto) like :parametro),Concepto
235,FormPrePag,inumfactura,2,where (upper(inumfactura) like :parametro),Núm. Factura
236,FormPrePag,serie,2,where (upper(serie) like :parametro),Serie
237,formclipral,,2,((stelefonocli like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (smovilcli like :parametro) or (sfaxcli like :parametro)),Todos los teléfonos
238,formclipotenpral,,,((stelefonocli like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (smovilcli like :parametro) or (sfaxcli like :parametro)),Todos los teléfonos
239,formtrabajadores,,2,((stelefonocli like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (smovilcli like :parametro) or (sfaxcli like :parametro)),Todos los teléfonos
240,formotros,,2,((stelefonocli like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (smovilcli like :parametro) or (sfaxcli like :parametro)),Todos los teléfonos
241,formcliconpral,,,((telefono like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (movil like :parametro) or (fax like :parametro)),Todos los teléfonos
242,formabopral,,,((stelefonoabo like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (smovilabo like :parametro) or (sfaxabo like :parametro)),Todos los teléfonos
243,formpropral,,,((stelefonopro like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (smovilpro like :parametro) or (sfaxpro like :parametro)),Todos los teléfonos
244,formcorconpral,,,((telefono1 like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (movil like :parametro) or (fax like :parametro)),Todos los teléfonos
245,formcolpral,,,((stelefonocol like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (smovilcol like :parametro) or (sfaxcol like :parametro)),Todos los teléfonos
246,formjuzpral,,,((telefono like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (fax like :parametro)),Todos los teléfonos
247,formorgpral,,,((telefono like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (fax like :parametro)),Todos los teléfonos
248,formper1,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
249,formper2,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
250,formper3,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
251,formper5,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
252,formper6,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
253,formper7,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
254,formper8,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
255,formper9,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
256,formper10,,,((perso3 like :parametro) or (perso4 like :parametro) or (perso11 like :parametro) or (perso12 like :parametro) or (perso13 like :parametro) ),Todos los teléfonos
257,formperpral,,,((telefono1 like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (movil like :parametro) or (fax like :parametro)),Todos los teléfonos
258,formtarpral,,,((telefono1 like :parametro) or (telefono2 like :parametro) or (telefono3 like :parametro) or (movil like :parametro) or (fax like :parametro)),Todos los teléfonos
259,FormExpPral,,2,inner join subusu C on e.codsubusu=C.icodsubusu where (Upper(C.nombre) like :parametro),Usuario
260,Formexppral,,2,where (upper(E.nig) like :parametro),N.I.G
263,FormBusTot,Nombre,2,,Nombre
264,FormBusTot,NIF,2,,NIF/CIF
265,FormBusTot,Email,2,,Email
266,FormBusTot,Telefono,2,,Teléfonos
267,FormBusTot,Direccion,2,,Dirección
268,FormBusTot,Poblacion,2,,Población
269,FormBusTot,Provincia,2,,Provincia
270,FormBusTot,Notas,2,,Notas
272,formtipexp,tipoexp,2,,
273,formtipexp,descripcionexp,2,,
274,frmGrupos2,snombrecli,2,,Nombre
275,frmGrupos2,snifcli,2,,NIF/CIF
276,frmGrupos2,stelefonocli,0,,Teléfono 1
277,frmGrupos2,smovilcli,0,,Móvil
278,frmGrupos2,sfaxcli,0,,Fax
279,frmGrupos2,email,2,,Correo Electrónico
280,formselecalumnos,snombreclicomercial,2,,
281,FormExpPral,,2,inner join exclipro C on E.inumexp = C.inumexp and E.iyear = C.iyear and E.codcliente = C.icodcli where Upper(C.numreferencia) like :parametro,Ref. Cliente
282,FormProPral,spoblacionpro,2,,
283,FormAboPral,spoblacionabo,2,,
284,FormProPral,notas,2,,
285,FormExpPral,,2,inner join expproveedor C on E.inumexp=C.inumexp and E.iyear=C.iyear inner join clientes L on C.icodcli=L.icodcli where (Upper(L.snombrecli) like :parametro)  and (L.tipobd=9),Proveedor
286,FormListadoBonosPredef,Descripcion,2, descripcion like :parametro,Descripción
287,FormListadoBonosPredef,Referencia,2, referencia like :parametro,Referencia
288,Bonos,Descripcion,0,,
289,Bonos,Referencia,0,,
290,Bonos,TipoBono,0,,
291,Bonos,NumBono,0,,
292,FormProductPral,categoria,0,,
293,FormProductPral,subcategoria,0,,
294,formexppral,snombrecli,2,inner join exclipro C on E.inumexp=C.inumexp and E.iyear=C.iyear inner join clientes L on C.icodcli=L.icodcli where (Upper(L.snombrecli) like :parametro)  and (L.tipobd=3),Terceros
295,formexppral,snifcli,2,inner join exclipro C on E.inumexp=C.inumexp and E.iyear=C.iyear inner join clientes L on C.icodcli=L.icodcli where (Upper(L.snifcli) like :parametro)  and (L.tipobd=3),NIF Terceros
296,formexppral,stelefonocli,2,inner join exclipro C on E.inumexp=C.inumexp and E.iyear=C.iyear inner join clientes L on C.icodcli=L.icodcli where ((L.stelefonocli like :parametro) or (L.telefono2 like :parametro) or (L.telefono3 like :parametro) or (L.smovilcli like :parametro) or (L.sfaxcli like :parametro)) and (L.tipobd=3),Todos Tlf. Terceros
297,formprof,sdescripcionorden,2,where (upper(sdescripcionorden) like :parametro),Descripción
298,FormListadoAreaProfesional,codigo,0,,
299,FormListadoAreaProfesional,areaprofesional,2,,
