id,numctaant,descripcionant,numctaact,descripcionact,revisar
80,229,Otro inmovilizado material,219,Otro inmovilizado material,0
81,230,Adaptación de terrenos y de bienes naturales,230,Adaptación de terrenos y bienes naturales,0
82,239,Anticipos de inmovilizaciones materiales,239,Anticipos para  inmovilizaciones materiales,0
83,240,Participaciones en empresas del grupo,2403,Participaciones a largo plazo en empresas del grupo,0
84,241,Participaciones en empresas asociadas,2404,Participaciones a largo plazo en empresas asociadas,0
85,242,Valores de renta fija de empresas del grupo,2413,Valores representativos de deuda a largo plazo de empresas del grupo,0
86,243,Valores de renta fija de empresas asociadas,2414,Valores representativos de deuda a largo plazo de empresas asociadas,0
87,244,Créditos a largo plazo a empresas del grupo,2423,Créditos a largo plazo a  empresas del grupo,0
88,2448,Crédito a largo plazo con empresas del grupo por efecto impositivo,2423,Créditos a largo plazo a  empresas del grupo,0
89,245,Créditos a largo plazo a empresas asociadas,2424,Créditos a largo plazo a  empresas asociadas,0
90,246,Intereses a largo plazo de inversiones financieras en empresas del grupo,2423,Créditos a largo plazo a  empresas del grupo,0
91,247,Intereses a largo plazo de inversiones financieras en empresas asociadas,2424,Créditos a largo plazo a  empresas asociadas,0
92,248,Desembolsos pendientes sobre acciones de empresas del grupo,2493,Desembolsos pendientes sobre participaciones a largo plazo en empresas del grupo,0
93,249,Desembolsos pendientes sobre acciones de empresas asociadas,2494,Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas,0
94,250,Inversiones financieras permanentes en capital,250,Inversiones financieras a largo plazo en instrumentos de patrimonio,0
95,2500,Inversiones financieras permanentes en acciones con cotización oficial,250,Inversiones financieras a largo plazo en instrumentos de patrimonio,0
96,2501,Inversiones financieras permanentes en acciones sin cotización oficial,250,Inversiones financieras a largo plazo en instrumentos de patrimonio,0
97,2502,Otras inversiones financieras en capital,250,Inversiones financieras a largo plazo en instrumentos de patrimonio,0
98,251,Valores de renta fija,251,Valores representativos de deuda a largo plazo,0
99,2518,Participaciones en Fondos de Inversión en Activos del Mercado Monetario a largo plazo,251,Valores representativos de deuda a largo plazo,0
100,256,Intereses a largo plazo de valores de renta fija,252,Créditos a largo plazo,0
101,257,Intereses a largo plazo de créditos,252,Créditos a largo plazo,0
102,259,Desembolsos pendientes sobre acciones,259,Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo,0
103,270,Gastos de formalización de deudas,113,Reservas voluntarias,1
104,271,Gastos por intereses diferidos de valores negociables,113,Reservas voluntarias,1
105,272,Gastos por intereses diferidos,113,Reservas voluntarias,1
106,281,Amortización acumulada del inmovilizado inmaterial,280,Amortización acumulada del inmovilizado intangible,0
107,2810,Amortización acumulada de gastos  de investigación y desarrollo,2800,Amortización acumulada de investigación,1
108,2811,Amortización acumulada de concesiones administrativas,2802,Amortización acumulada de concesiones administrativas,0
109,2812,Amortización acumulada de propiedad industrial,2803,Amortización acumulada de propiedad industrial,0
110,2813,Amortización acumulada de fondo de comercio,204,Fondo de comercio,0
111,2814,Amortización acumulada de derechos de traspaso,2805,Amortización acumulada de derechos de traspaso,0
112,2815,Amortización acumulada de aplicaciones informáticas.,2806,Amortización acumulada de aplicaciones informáticas,0
113,2817,Amortización acumulada de derechos sobre bienes en régimen de arrendamiento financiero.,280,Amortización acumulada del inmovilizado intangible,1
114,282,Amortización acumulada del inmovilizado material,281,Amortización acumulada del inmovilizado material,0
115,2820,Amortización acumulada del inmovilizado material,2819,Amortización acumulada de otro inmovilizado material,1
116,2821,Amortización acumulada de construcciones.,2811,Amortización acumulada de construcciones,0
117,2822,Amortización acumulada de instalaciones técnicas,2812,Amortización acumulada de instalaciones técnicas,0
118,2823,Amortización acumulada de maquinaria,2813,Amortización acumulada de maquinaria,0
119,2824,Amortización acumulada de utillaje,2814,Amortización acumulada de utillaje,0
120,2825,Amortización acumulada de otras instalaciones,2815,Amortización acumulada de otras instalaciones,0
121,2826,Amortización acumulada de mobiliario,2816,Amortización acumulada de mobiliario,0
122,2827,Amortización acumulada de equipos para proceso de información,2817,Amortización acumulada de equipos para procesos de información,0
123,2828,Amortización acumulada de elementos de transporte,2818,Amortización acumulada de elementos de transporte,0
124,2829,Amortización acumulada de otro inmovilizado material,2819,Amortización acumulada de otro inmovilizado material,0
125,291,Provisiones por depreciación del inmovilizado inmaterial,290,Deterioro de valor del inmovilizado intangible,0
126,292,Provisiones por depreciación del inmovilizado material,291,Deterioro de valor del inmovilizado material,0
127,293,Provisión por depreciación de valores negociables a largo plazo de empresas del grupo,2933,Deterioro de valor de participaciones a largo plazo en empresas del grupo,1
128,2930,Provisión por depreciación de participaciones en capital a lago plazo en empresas del grupo,2933,Deterioro de valor de participaciones a largo plazo en empresas del grupo,0
129,2935,Provisión por depreciación de valores negociables a largo plazo en empresas del grupo,2943,Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo,0
130,294,Provisión por depreciación de valores  negociables a largo plazo de empresas asociadas,2934,Deterioro de valor de participaciones a largo plazo en empresas asociadas,1
131,2941,Provisión por depreciación de participaciones en capital a largo plazo en empresas asociadas,2934,Deterioro de valor de participaciones a largo plazo en empresas asociadas,0
132,2946,Provisión por depreciación de valores negociables a largo plazo en empresas asociadas,2944,Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas,0
133,295,Provisión para insolvencias de créditos a largo plazo a empresas del grupo,2953,Deterioro de valor de créditos a largo plazo a empresas del grupo,0
134,296,Provisión para insolvencias de créditos a largo plazo a empresas asociadas,2954,Deterioro de valor de créditos a largo plazo a empresas asociadas,0
135,297,Provisión por depreciación de valores  negociables a largo plazo,297,Deterioro de valor de valores representativos de deuda a largo plazo,0
136,298,Provisión para insolvencias de créditos a largo plazo,298,Deterioro de valor de créditos a largo plazo,0
137,390,Provisión por depreciación de mercaderías,390,Deterioro de valor de las mercaderías,0
138,391,Provisión por depreciación de materias primas,391,Deterioro  de valor de las materias primas,0
139,392,Provisión por depreciación de otros aprovisionamientos,392,Deterioro  de valor de otros aprovisionamientos,0
140,393,Provisión por depreciación de productos en curso,393,Deterioro  de valor de los productos en curso,0
141,394,Provisión por depreciación de productos semiterminados,394,Deterioro  de valor de los productos semiterminados,0
142,395,Provisión por depreciación de productos terminados,395,Deterioro  de valor de los productos terminados,0
143,396,"Provisión por depreciación de subproductos, residuos y materiales recuperados",396,"Deterioro  de valor de los subproductos, residuos y materiales recuperados",0
144,4000,Proveedores (pesetas),4000,Proveedores (euros),0
145,402,"Proveedores, empresas del grupo",403,"Proveedores, empresas del grupo",0
146,4020,"Proveedores, empresas del grupo (pesetas).",4030,"Proveedores, empresas del grupo (euros)",0
147,4021,"Efectos comerciales a pagar, empresas del grupo.",4031,"Efectos comerciales a pagar, empresas del grupo",0
148,4024,"Proveedores, empresas del grupo (moneda extranjera).",4034,"Proveedores, empresas del grupo (moneda extranjera)",0
149,4026,"Envases y embalajes a devolver a proveedores, empresas del grupo.",4036,"Envases y embalajes a devolver a proveedores, empresas del grupo",0
150,4029,"Proveedores, empresas del grupo, facturas pendientes de recibir o formalizar",4039,"Proveedores, empresas del grupo, facturas pendientes de recibir o de formalizar",0
151,403,"Proveedores, empresas asociadas",404,"Proveedores, empresas asociadas",0
152,4100,Acreedores por prestación de servicios (pesetas),4100,Acreedores por prestación de servicios (euros),0
153,4300,Clientes (pesetas),4300,Clientes (euros),0
154,4301,Clientes (moneda extranjera),4304,Clientes (moneda extranjera),0
155,432,"Clientes, empresas del grupo",433,"Clientes, empresas del grupo",0
156,4320,"Clientes, empresas del grupo (pesetas)",4330,"Clientes, empresas del grupo (euros)",0
157,4321,"Efectos comerciales a cobrar, empresas del grupo",4331,"Clientes, efectos comerciales a cobrar, empresas del grupo",0
158,4324,"Clientes, empresas del grupo (moneda extranjera)",4334,"Clientes empresas del grupo, (moneda extranjera)",0
159,4326,"Envases y embalajes a devolver a clientes, empresas del grupo",4337,"Envases y embalajes a devolver a clientes, empresas del grupo",0
160,4329,"Clientes, empresas del grupo, facturas pendientes de formalizar.",4339,"Clientes empresas del grupo, facturas pendientes de formalizar",0
161,433,"Clientes, empresas asociadas.",434,"Clientes,  empresas asociadas",0
162,435,Clientes de dudoso cobro,436,Clientes de dudoso cobro,0
163,436,Envases y embalajes a devolver por clientes,437,Envases y embalajes a devolver por clientes,0
164,437,Anticipos de clientes,438,Anticipos de clientes,0
165,4400,Deudores (pesetas),4400,Deudores (euros),0
166,445,Deudores de dudoso cobro,446,Deudores de dudoso cobro,0
167,470,"Hacienda Pública, deudor por diversos conceptos",470,"Hacienda Pública, deudora por diversos conceptos",0
168,4700,"Hacienda Pública, deudor por IVA",4700,"Hacienda Pública, deudora por IVA",0
169,4707,"Hacienda Pública, deudor por IGIC (Impuesto General Indirecto Canario)",470,"Hacienda Pública, deudora por diversos conceptos",0
170,4708,"Hacienda Pública, deudor por subvenciones concedidas",4708,"Hacienda Pública, deudora por subvenciones concedidas",0
171,4709,"Hacienda Pública, deudor por devolución de impuestos",4709,"Hacienda Pública, deudora por devolución de impuestos",0
172,4727,IGIC soportado (Impuesto General Indirecto Canario),472,"Hacienda Pública, IVA soportado",0
173,4732,"Hacienda Pública, deudora con entidades transparentes",473,"Hacienda Pública, retenciones y pagos a cuenta",0
174,474,Impuesto sobre beneficios anticipado y compensación de pérdidas,474,Activos por impuesto diferido,0
175,4740,Impuesto sobre beneficios anticipado,4740,Activos por diferencias temporarias  deducibles,0
176,4741,Impuesto sobre beneficios anticipado a largo plazo,4740,Activos por diferencias temporarias  deducibles,0
177,4742,Derechos por deducciones y bonificaciones pendientes de aplicación a corto plazo,4742,Derechos por deducciones y bonificaciones pendientes de aplicar,0
178,4744,Derechos por deducciones y bonificaciones pendientes de aplicación a largo plazo,4742,Derechos por deducciones y bonificaciones pendientes de aplicar,0
179,4745,Crédito por pérdidas a compensar del ejercicio...,4745,Crédito por pérdidas a compensar del ejercicio,0
180,4746,Crédito por pérdidas a compensar del ejercicio ... a largo plazo,4745,Crédito por pérdidas a compensar del ejercicio,0
181,4748,Impuesto sobre beneficios anticipados por operaciones intra-grupo,4740,Activos por diferencias temporarias  deducibles,0
182,4749,Crédito por pérdidas a compensar en régimen de declaración consolidada del ejercicio...,4745,Crédito por pérdidas a compensar del ejercicio,0
183,475,"Hacienda Pública, acreedor por conceptos fiscales",475,"Hacienda Pública, acreedora  por conceptos fiscales",0
184,4750,"Hacienda Pública, acreedor por IVA",4750,"Hacienda Pública, acreedora por IVA",0
185,4751,"Hacienda Pública, acreedor por retenciones practicadas",4751,"Hacienda Pública, acreedora por retenciones practicadas",0
186,4752,"Hacienda Pública, acreedor por impuesto sobre sociedades",4752,"Hacienda Pública, acreedora por impuesto sobre sociedades",0
187,4757,"Hacienda Pública, acreedor por IGIC (Impuesto General Indirecto Canario)",475,"Hacienda Pública, acreedora  por conceptos fiscales",0
188,4758,"Hacienda Pública, acreedor por subvenciones a reintegrar",4758,"Hacienda Pública, acreedora por subvenciones a reintegrar",0
189,4777,IGIC Repercutido (Impuesto General Indirecto Canario),477,"Hacienda Pública, IVA repercutido",0
190,479,Impuesto sobre beneficios diferido,479,Pasivos por diferencias temporarias imponibles,0
191,4791,Impuesto sobre beneficios diferidos a largo plazo,479,Pasivos por diferencias temporarias imponibles,0
192,4798,Impuesto sobre beneficios diferido por operaciones intra-grupo,479,Pasivos por diferencias temporarias imponibles,0
193,490,Provisión para insolvencias de tráfico,490,Deterioro de valor de créditos por operaciones comerciales,0
194,493,Provisión para insolvencias de tráfico de empresas del grupo,4933,Deterioro de valor de créditos por operaciones comerciales con empresas del grupo,0
195,494,Provisión para insolvencias de tráfico de empresas asociadas,4934,Deterioro de valor de créditos por operaciones comerciales con empresas asociadas,0
196,499,Provisión para otras operaciones de tráfico,4999,Provisión para otras operaciones comerciales,0
197,506,Intereses de empréstitos y otras emisiones análogas,506,Intereses a corto plazo de empréstitos y otras emisiones análogas,0
198,510,Deudas a corto plazo con empresas del grupo,5133,Otras deudas a corto plazo con empresas del grupo,0
199,5100,Préstamos a corto plazo de empresas del grupo,5133,Otras deudas a corto plazo con empresas del grupo,0
200,5108,Deudas a corto plazo con empresas del grupo por efecto impositivo,5133,Otras deudas a corto plazo con empresas del grupo,0
201,5109,Otras deudas a corto plazo con empresas del grupo,5133,Otras deudas a corto plazo con empresas del grupo,0
202,511,Deudas a corto plazo con empresas asociadas,5134,Otras deudas a corto plazo con empresas asociadas,0
203,512,Deudas a corto plazo con entidades de crédito del grupo,5103,"Deudas a corto plazo con entidades de crédito, empresas del grupo",0
204,5120,Préstamos a corto plazo de entidades de crédito del grupo,5103,"Deudas a corto plazo con entidades de crédito, empresas del grupo",0
205,5128,Deudas por efectos descontados en entidades de crédito del grupo,5103,"Deudas a corto plazo con entidades de crédito, empresas del grupo",0
206,5129,Otras deudas a corto plazo con entidades de crédito del grupo,5103,"Deudas a corto plazo con entidades de crédito, empresas del grupo",0
207,513,Deudas a corto plazo con entidades de crédito asociadas,5104,"Deudas a corto plazo con entidades de crédito, empresas asociadas",0
208,514,"Proveedores de inmovilizado a corto plazo, empresas del grupo",5113,"Proveedores de inmovilizado a corto plazo, empresas del grupo",0
209,515,"Proveedores de inmovilizado a corto plazo, empresas asociadas",5114,"Proveedores de inmovilizado a corto plazo, empresas asociadas",0
210,516,Intereses a corto plazo de deudas con empresas del grupo,5143,"Intereses a corto plazo de deudas, empresas del grupo",0
211,517,Intereses a corto plazo de deudas con empresas asociadas,5144,"Intereses a corto plazo de deudas, empresas asociadas",0
212,524,Efectos a pagar a corto plazo,525,Efectos a pagar a corto plazo,0
213,525,Dividendo activo a pagar,526,Dividendo activo a pagar,0
214,526,Intereses a corto plazo de deudas con entidades de crédito,527,Intereses a corto plazo de deudas con entidades de crédito,0
215,527,Intereses a corto plazo de deudas,528,Intereses a corto plazo de deudas,0
216,530,Participaciones a corto plazo en empresas del grupo,5303,"Participaciones a corto plazo, en empresas del grupo",0
217,531,Participaciones a corto plazo en empresas asociadas,5304,"Participaciones a corto plazo, en empresas asociadas",0
218,532,Valores de renta fija a corto plazo de empresas del grupo,5313,Valores representativos de deuda a corto plazo de empresas del grupo,0
219,533,Valores de renta fija a corto plazo de empresas asociadas,5314,Valores representativos de deuda a corto plazo de empresas asociadas,0
220,534,Créditos a corto plazo a empresas del grupo,5323,Créditos a corto plazo a empresas del grupo,0
221,5348,Crédito a corto plazo con empresas del grupo por efecto impositivo,5323,Créditos a corto plazo a empresas del grupo,0
222,535,Créditos a corto plazo a empresas asociadas,5324,Créditos a corto plazo a empresas asociadas,0
223,536,Intereses a corto plazo de inversiones financieras en empresas del grupo,5333,Intereses  a corto plazo de valores representativos de deuda de empresas del grupo,0
224,5360,Intereses a corto plazo de valores de renta fija de empresas del grupo,5333,Intereses  a corto plazo de valores representativos de deuda de empresas del grupo,0
225,5361,Intereses a corto plazo de créditos a empresas del grupo,5343,Intereses  a corto plazo de créditos a empresas del grupo,0
226,537,Intereses a corto plazo de inversiones financieras en empresas asociadas,5334,Intereses  a corto plazo de valores representativos de deuda de empresas asociadas,0
227,538,Desembolsos pendientes sobre acciones a corto plazo de empresas del grupo,5393,Desembolsos pendientes sobre participaciones  a corto plazo en empresas del grupo,0
228,539,Desembolsos pendientes sobre acciones a corto plazo de empresas asociadas,5394,Desembolsos pendientes sobre participaciones  a corto plazo en empresas asociadas,0
229,540,Inversiones financieras temporales en capital,540,Inversiones financieras a corto plazo en instrumentos de patrimonio,0
230,5400,Inversiones financieras temporales en acciones con cotización oficial,540,Inversiones financieras a corto plazo en instrumentos de patrimonio,0
231,5401,Inversiones financieras temporales en acciones sin cotización oficial,540,Inversiones financieras a corto plazo en instrumentos de patrimonio,0
232,5409,Otras inversiones financieras temporales en capital,540,Inversiones financieras a corto plazo en instrumentos de patrimonio,0
233,541,Valores de renta fija a corto plazo,541,Valores representativos de deuda a corto plazo,0
234,5418,Participaciones en Fondos de Inversión en Activos del Mercado Monetario a corto plazo.,541,Valores representativos de deuda a corto plazo,0
235,543,Créditos a corto plazo por enajenación del inmovilizado,543,Créditos a corto plazo por enajenación de inmovilizado,0
236,546,Intereses a corto plazo de valores de renta fija,546,Intereses a corto plazo de valores representativos de deudas,0
237,549,Desembolsos pendientes sobre acciones a corto plazo,549,Desembolsos pendientes sobre participaciones en el patrimonio neto a corto plazo,0
238,551,Cuenta corriente con empresas del grupo,5523,Cuenta corriente con empresas del grupo,0
239,552,Cuenta corriente con empresas asociadas,5524,Cuenta corriente con empresas asociadas,0
240,553,Cuenta corriente con socios y administradores,551,Cuenta corriente con socios y administradores,0
241,556,Desembolsos exigidos sobre acciones,556,Desembolsos exigidos sobre participaciones en el patrimonio neto,0
242,5560,Desembolsos exigidos sobre acciones de empresas del grupo,5563,"Desembolsos exigidos sobre participaciones, empresas del grupo",0
243,5561,Desembolsos exigidos sobre acciones de empresas asociadas,5564,"Desembolsos exigidos sobre participaciones, empresas asociadas",0
244,5562,Desembolsos exigidos sobre acciones de otras empresas,5566,Desembolsos exigidos sobre participaciones de otras empresas,0
245,558,Accionistas por desembolsos exigidos,558,Socios por desembolsos exigidos,0
246,570,"Caja, pesetas",570,"Caja,euros",0
247,572,"Bancos e instituciones de crédito c/c vista, pesetas",572,"Bancos e instituciones de crédito c/c vista, euros",0
248,574,"Bancos e instituciones de crédito, cuentas de ahorro, pesetas",574,"Bancos e instituciones de crédito, cuentas de ahorro, euros",0
249,580,Intereses pagados por anticipado,567,Intereses pagados por anticipado,0
250,585,Intereses cobrados por anticipado,568,Intereses cobrados por anticipado,0
251,593,Provisión por depreciación de valores  negociables a corto plazo de empresas del grupo,5933,Deterioro de valor de participaciones a corto plazo en empresas del grupo,1
252,594,Provisión por depreciación de valores  negociables a corto plazo de empresas asociadas,5934,Deterioro de valor de participaciones a corto plazo en empresas asociadas,1
253,595,Provisión para insolvencias de créditos a corto plazo de empresas del grupo,5953,Deterioro de valor de créditos a corto plazo a empresas del grupo,0
254,596,Provisión para insolvencias de créditos a corto plazo a empresas asociadas,5954,Deterioro de valor de créditos a corto plazo a empresas asociadas,0
255,597,Provisión por depreciación de valores  negociables a corto plazo,597,Deterioro de valor de valores representativos de deuda a corto plazo,0
256,598,Provisión para insolvencias de créditos a corto plazo,598,Deterioro de valor de créditos a corto plazo,0
257,6210,Arrendamientos y cánones.,621,Arrendamientos y cánones,0
258,6211,Arrendamientos financieros y otros,621,Arrendamientos y cánones,0
259,6220,Reparaciones y conservación en general,622,Reparaciones y conservación,0
260,6223,Reparaciones y conservación del medio ambiente,622,Reparaciones y conservación,0
261,6230,Servicios profesionales independientes,623,Servicios de profesionales independientes,0
262,6233,Servicios medioambientales,623,Servicios de profesionales independientes,0
263,625,Primas y seguros,625,Primas de seguros,0
264,6300,Impuesto sobre beneficios,630,Impuesto sobre beneficios,0
265,6301,Impuesto sobre beneficios (régimen simplificado),630,Impuesto sobre beneficios,0
266,632,"Entidades transparentes, efecto impositivo",631,Otros tributos,0
267,6320,Importe a cuenta no recuperables por entidades transparentes,631,Otros tributos,0
268,6321,Importes a cuenta no recuperables por agrupación de interés económico,631,Otros tributos,0
269,6323,Ajustes negativos en la imposición en entidades transparentes,633,Ajustes negativos en la imposición sobre beneficios,0
270,6328,Ajustes positivos en la imposición en entidades transparentes,638,Ajustes positivos en la imposición sobre beneficios,0
271,6341,Ajustes negativos en IVA de circulante,6341,Ajustes negativos en IVA de activo corriente,0
272,6343,"Ajustes negativos en IGIC, de circulante (Impuesto General Indirecto Canario)",6341,Ajustes negativos en IVA de activo corriente,0
273,6344,"Ajustes negativos en IGIC, de inversión (Impuesto General Indirecto Canario)",6342,Ajustes negativos en IVA de inversiones,0
274,635,Impuesto sobre beneficios extranjero,630,Impuesto sobre beneficios,0
275,637,"Imposición Indirecta, regímenes especiales",631,Otros tributos,0
276,6371,"Régimen simplificado, IVA.",631,Otros tributos,0
277,6372,"Régimen simplificado, IGIC. (Impuesto General Indirecto Canario)",631,Otros tributos,0
278,6373,"Régimen de la agricultura, ganadería y pesca, IVA",631,Otros tributos,0
279,6374,"Régimen de la agricultura y ganadería, IGIC. (Impuesto General Indirecto Canario)",631,Otros tributos,0
280,6391,Ajustes positivos en IVA de circulante,6391,Ajustes positivos en IVA de activo corriente,0
281,6393,"Ajustes positivos en IGIC, de circulante (Impuesto General Indirecto Canario)",6391,Ajustes positivos en IVA de activo corriente,0
282,6394,"Ajustes positivos en IGIC, de inversión (Impuesto General Indirecto Canario)",6392,Ajustes positivos en IVA de inversiones,0
283,643,Aportaciones a sistemas complementarios de pensiones,643,Retribuciones a largo plazo mediante sistemas de aportación definida,1
284,6610,Intereses de obligaciones y bonos a largo plazo en empresas del grupo,6610,"Intereses de obligaciones y bonos a largo plazo, empresas del grupo",0
285,6611,Intereses de obligaciones y bonos a largo plazo en empresas asociadas,6611,"Intereses de obligaciones y bonos a largo plazo, empresas asociadas",0
286,6613,Intereses de obligaciones y bonos a largo plazo en otras empresas,6613,"Intereses de obligaciones y bonos a largo plazo,  otras empresas",0
287,6615,Intereses de obligaciones y bonos a corto plazo en empresas del grupo,6615,"Intereses de obligaciones y bonos a corto plazo, empresas del grupo",0
288,6616,Intereses de obligaciones y bonos a corto plazo en empresas asociadas,6616,"Intereses de obligaciones y bonos a corto plazo,  empresas asociadas",0
289,6618,Intereses de obligaciones y bonos a corto plazo en otras empresas,6618,"Intereses de obligaciones y bonos a corto plazo, otras empresas",0
290,662,Intereses de deudas a largo plazo,662,Intereses de deudas,0
291,6620,Intereses de deudas a largo plazo con empresas del grupo,6620,"Intereses de deudas , empresas del grupo",0
