id,tabla,campo,valor,color,selec,selec2,tipo,estado,pestañaDinamica,midetiempo,orden
12232,gastospred,tipo,Primas de Riesgo (625),,,,,,0,,12232
12233,gastospred,tipo,Intereses y Gastos Financieros (669),,,,,,0,,12233
12234,gastospred,tipo,Reparación y Conservación (622),,,,,,0,,12234
12235,gastospred,tipo,Servicios Profesionales Independientes (623),,,,,,0,,12235
12236,gastospred,tipo,Otros Servicios Externos (629),,,,,,0,,12236
12237,gastospred,tipo,Tributos Fiscalmente Deducibles (631),,,,,,0,,12237
12238,formgastospred,0,General,,,,,,0,,12238
12239,formgastospred,1,Grupo2,,,,,,0,,12239
12240,formgastospred,2,Grupo3,,,,,,0,,12240
12241,formgastospred,3,Grupo4,,,,,,0,,12241
12242,formgastospred,4,Grupo5,,,,,,0,,12242
12243,formgastospred,5,Grupo6,,,,,,0,,12243
12244,formgastospred,6,Grupo7,,,,,,0,,12244
12245,formgastospred,7,Grupo8,,,,,,0,,12245
12246,formgastospred,8,Grupo9,,,,,,0,,12246
12247,formgastospred,9,Grupo10,,,,,,0,,12247
12248,formgastospred,10,Grupo11,,,,,,0,,12248
12249,formgastospred,11,Grupo12,,,,,,0,,12249
12250,formgastospred,12,Grupo13,,,,,,0,,12250
12251,formgastospred,13,Grupo14,,,,,,0,,12251
12252,formgastospred,14,Grupo15,,,,,,0,,12252
12253,presupuestos,estado,Pendiente,$008000FF,,,,,0,,12253
12254,presupuestos,estado,Realizado,,,,,,0,,12254
12255,presupuestos,estado,Enviado,$00FF8000,,,,,0,,12255
12256,presupuestos,estado,Aceptado,$0000FF80,,,,,0,,12256
12257,presupuestos,estado,Rechazado,clRed,,,,,0,,12257
12258,pedidos,estado,Enviado,,,,,,0,,12258
12259,pedidos,estado,Pendiente de Enviar,,,,,,0,,12259
12260,pedidos,estado,Envío Parcial,,,,,,0,,12260
12261,albaranes,estado,Enviado,,,,,,0,,12261
12262,albaranes,estado,Pendiente de Enviar,,,,,,0,,12262
12263,albaranes,estado,Pendiente mercancía,,,,,,0,,12263
12264,albaranes,estado,Bloqueado,,,,,,0,,12264
12265,partes,estado,Pendiente,,,,,,0,,12265
12266,partes,estado,En progreso,,,,,,0,,12266
12267,partes,estado,Realizado,,,,,,0,,12267
12268,articulos,tipounidad,Ud,,,,,,0,,12268
12269,articulos,tipounidad,m,,,,,,0,,12269
12270,articulos,tipounidad,m2,,,,,,0,,12270
12271,articulos,tipounidad,kg,,,,,,0,,12271
12272,formacobro,formacobro,Cheque,,,,,,0,,12272
12273,formacobro,formacobro,Efectivo,,,,,,0,,12273
12274,formacobro,formacobro,Pagaré,,,,,,0,,12274
12275,formacobro,formacobro,Recibo,,,,,,0,,12275
12276,formacobro,formacobro,Tarjeta,,,,,,0,,12276
12277,formacobro,formacobro,Transferencia,,,,,,0,,12277
12278,formapago,formapago,Cheque,,,,,,0,,12278
12279,formapago,formapago,Contado,,,,,,0,,12279
12280,formapago,formapago,Pagaré,,,,,,0,,12280
12281,formapago,formapago,Recibo,,,,,,0,,12281
12282,formapago,formapago,Tarjeta,,,,,,0,,12282
12283,formapago,formapago,Transferencia,,,,,,0,,12283
12284,perso1,perso30,Licencia1,,,,,,0,,12284
12285,perso1,perso30,Licencia2,,,,,,0,,12285
12286,perso1,perso31,Garantía 1,,,,,,0,,12286
12287,perso1,perso31,Garantía 2,,,,,,0,,12287
12288,perso1,perso32,Licencia 1,,,,,,0,,12288
12289,perso1,perso32,Licencia 2,,,,,,0,,12289
12290,perso1,perso33,Garantía 1,,,,,,0,,12290
12291,perso1,perso33,Garantía 2,,,,,,0,,12291
12292,perso1,perso34,Estado 1,,,,,,0,,12292
12293,perso1,perso34,Estado 2,,,,,,0,,12293
12294,perso1,perso34,Estado 3,,,,,,0,,12294
12295,perso1,perso35,Licencia 1,,,,,,0,,12295
12296,perso1,perso36,Cédula 1,,,,,,0,,12296
12297,perso1,perso36,Cédula 2,,,,,,0,,12297
12298,perso1,perso36,Cédula 3,,,,,,0,,12298
12299,perso1,perso36,Cédula 4,,,,,,0,,12299
12300,perso1,perso36,Cédula 5,,,,,,0,,12300
12301,perso1,perso36,Cédula 6,,,,,,0,,12301
12302,perso1,perso36,Cédula 7,,,,,,0,,12302
12303,perso1,perso36,Cédula 8,,,,,,0,,12303
12304,perso1,perso36,Cédula 9,,,,,,0,,12304
12305,perso1,perso36,Cédula 10,,,,,,0,,12305
12306,perso1,perso36,Cédula 11,,,,,,0,,12306
12307,perso1,perso36,Cédula 12,,,,,,0,,12307
12308,perso1,perso36,Cédula 13,,,,,,0,,12308
12309,perso1,perso36,Cédula 14,,,,,,0,,12309
12310,perso1,perso36,Cédula 15,,,,,,0,,12310
12311,perso1,perso37,a,,,,,,0,,12311
12312,perso1,perso37,b,,,,,,0,,12312
12313,perso1,perso16,R1,,,,,,0,,12313
12314,perso1,perso16,R2,,,,,,0,,12314
12315,perso1,perso16,R3,,,,,,0,,12315
12316,perso1,perso16,R4,,,,,,0,,12316
12317,perso1,perso16,R5,,,,,,0,,12317
12318,perso1,perso16,R6,,,,,,0,,12318
12319,perso1,perso16,R7,,,,,,0,,12319
12320,perso1,perso27,Rústica,,,,,,0,,12320
12321,perso1,perso27,Urbana,,,,,,0,,12321
12322,perso1,perso28,No,,,,,,0,,12322
12323,perso1,perso28,Si,,,,,,0,,12323
12324,articulos,Notas,Notas,,,,,,0,,12324
12325,articulos,Notas2,Notas2,,,,,,0,,12325
12326,articulos,Notas3,Notas4,,,,,,0,,12326
12327,articulos,Notas4,Notas4,,,,,,0,,12327
12328,articulos,Notas5,Notas5,,,,,,0,,12328
12329,articulos,Notas6,Notas6,,,,,,0,,12329
12330,diagnostico,valores,Color,,,,,,0,,12330
12331,diagnostico,valores,Textura,,,,,,0,,12331
12332,diagnostico,valores,Márgenes,,,,,,0,,12332
12333,diagnostico,valores,Inserción,,,,,,0,,12333
12334,diagnostico,valores,Papila,,,,,,0,,12334
12335,diagnostico,valores,Surco,,,,,,0,,12335
12336,diagnostico,valores,Contorno,,,,,,0,,12336
12337,diagnostico,valores,Sangrado,,,,,,0,,12337
12338,diagnostico,valores,Supurado,,,,,,0,,12338
12339,diagnostico,valores,Placa,,,,,,0,,12339
12340,diagnostico,valores,Cálculo,,,,,,0,,12340
12341,diagnostico,valores,Manchas,,,,,,0,,12341
12342,diagnostico,valores,Pérdida Ósea,,,,,,0,,12342
12343,diagnostico,valores,Defectos Óseos,,,,,,0,,12343
12344,diagnostico,valores,Gingivitis,,,,,,0,,12344
12345,diagnostico,valores,Periodontitis,,,,,,0,,12345
12346,anamnesis,valores,General,,,,,,0,,12346
12347,anamnesis,valores,Medicamentos,,,,,,0,,12347
12348,anamnesis,valores,Higiene Oral,,,,,,0,,12348
12349,anamnesis,valores,Mujer,,,,,,0,,12349
12350,diagnostico,Color,Rosa Coral,,,,,,0,,12350
12351,diagnostico,Color,Rosa,,,,,,0,,12351
12352,diagnostico,Color,Rojo,,,,,,0,,12352
12353,diagnostico,Color,Magenta,,,,,,0,,12353
12354,diagnostico,Color,Rosa con áreas de magenta,,,,,,0,,12354
12355,diagnostico,Textura,Punteada,,,,,,0,,12355
12356,diagnostico,Textura,Brillante,,,,,,0,,12356
12357,diagnostico,Textura,Rugosa,,,,,,0,,12357
12358,diagnostico,Márgenes,Bordes Afilados,,,,,,0,,12358
12359,diagnostico,Márgenes,Hendidos,,,,,,0,,12359
12360,diagnostico,Márgenes,Pegados,,,,,,0,,12360
12361,diagnostico,Inserción,Normal,,,,,,0,,12361
12362,diagnostico,Inserción,Recesión,,,,,,0,,12362
12363,diagnostico,Inserción,Tejido Hipertrofiado,,,,,,0,,12363
12364,diagnostico,Papila,Ondulada,,,,,,0,,12364
12365,diagnostico,Papila,Insensible,,,,,,0,,12365
12366,diagnostico,Papila,Hipertrofiada,,,,,,0,,12366
12367,diagnostico,Papila,Perforada,,,,,,0,,12367
12368,diagnostico,Papila,Con Cráteres,,,,,,0,,12368
12369,diagnostico,Surco,Ninguno,,,,,,0,,12369
12370,diagnostico,Surco,Con sangre,,,,,,0,,12370
12371,diagnostico,Surco,Exudado,,,,,,0,,12371
12372,diagnostico,Contorno,Normal,,,,,,0,,12372
12373,diagnostico,Contorno,Irregular,,,,,,0,,12373
12374,diagnostico,Contorno,Recesiones,,,,,,0,,12374
12375,diagnostico,Sangrado,Ninguno,,,,,,0,,12375
12376,diagnostico,Sangrado,Ligero,,,,,,0,,12376
12377,diagnostico,Sangrado,Moderado,,,,,,0,,12377
12378,diagnostico,Sangrado,Severo,,,,,,0,,12378
12379,diagnostico,Supurado,Ninguno,,,,,,0,,12379
12380,diagnostico,Supurado,Ligero,,,,,,0,,12380
12381,diagnostico,Supurado,Moderado,,,,,,0,,12381
12382,diagnostico,Supurado,Severo,,,,,,0,,12382
12383,diagnostico,Placa,Ninguna,,,,,,0,,12383
12384,diagnostico,Placa,Ligera,,,,,,0,,12384
12385,diagnostico,Placa,Moderada,,,,,,0,,12385
12386,diagnostico,Placa,Alta,,,,,,0,,12386
12387,diagnostico,Cálculo,Ninguno,,,,,,0,,12387
12388,diagnostico,Cálculo,Ligero,,,,,,0,,12388
12389,diagnostico,Cálculo,Moderado,,,,,,0,,12389
12390,diagnostico,Cálculo,Alto,,,,,,0,,12390
12391,diagnostico,Manchas,Ninguna,,,,,,0,,12391
12392,diagnostico,Manchas,Ligeras,,,,,,0,,12392
12393,diagnostico,Manchas,Moderadas,,,,,,0,,12393
12394,diagnostico,Manchas,Alta,,,,,,0,,12394
12395,diagnostico,Pérdida Ósea,Ninguna,,,,,,0,,12395
12396,diagnostico,Pérdida Ósea,Ligera,,,,,,0,,12396
12397,diagnostico,Pérdida Ósea,Moderada,,,,,,0,,12397
12398,diagnostico,Pérdida Ósea,Severa,,,,,,0,,12398
12399,diagnostico,Defectos Óseos,Ninguno,,,,,,0,,12399
12400,diagnostico,Defectos Óseos,Cráteres,,,,,,0,,12400
12401,diagnostico,Defectos Óseos,Defectos angulares,,,,,,0,,12401
12402,diagnostico,Defectos Óseos,Afectación furcal,,,,,,0,,12402
12403,diagnostico,Defectos Óseos,Bolsas infraoseas,,,,,,0,,12403
12404,diagnostico,Defectos Óseos,Furcas,,,,,,0,,12404
12405,diagnostico,Gingivitis,Asociada a placa,,,,,,0,,12405
12406,diagnostico,Gingivitis,Asociada a sida,,,,,,0,,12406
12407,diagnostico,Gingivitis,Asociada a hormonas esteroideas,,,,,,0,,12407
12408,diagnostico,Gingivitis,Ulceronecrotizante(GUNA),,,,,,0,,12408
12409,diagnostico,Gingivitis,Medicamentosas(Hiperplasias) o familiar,,,,,,0,,12409
12410,diagnostico,Gingivitis,Descamativa,,,,,,0,,12410
12411,diagnostico,Gingivitis,Alergicas,,,,,,0,,12411
12412,diagnostico,Gingivitis,Mucositis perimplantarias,,,,,,0,,12412
12413,diagnostico,Gingivitis,Otras,,,,,,0,,12413
12414,diagnostico,Periodontitis,Crónica del adulto incipiente,,,,,,0,,12414
12415,diagnostico,Periodontitis,Crónica del adulto moderada,,,,,,0,,12415
12416,diagnostico,Periodontitis,Crónica del adulto avanzada,,,,,,0,,12416
12417,diagnostico,Periodontitis,Crónica del adulto recurrente,,,,,,0,,12417
12418,diagnostico,Periodontitis,Crónica del adulto tratada,,,,,,0,,12418
12419,diagnostico,Periodontitis,Prepuberal localizada,,,,,,0,,12419
12420,diagnostico,Periodontitis,Prepuberal generalizada,,,,,,0,,12420
12421,diagnostico,Periodontitis,Juvenil localizada,,,,,,0,,12421
12422,diagnostico,Periodontitis,Juvenil generalizada,,,,,,0,,12422
12423,diagnostico,Periodontitis,Rapidamente progresiva,,,,,,0,,12423
12424,diagnostico,Periodontitis,Refractaria,,,,,,0,,12424
12425,diagnostico,Periodontitis,Asociada a diabetes,,,,,,0,,12425
12426,diagnostico,Periodontitis,Asociada a sida,,,,,,0,,12426
12427,diagnostico,Periodontitis,Asociada a leucemias,,,,,,0,,12427
12428,diagnostico,Periodontitis,Otras,,,,,,0,,12428
12429,anamnesis,General,Problemas hepáticos,,,,,,0,,12429
12430,anamnesis,General,Hemorragias,,,,,,0,,12430
12431,anamnesis,General,Fiebre reumática,,,,,,0,,12431
12432,anamnesis,General,Problemas cardiacos,,,,,,0,,12432
12433,anamnesis,General,Presión alta,,,,,,0,,12433
12434,anamnesis,General,Presión baja,,,,,,0,,12434
12435,anamnesis,General,Dolor de espalda,,,,,,0,,12435
12436,anamnesis,General,Glaucoma,,,,,,0,,12436
12437,anamnesis,General,Usa Lentillas,,,,,,0,,12437
12438,anamnesis,General,Problemas renales,,,,,,0,,12438
12439,anamnesis,General,Diabetis,,,,,,0,,12439
12440,anamnesis,General,Tuberculosis,,,,,,0,,12440
12441,anamnesis,General,Asma,,,,,,0,,12441
12442,anamnesis,General,Úlcera,,,,,,0,,12442
12443,anamnesis,General,Cáncer,,,,,,0,,12443
12444,anamnesis,General,Epilepsia,,,,,,0,,12444
12445,anamnesis,General,Enf. de Transmisión Sexual,,,,,,0,,12445
12446,anamnesis,General,Anemia,,,,,,0,,12446
12447,anamnesis,General,Úlceras en la boca,,,,,,0,,12447
12448,anamnesis,Medicamentos,Antibióticos,,,,,,0,,12448
12449,anamnesis,Medicamentos,Aspirina,,,,,,0,,12449
12450,anamnesis,Medicamentos,Anticoagulantes,,,,,,0,,12450
12451,anamnesis,Medicamentos,Cortizona,,,,,,0,,12451
12452,anamnesis,Medicamentos,Tranquilizantes,,,,,,0,,12452
12453,anamnesis,Medicamentos,Hipotensores,,,,,,0,,12453
12454,anamnesis,Higiene Oral,Cepillado habitual,,,,,,0,,12454
12455,anamnesis,Higiene Oral,Usa de hilo dental,,,,,,0,,12455
12456,anamnesis,Higiene Oral,Usa Water Pick,,,,,,0,,12456
12457,anamnesis,Higiene Oral,Sangrado de encías,,,,,,0,,12457
12458,anamnesis,Higiene Oral,Aprieta los dientes,,,,,,0,,12458
12459,anamnesis,Higiene Oral,Mal aliento,,,,,,0,,12459
12460,anamnesis,Higiene Oral,Dolor de boca,,,,,,0,,12460
12461,anamnesis,Mujer,Embarazada,,,,,,0,,12461
12462,anamnesis,Mujer,Toma anticonceptivos,,,,,,0,,12462
12463,anamnesis,Mujer,Medicamentos hormonales,,,,,,0,,12463
12464,anamnesis,Mujer,Menopausia,,,,,,0,,12464
12465,vacunas,pestañas,General,,,,,,0,,12465
12466,tipofact,tipofact,Oficial,,,,,,0,,12466
12467,tipofact,tipofact,Proforma,,,,,,0,,12467
12468,tipofact,tipofact,Albarán,,,,,,0,,12468
12469,tipofact,tipofact,Sin Facturar,,,,,,0,,12469
12470,estadocobro,estadocobro,Cobrado,,,,,,0,,12470
12471,estadocobro,estadocobro,No Cobrado,,,,,,0,,12471
12472,estadocobro,estadocobro,Impagado,,,,,,0,,12472
12473,estadocobro,estadocobro,No Impagado,,,,,,0,,12473
12474,estadocobro,estadocobro,Cobrado o Impagado,,,,,,0,,12474
12475,estadopago,estadopago,Pagado,,,,,,0,,12475
12476,estadopago,estadopago,No Pagado,,,,,,0,,12476
12477,cliiae,estado,Alta,,,,,,0,,12477
12478,cliiae,estado,Baja,,,,,,0,,12478
12479,plazosc,stipoplazo,A Plazos,,,,,,0,,12479
12480,plazosc,stipoplazo,Importe Porcentual,,,,,,0,,12480
12481,plazosc,stipoplazo,Importe Fijo,,,,,,0,,12481
12482,segexp,aula,Sala 1,,,,,,0,,12482
12483,segexp,aula,Sala 2,,,,,,0,,12483
12484,segexp,aula,Sala 3,,,,,,0,,12484
12485,segexp,aula,Sala de Curas,,,,,,0,,12485
12486,estadoemail,estado,Anulada,,,,,,0,,12486
12487,estadoemail,estado,En vigor,,,,,,0,,12487
12488,clipers3,perso1,Antiinflamatorio,,,,,,0,,12488
12489,pacientes,Nacionalidad,ESPAÑOLA,,,,,,0,,12489
12490,clipers3,perso1,Antidepresivos,,,,,,0,,12490
12491,PlantillasRtf,Modelo.Plantillas.actu_tablas.sql,2,,,,,,0,,12491
12492,articulos,NotasMed,Notas,,,,,,0,,12492
12493,articulos,NotasMed2,Notas2,,,,,,0,,12493
12494,articulos,NotasMed3,Notas3,,,,,,0,,12494
12495,articulos,NotasMed4,Notas4,,,,,,0,,12495
12496,articulos,NotasMed5,Notas5,,,,,,0,,12496
12497,articulos,NotasMed6,Notas6,,,,,,0,,12497
12498,turnospredef,tipoturno,Mañana,,,,Disponible,,0,,12498
12499,turnospredef,tipoturno,Tarde,,,,Disponible,,0,,12499
12500,turnospredef,tipoturno,Noche,,,,Disponible,,0,,12500
12501,turnospredef,tipoturno,Horas Extra,,,,Disponible,,0,,12501
12502,turnospredef,tipoturno,Intensivo,,,,Disponible,,0,,12502
12503,diagnosticos,tipo,Fisioterapia,,,,,,0,,12503
12504,diagnosticos,tipo,Podología,,,,,,0,,12504
12505,diagnosticos,tipo,Nutricionistas,,,,,,0,,12505
12506,diagnosticos,tipo,Estética,,,,,,0,,12506
12507,diagnosticos,tipo,Psicología,,,,,,0,,12507
12508,diagnosticos,tipo,Medicina General,,,,,,0,,12508
12509,diagnosticos,tipo,Osteopatía,,,,,,0,,12509
12510,articulos,tipoenvase,comprimidos,,,,,,0,,12510
12511,articulos,tipoenvase,cápsulas,,,,,,0,,12511
12512,articulos,tipoenvase,jarabe,,,,,,0,,12512
12513,articulos,tipoenvase,supositorios,,,,,,0,,12513
12514,articulos,tipoenvase,crema,,,,,,0,,12514
12515,expalumnos,estadocurso,Matriculado,,,,,,0,,12515
12516,expalumnos,estadocurso,Interesado,,,,,,0,,12516
12517,expalumnos,estadocurso,Reservado,,,,,,0,,12517
12518,expalumnos,estadocurso,Pendiente Cambio,,,,,,0,,12518
12519,icbLabel,0,SESION MUTUA,536870912,,,,,0,,12519
12520,icbLabel,1,PODOLOGIA,8689404,,,,,0,,12520
12521,icbLabel,2,DP,14982788,,,,,0,,12521
12522,icbLabel,3,GROUPON,6610596,,,,,0,,12522
12523,icbLabel,4,Vacaciones,13952740,,,,,0,,12523
12524,icbLabel,5,Debe asistir a,7649020,,,,,0,,12524
12525,icbLabel,6,RACING ,16051844,,,,,0,,12525
12526,icbLabel,7,TRATAMIENTOS ,8703700,,,,,0,,12526
12527,icbLabel,8,Cumpleaños,16033476,,,,,0,,12527
12528,icbLabel,9,Aniversario,12897956,,,,,0,,12528
12529,icbLabel,10,SESION NORMAL,7661308,,,,,0,,12529
12530,expalumnos,estadocurso,Baja,,,,,,0,,12530
12531,expalumnos,estadocurso,Asistencia Ocasional,,,,,,0,,12531
12532,icbLabelBD,0,General,536870912,,,,,0,,12532
12533,icbLabelBD,1,doble clic para personalizar etiqueta   ,8689404,,,,,0,,12533
12534,icbLabelBD,2,NACHO SENABRE,14982788,,,,,0,,12534
12535,icbLabelBD,3,doble clic para personalizar etiqueta,6610596,,,,,0,,12535
12536,icbLabelBD,4,doble clic para personalizar etiqueta,13952740,,,,,0,,12536
12537,icbLabelBD,5,doble clic para personalizar etiqueta,7649020,,,,,0,,12537
12538,icbLabelBD,6,JOSÉ,16051844,,,,,0,,12538
12539,icbLabelBD,7,doble clic para personalizar etiqueta  ,8703700,,,,,0,,12539
12540,icbLabelBD,8,PIEDAD ,16033476,,,,,0,,12540
12541,icbLabelBD,9,doble clic para personalizar etiqueta,12897956,,,,,0,,12541
12542,icbLabelBD,10,doble clic para personalizar etiqueta    ,7661308,,,,,0,,12542
12543,pedidos,estadoPedido,Enviado,,,,,,0,,12543
12544,pedidos,estadoPedido,Env?o Parcial,,,,,,0,,12544
12545,pedidos,estadoPedido,Pendiente de Enviar,,,,,,0,,12545
12546,pedido,estadoPedido,Recibido completo,,,,,,0,,12546
12547,pedido,estadoPedido,Recibido incompleto,,,,,,0,,12547
12548,pedido,estadoPedido,Recibido err?neo,,,,,,0,,12548
12549,pedido,estadoPedido,No recibido,,,,,,0,,12549
12550,exppacientes,estadocurso,Matriculado,,,,,,0,,12550
12551,exppacientes,estadocurso,Reservado,,,,,,0,,12551
12552,exppacientes,estadocurso,Baja,,,,,,0,,12552
12553,exppacientes,estadocurso,Interesado,,,,,,0,,12553
12554,exppacientes,estadocurso,Pendiente Cambio,,,,,,0,,12554
12555,exppacientes,estadocurso,Asistencia Ocasional,,,,,,0,,12555
12556,historial,motivocancelacion,Con aviso,,,,,,0,,12556
12557,historial,motivocancelacion,Sin aviso,,,,,,0,,12557
12558,historial,motivocancelacion,Aplazada,,,,,,0,,12558
12559,configplantillas,cobros,Plantilla Word,,,,,,0,,12559
12560,configplantillas,cobros,Ticket,,,,,,0,,12560
12561,segexp,aula,nuevo recurso,,,,,,0,,12561
12562,segodont,tipoOdontograma,General,,,,,,0,,12562
12563,segodont,tipoOdontograma,Implantología,,,,,,0,,12563
12564,segodont,tipoOdontograma,Ortodoncia,,,,,,0,,12564
12565,pedido,estadoPedido,Recibido erróneo,,,,,,0,,12565
12566,exclipro,tipoimparticionbonif,Tutoría Teleformación,,,,,,0,,12566
12567,exclipro,tipoimparticionbonif,Tutoría Presencial,,,,,,0,,12567
12568,exclipro,tipoimparticionbonif,Tutoría Mixta,,,,,,0,,12568
12569,exclipro,tipoactividadbonif,Formador,,,,,,0,,12569
12570,exclipro,tipoactividadbonif,Formador y Dinamizador,,,,,,0,,12570
12571,datosSociales,estadocivil,Soltero,,,,,,0,,12571
12572,datosSociales,estadocivil,Casado,,,,,,0,,12572
12573,datosSociales,estadocivil,Viudo,,,,,,0,,12573
12574,datosSociales,estadocivil,Divorciado,,,,,,0,,12574
12575,obligaciones,pago,Domiciliación,,,,,,0,,12575
12576,obligaciones,pago,NRC,,,,,,0,,12576
12577,datosSociales,tipoLibroCont,Mayor,,,,,,0,,12577
12578,datosSociales,tipoLibroCont,Diario,,,,,,0,,12578
12579,datosSociales,tipoLibroCont,IVA,,,,,,0,,12579
12580,datosSociales,tipoLibroCont,Balances,,,,,,0,,12580
12581,datosSociales,naturalezaPoder,General,,,,,,0,,12581
12582,datosSociales,naturalezaPoder,Especial,,,,,,0,,12582
12583,icbSeleccionGrid,1,Verde MN,3986065,,,,,0,,12583
12584,icbSeleccionGrid,2,Azul W,16774117,,,,,0,,12584
12585,icbSeleccionGrid,3,Blanco,536870912,,,,,0,,12585
12586,icbSeleccionGrid,4,Rojo,8689404,,,,,0,,12586
12587,icbSeleccionGrid,5,Azul,14982788,,,,,0,,12587
12588,icbSeleccionGrid,6,Verde,6610596,,,,,0,,12588
12589,icbSeleccionGrid,7,Crema,13952740,,,,,0,,12589
12590,icbSeleccionGrid,8,Naranja,7649020,,,,,0,,12590
12591,icbSeleccionGrid,9,Cian,16051844,,,,,0,,12591
12592,icbSeleccionGrid,10,Mostaza,8703700,,,,,0,,12592
12593,icbSeleccionGrid,11,Morado,16033476,,,,,0,,12593
12594,icbSeleccionGrid,12,Verde agua,12897956,,,,,0,,12594
12595,icbSeleccionGrid,13,Amarillo,7661308,,,,,0,,12595
