id,municipio,idProvincia
142,Aigües,3
143,Albatera,3
144,Alcalalí,3
145,Alcocer de Planes,3
146,Alcoleja,3
147,Alcoy/Alcoi,3
148,Alfafara,3
149,"Alfàs del Pi, l'",3
150,Algorfa,3
151,Algueña,3
152,Alicante/Alacant,3
153,Almoradí,3
154,Almudaina,3
155,"Alqueria d'Asnar, l'",3
156,Altea,3
157,Aspe,3
158,Balones,3
159,Banyeres de Mariola,3
160,Benasau,3
161,Beneixama,3
162,Benejúzar,3
163,Benferri,3
164,Beniarbeig,3
165,Beniardá,3
166,Beniarrés,3
167,Benidoleig,3
168,Benidorm,3
169,Benifallim,3
170,Benifato,3
171,Benigembla,3
172,Benijófar,3
173,Benilloba,3
174,Benillup,3
175,Benimantell,3
176,Benimarfull,3
177,Benimassot,3
178,Benimeli,3
179,Benissa,3
180,"Benitachell/Poble Nou de Benitatxell, el",3
181,Biar,3
182,Bigastro,3
183,Bolulla,3
184,Busot,3
185,Callosa de Segura,3
186,Callosa d'En Sarrià,3
187,Calp,3
188,"Campello, el",3
189,"Campo de Mirra/Camp de Mirra, el",3
190,Cañada,3
191,Castalla,3
192,Castell de Castells,3
193,"Castell de Guadalest, el",3
194,Catral,3
195,Cocentaina,3
196,Confrides,3
197,Cox,3
198,Crevillent,3
199,Daya Nueva,3
200,Daya Vieja,3
201,Dénia,3
202,Dolores,3
203,Elche/Elx,3
204,Elda,3
205,Facheca,3
206,Famorca,3
207,Finestrat,3
208,"Fondó de les Neus, el/Hondón de las Nieves",3
209,Formentera del Segura,3
210,Gaianes,3
211,Gata de Gorgos,3
212,Gorga,3
213,Granja de Rocamora,3
214,Guardamar del Segura,3
215,Hondón de los Frailes,3
216,Ibi,3
217,Jacarilla,3
218,Jávea/Xàbia,3
219,Jijona/Xixona,3
220,Llíber,3
221,"Lorcha/Orxa, l'",3
222,Millena,3
223,Monforte del Cid,3
224,Monóvar/Monòver,3
225,"Montesinos, Los",3
226,Murla,3
227,Muro de Alcoy,3
228,Mutxamel,3
229,Novelda,3
230,"Nucia, la",3
231,Ondara,3
232,Onil,3
233,Orba,3
234,Orihuela,3
235,Orxeta,3
236,Parcent,3
237,Pedreguer,3
238,Pego,3
239,Penàguila,3
240,Petrer,3
241,Pilar de la Horadada,3
242,"Pinós, el/Pinoso",3
243,Planes,3
244,"Poblets, els",3
245,Polop,3
246,Quatretondeta,3
247,Rafal,3
248,"Ràfol d'Almúnia, el",3
249,Redován,3
250,Relleu,3
251,Rojales,3
252,"Romana, la",3
253,Sagra,3
254,Salinas,3
255,San Fulgencio,3
256,San Isidro,3
257,San Miguel de Salinas,3
258,San Vicente del Raspeig/Sant Vicent del Raspeig,3
259,Sanet y Negrals,3
260,Sant Joan d'Alacant,3
261,Santa Pola,3
262,Sax,3
263,Sella,3
264,Senija,3
265,Tàrbena,3
266,Teulada,3
267,Tibi,3
268,Tollos,3
269,Tormos,3
270,"Torremanzanas/Torre de les Maçanes, la",3
271,Torrevieja,3
272,"Vall d'Alcalà, la",3
273,Vall de Gallinera,3
274,"Vall de Laguar, la",3
275,"Vall d'Ebo, la",3
276,"Verger, el",3
277,"Villajoyosa/Vila Joiosa, la",3
278,Villena,3
279,Xaló,3
280,Abla,4
281,Abrucena,4
282,Adra,4
283,Albánchez,4
284,Alboloduy,4
285,Albox,4
286,Alcolea,4
287,Alcóntar,4
288,Alcudia de Monteagud,4
289,Alhabia,4
290,Alhama de Almería,4
291,Alicún,4
292,Almería,4
293,Almócita,4
294,Alsodux,4
295,Antas,4
296,Arboleas,4
297,Armuña de Almanzora,4
298,Bacares,4
299,Bayárcal,4
300,Bayarque,4
301,Bédar,4
302,Beires,4
303,Benahadux,4
304,Benitagla,4
305,Benizalón,4
306,Bentarique,4
307,Berja,4
308,Canjáyar,4
309,Cantoria,4
310,Carboneras,4
311,Castro de Filabres,4
312,Chercos,4
313,Chirivel,4
314,Cóbdar,4
315,Cuevas del Almanzora,4
316,Dalías,4
317,"Ejido, El",4
318,Enix,4
319,Felix,4
320,Fines,4
321,Fiñana,4
322,Fondón,4
323,Gádor,4
324,"Gallardos, Los",4
325,Garrucha,4
326,Gérgal,4
327,Huécija,4
328,Huércal de Almería,4
329,Huércal-Overa,4
330,Illar,4
331,Instinción,4
332,Laroya,4
333,Láujar de Andarax,4
334,Líjar,4
335,Lubrín,4
336,Lucainena de las Torres,4
337,Lúcar,4
338,Macael,4
339,María,4
340,Mojácar,4
341,"Mojonera, La",4
342,Nacimiento,4
343,Níjar,4
344,Ohanes,4
345,Olula de Castro,4
346,Olula del Río,4
347,Oria,4
348,Padules,4
349,Partaloa,4
350,Paterna del Río,4
351,Pechina,4
352,Pulpí,4
353,Purchena,4
354,Rágol,4
355,Rioja,4
356,Roquetas de Mar,4
357,Santa Cruz de Marchena,4
358,Santa Fe de Mondújar,4
359,Senés,4
360,Serón,4
361,Sierro,4
362,Somontín,4
363,Sorbas,4
364,Suflí,4
365,Tabernas,4
366,Taberno,4
367,Tahal,4
368,Terque,4
369,Tíjola,4
370,"Tres Villas, Las",4
371,Turre,4
372,Turrillas,4
373,Uleila del Campo,4
374,Urrácal,4
375,Velefique,4
376,Vélez-Blanco,4
377,Vélez-Rubio,4
378,Vera,4
379,Viator,4
380,Vícar,4
381,Zurgena,4
382,Adanero,5
383,"Adrada, La",5
384,Albornos,5
385,Aldeanueva de Santa Cruz,5
386,Aldeaseca,5
387,"Aldehuela, La",5
388,Amavida,5
389,"Arenal, El",5
390,Arenas de San Pedro,5
391,Arevalillo,5
392,Arévalo,5
393,Aveinte,5
394,Avellaneda,5
395,Ávila,5
396,"Barco de Ávila, El",5
397,"Barraco, El",5
398,Barromán,5
399,Becedas,5
400,Becedillas,5
401,Bercial de Zapardiel,5
402,"Berlanas, Las",5
403,Bernuy-Zapardiel,5
404,Berrocalejo de Aragona,5
405,Blascomillán,5
406,Blasconuño de Matacabras,5
407,Blascosancho,5
408,"Bohodón, El",5
409,Bohoyo,5
410,Bonilla de la Sierra,5
411,Brabos,5
412,Bularros,5
413,Burgohondo,5
414,Cabezas de Alambre,5
415,Cabezas del Pozo,5
416,Cabezas del Villar,5
417,Cabizuela,5
418,Canales,5
419,Candeleda,5
420,Cantiveros,5
421,Cardeñosa,5
422,"Carrera, La",5
423,Casas del Puerto,5
424,Casasola,5
425,Casavieja,5
426,Casillas,5
427,Castellanos de Zapardiel,5
428,Cebreros,5
429,Cepeda la Mora,5
430,Chamartín,5
431,Cillán,5
432,Cisla,5
433,"Colilla, La",5
434,Collado de Contreras,5
435,Collado del Mirón,5
436,Constanzana,5
437,Crespos,5
438,Cuevas del Valle,5
439,Diego del Carpio,5
440,Donjimeno,5
441,Donvidas,5
442,Espinosa de los Caballeros,5
443,Flores de Ávila,5
444,Fontiveros,5
445,Fresnedilla,5
446,"Fresno, El",5
447,Fuente el Saúz,5
448,Fuentes de Año,5
449,Gallegos de Altamiros,5
450,Gallegos de Sobrinos,5
451,Garganta del Villar,5
452,Gavilanes,5
453,Gemuño,5
454,Gil García,5
455,Gilbuena,5
456,Gimialcón,5
457,Gotarrendura,5
458,Grandes y San Martín,5
459,Guisando,5
460,Gutierre-Muñoz,5
461,Hernansancho,5
462,Herradón de Pinares,5
463,Herreros de Suso,5
464,Higuera de las Dueñas,5
465,"Hija de Dios, La",5
466,"Horcajada, La",5
467,Horcajo de las Torres,5
468,"Hornillo, El",5
469,"Hoyo de Pinares, El",5
470,Hoyocasero,5
471,Hoyorredondo,5
472,Hoyos de Miguel Muñoz,5
473,Hoyos del Collado,5
474,Hoyos del Espino,5
475,Hurtumpascual,5
476,Junciana,5
477,Langa,5
478,Lanzahíta,5
479,"Llanos de Tormes, Los",5
480,"Losar del Barco, El",5
481,Madrigal de las Altas Torres,5
482,Maello,5
483,Malpartida de Corneja,5
484,Mamblas,5
485,Mancera de Arriba,5
486,Manjabálago,5
487,Marlín,5
488,Martiherrero,5
489,Martínez,5
490,Mediana de Voltoya,5
491,Medinilla,5
492,Mengamuñoz,5
493,Mesegar de Corneja,5
494,Mijares,5
495,Mingorría,5
496,"Mirón, El",5
497,Mironcillo,5
498,Mirueña de los Infanzones,5
499,Mombeltrán,5
500,Monsalupe,5
501,Moraleja de Matacabras,5
502,Muñana,5
503,Muñico,5
504,Muñogalindo,5
505,Muñogrande,5
506,Muñomer del Peco,5
507,Muñopepe,5
508,Muñosancho,5
509,Muñotello,5
510,Narrillos del Álamo,5
511,Narrillos del Rebollar,5
512,Narros de Saldueña,5
513,Narros del Castillo,5
514,Narros del Puerto,5
515,Nava de Arévalo,5
516,Nava del Barco,5
517,Navacepedilla de Corneja,5
518,Navadijos,5
519,Navaescurial,5
520,Navahondilla,5
521,Navalacruz,5
522,Navalmoral,5
523,Navalonguilla,5
524,Navalosa,5
525,Navalperal de Pinares,5
526,Navalperal de Tormes,5
527,Navaluenga,5
528,Navaquesera,5
529,Navarredonda de Gredos,5
530,Navarredondilla,5
531,Navarrevisca,5
532,"Navas del Marqués, Las",5
533,Navatalgordo,5
534,Navatejares,5
535,Neila de San Miguel,5
536,Niharra,5
537,Ojos-Albos,5
538,Orbita,5
539,"Oso, El",5
540,Padiernos,5
541,Pajares de Adaja,5
542,Palacios de Goda,5
543,Papatrigo,5
544,"Parral, El",5
545,Pascualcobo,5
546,Pedro Bernardo,5
547,Pedro-Rodríguez,5
548,Peguerinos,5
549,Peñalba de Ávila,5
550,Piedrahíta,5
551,Piedralaves,5
552,Poveda,5
553,Poyales del Hoyo,5
554,Pozanco,5
555,Pradosegar,5
556,Puerto Castilla,5
557,Rasueros,5
558,Riocabado,5
559,Riofrío,5
560,Rivilla de Barajas,5
561,Salobral,5
562,Salvadiós,5
563,San Bartolomé de Béjar,5
564,San Bartolomé de Corneja,5
565,San Bartolomé de Pinares,5
566,San Esteban de los Patos,5
567,San Esteban de Zapardiel,5
568,San Esteban del Valle,5
569,San García de Ingelmos,5
570,San Juan de Gredos,5
571,San Juan de la Encinilla,5
572,San Juan de la Nava,5
573,San Juan del Molinillo,5
574,San Juan del Olmo,5
575,San Lorenzo de Tormes,5
576,San Martín de la Vega del Alberche,5
577,San Martín del Pimpollar,5
578,San Miguel de Corneja,5
579,San Miguel de Serrezuela,5
580,San Pascual,5
581,San Pedro del Arroyo,5
582,San Vicente de Arévalo,5
583,Sanchidrián,5
584,Sanchorreja,5
585,Santa Cruz de Pinares,5
586,Santa Cruz del Valle,5
587,Santa María de los Caballeros,5
588,Santa María del Arroyo,5
589,Santa María del Berrocal,5
590,Santa María del Cubillo,5
591,Santa María del Tiétar,5
592,Santiago del Collado,5
593,Santiago del Tormes,5
594,Santo Domingo de las Posadas,5
595,Santo Tomé de Zabarcos,5
596,"Serrada, La",5
597,Serranillos,5
598,Sigeres,5
599,Sinlabajos,5
600,Solana de Ávila,5
601,Solana de Rioalmar,5
602,Solosancho,5
603,Sotalbo,5
604,Sotillo de la Adrada,5
605,"Tiemblo, El",5
606,Tiñosillos,5
607,Tolbaños,5
608,Tormellas,5
609,Tornadizos de Ávila,5
610,"Torre, La",5
611,Tórtoles,5
612,Umbrías,5
613,Vadillo de la Sierra,5
614,Valdecasa,5
615,Vega de Santa María,5
616,Velayos,5
617,Villaflor,5
618,Villafranca de la Sierra,5
619,Villanueva de Ávila,5
620,Villanueva de Gómez,5
621,Villanueva del Aceral,5
622,Villanueva del Campillo,5
623,Villar de Corneja,5
624,Villarejo del Valle,5
625,Villatoro,5
626,Viñegra de Moraña,5
627,Vita,5
628,Zapardiel de la Cañada,5
629,Zapardiel de la Ribera,5
630,Acedera,6
631,Aceuchal,6
632,Ahillones,6
633,Alange,6
634,"Albuera, La",6
635,Alburquerque,6
636,Alconchel,6
637,Alconera,6
638,Aljucén,6
639,Almendral,6
640,Almendralejo,6
641,Arroyo de San Serván,6
642,Atalaya,6
643,Azuaga,6
644,Badajoz,6
645,Barcarrota,6
646,Baterno,6
647,Benquerencia de la Serena,6
648,Berlanga,6
649,Bienvenida,6
650,Bodonal de la Sierra,6
651,Burguillos del Cerro,6
652,Cabeza del Buey,6
653,Cabeza la Vaca,6
654,Calamonte,6
655,Calera de León,6
656,Calzadilla de los Barros,6
657,Campanario,6
658,Campillo de Llerena,6
659,Capilla,6
660,Carmonita,6
661,"Carrascalejo, El",6
662,Casas de Don Pedro,6
663,Casas de Reina,6
664,Castilblanco,6
665,Castuera,6
666,Cheles,6
667,"Codosera, La",6
668,Cordobilla de Lácara,6
669,"Coronada, La",6
670,Corte de Peleas,6
671,Cristina,6
672,Don Álvaro,6
673,Don Benito,6
674,Entrín Bajo,6
675,Esparragalejo,6
676,Esparragosa de la Serena,6
677,Esparragosa de Lares,6
678,Feria,6
679,Fregenal de la Sierra,6
680,Fuenlabrada de los Montes,6
681,Fuente de Cantos,6
682,Fuente del Arco,6
683,Fuente del Maestre,6
684,Fuentes de León,6
685,Garbayuela,6
686,Garlitos,6
687,"Garrovilla, La",6
688,Granja de Torrehermosa,6
689,Guareña,6
690,"Haba, La",6
691,Helechosa de los Montes,6
692,Herrera del Duque,6
693,Higuera de la Serena,6
694,Higuera de Llerena,6
695,Higuera de Vargas,6
696,Higuera la Real,6
697,Hinojosa del Valle,6
698,Hornachos,6
699,Jerez de los Caballeros,6
700,"Lapa, La",6
701,Llera,6
702,Llerena,6
703,Lobón,6
704,Magacela,6
705,Maguilla,6
706,Malcocinado,6
707,Malpartida de la Serena,6
708,Manchita,6
709,Medellín,6
710,Medina de las Torres,6
711,Mengabril,6
712,Mérida,6
713,Mirandilla,6
714,Monesterio,6
715,Montemolín,6
716,Monterrubio de la Serena,6
717,Montijo,6
718,"Morera, La",6
719,"Nava de Santiago, La",6
720,Navalvillar de Pela,6
721,Nogales,6
722,Oliva de la Frontera,6
723,Oliva de Mérida,6
724,Olivenza,6
725,Orellana de la Sierra,6
726,Orellana la Vieja,6
727,Palomas,6
728,"Parra, La",6
729,Peñalsordo,6
730,Peraleda del Zaucejo,6
731,Puebla de Alcocer,6
732,Puebla de la Calzada,6
733,Puebla de la Reina,6
734,Puebla de Obando,6
735,Puebla de Sancho Pérez,6
736,Puebla del Maestre,6
737,Puebla del Prior,6
738,Pueblonuevo del Guadiana,6
739,Quintana de la Serena,6
740,Reina,6
741,Rena,6
742,Retamal de Llerena,6
743,Ribera del Fresno,6
744,Risco,6
745,"Roca de la Sierra, La",6
746,Salvaleón,6
747,Salvatierra de los Barros,6
748,San Pedro de Mérida,6
749,San Vicente de Alcántara,6
750,Sancti-Spíritus,6
751,Santa Amalia,6
752,Santa Marta,6
753,"Santos de Maimona, Los",6
754,Segura de León,6
755,Siruela,6
756,Solana de los Barros,6
757,Talarrubias,6
758,Talavera la Real,6
759,Táliga,6
760,Tamurejo,6
761,Torre de Miguel Sesmero,6
762,Torremayor,6
763,Torremejía,6
764,Trasierra,6
765,Trujillanos,6
766,Usagre,6
767,Valdecaballeros,6
768,Valdelacalzada,6
769,Valdetorres,6
770,Valencia de las Torres,6
771,Valencia del Mombuey,6
772,Valencia del Ventoso,6
773,Valle de la Serena,6
774,Valle de Matamoros,6
775,Valle de Santa Ana,6
776,Valverde de Burguillos,6
777,Valverde de Leganés,6
778,Valverde de Llerena,6
779,Valverde de Mérida,6
780,Villafranca de los Barros,6
781,Villagarcía de la Torre,6
782,Villagonzalo,6
783,Villalba de los Barros,6
784,Villanueva de la Serena,6
785,Villanueva del Fresno,6
786,Villar de Rena,6
787,Villar del Rey,6
788,Villarta de los Montes,6
789,Zafra,6
790,Zahínos,6
791,Zalamea de la Serena,6
792,"Zarza, La",6
793,Zarza-Capilla,6
794,Alaior,7
795,Alaró,7
796,Alcúdia,7
797,Algaida,7
798,Andratx,7
799,Ariany,7
800,Artà,7
801,Banyalbufar,7
802,Binissalem,7
803,Búger,7
804,Bunyola,7
805,Calvià,7
806,Campanet,7
807,Campos,7
808,Capdepera,7
809,"Castell, Es",7
810,Ciutadella de Menorca,7
811,Consell,7
812,Costitx,7
813,Deyá,7
814,Eivissa,7
815,Escorca,7
816,Esporles,7
817,Estellencs,7
818,Felanitx,7
819,Ferreries,7
820,Formentera,7
821,Fornalutx,7
822,Inca,7
823,Lloret de Vistalegre,7
824,Lloseta,7
825,Llubí,7
826,Llucmajor,7
827,Manacor,7
828,Mancor de la Vall,7
829,Maó,7
830,Maria de la Salut,7
831,Marratxí,7
832,"Mercadal, Es",7
833,"Migjorn Gran, Es",7
834,Montuïri,7
835,Muro,7
836,Palma,7
837,Petra,7
838,"Pobla, Sa",7
839,Pollença,7
840,Porreres,7
841,Puigpunyent,7
842,"Salines, Ses",7
843,Sant Antoni de Portmany,7
844,Sant Joan,7
845,Sant Joan de Labritja,7
846,Sant Josep de sa Talaia,7
847,Sant Llorenç des Cardassar,7
848,Sant Lluís,7
849,Santa Eugènia,7
850,Santa Eulalia del Río,7
851,Santa Margalida,7
852,Santa María del Camí,7
853,Santanyí,7
854,Selva,7
855,Sencelles,7
856,Sineu,7
857,Sóller,7
858,Son Servera,7
859,Valldemossa,7
860,Vilafranca de Bonany,7
861,Abrera,8
862,Aguilar de Segarra,8
863,Aiguafreda,8
864,Alella,8
865,Alpens,8
866,"Ametlla del Vallès, L'",8
867,Arenys de Mar,8
868,Arenys de Munt,8
869,Argençola,8
870,Argentona,8
871,Artés,8
872,Avià,8
873,Avinyó,8
874,Avinyonet del Penedès,8
875,Badalona,8
876,Badia del Vallès,8
877,Bagà,8
878,Balenyà,8
879,Balsareny,8
880,Barberà del Vallès,8
881,Barcelona,8
882,Begues,8
883,Bellprat,8
884,Berga,8
885,Bigues i Riells,8
886,Borredà,8
887,"Bruc, El",8
888,"Brull, El",8
889,"Cabanyes, Les",8
890,Cabrera d'Anoia,8
891,Cabrera de Mar,8
892,Cabrils,8
893,Calaf,8
894,Calders,8
895,Caldes de Montbui,8
896,Caldes d'Estrac,8
897,Calella,8
898,Calldetenes,8
899,Callús,8
900,Calonge de Segarra,8
901,Campins,8
902,Canet de Mar,8
903,Canovelles,8
904,Cànoves i Samalús,8
905,Canyelles,8
906,Capellades,8
907,Capolat,8
908,Cardedeu,8
909,Cardona,8
910,Carme,8
911,Casserres,8
912,Castell de l'Areny,8
913,Castellar de n'Hug,8
914,Castellar del Riu,8
915,Castellar del Vallès,8
916,Castellbell i el Vilar,8
917,Castellbisbal,8
918,Castellcir,8
919,Castelldefels,8
920,Castellet i la Gornal,8
921,Castellfollit de Riubregós,8
922,Castellfollit del Boix,8
923,Castellgalí,8
924,Castellnou de Bages,8
925,Castellolí,8
926,Castellterçol,8
927,Castellví de la Marca,8
928,Castellví de Rosanes,8
929,Centelles,8
930,Cercs,8
931,Cerdanyola del Vallès,8
932,Cervelló,8
933,Collbató,8
934,Collsuspina,8
935,Copons,8
936,Corbera de Llobregat,8
937,Cornellà de Llobregat,8
938,Cubelles,8
939,Dosrius,8
940,Esparreguera,8
941,Esplugues de Llobregat,8
942,"Espunyola, L'",8
943,"Estany, L'",8
944,Figaró-Montmany,8
945,Fígols,8
946,Fogars de la Selva,8
947,Fogars de Montclús,8
948,Folgueroles,8
949,Fonollosa,8
950,Font-rubí,8
951,"Franqueses del Vallès, Les",8
952,Gaià,8
953,Gallifa,8
954,"Garriga, La",8
955,Gavà,8
956,Gelida,8
957,Gironella,8
958,Gisclareny,8
959,"Granada, La",8
960,Granera,8
961,Granollers,8
962,Gualba,8
963,Guardiola de Berguedà,8
964,Gurb,8
965,"Hospitalet de Llobregat, L'",8
966,"Hostalets de Pierola, Els",8
967,Igualada,8
968,Jorba,8
969,"Llacuna, La",8
970,"Llagosta, La",8
971,Lliçà d'Amunt,8
972,Lliçà de Vall,8
973,Llinars del Vallès,8
974,Lluçà,8
975,Malgrat de Mar,8
976,Malla,8
977,Manlleu,8
978,Manresa,8
979,Marganell,8
980,Martorell,8
981,Martorelles,8
982,"Masies de Roda, Les",8
983,"Masies de Voltregà, Les",8
984,"Masnou, El",8
985,Masquefa,8
986,Matadepera,8
987,Mataró,8
988,Mediona,8
989,Moià,8
990,Molins de Rei,8
991,Mollet del Vallès,8
992,Monistrol de Calders,8
993,Monistrol de Montserrat,8
994,Montcada i Reixac,8
995,Montclar,8
996,Montesquiu,8
997,Montgat,8
998,Montmajor,8
999,Montmaneu,8
1000,Montmeló,8
1001,Montornès del Vallès,8
1002,Montseny,8
1003,Muntanyola,8
1004,Mura,8
1005,Navarcles,8
1006,Navàs,8
1007,"Nou de Berguedà, La",8
1008,Òdena,8
1009,Olèrdola,8
1010,Olesa de Bonesvalls,8
1011,Olesa de Montserrat,8
1012,Olivella,8
1013,Olost,8
1014,Olvan,8
1015,Orís,8
1016,Oristà,8
1017,Orpí,8
1018,Òrrius,8
1019,Pacs del Penedès,8
1020,Palafolls,8
1021,Palau-solità i Plegamans,8
1022,Pallejà,8
1023,"Palma de Cervelló, La",8
1024,"Papiol, El",8
1025,Parets del Vallès,8
1026,Perafita,8
1027,Piera,8
1028,Pineda de Mar,8
1029,"Pla del Penedès, El",8
1030,"Pobla de Claramunt, La",8
1031,"Pobla de Lillet, La",8
1032,Polinyà,8
1033,"Pont de Vilomara i Rocafort, El",8
1034,Pontons,8
1035,"Prat de Llobregat, El",8
1036,Prats de Lluçanès,8
1037,"Prats de Rei, Els",8
1038,Premià de Dalt,8
1039,Premià de Mar,8
1040,Puigdàlber,8
1041,Puig-reig,8
1042,Pujalt,8
1043,"Quar, La",8
1044,Rajadell,8
1045,Rellinars,8
1046,Ripollet,8
1047,"Roca del Vallès, La",8
1048,Roda de Ter,8
1049,Rubí,8
1050,Rubió,8
1051,Rupit i Pruit,8
1052,Sabadell,8
1053,Sagàs,8
1054,Saldes,8
1055,Sallent,8
1056,Sant Adrià de Besòs,8
1057,Sant Agustí de Lluçanès,8
1058,Sant Andreu de la Barca,8
1059,Sant Andreu de Llavaneres,8
1060,Sant Antoni de Vilamajor,8
1061,Sant Bartomeu del Grau,8
1062,Sant Boi de Llobregat,8
1063,Sant Boi de Lluçanès,8
1064,Sant Cebrià de Vallalta,8
1065,Sant Celoni,8
1066,Sant Climent de Llobregat,8
1067,Sant Cugat del Vallès,8
1068,Sant Cugat Sesgarrigues,8
1069,Sant Esteve de Palautordera,8
1070,Sant Esteve Sesrovires,8
1071,Sant Feliu de Codines,8
1072,Sant Feliu de Llobregat,8
1073,Sant Feliu Sasserra,8
1074,Sant Fost de Campsentelles,8
1075,Sant Fruitós de Bages,8
1076,Sant Hipòlit de Voltregà,8
1077,Sant Iscle de Vallalta,8
1078,Sant Jaume de Frontanyà,8
1079,Sant Joan de Vilatorrada,8
1080,Sant Joan Despí,8
1081,Sant Julià de Cerdanyola,8
1082,Sant Julià de Vilatorta,8
1083,Sant Just Desvern,8
1084,Sant Llorenç d'Hortons,8
1085,Sant Llorenç Savall,8
1086,Sant Martí d'Albars,8
1087,Sant Martí de Centelles,8
1088,Sant Martí de Tous,8
1089,Sant Martí Sarroca,8
1090,Sant Martí Sesgueioles,8
1091,Sant Mateu de Bages,8
1092,Sant Pere de Ribes,8
1093,Sant Pere de Riudebitlles,8
1094,Sant Pere de Torelló,8
1095,Sant Pere de Vilamajor,8
1096,Sant Pere Sallavinera,8
1097,Sant Pol de Mar,8
1098,Sant Quintí de Mediona,8
1099,Sant Quirze de Besora,8
1100,Sant Quirze del Vallès,8
1101,Sant Quirze Safaja,8
1102,Sant Sadurní d'Anoia,8
1103,Sant Sadurní d'Osormort,8
1104,Sant Salvador de Guardiola,8
1105,Sant Vicenç de Castellet,8
1106,Sant Vicenç de Montalt,8
1107,Sant Vicenç de Torelló,8
1108,Sant Vicenç dels Horts,8
1109,Santa Cecília de Voltregà,8
1110,Santa Coloma de Cervelló,8
1111,Santa Coloma de Gramenet,8
1112,Santa Eugènia de Berga,8
1113,Santa Eulàlia de Riuprimer,8
1114,Santa Eulàlia de Ronçana,8
1115,Santa Fe del Penedès,8
1116,Santa Margarida de Montbui,8
1117,Santa Margarida i els Monjos,8
1118,Santa Maria de Besora,8
1119,Santa Maria de Corcó,8
1120,Santa Maria de Martorelles,8
1121,Santa Maria de Merlès,8
1122,Santa Maria de Miralles,8
1123,Santa Maria de Palautordera,8
1124,Santa Maria d'Oló,8
1125,Santa Perpètua de Mogoda,8
1126,Santa Susanna,8
1127,Santpedor,8
1128,Sentmenat,8
1129,Seva,8
1130,Sitges,8
1131,Sobremunt,8
1132,Sora,8
1133,Subirats,8
1134,Súria,8
