numcta,descripcion,nif,numerolargo,domicilio,poblacion,provincia,codpostal,nacionalidad,telefono1,telefono2,telefono3,fax,movil,email,pagweb,cuentabanco,notas,idiva,claseiva,recargo,igic,idirpf,tipoirpf,IBAN,idmotivoexento,idmotivonoexento,EsServicio,EsBC,EsBI,EsExento,EsNoExento,vigente,pais,idmotivonosujeto,EsNoSujeto,cuentaregul,area,IPSI
1140000000,Reservas para acciones o participaciones de la sociedad dominante,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1141000000,Reservas estatutarias,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1142000000,Reserva por capital amortizado,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1143000000,Reserva por fondo de comercio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1144000000,Reservas por acciones propias aceptadas en garantía,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1150000000,Reservas por pérdidas y ganancias actuariales y otros ajustes,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1180000000,Aportaciones de socios o propietarios,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1190000000,Diferencias por ajuste del capital a euros.,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1200000000,Remanente,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1210000000,Resultados negativos de ejercicios anteriores,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1290000000,Resultado del ejercicio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1300000000,Subvenciones oficiales de capital,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1310000000,Donaciones y legados de capital,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1320000000,"Otras subvenciones, donaciones y legados",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1330000000,Ajustes por valoración en activos financieros disponibles para la venta,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
134,Operaciones de cobertura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1340000000,Cobertura de flujos de efectivo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1341000000,Cobertura de una inversión neta en un negocio en el extranjero,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1350000000,Diferencias de conversión,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1360000000,Ajustes por valoración en activos no corrientes y grupos enajenables de elementos mantenidos para la venta,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
137,Ingresos fiscales a distribuir en varios ejercicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1370000000,Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1371000000,Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1400000000,Provisión por retribuciones a largo plazo al personal,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1410000000,Provisión para impuestos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1420000000,Provisión para otras responsabilidades,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1430000000,"Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1450000000,Provisión para actuaciones medioambientales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1460000000,Provisión para reestructuraciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1470000000,Provisión por transacciones con pagos basados en instrumentos de patrimonio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1500000000,Acciones o participaciones a largo plazo consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1530000000,Desembolsos no exigidos por acciones o participaciones consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1533000000,"Desembolsos no exigidos, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1534000000,"Desembolsos no exigidos, empresas asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1535000000,"Desembolsos no exigidos, otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1536000000,Otros desembolsos no exigidos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1540000000,Aportaciones no dinerarias pendientes por acciones o participaciones consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1543000000,"Aportaciones no dinerarias pendientes, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1544000000,"Aportaciones no dinerarias pendientes, empresas asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1545000000,"Aportaciones no dinerarias pendientes ,otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1546000000,Otras aportaciones no dinerarias pendientes,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1600000000,Deudas a largo plazo con entidades de crédito vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1603000000,"Deudas a largo plazo con entidades de crédito, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1604000000,"Deudas a largo plazo con entidades de crédito, empresas asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1605000000,Deudas a largo plazo con otras entidades de crédito vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1610000000,"Proveedores de inmovilizado a largo plazo, partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1613000000,"Proveedores de inmovilizado a largo plazo, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1614000000,"Proveedores de inmovilizado a largo plazo, empresas  asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1615000000,"Proveedores de inmovilizado a largo plazo,  otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1620000000,"Acreedores por arrendamiento financiero a largo plazo, partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1623000000,"Acreedores por arrendamiento financiero a largo plazo, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1624000000,"Acreedores por arrendamiento financiero a largo plazo, empresas asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1625000000,"Acreedores por arrendamiento financiero a largo plazo, otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1630000000,Otras deudas a largo plazo con partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1633000000,"Otras deudas a largo plazo, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1634000000,"Otras deudas a largo plazo, empresas  asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1635000000,"Otras deudas a largo plazo, con otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1700000000,Deudas a largo plazo con entidades de crédito,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1710000000,Deudas a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1720000000,"Deudas a largo plazo transformables en subvenciones, donaciones  y legados",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1730000000,Proveedores de inmovilizado a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1740000000,Acreedores por arrendamiento financiero a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1750000000,Efectos a pagar a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1760000000,Pasivos por derivados financieros a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1765000000,"Pasivos por derivados financieros a largo plazo, cartera de negociación",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1768000000,"Pasivos por derivados financieros a largo plazo, instrumentos de cobertura.",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1770000000,Obligaciones y bonos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1780000000,Obligaciones y bonos convertibles,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1790000000,Deudas representadas en otros valores negociables,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1800000000,Fianzas recibidas a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1810000000,Anticipos recibidos por ventas o prestaciones de servicios a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1850000000,Depósitos recibidos a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1890000000,Garantías financieras a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1900000000,Acciones o participaciones emitidas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1920000000,Suscriptores de acciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1940000000,Capital emitido pendiente de inscripción,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1950000000,Acciones o participaciones emitidas consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1970000000,Suscriptores de acciones consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1990000000,Acciones o participaciones emitidas consideradas como pasivos financieros pendientes de inscripción,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2000000000,Investigación,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2010000000,Desarrollo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2020000000,Concesiones administrativas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2030000000,Propiedad industrial,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2040000000,Fondo de comercio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2050000000,Derechos de traspaso,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2060000000,Aplicaciones informáticas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2090000000,Anticipos para inmovilizaciones intangibles,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2100000000,Terrenos y bienes naturales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2110000000,Construcciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2120000000,Instalaciones técnicas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2130000000,Maquinaria,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2140000000,Utillaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2150000000,Otras instalaciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2160000000,Mobiliario,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2170000000,Equipos para proceso de información,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2180000000,Elementos de transporte,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2190000000,Otro inmovilizado material,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2200000000,Inversiones en terrenos y bienes naturales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2210000000,Inversiones en construcciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2300000000,Adaptación de terrenos y bienes naturales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2310000000,Construcciones en curso,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2320000000,Instalaciones técnicas en montaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2330000000,Maquinaria en montaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2370000000,Equipos para procesos de información en montaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2390000000,Anticipos para  inmovilizaciones materiales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2400000000,Participaciones a largo plazo en partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2403000000,Participaciones a largo plazo en empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2404000000,Participaciones a largo plazo en empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2405000000,Participaciones a largo plazo en otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2410000000,Valores representativos de deuda a largo plazo de partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2413000000,Valores representativos de deuda a largo plazo de empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2414000000,Valores representativos de deuda a largo plazo de empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2415000000,Valores representativos de deuda a largo plazo de otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2420000000,Créditos a largo plazo a partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2423000000,Créditos a largo plazo a  empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2424000000,Créditos a largo plazo a  empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2425000000,Créditos a largo plazo a  otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2490000000,Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2493000000,Desembolsos pendientes sobre participaciones a largo plazo en empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2494000000,Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2495000000,Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2500000000,Inversiones financieras a largo plazo en instrumentos de patrimonio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2510000000,Valores representativos de deuda a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2520000000,Créditos a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2530000000,Créditos a largo plazo por enajenación de inmovilizado,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2540000000,Créditos a largo plazo al personal,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
255,Activos por derivados financieros a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2550000000,"Activos por derivados financieros a largo plazo, cartera de negociación",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2553000000,"Activos por derivados financieros a largo plazo, instrumentos de cobertura",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2570000000,Derechos de reembolso derivados de contratos de seguro relativos a retribuciones a largo plazo al personal,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2580000000,Imposiciones a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2590000000,Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2600000000,Fianzas constituidas a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2650000000,Depósitos constituidos a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
280,Amortización acumulada del inmovilizado intangible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2800000000,Amortización acumulada de investigación,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2801000000,Amortización acumulada de desarrollo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2802000000,Amortización acumulada de concesiones administrativas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2803000000,Amortización acumulada de propiedad industrial,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2805000000,Amortización acumulada de derechos de traspaso,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2806000000,Amortización acumulada de aplicaciones informáticas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2810000000,Amortización acumulada del inmovilizado material,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2811000000,Amortización acumulada de construcciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2812000000,Amortización acumulada de instalaciones técnicas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2813000000,Amortización acumulada de maquinaria,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2814000000,Amortización acumulada de utillaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2815000000,Amortización acumulada de otras instalaciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2816000000,Amortización acumulada de mobiliario,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2817000000,Amortización acumulada de equipos para procesos de información,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2818000000,Amortización acumulada de elementos de transporte,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2819000000,Amortización acumulada de otro inmovilizado material,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2820000000,Amortización acumulada de las inversiones inmobiliarias,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
290,Deterioro de valor del inmovilizado intangible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2900000000,Deterioro de valor de investigación,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2901000000,Deterioro del valor de desarrollo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2902000000,Deterioro de valor de concesiones administrativas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2903000000,Deterioro de valor de propiedad industrial,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2905000000,Deterioro de valor de derechos de traspaso,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2906000000,Deterioro de valor de aplicaciones informáticas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
291,Deterioro de valor del inmovilizado material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2910000000,Deterioro de valor de terrenos y bienes naturales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2911000000,Deterioro de valor de construcciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2912000000,Deterioro de valor de instalaciones técnicas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2913000000,Deterioro de valor de maquinaria,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2914000000,Deterioro de valor de utillaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2915000000,Deterioro de valor de otras instalaciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2916000000,Deterioro de valor de mobiliario,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2917000000,Deterioro de valor de equipos para procesos de información,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2918000000,Deterioro de valor de elementos de transporte,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2919000000,Deterioro de valor de otro inmovilizado material,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
292,Deterioro de valor de las inversiones inmobiliarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2920000000,Deterioro de valor de los terrenos y bienes naturales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2921000000,Deterioro de valor de construcciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2930000000,Deterioro de valor de participaciones a largo plazo en partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2933000000,Deterioro de valor de participaciones a largo plazo en empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2934000000,Deterioro de valor de participaciones a largo plazo en empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2940000000,Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2943000000,Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2944000000,Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2945000000,Deterioro de valor de valores representativos de deuda a largo plazo de otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2950000000,Deterioro de valor de créditos a largo plazo a partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2953000000,Deterioro de valor de créditos a largo plazo a empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2954000000,Deterioro de valor de créditos a largo plazo a empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2955000000,Deterioro de valor de créditos a largo plazo a otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2970000000,Deterioro de valor de valores representativos de deuda a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2980000000,Deterioro de valor de créditos a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3000000000,Mercaderías A,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3010000000,Mercaderías B,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3100000000,Materias primas A,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3110000000,Materias primas  B,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3200000000,Elementos y conjuntos incorporables,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3210000000,Combustibles,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3220000000,Repuestos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3250000000,Materiales diversos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3260000000,Embalajes,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3270000000,Envases,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3280000000,Material de oficina,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
3300000000,Productos en curso A,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
