icodcli,codcliente,codtercero,recargabonos,backcolor,codmutua,numero,tipoalerta,CNAE,fechacaducidadNET,fechaCapSocial,codcontacto,dpto,idtipofichero,presidente,secretario,clasejunta,idGestorcuadroRendimiento,idComisionTipoOpor,idIndicadorDatoDeUso,modoComision,fijoComision,estadoAEAT,docPdteFirma,tieneCobrosPdte,snombretutor1,sniftutor1,stelefonotutor1,emailtutor1,facturartutor1,snombretutor2,sniftutor2,stelefonotutor2,emailtutor2,facturartutor2,idTarifa,creadoEl,diaCobro,nifcomunitario,ctaIrpfComision,ctasuplidos,ctacontrsuplidos,tipoId,escliface,codorganogestor,codunidadtramitadora,codoficinacontable,codorganoproponente,nomorganogestor,nomunidadtramitadora,nomoficinacontable,nomorganoproponente,rolorganogestor,rolunidadtramitadora,roloficinacontable,rolorganoproponente,mascotaraza,mascotaespecie,mascotavariedad,mascotanumero,mascotacaracter,mascotabozal,mascotaesteriliz,mascotacapa,mascotasexo,costeHoraDefecto,alertaOdontograma,paisTipoId,precio,operacion,descripcion,estadoLOPD,fijodiscontinuo,recursotipo,recursonumhabitacion,erte,nombrepral,ape1,ape2,recursoplanta,recursotipohabitacion,comComerciales,pasaporteMascota,numChapaRabia,municipio,tipogasto
16,,,,,,10,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:46.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
17,,,,,,11,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:47.087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,16777215,,12,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:47.633000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mujer,,,,,,,,,,,,,,,,,,,,,
19,,,,,,13,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:48.473000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
20,,,,,,14,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:51.070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
21,,,,,,15,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:51.433000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
22,,,,,,16,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:52.597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
23,,,,,,17,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:56.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,16777215,,18,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:57.527000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,,,,,,,,,,,,,,,,,,,,,
25,,,,,,19,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:57.813000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,20,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:58.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
27,,,,,,21,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:58.157000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
28,,,,,,22,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:58.273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
29,,,,,,23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:58.367000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
30,,,,,,24,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:58.457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
31,,,,,,25,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:58.753000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,26,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:59.023000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,16777215,,27,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:59.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,,,,,,,,,,,,,,,,,,,,,
34,,,,,,28,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:59.460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,29,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:59.590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,30,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:59.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,31,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:59.947000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,32,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:00.033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
39,,,,,,33,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:00.147000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,34,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:00.303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,35,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:00.427000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,36,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:00.537000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,37,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:00.680000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
44,,,,,,38,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:01.047000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
45,,,,,,39,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:01.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
46,,,,,,40,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:01.463000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
47,,,,,,41,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:01.570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
48,,,,16777215,,42,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:01.807000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,,,,,,,,,,,,,,,,,,,,,
49,,,,,,43,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:01.960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
50,,,,,,44,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:02.060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
51,,,,,,45,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:02.180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
52,,,,,,46,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:02.410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
53,,,,16777215,,47,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:02.560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,48,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:02.663000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,49,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:02.763000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
56,,,,,,50,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:02.917000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
57,,,,,,51,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:03.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
58,,,,,,52,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:03.123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
59,,,,16777215,,53,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:03.373000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
60,,,,16777215,,54,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:03.883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,55,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:04.633000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
62,,,,,,56,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:04.883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
63,,,,,,57,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:05.420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,58,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:06.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
65,,,,,,59,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:06.263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
66,,,,,,60,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:06.493000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,61,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:07.263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
68,,,,,,62,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:08.033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
69,,,,,,63,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:08.823000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
70,,,,,,64,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:09.427000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
71,,,,,,65,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:10.027000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
72,,,,,,66,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:11.340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
73,,,,,,67,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:12.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
74,,,,,,68,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:12.890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
75,,,,,,69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:13.953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
76,,,,,,70,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:14.537000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,71,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:15.430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
78,,,,,,72,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:16.727000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,73,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:17.303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
80,,,,,,74,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:17.883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
81,,,,,,75,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:18.450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
82,,,,,,76,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:19.197000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,77,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:20.063000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
84,,,,,,78,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:21.157000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
85,,,,,,79,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:21.517000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
86,,,,,,80,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:21.690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,81,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:21.823000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
88,,,,16777215,,82,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:22.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,,,,,,,,,,,,,,,,,,,,,
89,,,,,,83,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:22.140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
90,,,,,,84,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:22.263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,85,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:22.763000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,86,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:23.057000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
93,,,,,,87,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:23.317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
94,,,,,,88,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:23.560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
95,,,,,,89,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:23.890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,90,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:23.967000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,16777215,,91,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:24.220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,,,,,,,,,,,,,,,,,,,,,
98,,,,,,92,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:24.393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
99,,,,,,93,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:24.670000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
100,,,,,,94,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:24.783000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
101,,,,,,95,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:24.903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,96,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:24.983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,16777215,,97,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:25.097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,,,,,,,,,,,,,,,,,,,,,
104,,,,16777215,,98,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:25.227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mujer,,,,,,,,,,,,,,,,,,,,,
105,,,,,,99,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:25.467000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
106,,,,,,100,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:25.763000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,101,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:26.137000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
108,,,,,,102,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:26.387000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
109,,,,,,103,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:26.673000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
110,,,,,,104,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:26.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
111,,,,,,105,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:27.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,106,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:27.513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,107,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:27.740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,108,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:27.877000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,109,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:28.317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,110,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:29.217000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,111,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:29.817000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,112,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:30.103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,113,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:30.527000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,114,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:28:31.107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,115,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:29:07.423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,16777215,,116,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:29:09.287000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
123,,,,,,117,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:29:09.573000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
124,,,,,,118,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:29:09.730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
