id,tabla,campo,valor,bloqueado,tipo,orden,selec
606,clientes,empresa,Si,False,,12,
607,clientes,empresa,No,False,,13,
608,clientes,origen,caneiro,False,,14,
609,clientes,origen,poligono,False,,15,
610,clientes,zona,CYCLOPS,False,,16,
611,clientes,zona,UMI,False,,17,
612,clientes,zona,IIP,False,,18,
613,clientes,zona,MULTIASISTENCIA,False,,19,
614,clientes,sector,DIOESIS,False,,20,
615,clientes,sector,PRUEBA,False,,21,
616,clientes,zona,DIOCESIS,False,,22,
617,clientes,origen,DIOCESIS,False,,23,
618,clientes,zona,ADESLAS,False,,24,
619,clientes,zona,ADESLAS,False,,25,
620,pacientes,origen,Clínica,False,,26,
621,pacientes,origen,Domicilio,False,,27,
622,pacientes,empresa,Si,False,,28,
623,pacientes,empresa,No,False,,29,
624,pacientes,departamento,Hombre,False,,30,
625,pacientes,departamento,Mujer,False,,31,
626,clientes,TipoFichero,General,False,,32,
627,clientespotenciales,TipoFichero,General,False,,34,
628,otros,TipoFichero,Colaborador,False,,39,
629,otros,TipoFichero,Partner,False,,40,
630,otros,TipoFichero,Agente Comercial,False,,41,
631,otros,TipoFichero,Franquicia,False,,42,
632,otros,TipoFichero,General,False,,43,
633,pacientes,TipoFichero,General,False,,44,
634,alumnos,TipoFichero,General,False,,45,
635,compañias,TipoFichero,General,False,,46,
636,mascotastutores,TipoFichero,General,False,,47,
637,mutuas,TipoFichero,General,False,,48,
638,voluntarios,TipoFichero,General,False,,49,
639,financiadores,TipoFichero,General,False,,50,
640,terceraedad,TipoFichero,General,False,,51,
641,otros,TipoFichero,Tercero,False,,54,
642,trabajadores,TipoFichero,Contrato Temporal,False,,55,
643,otros,TipoFichero,Tercero,False,,58,
644,otros,TipoFichero,Tercero,False,,62,
645,clivencimientos,tipopoliza,Nueva,False,,64,
646,clivencimientos,tipopoliza,Reemplazo,False,,65,
647,clivencimientos,tipopoliza,Traspaso,False,,66,
648,clivencimientos,situacionpoliza,Solicitada,False,,67,
649,clivencimientos,situacionpoliza,En Vigor,False,,68,
650,clivencimientos,situacionpoliza,Anulada,False,,69,
651,clivencimientos,situacionpoliza,Suspensión,False,,70,
652,poderes,ubicacionpoder,En el Abogado,False,,71,
653,poderes,ubicacionpoder,En el Procurador,False,,72,
654,poderes,ubicacionpoder,En el Juzgado,False,,73,
655,vacunas,pestañas,General,False,,74,
656,pacientes,TipoFichero,FISIOTERAPIA,False,,75,
657,pacientes,TipoFichero,PODOLOGÍA,False,,76,
658,pacientes,TipoFichero,PSICOLOGÍA,False,,77,
659,pacientes,TipoFichero,OSTEOPATÍA,False,,78,
660,pacientes,TipoFichero,NUTRICIONISTA,False,,79,
661,pacientes,TipoFichero,MEDICINA GENERAL,False,,80,
662,pacientes,TipoFichero,ESTÉTICA,False,,81,
663,ModuloImagen,VistaPrevia0,1,False,,82,
664,ModuloImagen,MultiFicha0,1,False,,83,
665,ModuloImagen,ModoPresentacion0,1,False,,84,
666,ModuloImagen,TiempoPresentacion0,5,False,,85,
667,pacientes,campo6,Premium,False,,86,
668,pacientes,campo6,Básica,False,,87,
669,pacientes,TipoFichero,PEDIATRÍA,False,,88,
670,documentos,tipodocumento,Fotografía,False,,89,
671,documentos,tipodocumento,Radiografía,False,,90,
672,documentos,tipodocumento,Pictograma,False,,91,
673,documentos,campo1,Estética,False,,92,
674,documentos,campo1,Fisioterapia,False,,93,
675,documentos,campo1,Nutrición,False,,94,
676,documentos,campo1,Medicina General,False,,95,
677,documentos,campo1,Podología,False,,96,
678,documentos,campo2,Paciente,False,,97,
679,documentos,campo2,Proveedor,False,,98,
680,documentos,tipodocumento,Documento,False,,99,
681,documentos,tipodocumento,Receta,False,,100,
682,documentos,campo3,DNI,False,,101,
683,documentos,campo3,Curriculum,False,,102,
684,documentos,campo3,Factura,False,,103,
685,documentos,campo3,Dieta,False,,104,
686,documentos,campo3,Análisis,False,,105,
687,documentos,campo3,Justificante,False,,106,
688,trabajadores,TipoFichero,Contrato Indefinido,False,,107,
689,trabajadores,TipoFichero,Contrato en Prácticas,False,,108,
690,documentos,campo3,Catálogo,False,,109,
691,ControlesMedicosSeg,localizacion,Pie Izquierdo,False,,110,
692,ControlesMedicosSeg,origen,Infección,False,,111,
693,ControlesMedicosSeg,origen,lesión,False,,112,
694,ControlesMedicosSeg,localizacion,Rodilla Derecha,False,,113,
695,bonos,estado,Presupuestado,True,,114,
696,bonos,estado,Vendido,True,,115,
697,bonos,estado,Consumido,True,,116,
698,columnasPerfil,columna1,,False,,117,
699,Perfil,combo1,Página Web,False,,120,
700,Perfil,combo1,Redes Sociales,False,,121,
701,Perfil,combo1,Anuncio local,False,,122,
702,Perfil,combo11,Sí,False,,124,
703,Perfil,combo11,No,False,,125,
704,Perfil,combo12,Sí,False,,126,
705,Perfil,combo12,No,False,,127,
706,Perfil,combo13,Si,False,,128,
707,Perfil,combo13,No,False,,129,
708,Perfil,combo22,Si,False,,133,
709,Perfil,combo22,No,False,,134,
710,Perfil,comboMulti14,Consultas,False,,137,
711,Perfil,comboMulti14,Tratamiento corporal,False,,138,
712,Perfil,comboMulti14,Tratamiento facial,False,,139,
713,pacientes,zona,Web,False,,140,
714,pacientes,zona,Otros,False,,141,
715,Perfil,combo1,Comercial,False,,143,
716,clientespotenciales,zona,Web 1,False,,144,
717,clientespotenciales,zona,PRensa 2,False,,145,
718,formacobro,formacobrodefecto,Cheque,False,,162,
719,pedidos,campo3,S?,False,,165,
720,pedidos,campo3,No,False,,166,
721,pedido,campo3,S?,False,,167,
722,pedido,campo3,No,False,,168,
723,controlasistencia,tipoact,Horario,False,,169,
724,Perfil,comboMulti4,Pa 1,False,,170,
725,Perfil,comboMulti4,Pa 2,False,,171,
726,Perfil,combo15,Alta,False,,172,
727,Perfil,combo15,Media,False,,173,
728,Perfil,combo15,Baja,False,,174,
729,Perfil,combo16,No,False,,175,
730,Perfil,combo16,Si,False,,176,
731,Perfil,combo17,Si,False,,177,
732,Perfil,combo17,No,False,,178,
733,Perfil,combo25,Si,False,,179,
734,Perfil,combo25,No,False,,180,
735,ModuloImagen,VistaPrevia5,1,False,,181,
736,ModuloImagen,MultiFicha5,1,False,,182,
737,ModuloImagen,ModoPresentacion5,1,False,,183,
738,ModuloImagen,TiempoPresentacion5,5,False,,184,
739,columnasPerfil,columna2,Servicio,False,,186,
740,columnasPerfil,columna3,Fidelización,False,,187,
741,Perfil,combo1,Recomendación Paciente,False,,188,
742,pedido,campo3,Sí,False,,194,
743,mutuas,tipofichero,Mutua,False,,195,
744,mutuas,tipofichero,Compañía,False,,196,
745,mutuas,tipofichero,Servicio de prevención,False,,197,
746,expedien,posprocesal,Demandante,False,,198,
747,expedien,posprocesal,Demandado,False,,199,
748,Perfil,combo27,No tiene,False,,207,
749,Perfil,combo27,1,False,,208,
750,Perfil,combo27,2,False,,209,
751,Perfil,combo27,3,False,,210,
752,Perfil,combo27,Más de 3,False,,211,
753,expjuzga,tipo,Acuerdo,False,,212,
754,expjuzga,tipo,Auto,False,,213,
755,expjuzga,tipo,Laudo,False,,214,
756,expjuzga,tipo,Resolución admin.,False,,215,
757,expjuzga,tipo,Sentencia,False,,216,
758,expjuzga,fallo,Absolutorio,False,,217,
759,expjuzga,fallo,Condenatorio,False,,218,
760,expjuzga,fallo,Estimatorio,False,,219,
761,expjuzga,fallo,Estim. parcial,False,,220,
762,expjuzga,resultado,Favorable,False,,221,
763,expjuzga,resultado,Desfavorable,False,,222,
764,expjuzga,resultado,Parcial,False,,223,
765,expjuzga,posicion,Demandado,False,,224,
766,expjuzga,posicion,Demandante,False,,225,
767,Calificaciones,PeriodosLectivos,1ª Evaluación,False,,226,
768,Calificaciones,PeriodosLectivos,2ª Evaluación,False,,227,
769,Calificaciones,PeriodosLectivos,3ª Evaluación,False,,228,
770,controlasistencia,tipoact,Horario de clases,False,,229,
771,Perfil,combo3,Competencia,False,,230,
772,Perfil,combo3,Mutua incompatible,False,,231,
773,Perfil,combo3,Cambia de país,False,,232,
774,Perfil,combo3,Fallecido,False,,233,
775,pacientes,tipofichero,OFTALMOLOGÍA,False,,266,
776,opcionmail,textoasunmailexpedientes2,,False,,267,
777,opcionmail,textoasunmailexpedientes3,,False,,268,
778,clientes,dpto,Oftalmología,False,,269,
779,clientes,dpto,Dermatología,False,,270,
780,clientes,dpto,Ginecología,False,,271,
781,clientes,dpto,Medicina General,False,,272,
782,pruebasformulario,tipo,Medicina General,False,,273,
783,pruebasformulario,tipo,Oftalmología,False,,274,
784,pruebasformulario,tipo,Otorrinolaringología,False,,275,
785,pruebasformulario,tipo,Ginecología,False,,276,
786,FormulariosClientes,carpeta,General,False,,277,
787,pruebasformulario,tipo,General,False,,586,
788,segexp,aula,Sala 1,False,,587,
789,segexp,aula,Sala 2,False,,588,
790,segexp,aula,Sala 3,False,,589,
791,segexp,aula,Sala de Curas,False,,590,
792,segexp,aula,nuevo recurso,False,,591,
793,Perfil,combo7,Sí,False,,592,
794,Perfil,combo7,No,False,,593,
795,Perfil,combo21,Alto,False,,594,
796,Perfil,combo21,Bajo,False,,595,
797,Perfil,combo21,Medio,False,,596,
798,Perfil,combo23,Sí,False,,597,
799,Perfil,combo23,No,False,,598,
800,Perfil,combo8,Diariamente,False,,599,
801,Perfil,combo8,Más de 3 días a la semana,False,,600,
802,Perfil,combo8,Menos de 3 días,False,,601,
803,Perfil,combo8,1 a vez a la semana,False,,602,
804,pruebasformulario,tipo,Nutrición,False,,603,
805,escalasPredef,tipo,Ansiedad,False,,1,
806,escalasPredef,tipo,Cognitivas,False,,2,
807,escalasPredef,tipo,Depresivas,False,,3,
808,escalasPredef,tipo,Del Dolor,False,,4,
809,escalasPredef,tipo,Funcionales,False,,5,
810,escalasPredef,tipo,Movilidad,False,,6,
811,escalasPredef,tipo,Nutricionales,False,,7,
812,escalasPredef,tipo,Sociales,False,,8,
813,objetivosoportunidad,tipo,Preventivo,False,,616,
814,objetivosoportunidad,tipo,Asistencial,False,,617,
815,objetivosoportunidad,tipo,Educativo,False,,618,
816,objetivosoportunidad,especialidad,Fisioterapia,False,,619,
817,objetivosoportunidad,especialidad,Logopedia,False,,620,
818,objetivosoportunidad,especialidad,Psicología,False,,621,
819,objetivosoportunidad,especialidad,Enfermería,False,,622,
820,objetivosoportunidad,especialidad,Terapia Ocupacional,False,,623,
821,objetivosoportunidad,especialidad,Musicoterapia,False,,624,
822,objetivosoportunidad,especialidad,Actividad Física,False,,625,
823,objetivosoportunidad,cumplimiento,Sí,False,,626,
824,objetivosoportunidad,cumplimiento,No,False,,627,
825,objetivosoportunidad,cumplimiento,Parcial,False,,628,
826,expalumnos,estadocurso,Matriculado,False,,629,
827,expalumnos,estadocurso,Interesado,False,,630,
828,expalumnos,estadocurso,Reservado,False,,631,
829,expalumnos,estadocurso,Pendiente Cambio,False,,632,
830,expalumnos,estadocurso,Baja,False,,633,
831,expalumnos,estadocurso,Asistencia Ocasional,False,,634,
832,clientes,RolInmueble,Propietario,,,832,
833,clientes,RolInmueble,Comprador,,,833,
834,clientes,RolInmueble,Otro,,,834,
835,otros,tipofichero,Centro de Impartición,,,835,
836,otros,tipofichero,Lugar de Impartición,,,836,
837,segodont,tipoEspecialidad,Odontología,,,837,
838,segodont,tipoEspecialidad,Estética,,,838,
839,PersoCampos,623,Sí,,,839,
840,PersoCampos,624,No,,,840,
841,PersoCampos,623,No,,,841,
842,PersoCampos,624,Sí,,,842,
843,segodont,tipoEspecialidad,Ortodoncia,,,843,
844,odontograma,estado,Sin Iniciar,,,844,
845,odontograma,estado,En Curso,,,845,
846,odontograma,estado,Realizada,,,846,
847,odontograma,estado,Cancelada,,,847,
848,odontograma,tipoOrtodoncia,Metálicos,,,848,
849,odontograma,tipoOrtodoncia,Estéticos,,,849,
850,odontograma,tipoOrtodoncia,Invisalign,,,850,
851,clientes,dpto,Podologia,,,851,
852,clientes,dpto,Fisioterapia,,,852,
853,clientes,dpto,Rehabilitacion,,,853,
