dn,nombre,tipoSujeto,esDestino,apellido1,apellido2,email,codigoColegiado,nif,codigo,subtipo,partidoJudicial,numeroOrgano,dnColectivo,activo,codigoConsejo,comunidad,provincia
215078,Ilustre Colegio de Abogados de Santiago de Compostela,0,0,,,,,,,abogados,15078,,215078,0,A15078,,15
216078,Ilustre Colegio de Abogados de Cuenca,0,0,,,,,,,abogados,16078,,216078,0,A16078,,16
217066,Ilustre Colegio de Abogados de Figueres,0,0,,,,,,,abogados,17066,,217066,0,A17066,,17
217079,Ilustre Colegio de Abogados de Girona,0,0,,,,,,,abogados,17079,,217079,0,A17079,,17
218087,Ilustre Colegio de Abogados de Granada,0,0,,,,,,,abogados,18087,,218087,0,A18087,,18
219130,Ilustre Colegio de Abogados de Guadalajara,0,0,,,,,,,abogados,19130,,219130,0,A19130,,19
220069,Ilustre Colegio de Abogados de Gipuzkoa,0,0,,,,,,,abogados,20069,,220069,0,A20069,,20
221041,Ilustre Colegio de Abogados de Huelva,0,0,,,,,,,abogados,21041,,221041,0,A21041,,21
222125,Ilustre Colegio de Abogados de Huesca,0,0,,,,,,,abogados,22125,,222125,0,A22125,,22
223050,Ilustre Colegio de Abogados de Jaén,0,0,,,,,,,abogados,23050,,223050,0,A23050,,23
224089,Ilustre Colegio de Abogados de León,0,0,,,,,,,abogados,24089,,224089,0,A24089,,24
225120,Ilustre Colegio de Abogados de Lleida,0,0,,,,,,,abogados,25120,,225120,0,A25120,,25
226089,Ilustre Colegio de Abogados de La Rioja,0,0,,,,,,,abogados,26089,,226089,0,A26089,,26
227028,Ilustre Colegio de Abogados de Lugo,0,0,,,,,,,abogados,27028,,227028,0,A27028,,27
228005,Ilustre Colegio de Abogados de Alcalá de Henares,0,0,,,,,,,abogados,28005,,228005,0,A28005,,28
228079,Ilustre Colegio de Abogados de Madrid,0,0,,,,,,,abogados,28079,,228079,0,A28079,,28
229015,Ilustre Colegio de Abogados de Antequera,0,0,,,,,,,abogados,29015,,229015,0,A29015,,29
229067,Ilustre Colegio de Abogados de Málaga,0,0,,,,,,,abogados,29067,,229067,0,A29067,,29
230016,Ilustre Colegio de Abogados de Cartagena,0,0,,,,,,,abogados,30016,,230016,0,A30016,,30
230024,Ilustre Colegio de Abogados de Lorca,0,0,,,,,,,abogados,30024,,230024,0,A30024,,30
230030,Ilustre Colegio de Abogados de Murcia,0,0,,,,,,,abogados,30030,,230030,0,A30030,,30
231097,Ilustre Colegio de Abogados de Estella,0,0,,,,,,,abogados,31097,,231097,0,A31097,,31
231201,Ilustre Colegio de Abogados de Pamplona,0,0,,,,,,,abogados,31201,,231201,0,A31201,,31
231227,Ilustre Colegio de Abogados de Tafalla,0,0,,,,,,,abogados,31227,,231227,0,A31227,,31
231232,Ilustre Colegio de Abogados de Tudela,0,0,,,,,,,abogados,31232,,231232,0,A31232,,31
232054,Ilustre Colegio de Abogados de Orense,0,0,,,,,,,abogados,32054,,232054,0,A32054,,32
233024,Ilustre Colegio de Abogados de Gijón,0,0,,,,,,,abogados,33024,,233024,0,A33024,,33
233044,Ilustre Colegio de Abogados de Oviedo,0,0,,,,,,,abogados,33044,,233044,0,A33044,,33
234120,Ilustre Colegio de Abogados de Palencia,0,0,,,,,,,abogados,34120,,234120,0,A34120,,34
235004,Ilustre Colegio de Abogados de Arrecife,0,0,,,,,,,abogados,35004,,235004,0,A35004,,35
235016,Ilustre Colegio de Abogados de Las Palmas de Gran Canaria,0,0,,,,,,,abogados,35016,,235016,0,A35016,,35
236038,Ilustre Colegio de Abogados de Pontevedra,0,0,,,,,,,abogados,36038,,236038,0,A36038,,36
236057,Ilustre Colegio de Abogados de Vigo,0,0,,,,,,,abogados,36057,,236057,0,A36057,,36
237274,Ilustre Colegio de Abogados de Salamanca,0,0,,,,,,,abogados,37274,,237274,0,A37274,,37
238037,Ilustre Colegio de Abogados de Santa Cruz de la Palma,0,0,,,,,,,abogados,38037,,238037,0,A38037,,38
238038,Ilustre Colegio de Abogados de Santa Cruz de Tenerife,0,0,,,,,,,abogados,38038,,238038,0,A38038,,38
239075,Ilustre Colegio de Abogados de Cantabria,0,0,,,,,,,abogados,39075,,239075,0,A39075,,39
240194,Ilustre Colegio de Abogados de Segovia,0,0,,,,,,,abogados,40194,,240194,0,A40194,,40
241091,Ilustre Colegio de Abogados de Sevilla,0,0,,,,,,,abogados,41091,,241091,0,A41091,,41
242173,Ilustre Colegio de Abogados de Soria,0,0,,,,,,,abogados,42173,,242173,0,A42173,,42
243123,Ilustre Colegio de Abogados de Reus,0,0,,,,,,,abogados,43123,,243123,0,A43123,,43
243148,Ilustre Colegio de Abogados de Tarragona,0,0,,,,,,,abogados,43148,,243148,0,A43148,,43
243155,Ilustre Colegio de Abogados de Tortosa,0,0,,,,,,,abogados,43155,,243155,0,A43155,,43
244216,Ilustre Colegio de Abogados de Teruel,0,0,,,,,,,abogados,44216,,244216,0,A44216,,44
245165,Ilustre Colegio de Abogados de Talavera de la Reina,0,0,,,,,,,abogados,45165,,245165,0,A45165,,45
245168,Ilustre Colegio de Abogados de Toledo,0,0,,,,,,,abogados,45168,,245168,0,A45168,,45
246017,Ilustre Colegio de Abogados de Alcira,0,0,,,,,,,abogados,46017,,246017,0,A46017,,46
246235,Ilustre Colegio de Abogados de Sueca,0,0,,,,,,,abogados,46235,,246235,0,A46235,,46
246250,Ilustre Colegio de Abogados de Valencia,0,0,,,,,,,abogados,46250,,246250,0,A46250,,46
247186,Ilustre Colegio de Abogados de Valladolid,0,0,,,,,,,abogados,47186,,247186,0,A47186,,47
248020,Ilustre Colegio de Abogados de Vizcaya,0,0,,,,,,,abogados,48020,,248020,0,A48020,,48
249275,Ilustre Colegio de Abogados de Zamora,0,0,,,,,,,abogados,49275,,249275,0,A49275,,49
250297,Ilustre Colegio de Abogados de Zaragoza,0,0,,,,,,,abogados,50297,,250297,0,A50297,,50
251001,Ilustre Colegio de Abogados de Ceuta,0,0,,,,,,,abogados,51001,,251001,0,A51001,,51
252001,Ilustre Colegio de Abogados de Melilla,0,0,,,,,,,abogados,52001,,252001,0,A52001,,52
701059,Colegio de Graduados Sociales de Álava,0,0,,,,,,,graduadosocial,01059,,701059,0,G01001,,01
702003,Colegio de Graduados Sociales de Albacete,0,0,,,,,,,graduadosocial,02003,,702003,0,G02001,,02
703014,Colegio de Graduados Sociales de Alicante,0,0,,,,,,,graduadosocial,03014,,703014,0,G03001,,03
704013,Colegio de Graduados Sociales de Almería,0,0,,,,,,,graduadosocial,04013,,704013,0,G04001,,04
705019,Colegio de Graduados Sociales de Ávila,0,0,,,,,,,graduadosocial,05019,,705019,0,G05001,,05
706015,Colegio de Graduados Sociales de Badajoz,0,0,,,,,,,graduadosocial,06015,,706015,0,G06001,,06
707040,Colegio de Graduados Sociales de Les Illes Balears,0,0,,,,,,,graduadosocial,07040,,707040,0,G07001,,07
708019,Colegio de Graduados Sociales de Barcelona,0,0,,,,,,,graduadosocial,08019,,708019,0,G08001,,08
709059,Colegio de Graduados Sociales de Burgos,0,0,,,,,,,graduadosocial,09059,,709059,0,G09001,,09
710037,Colegio de Graduados Sociales de Cáceres,0,0,,,,,,,graduadosocial,10037,,710037,0,G10001,,10
711012,Colegio de Graduados Sociales de Cádiz,0,0,,,,,,,graduadosocial,11012,,711012,0,G11001,,11
712040,Colegio de Graduados Sociales de Castellón,0,0,,,,,,,graduadosocial,12040,,712040,0,G12001,,12
713034,Colegio de Graduados Sociales de Ciudad Real,0,0,,,,,,,graduadosocial,13034,,713034,0,G13001,,13
714021,Colegio de Graduados Sociales de Córdoba,0,0,,,,,,,graduadosocial,14021,,714021,0,G14001,,14
715030,Colegio de Graduados Sociales de A Coruña,0,0,,,,,,,graduadosocial,15030,,715030,0,G15001,,15
718087,Colegio de Graduados Sociales de Granada,0,0,,,,,,,graduadosocial,18087,,718087,0,G18001,,18
720069,Colegio de Graduados Sociales de Guipúzcoa,0,0,,,,,,,graduadosocial,20069,,720069,0,G20001,,20
721041,Colegio de Graduados Sociales de Huelva,0,0,,,,,,,graduadosocial,21041,,721041,0,G21001,,21
723050,Colegio de Graduados Sociales de Jaén,0,0,,,,,,,graduadosocial,23050,,723050,0,G23001,,23
724089,Colegio de Graduados Sociales de León,0,0,,,,,,,graduadosocial,24089,,724089,0,G24001,,24
726089,Colegio de Graduados Sociales de La Rioja,0,0,,,,,,,graduadosocial,26089,,726089,0,G26001,,26
727028,Colegio de Graduados Sociales de Lugo,0,0,,,,,,,graduadosocial,27028,,727028,0,G27001,,27
728079,Colegio de Graduados Sociales de Madrid,0,0,,,,,,,graduadosocial,28079,,728079,0,G28001,,28
729067,Colegio de Graduados Sociales de Málaga,0,0,,,,,,,graduadosocial,29067,,729067,0,G29001,,29
730030,Colegio de Graduados Sociales de Murcia,0,0,,,,,,,graduadosocial,30030,,730030,0,G30001,,30
731201,Colegio de Graduados Sociales de Navarra,0,0,,,,,,,graduadosocial,31201,,731201,0,G31001,,31
733044,Colegio de Graduados Sociales de Asturias,0,0,,,,,,,graduadosocial,33044,,733044,0,G33001,,33
734120,Colegio de Graduados Sociales de Palencia,0,0,,,,,,,graduadosocial,34120,,734120,0,G34001,,34
735001,Colegio de Graduados Sociales de Gran Canaria y Fuerteventura,0,0,,,,,,,graduadosocial,35001,,735001,0,G35001,,35
735002,Colegio de Graduados Sociales de Lanzarote,0,0,,,,,,,graduadosocial,35002,,735002,0,G35002,,35
736038,Colegio de Graduados Sociales de Pontevedra,0,0,,,,,,,graduadosocial,36038,,736038,0,G36001,,36
737274,Colegio de Graduados Sociales de Salamanca,0,0,,,,,,,graduadosocial,37274,,737274,0,G37001,,37
738001,Colegio de Graduados Sociales de Santa Cruz de Tenerife,0,0,,,,,,,graduadosocial,38001,,738001,0,G38001,,38
739075,Colegio de Graduados Sociales de Cantabria,0,0,,,,,,,graduadosocial,39075,,739075,0,G39001,,39
740194,Colegio de Graduados Sociales de Segovia,0,0,,,,,,,graduadosocial,40194,,740194,0,G40001,,40
741091,Colegio de Graduados Sociales de Sevilla,0,0,,,,,,,graduadosocial,41091,,741091,0,G41001,,41
742173,Colegio de Graduados Sociales de Soria,0,0,,,,,,,graduadosocial,42173,,742173,0,G42001,,42
743148,Colegio de Graduados Sociales de Tarragona,0,0,,,,,,,graduadosocial,43148,,743148,0,G43001,,43
746250,Colegio de Graduados Sociales de Valencia,0,0,,,,,,,graduadosocial,46250,,746250,0,G46001,,46
747186,Colegio de Graduados Sociales de Valladolid,0,0,,,,,,,graduadosocial,47186,,747186,0,G47001,,47
748020,Colegio de Graduados Sociales de Vizcaya,0,0,,,,,,,graduadosocial,48020,,748020,0,G48001,,48
749275,Colegio de Graduados Sociales de Zamora,0,0,,,,,,,graduadosocial,49275,,749275,0,G49001,,49
750297,Colegio de Graduados Sociales de Zaragoza,0,0,,,,,,,graduadosocial,50297,,750297,0,G50001,,50
