id,grupo,codigo
61,Química,026-08
62,Física,026-09
63,Psicología,026-10
64,Otras Ciencias aplicadas,026-99
65,Cobros e Impagos en general,027-00
66,Análisis de riesgos y gestión crediticia,027-01
67,Gestión de cobros y reclamaciones,027-02
68,Hostelería- cocina en general,028-00
69,Jefatura de cocinas,028-01
70,Repostería-pastelería,028-02
71,Comercio Exterior en general,029-00
72,Compras y Aprovisionamientos en general,030-00
73,Negociación y otras técnicas de relación con proveedores,030-01
74,Comunicaciones Informáticas en general,031-00
75,"Conducción y pilotaje de vehículos, aeronaves y trenes en general",032-00
76,Conducción de vehículos ligeros,032-01
77,Conducción de camiones pesados,032-02
78,Conducción de autobuses,032-03
79,Pilotaje de aeronaves,032-04
80,Conducción de ferrocarriles y trenes,032-05
81,"Conocimiento del producto: Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas",034-01
82,"Conocimiento del producto: Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas",034-02
83,"Conocimiento del producto: Pesca, acuicultura y actividades de los servicios relacionados con las mismas",034-03
84,"Conocimiento del producto: Extracción y aglomeración de antracita, hulla, lignito y turba",034-04
85,"Conocimiento del producto: Extracción de crudos de petróleo y gas natural; actividades de los servicios relacionados con las explotaciones petrolíferas y de gas,  excepto actividades de prospección",034-05
86,Conocimiento del producto: Extracción de minerales de uranio y torio,034-06
87,Conocimiento del producto: Extracción de minerales metálicos,034-07
88,Conocimiento del producto: Extracción de minerales no metálicos ni energéticos,034-08
89,Conocimiento del producto: Industria de productos alimenticios y bebidas,034-09
90,Conocimiento del producto: Industria del tabaco,034-10
91,Conocimiento del producto: Industria textil,034-11
92,Conocimiento del producto: Industria de la confección y de la peletería,034-12
93,"Conocimiento del producto: Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería, talabartería y zapatería",034-13
94,"Conocimiento del producto: Industria de la madera y del corcho, excepto muebles; cestería y espartería",034-14
95,Conocimiento del producto: Industria del papel,034-15
96,"Conocimiento del producto: Edición, artes gráficas y reproducción de soportes grabados",034-16
97,Conocimiento del producto: Industria química,034-17
98,Conocimiento del producto: Fabricación de productos de caucho y materias plásticas,034-18
99,Conocimiento del producto: Metalurgia,034-19
100,"Conocimiento del producto: Fabricación de productos metálicos, excepto maquinaria y equipo",034-20
101,Conocimiento del producto: Industria de la construcción de maquinaria y equipo mecánico,034-21
102,Conocimiento del producto: Fabricación de máquinas de oficina y equipos informáticos,034-22
103,Conocimiento del producto: Fabricación de maquinaria y material eléctrico,034-23
104,"Conocimiento del producto: Fabricación de material electrónico; fabricación de equipo y aparatos de radio, televisión y comunicaciones",034-24
105,"Conocimiento del producto: Fabricación de equipo e instrumentos médico-quirúrgicos, de precisión, óptica y relojería",034-25
106,"Conocimiento del producto: Fabricación de vehículos de motor, remolques y semirremolques",034-26
107,Conocimiento del producto: Fabricación de otro material de transporte,034-27
108,"Conocimiento del producto: Coquerías, refino de petróleo y tratamiento de combustibles nucleares",034-28
109,Conocimiento del producto: Fabricación de otros productos minerales no metálicos,034-29
110,Conocimiento del producto: Fabricación de muebles,034-30
111,Conocimiento del producto: Reciclaje,034-31
112,"Conocimiento del producto: Producción y distribución de energía eléctrica, gas, vapor y agua caliente",034-32
113,"Conocimiento del producto: Captación, depuración y distribución de agua",034-33
114,Conocimiento del producto: Construcción,034-34
115,"Conocimiento del producto: Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor",034-35
116,"Conocimiento del producto: Comercio al por mayor e intermediarios del comercio, excepto vehículos de motor y motocicletas",034-36
117,"Conocimiento del producto: Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domésticos",034-37
118,Conocimiento del producto: Hostelería,034-38
119,Conocimiento del producto: Transporte terrestre; transporte por tuberías,034-39
120,"Conocimiento del producto: Transporte marítimo, de cabotaje y por vías de navegación interiores",034-40
121,Conocimiento del producto: Transporte aéreo y espacial,034-41
122,Conocimiento del producto: Actividades anexas a los transportes; actividades de agencias de viaje,034-42
123,Conocimiento del producto: Correos y telecomunicaciones,034-43
124,"Conocimiento del producto: Intermediación financiera, excepto seguros y planes de pensiones",034-44
125,Conocimiento del producto: Actividades auxiliares ala intermediación financiera,034-45
126,"Conocimiento del producto: Seguros y planes de pensiones, excepto seguridad social",034-46
127,Conocimiento del producto: Actividades inmobiliarias,034-47
128,"Conocimiento del producto: Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domésticos",034-48
129,Conocimiento del producto: Actividades informáticas,034-49
130,Conocimiento del producto: Investigación y desarrollo,034-50
131,Conocimiento del producto: Otras actividades empresariales,034-51
132,Conocimiento del producto: Educación,034-52
133,"Conocimiento del producto: Actividades sanitarias y veterinarias, servicios sociales",034-53
134,Conocimiento del producto: Actividades de saneamiento público,034-54
135,Conocimiento del producto: Actividades asociativas,034-55
136,"Conocimiento del producto: Actividades recreativas, culturales y deportivas",034-56
137,Conocimiento del producto: Actividades diversas de servicios personales,034-57
138,"Conocimiento del sector: Agricultura, ganadería, caza",035-01
139,"Conocimiento del sector: Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas",035-02
140,"Conocimiento del sector: Pesca, acuicultura y actividades de los servicios relacionados con las mismas",035-03
141,"Conocimiento del sector: Extracción y aglomeración de antracita, hulla, lignito y turba",035-04
142,"Conocimiento del sector: Extracción de crudos de petróleo y gas natural; actividades de los servicios relacionados con las explotaciones petrolíferas y de gas, excepto actividades de prospección",035-05
143,Conocimiento del sector: Extracción de minerales de uranio y torio,035-06
144,Conocimiento del sector: Extracción de minerales metálicos,035-07
145,Conocimiento del sector: Extracción de minerales no metálicos ni energéticos,035-08
146,Conocimiento del sector: Industria de productos alimenticios y bebidas,035-09
147,Conocimiento del sector: Industria del tabaco,035-10
148,Conocimiento del sector: Industria textil,035-11
149,Conocimiento del sector: Industria de la confección y de la peletería,035-12
150,"Conocimiento del sector: Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería, talabartería y zapatería",035-13
151,"Conocimiento del sector: Industria de la madera y del corcho, excepto muebles; cestería y espartería",035-14
152,Conocimiento del sector: Industria del papel,035-15
153,"Conocimiento del sector: Edición, artes gráficas y reproducción de soportes grabados",035-16
154,Conocimiento del sector: Industria química,035-17
155,Conocimiento del sector: Fabricación de productos de caucho y materias plásticas,035-18
156,Conocimiento del sector: Metalurgia,035-19
157,"Conocimiento del sector: Fabricación de productos metálicos, excepto maquinaria y equipo",035-20
158,Conocimiento del sector: Industria de la construcción de maquinaria y equipo mecánico,035-21
159,Conocimiento del sector: Fabricación de máquinas de oficina y equipos informáticos,035-22
160,Conocimiento del sector: Fabricación de maquinaria y material eléctrico,035-23
161,"Conocimiento del sector: Fabricación de material electrónico; fabricación de equipo y aparatos de radio, televisión y comunicaciones",035-24
162,"Conocimiento del sector: Fabricación de equipo e instrumentos médico-quirúrgicos, de precisión, óptica y relojería",035-25
163,"Conocimiento del sector: Fabricación de vehículos de motor, remolques y semirremolques",035-26
164,Conocimiento del sector: Fabricación de otro material de transporte,035-27
165,"Conocimiento del sector: Coquerías, refino de petróleo y tratamiento de combustibles nucleares",035-28
166,Conocimiento del sector: Fabricación de otros productos minerales no metálicos,035-29
167,Conocimiento del sector: Fabricación de muebles,035-30
168,Conocimiento del sector: Reciclaje,035-31
169,"Conocimiento del sector: Producción y distribución de energía eléctrica, gas, vapor y agua caliente",035-32
170,"Conocimiento del sector: Captación, depuración y distribución de agua",035-33
171,Conocimiento del sector: Construcción,035-34
172,"Conocimiento del sector: Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor",035-35
173,"Conocimiento del sector: Comercio al por mayor e intermediarios del comercio, excepto vehículos de motor y motocicletas",035-36
174,"Conocimiento del sector: Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domésticos",035-37
175,Conocimiento del sector: Hostelería,035-38
176,Conocimiento del sector: Transporte terrestre; transporte por tuberías,035-39
177,"Conocimiento del sector: Transporte marítimo, de cabotaje y por vías de navegación interiores",035-40
178,Conocimiento del sector: Transporte aéreo y espacial,035-41
179,Conocimiento del sector: Actividades anexas a los transportes; actividades de agencias de viaje,035-42
180,Conocimiento del sector: Correos y telecomunicaciones,035-43
181,"Conocimiento del sector: Intermediación financiera, excepto seguros y planes de pensiones",035-44
182,Conocimiento del sector: Actividades auxiliares ala intermediación financiera,035-45
183,"Conocimiento del sector: Seguros y planes de pensiones, excepto seguridad social",035-46
184,Conocimiento del sector: Actividades inmobiliarias,035-47
185,"Conocimiento del sector: Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domésticos",035-48
186,Conocimiento del sector: Actividades informáticas,035-49
187,Conocimiento del sector: Investigación y desarrollo,035-50
188,Conocimiento del sector: Otras actividades empresariales,035-51
189,Conocimiento del sector: Educación,035-52
190,"Conocimiento del sector: Actividades sanitarias y veterinarias, servicios sociales",035-53
191,Conocimiento del sector: Actividades de saneamiento público,035-54
192,Conocimiento del sector: Actividades asociativas,035-55
193,"Conocimiento del sector: Actividades recreativas, culturales y deportivas",035-56
194,Conocimiento del sector: Actividades diversas de servicios personales,035-57
195,Contabilidad en general,036-00
196,Control de Gestión en general,037-00
197,Control numérico en general,038-00
198,Preparación de máquinas herramienta y Control Numérico (CNC),038-01
199,Programación de máquinas herramienta con Control Numérico (CNC),038-02
200,Diseño asistido por ordenador en general,039-00
201,Diseño Gráfico Informatizado en general,040-00
202,Diseño industrial en general,041-00
203,Atención y venta en establecimientos comerciales en general,042-00
204,Cobro y atención en Caja,042-01
205,Enfermería en general,043-00
206,Enfermería de atención primaria,043-01
207,Enfermería de hospitales,043-02
208,Enfermería de salud mental y toxicomanías,043-03
209,Enfermería- otros ámbitos,043-99
210,Equipos técnicos- Información y manifestaciones artísticas en general,044-00
211,Operación de cámaras,044-01
212,Edición y montaje de imágenes,044-02
213,Técnicas de sonido,044-03
214,Operación de equipos en estación de radio y televisión,044-04
215,Proyecciones cinematográficas,044-05
216,Fotografía,044-06
217,Laboratorio de imagen,044-07
218,Iluminación,044-08
219,Escaparatismo en general,045-00
220,Escenografía y ambientación artística en general,046-00
221,Decoración de escenarios,046-01
222,Vestuario,046-02
223,Caracterización,046-03
224,Regiduría de escena,046-04
225,Traumatología,047-01
226,Ginecología,047-02
227,Cirugía,047-03
228,Neurología,047-04
229,Otras especialidades médicas,047-99
230,Procesos productivos industria pesada: Fabricación de estructuras metálicas en general,048-00
231,Carpintería metálica y de PVC,048-01
232,Montaje de estructuras metálicas,048-02
233,Estudios de mercado en general,049-00
234,Finanzas para no Financieros en general,050-00
235,Explotación forestal en general,051-00
236,Trabajos forestales,051-01
237,Manipulación de motosierras,051-02
238,Explotación del alcornoque,051-03
239,Explotación cinegética,051-04
240,Formación de formadores en general,052-00
241,Aplicación de TICs a la formación,052-01
242,Montaje e instalación de frío industrial en general,054-00
243,Montaje e instalación de cámaras frigoríficas,054-01
244,Instalación y mantenimiento de aire acondicionado,054-02
245,Gestión administrativa en general,055-00
246,Gestión ambiental en general,056-00
247,Sensibilización hacia el medio ambiente,056-01
248,Dirección y gestión bancaria en general,057-00
249,Gestión comercial en general,058-00
250,Gestión en Agencia Comercial,058-01
251,Gestión de almacén y/o distribución en general,059-00
252,Gestión de empresas de Ec. Social en general,060-00
253,Gestión de flotas en general,061-00
254,Gestión de flotas- transporte por carretera,061-01
255,Gestión de flotas- transporte marítimo,061-02
256,Gestión de flotas-Transporte aéreo,061-03
257,Gestión de la formación en general,062-00
258,Gestión de obra en general,063-00
259,Supervisión de ejecución de obra de edificación,063-01
260,Supervisión de ejecución de obra civil,063-02
261,Gestión de la producción en general,064-00
262,Gestión de proyectos (no de proyectos informáticos) en general,065-00
263,Gestión de proyectos informáticos en general,066-00
264,Gestión de Pymes en general,067-00
265,Gerencia de Pequeño Comercio,067-01
266,Gestión de recursos humanos en general,068-00
267,Selección y desarrollo de Recursos Humanos,068-01
268,Habilidades directivas,068-02
269,Habilidades personales e interpersonales en el entorno laboral,068-03
270,Comunicación Interna,068-04
271,Recursos humanos: Negociación colectiva,068-05
272,"Conocimiento de la empresa (acogida), cultura de empresa, cambio de cultura",068-06
273,Gestión del mantenimiento en general,069-00
274,Técnicas de organización de instalaciones y mantenimiento de edificios y equipamientos urbanos,069-01
275,Técnicas de organización del mantenimiento de equipos electromecánicos de uso no industrial,069-02
276,Técnicas de organización del mantenimiento industrial,069-03
277,Gestión económico financiera en general,070-00
278,Gestión de grandes empresas y redes empresariales en general,071-00
279,Gestión fiscal en general,072-00
280,Gestión hospitalaria en general,073-00
281,Gestión hotelera en general,074-00
282,Gestión de hoteles y otros alojamientos,074-01
283,Gestión de establecimientos de restauración,074-02
284,Jefatura de economatos y bodegas,074-03
285,Gestión inmobiliaria en general,075-00
286,Habilitación y especialización en docencia en general,078-00
287,Seguridad alimentaria: manipulación y control de alimentos en general,079-00
288,Higiene alimentaria / Manipulación de alimentos,079-01
289,Control de puntos críticos (Ind. Alimentaria),079-02
290,Hostelería-Atención en pisos en general,080-00
291,Gobernanza de pisos,080-01
292,Servicio de pisos,080-02
293,"Lencería, lavandería,  planchado",080-03
294,Informática de Usuario / Ofimática en general,087-00
295,Ofimática: Procesadores de texto,087-01
296,Ofimática: Bases de datos,087-02
297,Ofimática: Hojas de Cálculo,087-03
298,Ofimática: Aplicaciones para Presentaciones en público,087-04
299,Ofimática: Internet-intranet y navegadores,087-05
300,Ofimática: Diseño de páginas web,087-06
301,"Informática de usuario: Aplicaciones para el tratamiento de imágenes, sonido y vídeo",087-07
302,Informática de usuario: Tratamiento e informes de grandes almacenes de datos,087-08
303,Informática de usuario: Lenguajes de programación,087-09
304,Informática de usuario: E-bussines & e-commerce,087-10
305,"Informática de usuario: Aplicaciones estándar de gestión de recursos, compras y ventas",087-11
306,Informática de usuario: Aplicaciones para tratamiento estadístico,087-12
307,Informática de usuario: Sistemas operativos,087-13
308,Introducción a la informática y/o Nuevas Tecnologías de la información y comunicación,087-14
309,Informática de usuario: Utilidades y herramientas de apoyo para el tratamiento de ficheros,087-15
310,Informática de usuario: Aplicaciones estándar para estudios y oficinas técnicas,087-16
311,Informática  de desarrollo en general,088-00
312,Ingeniería y nuevas tecnologías i+d+i en general,089-00
313,Instalaciones de viviendas y edificios en general,090-00
314,Fontanería,090-01
315,Calefacción y climatización,090-02
316,Instalación de gas,090-03
317,Instalación de aislamientos,090-04
318,Impermeabilización,090-05
319,Instalaciones eléctricas en edificios,090-06
320,Montaje e instalación de equipos industriales en general,091-00
321,Instalación de equipos y sistemas electrónicos,091-01
322,Instalación de máquinas y equipos industriales,091-02
323,Instalación de equipos y sistemas de comunicación electrónicos,091-03
324,Instalación y mantenimiento  de conducciones de fluidos,091-04
325,Montaje electromecánico en Industrias de Fabricación de Equipos Electromecánicos,091-05
326,Trabajos auxiliares de montajes electrónicos en Industrias de Fabricación de Equipos Electromecánicos,091-06
327,Montaje de dispositivos y cuadros electrónicos en Industrias de Fabricación de Equipos Electromecánicos,091-07
328,Montaje y ajuste de equipos electrónicos en Industrias de Fabricación de Equipos Electromecánicos,091-08
329,Instrumentación y control en general,092-00
330,Interiorismo y decoración en general,093-00
331,Interpretación de planos y delineación en general,094-00
332,Inversiones-banca en general,095-00
333,"Jardinería, floricultura y arte floral en general",096-00
334,Cultivo de flores,096-01
335,Manipulación de flores,096-02
336,Trabajos de centros de jardinería,096-03
337,Trabajos en viveros,096-04
338,Jardinería,096-05
339,Laboratorio clínico en general,097-00
340,Técnicas de microbiología,097-01
341,Análisis de hematología,097-02
342,Técnicas de inmunología-bioquímica,097-03
343,Técnicas de anatomía patológica,097-04
344,Técnicas auxiliares de laboratorio clínico,097-05
345,Logística Integral en general,101-00
346,Manipulación de mercancías en general,102-00
347,Manipulación de mercancías-Transporte por carretera,102-01
348,Manipulación de mercancías en puerto,102-02
349,Manipulación de mercancías- Estiba y desestiba de buques,102-03
350,Manipulación de mercancías con grúas portuarias,102-04
351,Manipulación de mercancías en cubierta de buques,102-05
352,Manipulación de mercancías-Transporte aéreo,102-06
353,Mantenimiento de Edificios y Otro Equipamiento Urbano en general,103-00
354,Análisis y diagnóstico de edificios,103-01
355,Domótica,103-02
356,Mantenimiento de instalaciones de climatización de edificios,103-03
357,Mantenimiento de Equipos Electromecánicos de uso no industrial en general,104-00
358,Mantenimiento de Equipos de climatización,104-01
359,Mantenimiento de Equipos Electrodomésticos y de limpieza de edificios,104-02
360,Mantenimiento de Equipos Informáticos y periféricos,104-03
361,Mantenimiento de Equipos de Telefonía y Comunicaciones,104-04
362,Mantenimiento de Equipos de electromedicina,104-05
363,Mantenimiento Industrial en general,105-00
364,Mantenimiento mecánico,105-01
365,Mantenimiento electromecánico,105-02
366,Mantenimiento eléctrico,105-03
367,Mantenimiento electrónico,105-04
368,Trabajos auxiliares en mantenimiento mecánico en Industrias de Fabricación de Equipos Electromecánicos,105-05
369,Mantenimiento de instalaciones mecánicas en Industrias de Fabricación de Equipos Electromecánicos,105-06
370,Mantenimiento mecánico en Industrias de Fabricación de Equipos Electromecánicos,105-07
371,Trabajos auxiliares de mantenimiento electromecánico en Industrias de Fabricación de Equipos Electromecánicos,105-08
372,Técnicas de mantenimiento electromecánico en Industrias de Fabricación de Equipos Electromecánicos,105-09
373,Técnicas de mantenimiento de equipos eléctricos en Industrias de Fabricación de Equipos Electromecánicos,105-10
374,Técnicas de mantenimiento electrónico en Industrias de Fabricación de Equipos Electromecánicos,105-11
375,Mantenimiento de equipos electromecánicos en Industrias de Fabricación de Equipos Electromecánicos,105-12
376,Mantenimiento y Reparación de Equipos de Transporte en general,106-00
377,Reparación de maquinaria agrícola autopropulsada,106-01
378,Reparación de maquinaria industrial autopropulsada,106-02
379,Reparación de motores de aviación,106-03
380,Reparación de motores náuticos y componentes mecánicos navales,106-04
381,Mantenimiento de vehículos ferroviarios de tracción,106-05
382,Reparación de vehículos pesados,106-06
383,Mantenimiento y Reparación de Vehículos Ligeros en general,107-00
384,Reparación de carrocerías de vehículos,107-01
385,Reparación de motores y equipos de inyección,107-02
386,Reparación de sistemas eléctricos y electrónicos de vehículos,107-03
387,Diagnosis de vehículos,107-04
388,Reparación de vehículos de dos o tres ruedas,107-05
389,Marketing en general,108-00
390,"Materiales y materias primas: Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas",109-01
391,"Materiales y materias primas: Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas",109-02
392,"Materiales y materias primas: Pesca, acuicultura y actividades de los servicios relacionados con las mismas",109-03
393,"Materiales y materias primas: Extracción y aglomeración de antracita, hulla, lignito y turba",109-04
394,"Materiales y materias primas: Extracción de crudos de petróleo y gas natural; actividades de los servicios relacionados con las explotaciones petrolíferas y de gas, excepto actividades de prospección",109-05
395,Materiales y materias primas: Extracción de minerales de uranio y torio,109-06
396,Materiales y materias primas: Extracción de minerales metálicos,109-07
397,Materiales y materias primas: Extracción de minerales no metálicos ni energéticos,109-08
398,Materiales y materias primas: Industria de productos alimenticios y bebidas,109-09
399,Materiales y materias primas: Industria del tabaco,109-10
400,Materiales y materias primas: Industria textil,109-11
401,Materiales y materias primas: Industria de la confección y de la peletería,109-12
402,"Materiales y materias primas: Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería, talabartería y zapatería",109-13
403,"Materiales y materias primas: Industria de la madera y del corcho, excepto muebles; cestería y espartería",109-14
404,Materiales y materias primas: Industria del papel,109-15
405,"Materiales y materias primas: Edición, artes gráficas y reproducción de soportes grabados",109-16
406,Materiales y materias primas: Industria química,109-17
407,Materiales y materias primas: Fabricación de productos de caucho y materias plásticas,109-18
408,Materiales y materias primas: Metalurgia,109-19
409,"Materiales y materias primas: Fabricación de productos metálicos, excepto maquinaria y equipo",109-20
410,Materiales y materias primas: Industria de la construcción de maquinaria y equipo mecánico,109-21
411,Materiales y materias primas: Fabricación de máquinas de oficina y equipos informáticos,109-22
412,Materiales y materias primas: Fabricación de maquinaria y material eléctrico,109-23
413,"Materiales y materias primas: Fabricación de material electrónico; fabricación de equipo y aparatos de radio, televisión y comunicaciones",109-24
414,"Materiales y materias primas: Fabricación de equipo e instrumentos médico-quirúrgicos, de precisión, óptica y relojería",109-25
415,"Materiales y materias primas: Fabricación de vehículos de motor, remolques y semirremolques",109-26
416,Materiales y materias primas: Fabricación de otro material de transporte,109-27
417,"Materiales y materias primas: Coquerías, refino de petróleo y tratamiento de combustibles nucleares",109-28
418,Materiales y materias primas: Fabricación de otros productos minerales no metálicos,109-29
419,Materiales y materias primas: Fabricación de muebles; otras industrias manufactureras,109-30
420,Materiales y materias primas: Reciclaje,109-31
421,"Materiales y materias primas: Producción y distribución de energía eléctrica, gas, vapor y agua caliente",109-32
422,"Materiales y materias primas: Captación, depuración y distribución de agua",109-33
423,Materiales y materias primas: Construcción,109-34
424,Materiales y materias primas: Hostelería,109-35
425,Mercados financieros en general,110-00
426,Merchandising en general,111-00
427,Metodologías-Didácticas específicas en general,112-00
428,Calidad en general,114-00
429,Auditoría de Calidad,114-01
430,Introducción a la calidad,114-02
431,Herramientas de calidad,114-03
432,Gestión de calidad total/Modelos de excelencia empresarial,114-04
433,Normalización/Homologación/ certificación de calidad,114-05
434,Nuevas tecnologías e investigación aplicadas a la docencia,115-00
435,Nutrición y dietética en general,116-00
436,Oficina técnica-Construcción en general,117-00
437,Delineación  en edificación y obras civiles,117-01
438,Técnicas auxiliares de obra,117-02
439,Técnicas auxiliares de topografía,117-03
440,Técnicas auxiliares de laboratorio de obra,117-04
441,Técnicas auxiliares de control y vigilancia de obras,117-05
442,Planificación y control de obras,117-06
443,Cálculo de estructuras y cimentaciones,117-07
444,Encofrado,118-01
445,Ferralla,118-02
446,Hormigonado,118-03
447,Entibado,118-04
448,Montaje de estructuras tubulares,118-05
449,Albañilería,118-06
450,Revoco,118-07
451,Tendido de yesos,118-08
452,Estucado,118-09
453,Colocación de escayola,118-10
454,Colocación de prefabricados ligeros,118-11
455,Instalación de redes de saneamiento,118-12
456,Cantería,118-13
457,Colocación de mármol,118-14
458,Mampostería,118-15
459,Pavimentación,118-16
460,Trabajos en portland,118-17
461,Pintura de edificios,118-18
462,Entarimado,118-19
463,Enmoquetado-entelado,118-20
464,Colocación de pavimentos ligeros,118-21
465,Acristalado de edificios,118-22
466,Colocación de pizarra,118-23
467,Solado-alicatado,118-24
468,Techado en chapas y placas,118-25
469,Operación de plantas de áridos,118-26
470,Operación de plantas de hormigón,118-27
471,Operación de plantas de aglomerados asfálticos,118-28
472,Prefabricado de hormigón,118-29
473,Otros competencias específicas de oficios de construcción,118-99
474,Operación de maquinaria de construcción en general,119-00
475,Operaciones con maquinas de perforación,119-01
476,Operaciones de voladura con explosivos,119-02
477,Operaciones con maquinaria excavadora,119-03
478,Operaciones con maquinaria explanadora,119-04
479,Operaciones con maquinaria de transporte de tierras,119-05
480,Operaciones con maquinaria compactadoras,119-06
481,Operaciones con maquinaria de firmes y pavimentos,119-07
482,Operaciones con maquinaria de dragado,119-08
483,Operaciones con maquinaria de vías,119-09
484,Operación de grúas,119-10
485,Operación de otra maquinaria de construcción,119-99
486,Operativa bancaria en general,120-00
487,Trabajos administrativos en entidades financieras,120-01
488,Operaciones financieras de activo,120-02
489,Operaciones financieras internacionales,120-03
490,Operaciones financieras internas,120-04
491,Gestión comercial de servicios financieros,120-05
492,Operativa de agencias de viajes en general,121-00
493,"Procesos de producción, transformación y distribución de energía y agua en general",122-00
494,Operación y mantenimiento de centrales hidroeléctricas,122-01
495,Supervisión de centrales hidroeléctricas,122-02
496,Operación de centrales termoeléctrica,122-03
497,Control de centrales termoeléctricas,122-04
498,Montaje eléctrico de centrales eléctricas,122-05
499,Montaje mecánico de centrales eléctricas,122-06
500,Montaje de equipos de instrumentación y control  de central eléctrica,122-07
501,Operaciones de instrumentación y control de centrales eléctricas,122-08
502,Operaciones en líneas eléctricas de alta tensión,122-09
503,Montaje y mantenimiento de subestaciones eléctricas,122-10
504,Operaciones en  subestaciones eléctricas de alta tensión,122-11
505,Operaciones en redes y centros de distribución de energía eléctrica,122-12
506,Montaje y mantenimiento de instalaciones de distribución de energía eléctrica,122-13
507,Operación de centros de maniobra de distribución de energía eléctrica,122-14
508,Instalación de sistemas de energía solar térmica,122-15
509,Instalación de sistemas fotovoltaicos y eólicos,122-16
510,Técnicas de sistemas de energías renovables,122-17
511,Operaciones de Calderas Industriales,122-18
512,Operaciones en gasoductos,122-19
513,Operaciones en sistemas de distribución de gas,122-20
514,Supervisión de sistemas de distribución de gas,122-21
515,Mantenimiento de plantas de captación y tratamiento de agua,122-22
516,Operaciones en plantas de tratamiento de agua,122-23
517,Operaciones en sistemas de distribución de agua,122-24
518,Técnicas de sistemas de distribución de agua,122-25
519,Operativa de seguros en general,123-00
520,Técnicas administrativas de seguros,123-01
521,Comercialización de seguros,123-02
522,Operativa de transportes en general,124-00
523,Operativa de transportes por carretera,124-01
524,Operativa de transporte marítimo,124-02
525,Operativa de transporte por ferrocarril. Control de circulación,124-03
526,Atención a pasajeros en aeronaves,124-04
527,Operación de centros de facilitación aeroportuaria,124-05
528,Organización de centros educativos en general,125-00
529,Legislación y normativa comunitaria,127-01
530,Legislación y normativa internacional no comunitaria,127-02
