numcta,descripcion,nif,numerolargo,domicilio,poblacion,provincia,codpostal,nacionalidad,telefono1,telefono2,telefono3,fax,movil,email,pagweb,cuentabanco,notas,idiva,claseiva,recargo,igic,idirpf,tipoirpf,IBAN,idmotivoexento,idmotivonoexento,EsServicio,EsBC,EsBI,EsExento,EsNoExento,vigente,pais,idmotivonosujeto,EsNoSujeto,cuentaregul,area,IPSI
1100000000,Prima de emisión o asunción,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
111,Otros instrumentos de patrimonio neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1110000000,Patrimonio neto por emisión de instrumentos financieros compuestos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1111000000,Resto de instrumentos de patrimonio neto,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
112,Reserva legal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1120000000,Reserva legal,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
113,Reservas voluntarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1130000000,Reservas voluntarias,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
114,Reservas especiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1140000000,Reservas para acciones o participaciones de la sociedad dominante,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1141000000,Reservas estatutarias,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1142000000,Reserva por capital amortizado,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1143000000,Reserva por fondo de comercio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1144000000,Reservas por acciones propias aceptadas en garantía,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
115,Reservas por pérdidas y ganancias actuariales y otros ajustes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1150000000,Reservas por pérdidas y ganancias actuariales y otros ajustes,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
118,Aportaciones de socios o propietarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1180000000,Aportaciones de socios o propietarios,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
119,Diferencias por ajuste del capital a euros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1190000000,Diferencias por ajuste del capital a euros.,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
120,Remanente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1200000000,Remanente,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
121,Resultados negativos de ejercicios anteriores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1210000000,Resultados negativos de ejercicios anteriores,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
129,Resultado del ejercicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1290000000,Resultado del ejercicio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
130,Subvenciones oficiales de capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1300000000,Subvenciones oficiales de capital,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
131,Donaciones y legados de capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1310000000,Donaciones y legados de capital,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
132,"Otras subvenciones, donaciones y legados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1320000000,"Otras subvenciones, donaciones y legados",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
133,Ajustes por valoración en activos financieros disponibles para la venta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1330000000,Ajustes por valoración en activos financieros disponibles para la venta,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
134,Operaciones de cobertura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1340000000,Cobertura de flujos de efectivo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1341000000,Cobertura de una inversión neta en un negocio en el extranjero,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
135,Diferencias de conversión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1350000000,Diferencias de conversión,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
136,Ajustes por valoración en activos no corrientes y grupos enajenables de elementos mantenidos para la venta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1360000000,Ajustes por valoración en activos no corrientes y grupos enajenables de elementos mantenidos para la venta,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
137,Ingresos fiscales a distribuir en varios ejercicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1370000000,Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1371000000,Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
140,Provisión por retribuciones a largo plazo al personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1400000000,Provisión por retribuciones a largo plazo al personal,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
141,Provisión para impuestos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1410000000,Provisión para impuestos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
142,Provisión para otras responsabilidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1420000000,Provisión para otras responsabilidades,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1430000000,"Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
145,Provisión para actuaciones medioambientales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1450000000,Provisión para actuaciones medioambientales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
146,Provisión para reestructuraciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1460000000,Provisión para reestructuraciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
147,Provisión por transacciones con pagos basados en instrumentos de patrimonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1470000000,Provisión por transacciones con pagos basados en instrumentos de patrimonio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
150,Acciones o participaciones a largo plazo consideradas como pasivos financieros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1500000000,Acciones o participaciones a largo plazo consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1530000000,Desembolsos no exigidos por acciones o participaciones consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1533000000,"Desembolsos no exigidos, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1534000000,"Desembolsos no exigidos, empresas asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1535000000,"Desembolsos no exigidos, otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1536000000,Otros desembolsos no exigidos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
154,Aportaciones no dinerarias pendientes por acciones o participaciones consideradas como pasivos financieros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1540000000,Aportaciones no dinerarias pendientes por acciones o participaciones consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1543000000,"Aportaciones no dinerarias pendientes, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1544000000,"Aportaciones no dinerarias pendientes, empresas asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1545000000,"Aportaciones no dinerarias pendientes ,otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1546000000,Otras aportaciones no dinerarias pendientes,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
160,Deudas a largo plazo con entidades de crédito vinculadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1600000000,Deudas a largo plazo con entidades de crédito vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1603000000,"Deudas a largo plazo con entidades de crédito, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1604000000,"Deudas a largo plazo con entidades de crédito, empresas asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1605000000,Deudas a largo plazo con otras entidades de crédito vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
161,"Proveedores de inmovilizado a largo plazo, partes vinculadas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1610000000,"Proveedores de inmovilizado a largo plazo, partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1613000000,"Proveedores de inmovilizado a largo plazo, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1614000000,"Proveedores de inmovilizado a largo plazo, empresas  asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1615000000,"Proveedores de inmovilizado a largo plazo,  otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
162,"Acreedores por arrendamiento financiero a largo plazo, partes vinculadas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1620000000,"Acreedores por arrendamiento financiero a largo plazo, partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1623000000,"Acreedores por arrendamiento financiero a largo plazo, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1624000000,"Acreedores por arrendamiento financiero a largo plazo, empresas asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1625000000,"Acreedores por arrendamiento financiero a largo plazo, otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
163,Otras deudas a largo plazo con partes vinculadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1630000000,Otras deudas a largo plazo con partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1633000000,"Otras deudas a largo plazo, empresas del grupo",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1634000000,"Otras deudas a largo plazo, empresas  asociadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1635000000,"Otras deudas a largo plazo, con otras partes vinculadas",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
170,Deudas a largo plazo con entidades de crédito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1700000000,Deudas a largo plazo con entidades de crédito,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
171,Deudas a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1710000000,Deudas a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
172,"Deudas a largo plazo transformables en subvenciones, donaciones  y legados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1720000000,"Deudas a largo plazo transformables en subvenciones, donaciones  y legados",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
173,Proveedores de inmovilizado a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1730000000,Proveedores de inmovilizado a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
174,Acreedores por arrendamiento financiero a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1740000000,Acreedores por arrendamiento financiero a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
175,Efectos a pagar a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1750000000,Efectos a pagar a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
176,Pasivos por derivados financieros a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1760000000,Pasivos por derivados financieros a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1765000000,"Pasivos por derivados financieros a largo plazo, cartera de negociación",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1768000000,"Pasivos por derivados financieros a largo plazo, instrumentos de cobertura.",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
177,Obligaciones y bonos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1770000000,Obligaciones y bonos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
178,Obligaciones y bonos convertibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1780000000,Obligaciones y bonos convertibles,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
179,Deudas representadas en otros valores negociables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1790000000,Deudas representadas en otros valores negociables,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
180,Fianzas recibidas a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1800000000,Fianzas recibidas a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
181,Anticipos recibidos por ventas o prestaciones de servicios a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1810000000,Anticipos recibidos por ventas o prestaciones de servicios a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
185,Depósitos recibidos a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1850000000,Depósitos recibidos a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
189,Garantías financieras a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1890000000,Garantías financieras a largo plazo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
190,Acciones o participaciones emitidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1900000000,Acciones o participaciones emitidas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
192,Suscriptores de acciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1920000000,Suscriptores de acciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
194,Capital emitido pendiente de inscripción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1940000000,Capital emitido pendiente de inscripción,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
195,Acciones o participaciones emitidas consideradas como pasivos financieros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1950000000,Acciones o participaciones emitidas consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
197,Suscriptores de acciones consideradas como pasivos financieros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1970000000,Suscriptores de acciones consideradas como pasivos financieros,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
199,Acciones o participaciones emitidas consideradas como pasivos financieros pendientes de inscripción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1990000000,Acciones o participaciones emitidas consideradas como pasivos financieros pendientes de inscripción,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
200,Investigación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2000000000,Investigación,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201,Desarrollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2010000000,Desarrollo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
202,Concesiones administrativas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2020000000,Concesiones administrativas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
203,Propiedad industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2030000000,Propiedad industrial,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
204,Fondo de comercio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2040000000,Fondo de comercio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
205,Derechos de traspaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2050000000,Derechos de traspaso,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
206,Aplicaciones informáticas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2060000000,Aplicaciones informáticas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
209,Anticipos para inmovilizaciones intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2090000000,Anticipos para inmovilizaciones intangibles,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
210,Terrenos y bienes naturales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2100000000,Terrenos y bienes naturales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
211,Construcciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2110000000,Construcciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
212,Instalaciones técnicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2120000000,Instalaciones técnicas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
213,Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2130000000,Maquinaria,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
214,Utillaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2140000000,Utillaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
215,Otras instalaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2150000000,Otras instalaciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
216,Mobiliario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2160000000,Mobiliario,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
217,Equipos para proceso de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2170000000,Equipos para proceso de información,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
218,Elementos de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2180000000,Elementos de transporte,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
219,Otro inmovilizado material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2190000000,Otro inmovilizado material,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
220,Inversiones en terrenos y bienes naturales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2200000000,Inversiones en terrenos y bienes naturales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
221,Inversiones en construcciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2210000000,Inversiones en construcciones,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
230,Adaptación de terrenos y bienes naturales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2300000000,Adaptación de terrenos y bienes naturales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
231,Construcciones en curso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2310000000,Construcciones en curso,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
232,Instalaciones técnicas en montaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2320000000,Instalaciones técnicas en montaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
233,Maquinaria en montaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2330000000,Maquinaria en montaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
237,Equipos para procesos de información en montaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2370000000,Equipos para procesos de información en montaje,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
239,Anticipos para  inmovilizaciones materiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2390000000,Anticipos para  inmovilizaciones materiales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
240,Participaciones a largo plazo en partes vinculadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2400000000,Participaciones a largo plazo en partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2403000000,Participaciones a largo plazo en empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2404000000,Participaciones a largo plazo en empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2405000000,Participaciones a largo plazo en otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
241,Valores representativos de deuda a largo plazo de partes vinculadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2410000000,Valores representativos de deuda a largo plazo de partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2413000000,Valores representativos de deuda a largo plazo de empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2414000000,Valores representativos de deuda a largo plazo de empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2415000000,Valores representativos de deuda a largo plazo de otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
242,Créditos a largo plazo a partes vinculadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2420000000,Créditos a largo plazo a partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2423000000,Créditos a largo plazo a  empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2424000000,Créditos a largo plazo a  empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2425000000,Créditos a largo plazo a  otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
249,Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2490000000,Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2493000000,Desembolsos pendientes sobre participaciones a largo plazo en empresas del grupo,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2494000000,Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2495000000,Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
250,Inversiones financieras a largo plazo en instrumentos de patrimonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2500000000,Inversiones financieras a largo plazo en instrumentos de patrimonio,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
251,Valores representativos de deuda a largo plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
