id,id_grupoconsulta,control,valor
664,2,CheckLOGIC1,0
665,2,CheckPERSO1,0
666,2,EditPERSO1,
667,2,EditPERSO2,
668,2,CheckPERSO2,0
669,2,EditPERSO3,
670,2,CheckPERSO3,0
671,2,EditPERSO4,
672,2,CheckPERSO4,0
673,2,CheckLOGIC2,0
674,2,CheckACTU,0
675,2,EditACTU,
676,2,CheckSUBACTU,0
677,2,spinsubusuactu,0
678,2,EditDescripcion2,
679,2,chkDescripcion2,0
680,2,ChkSinActu,0
681,2,ChkConActu,1
682,2,CheckFECHAACTU,0
683,2,CboFECHA,Todas las Fechas
684,2,DateDESDEACT,01/01/1900
685,2,DateHASTAACT,07/09/2009
686,2,chkActVenci,0
687,2,chkActPend,0
688,2,ChkTipoActu,0
689,2,EditTipoActu,
690,2,ChkFacturarSi,0
691,2,ChkFacturarNo,0
692,2,ChkFacturadoSi,0
693,2,ChkFacturadoNo,0
694,2,ChkTipoHistorial,0
695,2,CboTipoHisto,
696,2,ChkFecha1Seg,0
697,2,DateEditFecha1IniSeg,01/01/1900
698,2,DateEditFecha1FinSeg,07/09/2009
699,2,ChkFecha2Seg,0
700,2,DateEditFecha2IniSeg,01/01/1900
701,2,DateEditFecha2FinSeg,07/09/2009
702,2,ChkFecha3Seg,0
703,2,DateEditFecha3IniSeg,01/01/1900
704,2,DateEditFecha3FinSeg,07/09/2009
705,2,ChkCampo1Seg,0
706,2,cbocampo1Seg,
707,2,ChkCampo2Seg,0
708,2,cbocampo2Seg,
709,2,ChkCampo3Seg,0
710,2,cbocampo3Seg,
711,2,ChkCampo4Seg,0
712,2,campo6Seg,
713,2,ChkCampo5Seg,0
714,2,campo7Seg,
715,2,ChkFecha4Seg,0
716,2,DateEditFecha4IniSeg,01/01/1900
717,2,DateEditFecha4FinSeg,07/09/2009
718,2,ChkFecha5Seg,0
719,2,DateEditFecha5IniSeg,01/01/1900
720,2,DateEditFecha5FinSeg,07/09/2009
721,2,cbocampo4Seg,
722,2,cbocampo5Seg,
723,2,ChkCampo6Seg,0
724,2,ChkCampo7Seg,0
725,2,CboSALDOS,Cuentas Cliente
726,2,ChkCONCEPTO,0
727,2,EditCONCEPTO,
728,2,ChkTIPO,0
729,2,CboTIPO,PROVISION
730,2,ChkFECHACUE,0
731,2,DateDESDECUE,01/01/1900
732,2,DateHASTACUE,07/09/2009
733,2,ChkSALDO,0
734,2,EdtSALINI,-99999999
735,2,EdtSALFIN,99999999
736,2,ChkCUEREALI,0
737,2,ChkCUENOREALI,0
738,2,CBNoCobrada,0
739,2,CBCobrada,0
740,2,ChkCUEFACTU,0
741,2,ChkCUENOFACTU,0
742,2,CheckSUBCUEN,0
743,2,spinsubusucue,0
744,2,ChkCobros,0
745,2,CboCobros,Cobros Periódicos Facturados
746,2,DateCobrosDesde,01/01/1900
747,2,DateCobrosHasta,07/09/2009
748,2,ChkRecibos,0
749,2,CboRecibos,Recibos Remesados
750,2,DateRecibosDesde,01/01/1900
751,2,DateRecibosHasta,07/09/2009
752,2,Cbofecharecibos,Fecha Remesa
753,2,Chkimpagados,0
754,2,DateImpagadosIni,01/01/1900
755,2,DateImpagadosFin,07/09/2009
756,2,ChkImpagadosCob,0
757,2,DateImpagadosCobIni,01/01/1900
758,2,DateImpagadosCobFin,07/09/2009
759,2,chkImpagadosDef,0
760,2,DateImpagadosDefIni,01/01/1900
761,2,DateImpagadosDefFin,07/09/2009
762,2,chkFecha1,0
763,2,deFecha1Desde,01/01/1900
764,2,deFecha1Hasta,30/12/1899
765,2,chkFecha2,0
766,2,deFecha2Desde,01/01/1900
767,2,deFecha2Hasta,30/12/1899
768,2,chkFecha3,0
769,2,deFecha3Desde,01/01/1900
770,2,deFecha3Hasta,30/12/1899
771,2,chkPerso1,0
772,2,cbPerso1,
773,2,chkPerso2,0
774,2,cbPerso2,
775,2,chkPerso3,0
776,2,cbPerso3,
777,2,chkPerso4,0
778,2,editCampo4,
779,2,chkPerso5,0
780,2,editcampo5,
781,2,CheckSUBEXPED,0
782,2,spinsubusuexped,0
783,2,chkTipExp,0
784,2,editTipExp,
785,2,CheckTIPOASU,0
786,2,ComboTIPOASU,
787,2,CheckPROC,0
788,2,EditPROC,
789,2,CheckJUZ,0
790,2,EditJUZ,
791,2,ChkFECHAEXP,0
792,2,DateDESDEFECHAEXP,01/01/1900
793,2,DateHASTAFECHAEXP,07/09/2009
794,2,ChkEXPE,0
795,2,SpnEXPEINI,0
796,2,SpnEXPEFIN,0
797,2,ChkREF,0
798,2,EdtREFINI,
799,2,EdtREFFIN,
800,2,CheckSALDO,0
801,2,EditSALINI,
802,2,EditSALFIN,
803,2,CheckDESCRIPCIONACTUEXPED,0
804,2,EditDESCRIPCIONACTUEXPED,
805,2,ChkTIPOACTUEXPED,0
806,2,CboTIPOACTUEXPED,
807,2,CheckFECHAACTUEXPED,0
808,2,DateDESDEACTUEXPED,01/01/1900
809,2,DateHASTAACTUEXPED,07/09/2009
810,2,ChkDenoSocial,0
811,2,EdtDenoSocial,
812,2,ChkObjSocial,0
813,2,EdtObjSocial,
814,2,ChkForOrg,0
815,2,EdtForOrg,
816,2,ChkFConstitucion,0
817,2,DateFConstitucionDesde,01/01/1900
818,2,DateFConstitucionHasta,07/09/2009
819,2,ChkFOrg,0
820,2,DateFOrgDesde,01/01/1900
821,2,DateFOrgHasta,07/09/2009
822,2,ChkFCaducidad,0
823,2,EdtFCaducidad,
824,2,ChkCapital,0
825,2,EditCapitalINI,
826,2,EditCapitalFIN,
827,2,ChkAcciones,0
828,2,EditAccionesINI,
829,2,EditAccionesFIN,
830,2,ChkValorAcciones,0
831,2,EditValorAccionesINI,
832,2,EditValorAccionesFIN,
833,2,ChkInscripcion,0
834,2,EdtInscripcion,
835,2,ChkHoja,0
836,2,EdtHoja,
837,2,ChkFolio,0
838,2,EdtFolio,
839,2,ChkTomo,0
840,2,EdtTomo,
841,2,ChkArchivo,0
842,2,EdtArchivo,
843,2,ChkRegistro,0
844,2,EdtRegistro,
845,2,ChkEscrituras,0
846,2,EdtEscrituras,
847,2,ChkLibros,0
848,2,EdtLibros,
849,2,ChkFLibrosConta,0
850,2,DateFLibrosContaINI,01/01/1900
851,2,DateFLibrosContaFIN,07/09/2009
852,2,ChkLibro,0
853,2,EdtLibro,
854,2,ChkFCuentas,0
855,2,DateFcuentasINI,01/01/1900
856,2,DateFCuentasFIN,07/09/2009
857,2,ChkCuentas,0
858,2,EdtCuentas,
859,2,ChkSocio,0
860,2,EdtSocio,
861,2,ChkNumAcciones,0
862,2,SpinNumAccionesDESDE,0
863,2,SpinNumAccionesHASTA,0
864,2,ChkPorcapital,0
865,2,EditPorCapitalINI,
866,2,EditPorCapitalFIN,
867,2,ChkAdmin,0
868,2,EdtAdmin,
869,2,ChkMiembro,0
870,2,EdtMiembro,
871,2,EdtCargo,
872,2,ChkCargo,0
873,2,ChkConsejero,0
874,2,EdtConsejero,
875,2,ChkApoderado,0
876,2,EdtApoderado,
877,2,ChkRetenciones,0
878,2,EdtRetenciones,
879,2,ChkFReten,0
880,2,DateRetenINI,01/01/1900
881,2,DateRetenFIN,07/09/2009
882,2,ChkRegimen,0
883,2,EdtRegimen,
884,2,EdtContingencia,
885,2,ChkContingencia,0
886,2,ChkRiesgo,0
887,2,EdtRiesgo,
888,2,EdtQuiebra,
889,2,ChkQuiebra,0
890,2,ChkFIAE,0
891,2,DateFIAEINI,01/01/1900
892,2,DateFIAEFIN,07/09/2009
893,2,EdtIAE,
894,2,ChkIAE,0
895,2,ChkFResultado,0
896,2,DateFResultadoINI,01/01/1900
897,2,DateFResultadoFIN,07/09/2009
898,2,ChkResultado,0
899,2,EditResultadoINI,
900,2,EditResultadoFIN,
901,2,ChkImpSocie,0
902,2,DateImpINI,01/01/1900
903,2,DateImpFIN,07/09/2009
904,2,EditCuotaFIN,
905,2,EditCuotaINI,
906,2,ChkCuota,0
907,2,ChkFIRPF,0
908,2,DateFIRPFINI,01/01/1900
909,2,DateFIRPFFIN,07/09/2009
910,2,EditCuotaIRPFFIN,
911,2,EditCuotaIRPFINI,
912,2,ChkCuotaIRPF,0
913,2,ChkFBase,0
914,2,DateFBaseINI,01/01/1900
915,2,DateFBaseFIN,07/09/2009
916,2,EditBaseFIN,
917,2,EditBaseINI,
918,2,ChkBase,0
919,2,ChkFIva,0
920,2,DateFIvaINI,01/01/1900
921,2,DateFIvaFIN,07/09/2009
922,2,ChkIva,0
923,2,EditIvaINI,
924,2,EditIvaFIN,
925,2,ChkFIvaComp,0
926,2,DateFIvaCompINI,01/01/1900
927,2,DateFIvaCompFIN,07/09/2009
928,2,ChkIvaComp,0
929,2,EditIvaCompINI,
930,2,EditIvaCompFin,
931,2,DateOporCierreHasta,30/12/1899
932,2,ChkOporRef,0
933,2,EdtOporRef,
934,2,EditImporteCierreHasta,
935,2,EditImporteCierreDesde,
936,2,ChkOporImporteCerrado,0
937,2,DateOporCierreDesde,01/01/1900
938,2,ChkOporFechaCierre,0
939,2,EditPrevisionHasta,
940,2,EditPrevisionDesde,
941,2,ChkOporPrevision,0
942,2,EditProbabilidadHasta,
943,2,EditProbabilidadDesde,
944,2,ChkOporProbabilidad,0
945,2,EditPrecioHasta,
946,2,EditPrecioDesde,
947,2,ChkOporPrecio,0
948,2,EditUnidadesHasta,
949,2,EditUnidadesDesde,
950,2,ChkOporUnidades,0
951,2,CboOporEtapa,
952,2,ChkOporEtapa,0
953,2,CboOporEstado,
954,2,ChkOporEstado,0
955,2,CboOporFuente,
956,2,ChkOporFuente,0
957,2,CboOporCodigo,
958,2,ChkOporCodigo,0
959,2,CboOporTipo,
960,2,ChkOporTipo,0
961,2,EditOporProducto,
962,2,ChkOporProducto,0
963,2,DateOporHasta,07/09/2009
964,2,DateOporDesde,07/09/2009
965,2,ChkOporFecha,0
966,2,chkoporCampoNum1,0
967,2,chkoporCampoNum2,0
968,2,chkoporCampoNum3,0
969,2,chkoporCampoNum4,0
970,2,chkoporCampoNum5,0
971,2,ChkoporCampo1,0
972,2,EdtOporCampo1,
973,2,chkoporCampo2,0
974,2,EdtOporCampo2,
975,2,chkoporCampo3,0
976,2,EdtOporCampo3,
977,2,chkoporCampo4,0
978,2,EdtOporCampo4,
979,2,chkoporCampo5,0
980,2,EdtOporCampo5,
981,2,chkoporCampo6,0
982,2,EdtOporCampo6,
983,2,chkoporCampoFecha1,0
984,2,chkoporCampoFecha2,0
985,2,chkoporCampoFecha3,0
986,2,chkoporCampoFecha4,0
987,2,chkoporCampoFecha5,0
988,2,chkoporCampoFecha6,0
989,2,chkoporCampoFecha7,0
990,2,chkoporCampoFecha8,0
991,2,ChkoporCampo7,0
992,2,cboOporCampo7,
993,2,ChkoporCampo8,0
994,2,cboOporCampo8,
995,2,chkoporCampo9,0
996,2,cboOporCampo9,
997,2,ChkoporCampo10,0
998,2,cboOporCampo10,
999,2,chkoporCampo11,0
1000,2,cboOporCampo11,
1001,2,chkoporCampo12,0
1002,2,cboOporCampo12,
1003,2,chkoporCampo13,0
1004,2,cboOporCampo13,
1005,2,chkoporCampo14,0
1006,2,cboOporCampo14,
1007,2,chkoporCampo15,0
1008,2,cboOporCampo15,
1009,2,chkoporCampo16,0
1010,2,cboOporCampo16,
1011,2,chkoporCampo17,0
1012,2,EdtOporCampo17,
1013,2,chkoporCampo18,0
1014,2,EdtOporCampo18,
1015,2,chkoporCampo19,0
1016,2,EdtoporCampo19,
1017,2,chkoporCampo20,0
1018,2,EdtoporCampo20,
1019,2,chkoporCampo21,0
1020,2,EdtoporCampo21,
1021,2,EdtOporCampoNum1Desde,
1022,2,EdtOporCampoNum1Hasta,
1023,2,EdtOporCampoNum2Desde,
1024,2,EdtOporCampoNum2Hasta,
1025,2,EdtOporCampoNum3Desde,
1026,2,EdtOporCampoNum3Hasta,
1027,2,EdtOporCampoNum4Desde,
1028,2,EdtOporCampoNum4Hasta,
1029,2,EdtOporCampoNum5Desde,
1030,2,EdtOporCampoNum5Hasta,
1031,2,EdtoporCampoFecha1Desde,01/01/1900
1032,2,EdtOporCampoFecha1Hasta,30/12/1899
1033,2,EdtOporCampoFecha2Desde,01/01/1900
1034,2,EdtOporCampoFecha2Hasta,30/12/1899
1035,2,EdtOporCampoFecha3Desde,01/01/1900
1036,2,EdtOporCampoFecha3Hasta,30/12/1899
1037,2,EdtOporCampoFecha4Desde,01/01/1900
1038,2,EdtOporCampoFecha4Hasta,30/12/1899
1039,2,EdtOporCampoFecha5Desde,01/01/1900
1040,2,EdtOporCampoFecha5Hasta,30/12/1899
1041,2,EdtOporCampoFecha6Desde,01/01/1900
1042,2,EdtOporCampoFecha6Hasta,30/12/1899
1043,2,EdtOporCampoFecha7Desde,01/01/1900
1044,2,EdtOporCampoFecha7Hasta,30/12/1899
1045,2,EdtOporCampoFecha8Desde,01/01/1900
1046,2,EdtOporCampoFecha8Hasta,30/12/1899
1047,2,ChkFechaEjer,0
1048,2,DateIniEjer,01/01/1900
1049,2,DateFinEjer,07/09/2009
1050,2,EdtDescripEjer,
1051,2,ChkDescripEjer,0
1052,2,ChkCliOrigen,0
1053,2,CboOrigen,
1054,2,ChkCliZona,0
1055,2,CboZona,
1056,2,ChkCliCargo,0
1057,2,CboCargo,
1058,2,ChkCliDepartamento,0
1059,2,CboDepartamento,
1060,2,ChkCliCampo21,0
1061,2,CboCampo21,
1062,2,ChkCliCampo22,0
1063,2,CboCampo22,
1064,2,ChkCliCampo23,0
1065,2,CboCampo23,
1066,2,ChkCliCampo24,0
1067,2,CboCampo24,
1068,2,ChkCliCampoFecha9,0
1069,2,DateFecha9Desde,30/12/1899
1070,2,DateFecha9Hasta,30/12/1899
1071,2,ChkCliCampoFecha10,0
1072,2,DateFecha10Desde,30/12/1899
1073,2,DateFecha10Hasta,30/12/1899
1074,2,ChkCliCampoFecha11,0
1075,2,DateFecha11Desde,30/12/1899
1076,2,DateFecha11Hasta,30/12/1899
1077,2,ChkCliCampoFecha12,0
1078,2,DateFecha12Desde,30/12/1899
1079,2,DateFecha12Hasta,30/12/1899
1080,2,SpinEmpleadosHasta,0
1081,2,SpinEmpleadosDesde,0
1082,2,EdtEmpresa,
1083,2,EdtSector,
1084,2,ChkClinumempleados,0
1085,2,ChkCliSector,0
1086,2,ChkCliEmpresa,0
1087,2,ChkNOTAS,0
1088,2,EdtNOTAS,
1089,2,ChkCONTACTO,0
1090,2,EdtCONTACTO,
1091,2,CheckCOL,0
1092,2,EditCOL,
1093,2,ChkTRAMITADOR,0
1094,2,EdtTRAMITADOR,
1095,2,DateDESDEFECHANAC,01/01/1900
1096,2,DateHASTAFECHANAC,07/09/2009
1097,2,ChkFECHANAC,0
1098,2,ChkFECHAPERMISO,0
1099,2,DateDESDEFECHAPERMISO,01/01/1900
1100,2,DateHASTAFECHAPERMISO,07/09/2009
1101,2,ChkNIE,0
1102,2,EdtNIE,
1103,2,ChkPASAPORTE,0
1104,2,EdtPASAPORTE,
1105,2,ChkTARJETA,0
1106,2,EdtTARJETA,
1107,2,ChkCampo1,0
1108,2,EditCampo1Exp,
1109,2,ChkCampo2,0
1110,2,EditCampo2Exp,
1111,2,ChkCampo3,0
1112,2,EditCampo3Exp,
1113,2,ChkCampo4,0
1114,2,EditCampo4Exp,
1115,2,ChkCampo5,0
1116,2,EditCampo5Exp,
1117,2,ChkCampo6,0
1118,2,EditCampo6Exp,
1119,2,ChkCampo7,0
1120,2,EditCampo7Exp,
1121,2,ChkCampo8,0
1122,2,EditCampo8Exp,
1123,2,ChkCampo9,0
1124,2,EditCampo9Exp,
1125,2,ChkCampo10,0
1126,2,EditCampo10Exp,
1127,2,ChkFecha1Exp,0
1128,2,DateEditFecha1IniExp,30/12/1899
1129,2,DateEditFecha1FinExp,30/12/1899
1130,2,ChkFecha2Exp,0
1131,2,DateEditFecha2IniExp,30/12/1899
1132,2,DateEditFecha2FinExp,30/12/1899
1133,2,ChkFecha3Exp,0
1134,2,DateEditFecha3IniExp,30/12/1899
1135,2,DateEditFecha3FinExp,30/12/1899
1136,2,ChkFecha4Exp,0
1137,2,DateEditFecha4IniExp,30/12/1899
1138,2,DateEditFecha4FinExp,30/12/1899
1139,2,ChkCampo11,0
1140,2,EditCampo11Exp,
1141,2,ChkCampo12,0
1142,2,EditCampo12Exp,
1143,2,ChkCampo13,0
1144,2,EditCampo13Exp,
1145,2,ChkCampo14,0
1146,2,EditCampo14Exp,
1147,2,ChkCampo15,0
1148,2,EditCampo15Exp,
1149,2,ChkCampo16,0
1150,2,EditCampo16Exp,
1151,2,ChkCampo17,0
1152,2,EditCampo17Exp,
1153,2,ChkCampo18,0
1154,2,EditCampo18Exp,
1155,2,ChkCampo19,0
1156,2,EditCampo19Exp,
1157,2,ChkCampo20,0
1158,2,EditCampo20Exp,
1159,2,ChkFecha5Exp,0
1160,2,DateEditFecha5IniExp,30/12/1899
1161,2,DateEditFecha5FinExp,30/12/1899
1162,2,ChkFecha6Exp,0
1163,2,DateEditFecha6IniExp,30/12/1899
1164,2,DateEditFecha6FinExp,30/12/1899
1165,2,ChkFecha7Exp,0
1166,2,DateEditFecha7IniExp,30/12/1899
1167,2,DateEditFecha7FinExp,30/12/1899
1168,2,ChkFecha8Exp,0
1169,2,DateEditFecha8IniExp,30/12/1899
1170,2,DateEditFecha8FinExp,30/12/1899
1171,2,EditNIF,
1172,2,CheckSubusu,0
1173,2,spinsubusu,0
1174,2,EditCodCliDESDE,
1175,2,ChkCodcli,0
1176,2,EditCodCLIHASTA,
1177,2,chkDir,0
1178,2,editDir,
1179,2,chkPob,0
1180,2,editPob,
1181,2,chkCP,0
1182,2,edtCPDESDE,
1183,2,chkProv,1
1184,2,editProv,ponteve
1185,2,chkNac,0
1186,2,editNac,
1187,2,chkemail,0
1188,2,editemail,
1189,2,editweb,
1190,2,chkweb,0
1191,2,chkTel2,0
1192,2,editTel2,
1193,2,chkTel3,0
1194,2,editTel3,
1195,2,editmovil,
1196,2,chkMovil,0
1197,2,chkFax,0
1198,2,editfax,
1199,2,CheckFECHAALTA,0
1200,2,DateDESDEFECHAALTA,01/01/1900
1201,2,DateHASTAFECHAALTA,07/09/2009
1202,2,EdtCPHASTA,
1203,2,EdtCLIDESDE,
1204,2,EdtCLIHASTA,
1205,2,chkTipoFichero,0
1206,2,EditTipoFichero,
1207,3,CheckCLI,0
1208,3,EdtCLI,
1209,3,CheckTEL,0
1210,3,EditTEL,
1211,3,CheckNIF,0
1212,3,CheckCLI1PERSO3,0
1213,3,EditCLI1PERSO3,
1214,3,EditCLI1PERSO2,
1215,3,CheckCLI1PERSO2,0
1216,3,CheckCLI1PERSO1,0
1217,3,EditCLI1PERSO1,
1218,3,CheckCLI1PERSO4,0
1219,3,EditCLI1PERSO4,
1220,3,CheckCLI1PERSO5,0
1221,3,DatePERSO1,30/12/1899
1222,3,DatePERSO1hasta,30/12/1899
1223,3,CheckCLI2PERSO3,0
1224,3,EditCLI2PERSO3,
1225,3,EditCLI2PERSO2,
1226,3,CheckCLI2PERSO2,0
1227,3,CheckCLI2PERSO1,0
1228,3,EditCLI2PERSO1,
1229,3,CheckCLI2PERSO4,0
1230,3,EditCLI2PERSO4,
1231,3,CheckCLI2PERSO5,0
1232,3,DatePERSO2,30/12/1899
1233,3,DatePERSO2HASTA,30/12/1899
1234,3,CheckCLI3PERSO3,0
1235,3,EditCLI3PERSO3,
1236,3,EditCLI3PERSO2,
1237,3,CheckCLI3PERSO2,0
1238,3,CheckCLI3PERSO1,0
1239,3,EditCLI3PERSO1,
1240,3,CheckCLI3PERSO4,0
1241,3,EditCLI3PERSO4,
1242,3,CheckCLI3PERSO5,0
1243,3,DatePERSO3,30/12/1899
1244,3,DatePERSO3HASTA,30/12/1899
1245,3,CheckCLI4PERSO3,0
1246,3,EditCLI4PERSO3,
1247,3,EditCLI4PERSO2,
1248,3,CheckCLI4PERSO2,0
1249,3,CheckCLI4PERSO1,0
1250,3,EditCLI4PERSO1,
1251,3,CheckCLI4PERSO4,0
1252,3,EditCLI4PERSO4,
1253,3,CheckCLI4PERSO5,0
1254,3,DatePERSO4,30/12/1899
1255,3,DatePERSO4HASTA,30/12/1899
1256,3,CheckCLI5PERSO1,0
1257,3,EditCLI5PERSO1,
1258,3,CheckCLI5PERSO2,0
1259,3,EditCLI5PERSO2,
1260,3,CheckCLI5PERSO3,0
1261,3,EditCLI5PERSO3,
1262,3,CheckCLI5PERSO4,0
1263,3,EditCLI5PERSO4,
1264,3,CheckCLI5PERSO5,0
1265,3,DatePERSO5,30/12/1899
1266,3,DatePERSO5HASTA,30/12/1899
1267,3,CheckLOGIC1,0
1268,3,CheckPERSO1,0
1269,3,EditPERSO1,
1270,3,EditPERSO2,
1271,3,CheckPERSO2,0
1272,3,EditPERSO3,
1273,3,CheckPERSO3,0
1274,3,EditPERSO4,
1275,3,CheckPERSO4,0
1276,3,CheckLOGIC2,0
1277,3,CheckACTU,0
1278,3,EditACTU,
1279,3,CheckSUBACTU,0
1280,3,spinsubusuactu,0
1281,3,EditDescripcion2,
1282,3,chkDescripcion2,0
1283,3,ChkSinActu,0
1284,3,ChkConActu,1
1285,3,CheckFECHAACTU,0
1286,3,CboFECHA,Todas las Fechas
1287,3,DateDESDEACT,01/01/1900
1288,3,DateHASTAACT,07/09/2009
1289,3,chkActVenci,0
1290,3,chkActPend,0
1291,3,ChkTipoActu,0
1292,3,EditTipoActu,
1293,3,ChkFacturarSi,0
1294,3,ChkFacturarNo,0
1295,3,ChkFacturadoSi,0
1296,3,ChkFacturadoNo,0
1297,3,ChkTipoHistorial,0
1298,3,CboTipoHisto,
1299,3,ChkFecha1Seg,0
1300,3,DateEditFecha1IniSeg,01/01/1900
1301,3,DateEditFecha1FinSeg,07/09/2009
1302,3,ChkFecha2Seg,0
1303,3,DateEditFecha2IniSeg,01/01/1900
1304,3,DateEditFecha2FinSeg,07/09/2009
1305,3,ChkFecha3Seg,0
1306,3,DateEditFecha3IniSeg,01/01/1900
1307,3,DateEditFecha3FinSeg,07/09/2009
1308,3,ChkCampo1Seg,0
1309,3,cbocampo1Seg,
1310,3,ChkCampo2Seg,0
1311,3,cbocampo2Seg,
1312,3,ChkCampo3Seg,0
1313,3,cbocampo3Seg,
1314,3,ChkCampo4Seg,0
1315,3,campo6Seg,
1316,3,ChkCampo5Seg,0
1317,3,campo7Seg,
1318,3,ChkFecha4Seg,0
1319,3,DateEditFecha4IniSeg,01/01/1900
1320,3,DateEditFecha4FinSeg,07/09/2009
1321,3,ChkFecha5Seg,0
1322,3,DateEditFecha5IniSeg,01/01/1900
1323,3,DateEditFecha5FinSeg,07/09/2009
1324,3,cbocampo4Seg,
1325,3,cbocampo5Seg,
1326,3,ChkCampo6Seg,0
1327,3,ChkCampo7Seg,0
1328,3,CboSALDOS,Cuentas Cliente
1329,3,ChkCONCEPTO,0
1330,3,EditCONCEPTO,
1331,3,ChkTIPO,0
1332,3,CboTIPO,PROVISION
1333,3,ChkFECHACUE,0
1334,3,DateDESDECUE,01/01/1900
1335,3,DateHASTACUE,07/09/2009
1336,3,ChkSALDO,0
1337,3,EdtSALINI,-99999999
1338,3,EdtSALFIN,99999999
1339,3,ChkCUEREALI,0
1340,3,ChkCUENOREALI,0
1341,3,CBNoCobrada,0
1342,3,CBCobrada,0
1343,3,ChkCUEFACTU,0
1344,3,ChkCUENOFACTU,0
1345,3,CheckSUBCUEN,0
1346,3,spinsubusucue,0
1347,3,ChkCobros,0
1348,3,CboCobros,Cobros Periódicos Facturados
1349,3,DateCobrosDesde,01/01/1900
1350,3,DateCobrosHasta,07/09/2009
1351,3,ChkRecibos,0
1352,3,CboRecibos,Recibos Remesados
1353,3,DateRecibosDesde,01/01/1900
1354,3,DateRecibosHasta,07/09/2009
1355,3,Cbofecharecibos,Fecha Remesa
1356,3,Chkimpagados,0
1357,3,DateImpagadosIni,01/01/1900
1358,3,DateImpagadosFin,07/09/2009
1359,3,ChkImpagadosCob,0
1360,3,DateImpagadosCobIni,01/01/1900
1361,3,DateImpagadosCobFin,07/09/2009
1362,3,chkImpagadosDef,0
1363,3,DateImpagadosDefIni,01/01/1900
1364,3,DateImpagadosDefFin,07/09/2009
1365,3,chkFecha1,0
1366,3,deFecha1Desde,01/01/1900
1367,3,deFecha1Hasta,30/12/1899
1368,3,chkFecha2,0
1369,3,deFecha2Desde,01/01/1900
1370,3,deFecha2Hasta,30/12/1899
1371,3,chkFecha3,0
1372,3,deFecha3Desde,01/01/1900
1373,3,deFecha3Hasta,30/12/1899
1374,3,chkPerso1,0
1375,3,cbPerso1,
1376,3,chkPerso2,0
1377,3,cbPerso2,
1378,3,chkPerso3,0
1379,3,cbPerso3,
1380,3,chkPerso4,0
1381,3,editCampo4,
1382,3,chkPerso5,0
1383,3,editcampo5,
1384,3,CheckSUBEXPED,0
1385,3,spinsubusuexped,0
1386,3,chkTipExp,0
1387,3,editTipExp,
1388,3,CheckTIPOASU,0
1389,3,ComboTIPOASU,
1390,3,CheckPROC,0
1391,3,EditPROC,
1392,3,CheckJUZ,0
1393,3,EditJUZ,
1394,3,ChkFECHAEXP,0
1395,3,DateDESDEFECHAEXP,01/01/1900
1396,3,DateHASTAFECHAEXP,07/09/2009
1397,3,ChkEXPE,0
1398,3,SpnEXPEINI,0
1399,3,SpnEXPEFIN,0
1400,3,ChkREF,0
1401,3,EdtREFINI,
1402,3,EdtREFFIN,
1403,3,CheckSALDO,0
1404,3,EditSALINI,
1405,3,EditSALFIN,
1406,3,CheckDESCRIPCIONACTUEXPED,0
1407,3,EditDESCRIPCIONACTUEXPED,
