id,campo
142,importe2gr1
143,servicio2gr1
144,concepto3gr1
145,importe3gr1
146,servicio3gr1
147,concepto4gr1
148,importe4gr1
149,servicio4gr1
150,concepto5gr1
151,importe5gr1
152,servicio5gr1
153,concepto6gr1
154,importe6gr1
155,servicio6gr1
156,concepto1gr2
157,importe1gr2
158,servicio1gr2
159,concepto2gr2
160,importe2gr2
161,servicio2gr2
162,concepto3gr2
163,importe3gr2
164,servicio3gr2
165,concepto4gr2
166,importe4gr2
167,servicio4gr2
168,concepto5gr2
169,importe5gr2
170,servicio5gr2
171,concepto6gr2
172,importe6gr2
173,servicio6gr2
174,concepto1gr3
175,importe1gr3
176,servicio1gr3
177,concepto2gr3
178,importe2gr3
179,servicio2gr3
180,concepto3gr3
181,importe3gr3
182,servicio3gr3
183,concepto4gr3
184,importe4gr3
185,servicio4gr3
186,concepto5gr3
187,importe5gr3
188,servicio5gr3
189,concepto6gr3
190,importe6gr3
191,servicio6gr3
192,concepto1gr4
193,importe1gr4
194,servicio1gr4
195,concepto2gr4
196,importe2gr4
197,servicio2gr4
198,concepto3gr4
199,importe3gr4
200,servicio3gr4
201,concepto4gr4
202,importe4gr4
203,servicio4gr4
204,concepto5gr4
205,importe5gr4
206,servicio5gr4
207,concepto6gr4
208,importe6gr4
209,servicio6gr4
210,concepto1gr5
211,importe1gr5
212,servicio1gr5
213,concepto2gr5
214,importe2gr5
215,servicio2gr5
216,concepto3gr5
217,importe3gr5
218,servicio3gr5
219,concepto4gr5
220,importe4gr5
221,servicio4gr5
222,concepto5gr5
223,importe5gr5
224,servicio5gr5
225,concepto6gr5
226,importe6gr5
227,servicio6gr5
228,concepto1gr6
229,importe1gr6
230,servicio1gr6
231,concepto2gr6
232,importe2gr6
233,servicio2gr6
234,concepto3gr6
235,importe3gr6
236,servicio3gr6
237,concepto4gr6
238,importe4gr6
239,servicio4gr6
240,concepto5gr6
241,importe5gr6
242,servicio5gr6
243,concepto6gr6
244,importe6gr6
245,servicio6gr6
246,imagen
247,ubicacion
248,Irfp
249,obligacion
250,tipo
251,fecharealizada
252,Obligaciones_Fecha_Realización
253,yearfact
254,fcuantia
255,perso5
256,perso8
257,perso14
258,perso6
259,perso4
260,perso13
261,perso10
262,perso2
263,perso1
264,perso15
265,perso7
266,perso9
267,perso3
268,perso11
269,perso12
270,dfecha
271,sDescripcion
272,fentradaseuro
273,fsalidaseuro
274,fechaimpresion
275,totprevias1
276,ftotalsuplidos
277,ftotalbaseimp
278,ftotaliva
279,ftotalirpf
280,ftotalprovisiones
281,ftotaleuro
282,ftotalcobro
283,fsaldofinal
284,totprevias3
285,totprevias
286,dfechaalta
287,tipoexp
288,tipoasunto
289,notas
290,ultActuFechaAct
291,ultactu
292,serie
293,totalminuta
294,totalbaseimp
295,importeanual1gr1
296,importeanual2gr1
297,importeanual3gr1
298,importeanual4gr1
299,importeanual5gr1
300,importeanual6gr1
301,totalarea1
302,usuario
303,horainiact
304,dfechacierre
305,totalhonoeuro
306,TotalDctoEuro
307,notas2
308,notas3
309,notas4
310,notas5
311,notas6
312,fechaconcep
313,unidades
314,fpreciounitario
315,duracion
316,denominacion
317,dosificacion
318,formato
319,via
320,numcolegiado
321,fechaprescripcion
322,cve
323,diagnostico
324,instrucciones
325,especialidad
326,referencia
327,oportunidad
328,fechacierre
329,importecierre
330,prevision
331,estado
332,etapa
333,totaloportunidades
334,totalprevisionoportunidades
335,numasunto
336,fechaimpresionlarga
337,Campo0306
338,V_IMAGEN1
339,numopor
340,poriva
341,ftotalventa
342,totalletra
343,concepto
344,total
345,nmandato
346,sNombrePais
347,IBAN
348,BicSwift
349,Código_Postal
350,historiaclinica
351,fechanacimiento
352,numcolegiadotra
353,honohora
354,edad
355,numcolegusuact
356,pacientenombre
357,dctolinea
358,salidamenosdcto
359,inumfactabonada
360,serieabonada
361,fechaabonada
362,totalbaseimpabo
363,totalivaabo
364,totaleuroabo
365,qrticketbai
