tipodocumento,descripcion,plantilla,fechaFTP,subidoFTP,id,itipo,theme,orientation,favorito,notas,recomendada,idMN
Clientes,1.4 autorización de domiciliación (para empresa) (vs20.12).doc,Clientes\1.4 autorización de domiciliación (para empresa) (vs20.12).doc,,,318,,,,,,,
Clientes,2.1 datos generales del cliente.doc,clientes\informes\2.1 datos generales del cliente.doc,,,205,,none,0,,,,
Clientes,2.1 datos generales del paciente.doc,clientes\informes\2.1 datos generales del paciente.doc,,,244,,none,0,,,,
Clientes,2.1 informe cliente,Clientes\2.1 informe cliente.doc,,,337,,,,,,,
Clientes,2.2 datos generales del cliente con notas.doc,clientes\informes\2.2 datos generales del cliente con notas.doc,,,206,,none,0,,,,
Clientes,2.2 datos generales del paciente con notas.doc,clientes\informes\2.2 datos generales del paciente con notas.doc,,,245,,none,0,,,,
Clientes,2.2 informe cliente detallado,Clientes\2.2 informe cliente detallado.doc,,,338,,,1,,,,
Clientes,2.3 adjuntos del paciente.doc,clientes\informes\2.3 adjuntos del paciente.doc,,,246,,none,0,,,,
Clientes,2.4 facturacion del paciente por servicios.doc,clientes\informes\2.4 facturacion del paciente por servicios.doc,,,247,,none,0,,,,
Clientes,2.5 adjuntos del cliente.doc,clientes\informes\2.5 adjuntos del cliente.doc,,,209,,none,0,,,,
Clientes,2.6 facturacion del cliente por servicios.doc,clientes\informes\2.6 facturacion del cliente por servicios.doc,,,210,,none,0,,,,
Clientes,3.1 historial del cliente.doc,clientes\informes\3.1 historial del cliente.doc,,,214,,none,0,,,,
Clientes,3.1 historial del paciente.doc,clientes\informes\3.1 historial del paciente.doc,,,248,,none,0,,,,
Clientes,3.2 historial del cliente con notas.doc,clientes\informes\3.2 historial del cliente con notas.doc,,,215,,none,1,,,,
Clientes,3.2 historial del paciente con notas.doc,clientes\informes\3.2 historial del paciente con notas.doc,,,249,,none,1,True,,,
Clientes,4.1 cuentas del cliente.doc,clientes\informes\4.1 cuentas del cliente.doc,,,216,,none,0,,,,
Clientes,4.1 cuentas del paciente.doc,clientes\informes\4.1 cuentas del paciente.doc,,,250,,none,0,,,,
Clientes,Alta de Cliente.html,clientes\correo\Alta de Cliente.html,2009-08-22 04:06:48,,197,,none,0,,,,
Clientes,alta de paciente.html,clientes\correo\alta de paciente.html,,,242,,none,0,,,,
Clientes,Apertura de Incidencia.html,clientes\correo\Apertura de Incidencia.html,2009-08-22 04:17:55,,199,,none,0,,,,
Clientes,asignacion de orden de trabajo.html,clientes\correo\asignacion de orden de trabajo.html,,,201,,none,0,,,,
Clientes,carta de agradecimiento a clientes.doc,clientes\escritos y documentos\carta de agradecimiento a clientes.doc,,,276,,,,,,,
Clientes,hkj.doc,Clientes\Compras\hkj.doc,2021-05-28 12:34:44,,314,,none,0,,,,
Clientes,Informar por correo.html,clientes\correo\Informar por correo.html,2009-08-22 03:50:48,,194,,none,0,,,,
Clientes,Informe de Trabajos Realizados.html,clientes\correo\Informe de Trabajos Realizados.html,2009-08-22 03:54:43,,195,,none,0,,,,
Clientes,notificacion ultima actuacion.html,clientes\correo\notificacion ultima actuacion.html,,,202,,none,0,,,,
Clientes,prueba.doc,Clientes\Compras\prueba.doc,2021-05-28 12:24:18,,313,,none,0,,sefdasdf,,
Clientes,Respuesta Incidencia.html,clientes\correo\Respuesta Incidencia.html,2009-08-22 04:20:02,,200,,none,1,,,,
Colaboradores,datos generales del colaborador.doc,colaboradores\datos generales del colaborador.doc,,,107,,none,0,,,,
Compras,1.1 pedido proveedor (vs20.12).doc,Clientes\Compras\1.1 pedido proveedor (vs20.12).doc,,,303,,none,0,,,,
Contactos,datos generales del contacto.doc,contactos\datos generales del contacto.doc,,,108,,none,0,,,,
Expedientes,1.1 caratula del expediente.doc,expedientes\informes\1.1 caratula del expediente.doc,,,229,,none,0,,,,
Expedientes,2.1 informe general del expediente.doc,expedientes\informes\2.1 informe general del expediente.doc,,,230,,none,0,,,,
Expedientes,2.2 datos generales del expediente.doc,expedientes\informes\2.2 datos generales del expediente.doc,,,259,,none,0,,,,
Expedientes,2.3 datos generales del expediente con notas.doc,expedientes\informes\2.3 datos generales del expediente con notas.doc,,,260,,none,0,,,,
Expedientes,2.4 adjuntos del expediente.doc,expedientes\informes\2.4 adjuntos del expediente.doc,,,261,,none,0,,,,
Expedientes,3.1 historial del expediente.doc,expedientes\informes\3.1 historial del expediente.doc,,,262,,none,0,,,,
Expedientes,3.2 historial del expediente con notas.doc,expedientes\informes\3.2 historial del expediente con notas.doc,,,263,,none,1,,,,
Expedientes,4.1 cuentas del expediente.doc,expedientes\informes\4.1 cuentas del expediente.doc,,,264,,none,0,,,,
Expedientes,Apertura de Expediente.html,expedientes\correo\Apertura de Expediente.html,2009-08-22 02:51:31,,184,,none,0,,,,
Expedientes,apertura de incidencia.html,expedientes\correo\apertura de incidencia.html,,,225,,none,1,,,,
Expedientes,apertura de reclamacion.html,expedientes\correo\apertura de reclamacion.html,,,254,,none,1,,,,
Expedientes,asignacion de orden de trabajo.html,expedientes\correo\asignacion de orden de trabajo.html,,,222,,none,1,,,,
Expedientes,Cierre de Expediente.html,expedientes\correo\Cierre de Expediente.html,2009-08-22 03:02:56,,190,,none,0,,,,
Expedientes,cierre de reclamacion.html,expedientes\correo\cierre de reclamacion.html,,,226,,none,1,,,,
Expedientes,encuesta de satisfaccion.html,expedientes\correo\encuesta de satisfaccion.html,,,255,,none,0,,,,
Expedientes,envio documentacion adjunta.html,expedientes\correo\envio documentacion adjunta.html,,,256,,none,0,,,,
Expedientes,Informar por correo.html,expedientes\correo\Informar por correo.html,2009-08-22 02:55:12,,187,,none,0,,,,
Expedientes,Informe de Trabajos Realizados.html,expedientes\correo\Informe de Trabajos Realizados.html,2009-08-22 02:56:57,,188,,none,0,,,,
Expedientes,Notificación completa de actuaciones.html,expedientes\correo\Notificación completa de actuaciones.html,2009-08-22 02:53:18,,185,,none,0,,,,
Expedientes,notificacion sencilla de actuaciones.html,expedientes\correo\notificacion sencilla de actuaciones.html,,,257,,none,1,,,,
Expedientes,notificacion ultima actuacion.html,expedientes\correo\notificacion ultima actuacion.html,,,258,,none,0,,,,
Expedientes,respuesta a incidencia.html,expedientes\correo\respuesta a incidencia.html,,,227,,none,1,,,,
Facturas,1.1 factura oficial (vs20.12).doc,Facturas\Oficiales\Clientes\1.1 factura oficial (vs20.12).doc,,,301,1,none,0,,,,
Facturas,1.1 factura oficial (vs20.12).doc,Facturas\Oficiales\1.1 factura oficial (vs20.12).doc,,,302,0,none,0,,,,
Facturas,1.1 factura oficial.doc,facturas\oficiales\clientes\1.1 factura oficial.doc,,,268,1,none,0,,,,
Facturas,1.2 factura oficial con descuento,Facturas\Oficiales\Clientes\1.2 factura oficial con descuento.doc,,,343,1,,,,,,
Facturas,1.3 factura oficial por unidades,Facturas\Oficiales\Clientes\1.3 factura oficial por unidades.doc,,,344,1,,,,,,
Facturas,1.4 factura oficial (datos paciente y cliente),Facturas\Oficiales\Clientes\1.4 factura oficial (datos paciente y cliente).doc,,,345,1,,,,,,
Facturas,1.5 factura de abono,Facturas\Oficiales\Clientes\1.5 factura de abono.doc,,,346,1,,,,,,
Facturas,2.1 factura oficial por unidades.doc,facturas\oficiales\clientes\2.1 factura oficial por unidades.doc,,,270,1,,,,,,
Facturas,2.1 Factura Oficial TicketBai,Facturas\Oficiales\Clientes\2.1 Factura Oficial TicketBai.doc,,,347,1,,,,,,
Facturas,3.1 factura oficial Aseguradora,Facturas\Oficiales\Clientes\3.1 factura oficial Aseguradora.doc,,,328,1,,,,,,
Facturas,3.2 factura oficial con descuento Aseguradora,Facturas\Oficiales\Clientes\3.2 factura oficial con descuento Aseguradora.doc,,,348,1,,,,,,
Facturas,3.3 factura oficial por unidades Aseguradora,Facturas\Oficiales\Clientes\3.3 factura oficial por unidades Aseguradora.doc,,,349,1,,,,,,
Facturas,fr.doc,Facturas\Oficiales\Clientes\fr.doc,2021-12-02 13:55:33,,320,1,none,0,,,,
Facturas,fr.doc,Facturas\Oficiales\fr.doc,2021-12-02 17:36:48,,321,0,none,0,,,,
Gestión de Cobros,recibí (formato a4) (vs20.12).doc,Gestión de Cobros\recibí (formato a4) (vs20.12).doc,,,300,,none,0,,,,
Gestión de Cobros,recibí (formato a4).doc,Gestión de Cobros\recibí (formato a4).doc,,,323,,,,,,,
Gestión de Cobros,recibí (formato a5),Gestión de Cobros\recibí (formato a5).doc,,,350,,,1,,,,
Gestión de Cobros,recibí (formato a6),Gestión de Cobros\recibí (formato a6).doc,,,351,,,1,,,,
Gestión de Cobros,ticket cobro.doc,Gestión de Cobros\ticket cobro.doc,,,331,,,,,,,
Organismos,datos generales del organismo.doc,organismos\datos generales del organismo.doc,,,127,,none,0,,,,
Pacientes,1.1 caratula del paciente.doc,pacientes\informes\1.1 caratula del paciente.doc,,,278,,none,0,,,,
Pacientes,1.1 documento lopd (vs20.12).doc,Pacientes\1.1 documento lopd (vs20.12).doc,,,292,,none,1,True,,,
Pacientes,1.1 documento lopd.doc,Pacientes\1.1 documento lopd.doc,,,336,,,1,,,,
Pacientes,1.2 autorización grabación imágenes (videoconsultas) (vs20.12).doc,Pacientes\1.2 autorización grabación imágenes (videoconsultas) (vs20.12).doc,,,306,,none,0,,,,
Pacientes,1.2 autorización grabación imágenes (videoconsultas).doc,Pacientes\1.2 autorización grabación imágenes (videoconsultas).doc,,,332,,,,,,,
Pacientes,1.3 consentimiento informado (vs20.12).doc,Pacientes\1.3 consentimiento informado (vs20.12).doc,,,293,,none,0,True,,,
Pacientes,1.3 consentimiento informado.doc,Pacientes\1.3 consentimiento informado.doc,,,324,,,,,,,
Pacientes,1.4 autorización de domiciliación (para empresa),Pacientes\1.4 autorización de domiciliación (para empresa).doc,,,352,,,,,,,
Pacientes,1.5 autorización de domiciliación (para particular).doc,Pacientes\1.5 autorización de domiciliación (para particular).doc,,,312,,none,0,False,,,
Pacientes,1.6 Informe Historia Clínica.doc,Pacientes\1.6 Informe Historia Clínica.doc,,,322,,,,,,,
Pacientes,1.7 Receta,Pacientes\1.7 Receta.doc,,,353,,,,,,,
Pacientes,2.1 datos generales del paciente.doc,pacientes\informes\2.1 datos generales del paciente.doc,,,279,,none,0,,,,
Pacientes,2.1 informe paciente (vs20.12).doc,Pacientes\2.1 informe paciente (vs20.12).doc,,,316,,,,,,,
Pacientes,2.1 informe paciente.doc,Pacientes\2.1 informe paciente.doc,,,325,,,,,,,
Pacientes,2.2 datos generales del paciente con notas.doc,pacientes\informes\2.2 datos generales del paciente con notas.doc,,,280,,none,0,,,,
Pacientes,2.2 informe paciente detallado (vs20.12).doc,Pacientes\2.2 informe paciente detallado (vs20.12).doc,,,296,,none,1,,,,
Pacientes,2.2 informe paciente detallado.doc,Pacientes\2.2 informe paciente detallado.doc,,,335,,,1,,,,
Pacientes,2.3 adjuntos del paciente.doc,pacientes\informes\2.3 adjuntos del paciente.doc,,,281,,none,0,,,,
Pacientes,2.3 Historia Clínica.doc,Pacientes\2.3 Historia Clínica.doc,2021-06-08 18:19:44,,317,,none,0,,,,
Pacientes,3.1 historial del paciente.doc,pacientes\informes\3.1 historial del paciente.doc,,,282,,none,0,,,,
Pacientes,3.1 justificante de asistencia médica,C:\MNprogram\DOCS-MNPROGRAM_9362\DocPlant\Pacientes\3.1 justificante de asistencia médica.doc,2022-10-26 10:03:46.923000,,359,,,1,,,,
Pacientes,3.1 justificante de asistencia médica,Pacientes\3.1 justificante de asistencia médica.doc,,,360,,,1,,,,
Pacientes,3.1 justificante de asistencia médica (vs20.12).doc,Pacientes\3.1 justificante de asistencia médica (vs20.12).doc,,,294,,none,1,True,,,
Pacientes,3.1 justificante de asistencia médica.doc,C:\MNprogram\DOCS-MNPROGRAM_9362\DocPlant\Pacientes\3.1 justificante de asistencia médica.doc,,,358,,,,,,,
Pacientes,3.2 historial del paciente con notas.doc,pacientes\informes\3.2 historial del paciente con notas.doc,,,283,,none,1,True,,,
Pacientes,4.1 cuentas del paciente.doc,pacientes\informes\4.1 cuentas del paciente.doc,,,284,,none,0,,,,
Pacientes,4.1 ticket cita,Pacientes\4.1 ticket cita.doc,,,362,,,,,,,
Pacientes,4.1 ticket cita,C:\MNprogram\DOCS-MNPROGRAM_9362\DocPlant\Pacientes\4.1 ticket cita.doc,2022-10-26 10:13:06.920000,,363,,,,,,,
Pacientes,4.1 ticket cita (vs20.12).doc,Pacientes\4.1 ticket cita (vs20.12).doc,,,297,,none,0,,,,
Pacientes,4.2 oportunidades del paciente.doc,pacientes\informes\4.2 oportunidades del paciente.doc,,,285,,none,1,,,,
Pacientes,Autorización Domiciliación Bancaria.doc,Pacientes\Autorización Domiciliación Bancaria.doc,2021-05-10 10:18:57,,310,,none,0,,,,
Pacientes,carta de agradecimiento a clientes.doc,pacientes\escritos y documentos\carta de agradecimiento a clientes.doc,,,275,,none,0,,,,
Pacientes,consentimiento anestesia local.doc,Pacientes\Consentimientos\consentimiento anestesia local.doc,,,307,,none,0,,,,
Pacientes,consentimiento informado simple.doc,pacientes\consentimiento informado simple.doc,,,288,,none,0,False,,,
Pacientes,firma lopd básico.doc,pacientes\firma lopd básico.doc,,,289,,none,1,True,,,
Pacientes,historial del paciente.doc,pacientes\historial del paciente.doc,,,290,,none,0,True,,,
Pacientes,informe alta clinica del paciente.doc,pacientes\informe alta clinica del paciente.doc,,,291,,none,0,True,,,
Recetas Médicas,Plantilla Receta Médica en Catalán.doc,Recetas Médicas\Plantilla Receta Médica en Catalán.doc,2013-04-09 12:04:41,,273,,none,0,,,,
Recetas Médicas,Plantilla Receta Médica en Euskera.doc,Recetas Médicas\Plantilla Receta Médica en Euskera.doc,2013-04-09 12:15:47,,274,,none,0,,,,
Recetas Médicas,Plantilla Receta Médica en Gallego.doc,Recetas Médicas\Plantilla Receta Médica en Gallego.doc,2013-04-09 11:52:14,,272,,,,,,,
Recetas Médicas,Plantilla Receta Médica.doc,Recetas Médicas\Plantilla Receta Médica.doc,2013-04-09 11:49:36,,271,,none,0,,,,
Recetas Médicas,Plantilla Receta Oficial,Recetas Médicas\Plantilla Receta Oficial.doc,,,357,,,,,,,
Recetas Médicas,Plantilla Receta Oficial en Catalán,Recetas Médicas\Plantilla Receta Oficial en Catalán.doc,,,354,,,,,,,
Recetas Médicas,Plantilla Receta Oficial en Euskera,Recetas Médicas\Plantilla Receta Oficial en Euskera.doc,,,355,,,,,,,
Recetas Médicas,Plantilla Receta Oficial en Gallego,Recetas Médicas\Plantilla Receta Oficial en Gallego.doc,,,356,,,,,,,
Todas,1.5 autorización de domiciliación (para particular) (vs20.12).doc,Pacientes\1.5 autorización de domiciliación (para particular) (vs20.12).doc,,,304,,none,0,,,,
Trabajadores,1.1 documento lopd.doc,Trabajadores\1.1 documento lopd.doc,,,319,,none,1,,,,
Trabajadores,1.1 Lopd básico,C:\MNprogram\DOCS-MNPROGRAM_9362\DocPlant\Trabajadores\1.1 Lopd básico.doc,2022-10-26 10:36:32.133000,,364,,,,,,,
Trabajadores,1.1 Lopd básico,Trabajadores\1.1 Lopd básico.doc,,,367,,,,,,,
Trabajadores,1.2 Autorización grabación de imágenes,C:\MNprogram\DOCS-MNPROGRAM_9362\DocPlant\Trabajadores\1.2 Autorización grabación de imágenes.doc,2022-10-26 10:38:10.410000,,365,,,,,,,
Trabajadores,1.2 Autorización grabación de imágenes,Trabajadores\1.2 Autorización grabación de imágenes.doc,,,366,,,,,,,
