id,nombre,texto,asunto,rutaCarpeta,favorita,recomendada,idMN
30,Felicitación Cumpleaños Empleado,"¡Hola [Nombre]!


Desde [Nombre Empresa] te enviamos nuestra más cálida y sentida felicitación.
Estamos encantados de poder compartir este gran día contigo. Gracias por formar parte de nuestro equipo y por ayudarnos a prosperar y crecer con todo lo que haces en tu día a día.

¡Tod@s tus compañer@s te deseamos un muy feliz cumpleaños!",,,,True,902A9E04-EE39-4548-B980-ECA04455E746
31,Felicitación Navidad,"¡Hola [Nombre]!

En esta época tan especial queremos darte las gracias por confiar en nosotros. 
¡Felices Fiestas!
[Nombre Empresa]",,,,True,E30A46AF-E2B7-44C5-8BD0-AE0542B6D83E
32,Formulario Registro + Firma LOPD Cliente,"¡Bienvenido/a a [Nombre Empresa]!

Pulsa sobre el siguiente enlace para cubrir tus datos y firma el documento LOPD y así formalizar el alta como cliente. No supone ningún compromiso y tan sólo te llevará 1 minuto.
Además, una vez completado el registro, te llegará un correo electrónico con una copia de tu LOPD firmada.

[UrlEnlacesWeb]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias por confiar en nosotros!",,,,True,99C0AEDD-727B-40BB-A609-57F476C52DA1
33,Actualización Datos Paciente,"Estimado [Nombre]

Te escribimos de [Nombre Empresa].

Queremos confirmar que tu información de contacto es correcta y está actualizada para poder prestarte el mejor servicio.

Clica en el siguiente enlace para revisarlos y actualizarlos en caso de ser necesario:  [UrlEnlacesWeb]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

Muchas gracias.",,,,True,692D43DD-5C2E-42BB-8116-7CB6B39E424F
34,Enviar Informe Historia Clínica,"Hola [Nombre], 

Te escribimos de [Nombre Empresa].

Tal y como nos solicitaste, te enviamos un informe de tu Historia Clínica: [Abrir Documento]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias!",,,,True,A2381CBE-3144-450E-916A-CBC2C908E8D2
35,Formulario Registro + Firma LOPD + Cuestionario,"
¡Bienvenid@!

Estimado paciente;

Haz clic en el siguiente enlace para cubrir tus datos y firmar el documento de LOPD. No supone ningún compromiso y tan sólo te llevará 1 minuto.

[UrlEnlacesWeb]

¡Muchas gracias!",,,,True,4334549B-C1E5-4179-8C50-EF66AA5A2FCD
36,Aviso de Cobro,"Estimado/a [Nombre Destinatario], 

se aproxima la fecha de pago de nuestra factura:
 
Concepto: [Concepto] 
Importe: [Importe]

 
Para cualquier incidencia o comentario por favor ponte en contacto con nosotros.
 
 
¡Muchas gracias!
",,,,True,0903DB9C-1068-4790-BC97-E403DCC6D8F8
37,Formulario Registro Paciente,"¡Bienvenid@!

Estimado paciente;

Haz clic en el siguiente enlace para cubrir tus datos. No supone ningún compromiso y tan sólo te llevará 1 minuto.

[UrlEnlacesWeb]

¡Muchas gracias!",,,,True,EBCD14D0-DE67-4DF5-8519-0B12FD87485C
38,Formulario Registro Paciente + Firma LOPD,"¡Bienvenido/a a [Nombre Empresa]!

Pulsa sobre el siguiente enlace para cubrir tus datos y firma el documento LOPD. No supone ningún compromiso y tan sólo te llevará 1 minuto.
Además, una vez completado el registro, te llegará un correo electrónico con una copia de tu LOPD firmada.

[UrlEnlacesWeb]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias por confiar en nosotros!",,,,True,A82CB54C-398A-4403-B51E-2BBB3F9FABD2
39,Formulario Registro Trabajador,"¡Bienvenid@!

Estimado [Nombre Destinatario]

Haz clic en el siguiente enlace para cubrir tus datos. No supone ningún compromiso y tan sólo te llevará 1 minuto.

[UrlEnlacesWeb]

¡Muchas gracias!",,,,True,77B8177B-E398-4C0C-BEE9-3D25BAEF3D21
40,Formulario de Contacto,"¡Hola!

Te escribimos de [Nombre Empresa].

Clica en el siguiente enlace para cubrir tus datos para que podamos contactar contigo.
[UrlEnlacesWeb]

 Un cordial saludo
",,,,True,CAEB6DBE-9C95-490E-9EA5-8EF2529AFB8E
41,Firma Documento,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Pulsa sobre el siguiente enlace para acceder al documento, leerlo y firmarlo. 

[Aceptar Documento]

Una vez hayas aceptado el documento, todas las partes recibiremos por correo electrónico una copia firmada en PDF.

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias!",Aceptación Documento,,,True,D577A6DE-FD32-4890-AA54-E5C456D864E0
42,Felicitación de cumpleaños Paciente,"¡Hola [Nombre]!

Desde [Nombre Empresa], te enviamos nuestra más cálida y sentida felicitación.
Estamos encantados de poder compartir este gran día contigo. Gracias por haber formado parte de nuestra historia y ojalá sigamos prosperando juntos en el futuro. 

¡Te deseamos muy feliz cumpleaños!",Felicitación de cumpleaños,,,True,05861D08-5B9F-441F-932A-D477CAE04E9D
43,Solicitud de Cobro con Tarjeta,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Para tu comodidad ponemos a tu disposición la posibilidad de abonar tu factura mediante tarjeta de crédito o débito. 
Para ello simplemente debes pulsar sobre el siguiente enlace para realizar un pago seguro por un importe de [Importe] en concepto de [Concepto]:
[TextoEnlaceCobroStripe]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias!",Cobro con Tarjeta,,,True,9198FA00-0D78-4FEC-8FFF-FBBCBE73A3EE
100000003,Formulario Registro + Firma LOPD,"¡Bienvenida/o a nuestro centro!

Pulsa en el siguiente enlace para cubrir tus datos 

[UrlEnlacesWeb|1]

¡Muchas gracias!
",,,,,
100000004,Formulario COVID,"Formulario COVID
 
Confirmo no tener ni haber tenido en los últimos días ninguno de los siguitentes síntomas:
 
Fiebre ( +38)
Pérdida de olfato y/o gusto
Dolor muscular
Dolor de garganta
Dolor de cabeza
 
Ni haber estado en contacto con personas diagnosticadas o con síntomas compatibles con el COVID 19.
 
[Aceptar Whatsapp]
 
¡Muchas gracias!",,,,,
200000016,Recordatorio Cita,"Hola [Nombre]
 
Te recordamos tu cita del próximo día [Fecha] a las [Hora].

Si no puedes acudir, contesta a este mensaje o llámanos.

 ¡Muchas gracias!
",Recordatorio de Cita,,,,
200000017,Confirmación Cita,"Hola [Nombre]
 
Te recordamos tu cita del próximo día [Fecha] a las [Hora]. 

Para confirmarla la cita haz clic aquí: [TextoEnlaceConfirmarCita]

Si no puedes acudir por favor cancela la cita desde el siguiente enlace: [TextoEnlaceCancelarCita]

 ¡Muchas gracias!
",Recordatorio de Cita + Confirmación/Cancelación,,,,
200000018,Aceptación Documento,"Estimada/o [Nombre],

Haz clic aquí para leer el documento y aceptarlo: [Aceptar Documento]
 
 
Una vez hecho, todas las partes recibiremos por correo electrónico una copia final en PDF. 
 
Gracias.
 
",Aceptación Documento,,,,
200000019,Aceptación Whatsapp,"Hola [Nombre],

Haz clic en el siguiente enlace para aceptar: [Aceptar Whatsapp]

Cuando hayas aceptado las condiciones incluidas en el texto de este Whatsapp, todas las partes recibiremos por correo electrónico una copia firmada en PDF. 

Muchas gracias.

 
",Aceptación Whatsapp,,,,
200000020,Felicitación de cumpleaños,"Hola [Nombre],

Sabemos que es tu cumpleaños y queremos desearte todo lo mejor.

 ¡Disfruta de tu día!
",Felicitación de cumpleaños,,,,
200000021,Cobro con Tarjeta,"Hola [Nombre],

Para realizar el pago con tarjeta haz clic en el siguiente enlace:

[TextoEnlaceCobroStripe]",Cobro con Tarjeta,,,,
