id,nombre,valor
84,bvercontrolpresupuestos,False
85,bvercontrolcompras,False
86,bverboletines,False
87,bverdocumentosclientes,False
88,bverplazoscobrospred,False
89,bVerModuloDicom,False
90,bVerModuloEscaner,True
91,bcontrolprevcobros,True
92,bvercontroltratamiento,False
93,bUsarEstadosVentanaActuacion,False
94,bactivatotcobro,True
95,bvertrasladar,False
96,bgenerarjustificante,False
97,vertiposprov,True
98,bVerTimeReport,True
99,bMostrarDefectoCliNotas2a6,False
100,bimportarcarpetas,True
101,bUsarVentanaActuacionAntigua,True
102,bverseleccionexp,False
103,bMostrarColTituloDocumentacionDefecto,False
104,bactuacionescalificaciones,True
105,bverpaginaacceso,False
106,bVerPlanIndividual,False
107,bMostrarResumen,True
108,bIniciarCorreoConPrograma,False
109,bAbrirCorreoMinimizado,False
110,bverlineasagen,False
111,busarplantillaswordnet,True
112,bvertpv,False
113,bvervisordocumental,True
114,bVerLexnet,False
115,bVerAvantius,False
116,bVerVereda,False
117,VerImportacionArchivosCompañía,False
118,bverpestcobrospolizas,False
119,bVerAtencionCliente,False
120,bVerMNDocSign,True
121,bVerModuloValoracionesServicio,True
122,VerTTA,False
123,bVerModuloPersonalizacion,True
124,bVerDniObligacion,False
125,bVerFechaEnvioObligacion,False
126,bverImprimirCarnetCliente,True
127,bSupervisorControlHoras,True
128,bInOutControlHoras,True
129,bverCrearLeads,False
130,bverCursosOk,False
131,bverCursosyPosgrados,False
132,bverGoogleAdwords,False
133,bverRepartoAutomatico,False
134,bseguirOrdenReparto,True
135,bverRepartoCodPostal,False
136,bverRepartoTipoOpor,False
137,bverRepartoFuenteOpor,False
138,bverRepartoDescripcionOpor,False
139,bverRepartoImporte,False
140,bverEmagister,False
141,bVerRegistrosConNivelPrivacidad,True
142,bValidarPrivacidadAgenda,True
143,bVerNuevaAgenda,True
144,bcrearactuacion_ClienteBaja,False
145,MarcarActuRzdDefecto_ClienteBaja,False
146,bcrearactuCambioUsuFicha,False
147,bcrearactuCambioUsuExp,False
148,bcrearactuCopiaFichaBD,False
149,bcrearactuTraspFichaBD,False
150,bcrearactuCambMatAlumCurso,False
151,bcrearactuTraspAlumCurso,False
152,bcrearactuacion_ImportAdjunto,False
153,bcrearactuacion_EliminarAdjunto,False
154,bcrearactuacion_AsociarCorreo,False
155,bverAudiometria,False
156,beditarFechaOportunidad,True
157,beditarCampoUsuarioOportunidad,True
158,beditarFechaOportunidadAtencionCliente,False
159,beditarCampoUsuarioOportunidadAtencionCliente,False
160,bverOfertaFormativa,False
161,bVerSoloTareasAbiertaOpEnAltaTiempoGasto,True
162,bMostrarCorreo,True
163,bMostrarAgenda,True
164,bMostrarCitasTodoElDia,True
165,bVerMailAccept,True
166,bMostrarConceptosEnTareas,True
167,bMostrarFacturarOportunidades,True
168,bCalculaTiempoPrevisto,False
169,bCalculaIngresosReales,False
170,bMostrarFusionFichas,True
171,VerPestanaBonos,True
172,bCobroDesCon,False
173,ean8,False
174,ean13,True
175,code39,False
176,bvericocobroage,True
177,bverfactfvto,True
178,bvertraspasoparcial,False
179,baltafacturasgrid,False
180,bverdctolinea2,False
181,bdctotipoart,False
182,bverimpcita,True
183,bAsignaUsuPot,False
184,basoactumutua,True
185,bverarttipomed,True
186,verImgDeudaAgd,True
187,VerTabArticulosSegCli,False
189,VerPestanaBonos_Trabajador,False
190,VerPestanaBonos_Potencial,False
191,VerPestanaBonos_Tercero,False
193,VerPestanaBonos_Compañía,False
194,VerPestanaBonos_Mascota,False
195,VerPestanaBonos_Mutua,True
196,VerPestanaBonos_Proveedor,False
197,VerPestanaBonos_Voluntario,False
198,VerPestanaBonos_Financiador,False
199,VerPestanaBonos_Tercera Edad,False
200,bnoanadircontact,False
201,bverbtnpresuventanamodif_Cliente,False
202,bverbtnpresuventanamodif_Trabajador,False
203,bverbtnpresuventanamodif_Potencial,False
204,bverbtnpresuventanamodif_Tercero,False
205,bverbtnpresuventanamodif_Paciente,False
206,bverbtnpresuventanamodif_Alumno,False
207,bverbtnpresuventanamodif_Compañía,False
208,bverbtnpresuventanamodif_Mascota,False
209,bverbtnpresuventanamodif_Mutua,False
210,bverbtnpresuventanamodif_Proveedor,False
211,bverbtnpresuventanamodif_Voluntario,False
212,bverbtnpresuventanamodif_Financiador,False
213,bverbtnpresuventanamodif_Tercera Edad,False
214,bverbtncobroventanamodif_Alumno,True
215,bverbtncobroventanamodif_Paciente,False
216,bveropcimpactu,True
217,bversegclider,True
218,bimportaractsinfecha,True
219,bfachisporBI,True
220,bverasegurados,False
221,bVerDocsMnPrograma,False
222,bdctoatotalactu,True
223,bfacthisporBI,False
224,bverpestanasnomutua,False
225,bcobrarconceptos,True
226,bverpterenclipot,False
227,bvernomcolumnasperfil,False
228,bcrearcobrobono,True
229,bveropcreemplazardiario,False
230,bverpterentrab,False
231,bformacobrodefecto,True
232,bverimgart,True
233,bavisobonocompleto,True
234,brecargabono,False
235,bverbonoscompartidos,True
236,bagrcobrosfvto,True
237,bvernumcobro,False
238,bConceptoPredef,True
239,bcontrolcursocompleto,True
240,baltaactumodif_Potencial,False
241,bverpotendeunpac,False
242,verNumerosLineas,False
243,bvergestionclases,False
244,bverbtnaltabajaexpalum_Paciente,True
245,bvercalendarioactucli,False
246,baltaactumodif_Paciente,True
247,bcrearactuacion_Paciente,True
248,bveralumhistoexp,True
249,bcopiaralummatactu,True
250,bvervarios,False
251,bverpacdeunpoten,False
252,bvercomohorasnodisponibles,True
253,bTarifasArt,False
254,bPreciosArt,False
255,bvercamponumerico,False
256,altaPistola,False
257,bverpacter,True
258,bverusucreadoractu,False
259,bverterceroshisto,False
260,bmarcarfactacli,True
261,avisoarrastraragenda,True
262,bversuplidocaja,False
263,bverprovisioncaja,False
264,VerFotoFicha_Trabajador,False
265,bverprovartpre,False
266,baplicartarifacliente,False
267,bconfigusuariosagen,False
268,busarbloqueoficha,False
269,bcrearactutraspaso,True
270,bverclirelcli_Potencial,False
271,baltcodbarras,True
272,bmarcasaldodefecto,True
273,baltaexpdesdepot,True
274,bverbtnaltabajaexpalum_Potencial,True
275,bverbtnaltabajaexpalum_Cliente,True
276,bvercolorbd_Mutua,True
277,bMarcarBorrarDocOrig,False
278,bnumeracionPorTipoCli,False
279,bnumeracionPorTipoPac,False
280,bnumeracionPorTipoAlum,False
281,bverresumengeneralTR,False
282,bverresumenfasesTR,False
283,bverresumentrabajadorTR,False
284,bvercolorgridhistorial,True
285,MarcarActuRzdDefecto_Paciente,True
286,vermovilage,True
288,bLogsPersonalizados,False
289,activarLogsWeb,False
290,bCrearActuEnAltaServicio,False
291,bActuAltaServicioRealizada,False
292,bCrearActuEnCierreServicio,False
293,bActuCierreServicioRealizada,False
294,bAsignarColorServicio,False
295,MostrarPestañasConTipoActu,False
296,MostrarPestañasConTipoPac,False
297,bagenmulticobro,True
298,veragendashboard,True
299,veragenenviarasala,True
300,bCerrarBonoAutomatico,True
301,bverbonospestactuauto,False
302,bveractuautobonofinal,False
303,bVerMovArt,False
304,bverarrastrarclase,False
305,bveravisarclases,False
306,bCrearActuacionOportunidad,False
307,bCrearActuacionOportunidadRealizada,False
308,bCrearActuacionOportunidadActuPredef,False
309,bCrearActuacionOportunidadActuPredefRealiz,False
310,bCrearActuCambioUsuOportunidad,False
311,bCrearActuEnAltaOportunidad,False
312,bActuAltaOportunidadRealizada,False
313,bCrearActuEnCierreOportunidad,False
314,bActuCierreOportunidadRealizada,False
315,bAsignarColorOportunidad,False
316,bCrearActuacionTarea,False
317,bCrearActuacionTareaRealizada,False
318,bCrearActuacionTareaActuPredef,False
319,bCrearActuacionTareaActuPredefRealiz,False
320,bCrearActuCambioUsuTarea,False
321,MostrarPestañasConTipoTrab,False
322,verfichasclasic,True
323,bVerChat,False
324,bControlHorasResumen,False
325,bcontindividualcobro,False
326,bVerMensajesInternos,False
327,MostrarPestañasConTipoPot,False
328,MostrarPestañasConTipoTarea,False
329,bAltaFactUsu,True
330,basignarusucuenta,True
331,busarProformaSaldoExp,True
332,bVerCampoEstadoCita_Expediente,True
333,bVerCampoEstadoCita,True
334,bBtnValGoogle,False
335,bWorkControlHorario,True
336,bMostrarControlHorarioPropio,True
337,bMostrarPopUpInactividad,True
338,bVerModuloCompra,True
339,bMostrarCitaOnline,True
340,bVerComisiones,True
341,bConfigEmailFormulariosClientes,False
342,bcorreosautocobros,False
343,MostrarPestañasConTipoTerc,False
344,MostrarPestañasConTipoMutua,False
345,MostrarPestañasConTipoPro,False
346,MostrarHistoriaClinica,True
347,bSegTabsLimpieza,True
348,MostrarRpaAtajosEnvioCorreo,True
349,bVerRecursos,False
350,bMostrarImpCorreoOutlook,True
351,bRegenerarTriggersLOPD,False
352,bRegistrarWordColectivo,True
353,bVerInformesTR,True
354,bVerModuloFormulariosClientes,True
355,bverbtnpresuventanamodif_Aseguradora,False
356,MostrarPestañasConTipoCli,False
357,bNombreDctoDescAct,False
358,bConfigNoActualizarDatosFichaFormulariosClientes,False
359,bVerHistorial_Pot,True
360,bVerEconomico_Pot,False
361,MostrarPestañasConTipoOpor,False
362,VerFotoFicha_Cliente,False
363,VerFotoFicha_Tercero,False
364,bVerHistorial_Tra,True
365,bVerEconomico_Tra,False
366,bMostrarUltimaVistaHistorial,False
367,bVerFirmaTablet,True
368,bModuloPermisosNet,True
369,bSincronizarAdjuntosCarpeta,True
370,bPermitirDirectorioFichaRecursivo,True
371,MostrarPestañasConTipoFactura,True
372,VerFotoFicha_Proveedor,True
373,bVerBtnCobrarDesglosado,True
374,bMostrarColoresDisponibilidad,False
375,bFormulariosVariosIdiomas,False
376,bCrearTareasMultiUsuarios,False
378,bVerEmailer,True
379,bMostrarUnicaPestanaActuacionesPredef,True
380,bMostrarUnicaPestanaConceptosPredef,True
381,bMostrarUnicaPestanaOportunidadesPredef,True
382,bMostrarUnicaPestanaTareasPredef,True
383,bMostrarUnicaPestanaPedidosPredef,True
384,bMostrarUnicaPestanaRecobrosPredef,True
385,bMostrarUnicaPestanaHonorariosPredef,True
386,bMostrarUnicaPestanaArticulosPredef,True
387,bMostrarUnicaPestanaGastosRecibidosPredef,True
388,bMostrarUnicaPestanaPrevisionPredef,True
389,bMostrarUnicaPestanaSuplidoPredef,True
390,bMostrarUnicaPestanaExpedientesPredef,True
391,bMostrarUnicaPestanaGastosEmitidosPredef,True
392,bMostrarUnicaPestanaGastosTodosPredef,True
393,bMostrarUnicaPestanaPruebasPredef,True
394,bMostrarUnicaPestanaProcedimientosPredef,False
395,bMostrarUnicaPestanaAsuntosPredef,True
396,bMostrarUnicaPestanaTratamientosPredef,True
397,bWorkControlInactividad,False
398,bfacturaroporporcen,False
399,bMostrarNomComercialCobros,False
400,bVerEconomico_Pro,True
401,bcobrartrat,True
402,bImpresionAutoInformesCuadroMando,True
403,bCorreoAutoInformesCuadroMando,True
404,bTareasGestionPlazos,False
405,bMostrarVistasAgenda,True
406,columnasEstadoMatriculaGeneradas,True
407,bResumenExpPersonalizado,True
408,VerFotoFicha_Potencial,False
409,bMostrarCampoFacturableTarea,False
410,bCapturarAdjuntosRecomendarTarea,False
411,bCapturarAdjuntosMostrarTareas,True
412,bCapturarAdjuntosSoloTareasAbiertas,False
413,bCapturarAdjuntosSoloTareasAnho,False
414,bCapturarAdjuntosAccesoCliente,False
415,bNoModifUniActuEnFuncionTiempo,True
416,bVerReferenciaBono,True
417,VerUsuarioEnEditarConceptoActu,False
418,bVerMascotas,False
419,bverbonosnotas4,False
420,bMostrarGestionTarifas,True
421,bVerFormulariosRegistro,True
422,usarTablaDireccion,False
423,VerFotoFicha_Inmueble,True
424,bMostrarOficinaVirtual,True
425,InmueblesDefault,False
426,bVerInmuebles,False
427,bversalaespera,True
428,InmuDefaultPesTercero,True
429,bVerCampoSalaActuacion,False
430,bActuPredefMultiplesUsuarios,False
431,bVerWhatsapp,True
432,bVerExpedientes,True
433,bVerControlHistorial,True
434,bVerFacturacion,True
435,bVerContabilidad,True
436,bVerTerceros,True
437,bverpotenciales,True
438,bveroportunidades,True
439,bAccesoClientes,True
440,bMostrarAgendaMultiplesUsuarios,True
441,bMostrarWhatsAppBloque,True
442,bMostrarHerramientasChequeo,True
443,bMostarStock,False
444,bMostarArticulos,True
445,bMostrarVistaKanban,True
446,bverControlAdjuntos,True
447,bverAtajos,True
448,bMostrarCapturaLeads,True
449,bMostrarEscritosColaLexnet,False
450,bVerConfirmSign,True
451,bMostrarInformes,False
452,bVerComunicacionesCorp,True
453,bVerControlPagos,True
454,bMostarModelosAEATFactu,True
455,bVerControlCorreo,True
456,MostrarEnvioDeFacturas,True
457,bAvisoInicialCorp,True
458,bAvisoInicialCorpUser,True
459,bAvisoTiempoCorp,False
460,bAvisoTiempoCorpUser,True
461,VerGesTarTtosEspec,False
462,bAusenciasCorreoClientesRel,False
463,bVerPlantillasLegales,True
464,bMostrarMisTareasNotas,False
465,bMostrarPlantillasWord,True
466,bDocMacrosActualizadas,False
467,bModsPremiumActivos,True
468,bVerMonitorizacion,True
469,bVerPestanaGastos,True
470,bMostrarCitaOnlineCitas,True
471,bMostrarCuestionariosWeb,True
472,bverescalas,True
473,MostrarRpaReglasAutomaticas,True
474,MostrarRpaCapturarAdjuntos,True
