id,tabla,campo,valor,bloqueado,tipo,orden,selec
1995,Perfil,combo17,Si,False,,177,
1996,Perfil,combo17,No,False,,178,
1997,Perfil,combo25,Si,False,,179,
1998,Perfil,combo25,No,False,,180,
1999,ModuloImagen,VistaPrevia5,1,False,,181,
2000,ModuloImagen,MultiFicha5,1,False,,182,
2001,ModuloImagen,ModoPresentacion5,1,False,,183,
2002,ModuloImagen,TiempoPresentacion5,5,False,,184,
2003,columnasPerfil,columna2,Servicio,False,,186,
2004,columnasPerfil,columna3,Fidelización,False,,187,
2005,Perfil,combo1,Recomendación Paciente,False,,188,
2006,pedido,campo3,Sí,False,,194,
2007,mutuas,tipofichero,Mutua,False,,195,
2008,mutuas,tipofichero,Compañía,False,,196,
2009,mutuas,tipofichero,Servicio de prevención,False,,197,
2010,expedien,posprocesal,Demandante,False,,198,
2011,expedien,posprocesal,Demandado,False,,199,
2012,Perfil,combo27,No tiene,False,,207,
2013,Perfil,combo27,1,False,,208,
2014,Perfil,combo27,2,False,,209,
2015,Perfil,combo27,3,False,,210,
2016,Perfil,combo27,Más de 3,False,,211,
2017,expjuzga,tipo,Acuerdo,False,,212,
2018,expjuzga,tipo,Auto,False,,213,
2019,expjuzga,tipo,Laudo,False,,214,
2020,expjuzga,tipo,Resolución admin.,False,,215,
2021,expjuzga,tipo,Sentencia,False,,216,
2022,expjuzga,fallo,Absolutorio,False,,217,
2023,expjuzga,fallo,Condenatorio,False,,218,
2024,expjuzga,fallo,Estimatorio,False,,219,
2025,expjuzga,fallo,Estim. parcial,False,,220,
2026,expjuzga,resultado,Favorable,False,,221,
2027,expjuzga,resultado,Desfavorable,False,,222,
2028,expjuzga,resultado,Parcial,False,,223,
2029,expjuzga,posicion,Demandado,False,,224,
2030,expjuzga,posicion,Demandante,False,,225,
2031,Calificaciones,PeriodosLectivos,1ª Evaluación,False,,226,
2032,Calificaciones,PeriodosLectivos,2ª Evaluación,False,,227,
2033,Calificaciones,PeriodosLectivos,3ª Evaluación,False,,228,
2034,controlasistencia,tipoact,Horario de clases,False,,229,
2035,Perfil,combo3,Competencia,False,,230,
2036,Perfil,combo3,Mutua incompatible,False,,231,
2037,Perfil,combo3,Cambia de país,False,,232,
2038,Perfil,combo3,Fallecido,False,,233,
2039,pacientes,tipofichero,OFTALMOLOGÍA,False,,266,
2040,opcionmail,textoasunmailexpedientes2,,False,,267,
2041,opcionmail,textoasunmailexpedientes3,,False,,268,
2042,clientes,dpto,Oftalmología,False,,269,
2043,clientes,dpto,Dermatología,False,,270,
2044,clientes,dpto,Ginecología,False,,271,
2045,clientes,dpto,Medicina General,False,,272,
2046,pruebasformulario,tipo,Medicina General,False,,273,
2047,pruebasformulario,tipo,Oftalmología,False,,274,
2048,pruebasformulario,tipo,Otorrinolaringología,False,,275,
2049,pruebasformulario,tipo,Ginecología,False,,276,
2050,FormulariosClientes,carpeta,General,False,,277,
2051,pruebasformulario,tipo,General,False,,586,
2052,segexp,aula,Sala 1,False,,587,
2053,segexp,aula,Sala 2,False,,588,
2054,segexp,aula,Sala 3,False,,589,
2055,segexp,aula,Sala de Curas,False,,590,
2056,segexp,aula,nuevo recurso,False,,591,
2057,Perfil,combo7,Sí,False,,592,
2058,Perfil,combo7,No,False,,593,
2059,Perfil,combo21,Alto,False,,594,
2060,Perfil,combo21,Bajo,False,,595,
2061,Perfil,combo21,Medio,False,,596,
2062,Perfil,combo23,Sí,False,,597,
2063,Perfil,combo23,No,False,,598,
2064,Perfil,combo8,Diariamente,False,,599,
2065,Perfil,combo8,Más de 3 días a la semana,False,,600,
2066,Perfil,combo8,Menos de 3 días,False,,601,
2067,Perfil,combo8,1 a vez a la semana,False,,602,
2068,pruebasformulario,tipo,Nutrición,False,,603,
2069,escalasPredef,tipo,Ansiedad,False,,1,
2070,escalasPredef,tipo,Cognitivas,False,,2,
2071,escalasPredef,tipo,Depresivas,False,,3,
2072,escalasPredef,tipo,Del Dolor,False,,4,
2073,escalasPredef,tipo,Funcionales,False,,5,
2074,escalasPredef,tipo,Movilidad,False,,6,
2075,escalasPredef,tipo,Nutricionales,False,,7,
2076,escalasPredef,tipo,Sociales,False,,8,
2077,objetivosoportunidad,tipo,Preventivo,False,,616,
2078,objetivosoportunidad,tipo,Asistencial,False,,617,
2079,objetivosoportunidad,tipo,Educativo,False,,618,
2080,objetivosoportunidad,especialidad,Fisioterapia,False,,619,
2081,objetivosoportunidad,especialidad,Logopedia,False,,620,
2082,objetivosoportunidad,especialidad,Psicología,False,,621,
2083,objetivosoportunidad,especialidad,Enfermería,False,,622,
2084,objetivosoportunidad,especialidad,Terapia Ocupacional,False,,623,
2085,objetivosoportunidad,especialidad,Musicoterapia,False,,624,
2086,objetivosoportunidad,especialidad,Actividad Física,False,,625,
2087,objetivosoportunidad,cumplimiento,Sí,False,,626,
2088,objetivosoportunidad,cumplimiento,No,False,,627,
2089,objetivosoportunidad,cumplimiento,Parcial,False,,628,
2090,expalumnos,estadocurso,Matriculado,False,,629,
2091,expalumnos,estadocurso,Interesado,False,,630,
2092,expalumnos,estadocurso,Reservado,False,,631,
2093,expalumnos,estadocurso,Pendiente Cambio,False,,632,
2094,expalumnos,estadocurso,Baja,False,,633,
2095,expalumnos,estadocurso,Asistencia Ocasional,False,,634,
2096,clientes,RolInmueble,Propietario,,,2096,
2097,clientes,RolInmueble,Comprador,,,2097,
2098,clientes,RolInmueble,Otro,,,2098,
2099,otros,tipofichero,Centro de Impartición,,,2099,
2100,otros,tipofichero,Lugar de Impartición,,,2100,
2101,segodont,tipoEspecialidad,Odontología,,,2101,
2102,segodont,tipoEspecialidad,Estética,,,2102,
2103,pruebaformcmb100000049,cmbcontrol100000049,Sí ,,,2103,
2104,pruebaformcmb100000049,cmbcontrol100000049,No ,,,2104,
2105,pruebaformcmb100000049,cmbcontrol100000049,A veces,,,2105,
2106,segodont,tipoEspecialidad,Ortodoncia,,,2106,
2107,odontograma,estado,Sin Iniciar,,,2107,
2108,odontograma,estado,En Curso,,,2108,
2109,odontograma,estado,Realizada,,,2109,
2110,odontograma,estado,Cancelada,,,2110,
2111,odontograma,tipoOrtodoncia,Metálicos,,,2111,
2112,odontograma,tipoOrtodoncia,Estéticos,,,2112,
2113,odontograma,tipoOrtodoncia,Invisalign,,,2113,
