icodcli,dfecha,linea,icodopor,unidades,precio,prevision,oportunidad,icodusu,notas,referencia,facturar,importecierre,tipocuenta,dctolinea,totaldctoeuro,totaltarifa,bmodifimporte,porproforma,idartstock,idsegodont,idsegclider,indicehono,ordenhono,descriphono,unidadesconsumidas,bselloteauto,lote,bmovstock,idalmacen,orden,capituloconcepto,subcapitulo,tipoOperacionIVA,detalleOperacionIVA,tipoExencionIVA,motivoExencionIVA,tipoOperacionIRPF,modelosIVA,modelosIRPF,aplicarRecEq,poriva,porrecargo,ctaiva,ctairpf,iva,irpf,CtaServArt,clavemod349,fechaCaducidad,serieLote,tipounidad,idTarifa,idsegcliimportada,idderecho,codigoIAETicketBai,ctaivarep
29,2021-06-17 00:00:00,1,20,10.0000,55.0000,550.0,ZIONIC (rollactive RF)  50 min,4,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,550.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021-06-17 00:00:00,2,25,10.0000,45.0000,450.0,Radiofrecuencia INDIBA EDNA PRO,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,450.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021-06-17 11:32:17.703000,1,18,1.0000,120.0000,120.0,Campaña Operación Verano,,,,,120.0000,HONORARIO,0.0000,,120.0,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2021-06-17 00:00:00,1,36,10.0000,50.0000,500.0,Uniformes nuevos,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,500.0000,GASTO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,
31,2022-05-26 00:00:00,2,52,1.0000,50.0000,50.0,Servicio técnico informático,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,1,50.0000,HONORARIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,1,,,1,0,-1,1,,0,0,False,21.00,0.00,4720000021,,21.00,0.00,6230000000,,,,,,,,,
32,2021-06-17 00:00:00,1,34,1.0000,458.0000,458.0,Renovación Material Salas,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,458.0000,GASTO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2021-06-17 00:00:00,1,33,1.0000,342.0000,342.0,Material próximo trimestre,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,342.0000,GASTO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022-01-31 00:00:00,1,48,1.0000,0.0000,1500.0,G1,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,1,0.0000,GASTO,100.0000,1500.0,,,,,,,,,,0.0000,0,,0,,1,,,1,0,0,,,24,65,False,0.00,0.00,4770000007,,0.00,0.00,,,,,,,,,,
38,2021-05-28 00:00:00,1,14,1.0000,250.0000,250.0,Material,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,GASTO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2021-06-17 00:00:00,1,32,1.0000,857.0000,857.0,Cosméticos Tratamientos Julio,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,857.0000,GASTO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2021-06-17 00:00:00,1,31,1.0000,1850.0000,1850.0,Material Quirófanos,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,1850.0000,GASTO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2021-06-17 00:00:00,1,30,1.0000,150.0000,150.0,Pedido Farmacéutico,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,150.0000,GASTO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
